work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 Mar 20 2009 	 ok price starting get tatty 	 Acceptable business hotel term service cleanliness . partner try check 8 find fire alarm go engine outside . try booking later meet fairly short service little explanation apology . lobby tired bit musty . door connect lift area corridor bash unloved . lift start look tatty peel . hallway room need refurb acceptable stay in . room smallish ok London mid budget . resemble clean unloved 1980 's Travelodge . no mini bar , window open , air con need look like would work , cheepy fan wardrobe . bed bit short , blackout blind ok great , bathroom tired clean . toiletry good standard , hot water , powerful shower , ceiling low head height . main bar bright unwelcoming , cocktail bar well much expensive definitely see well day . lobby ok - loos clean wear date . breakfast good price , wide choice good service - fact good service . checkout quick efficient . overall . hotel need money spend hence ' offer cheaply discounter . £ 109 get ok room Strand breakfast . pay look impressed plan something else . I ' go back could find well deal breakfast nice location good . 
 Mar 17 2009 	 great location great staff 	 stay London great deal support one major Orchestras . fault staff room fine , apart slightly soft bed quirky heating . cheap room double glaze end world . breakfast good , eat meal ( occasionally ) also good . London hotel day , breakfast automatically include hotel rate go good . try hotel , pricey inclusive return convenient bus route part London ( good walk tube hate tube ) , close shop , walk distance RA Piccadilly , go often staff , say , excellent . could keep rate would even well costly stay London regular basis not business . find hotel cheap ( excellent ) Europe , even Switzerland ! 
 Mar 16 2009 	 Perfect Location 	 hotel perfect location want central attraction Houses Parliament , Buckingham Palace , Trafalgar Square , London Eye Waterloo station within twenty minute . hotel two minute centre Covent Garden . the hotel room stay single clean modern inside . shower good complaint . late check 12 ` clock also good . I do not sample food hotel dozen restaurant bar nearby area . I would definitely stay hotel 
 Mar 15 2009 	 Great Hotel 	 great hotel . reasonable , room clean everything need one night stay . location unbeatable staff helpful . the fault find 20mins queue breakfast . breakfast average , tin fruit not great idea either . I would recommend hotel anyone . 
 Mar 15 2009 	 unbeatable location 	 stay Strand Palace 5 occasion always enjoy stay . room average , get pay . location can not beat ideal theatreland , covent garden , London Eye many attraction . the buffet breakfast good plentiful . 
 Mar 9 2009 	 good hotel stay 	 Booked hotel birthday visit London theatre , pleased choice . our room comfortable clean [ bathroom gleam ] , food good.and plentiful , staff friendly helpful . would certainly recommend other . 
 Mar 9 2009 	 Great Hotel near Covent Garden Embankment 	 stay overnight . nice welcome reception quickly Club room . nice room everything need althouh bed bit saggy , clean shutter window keep noise street , great breakfast . sorted . 
 Mar 6 2009 	 place stay London 	 Booked hotel initially business not materialise decide make leisure break . Impressed newly refurbish lobby . Booked Club room well worth extra . newly refurbish room fifth floor overlook Strand . traffic noise much problem noise deadening shutter window . could not fault room hotel . everyone polite friendly . massive breakfast , help ! ! ! convenient everything . walk everywhere . sorry go home . definitely use Strand Palace agaon soon . 
 Mar 3 2009 	 Brillant location helpful staff nice room 	 sister book hotel three night birthday weekend ( 27 Feb-2 Mar ) disappoint . visit Strand Palace many time year dinner drink first time actually stay . convenient Covent Garden Drury Lane theatre go see Oliver ! great bring car London . book Club Room sister contact hotel beforehand tell birthday promise nice room exactly get . spacious well appoint . staff could not helpful ask fridge room , one bring within minute complimentary bathrobe vase flower give . nothing much trouble staff contact . top , book Club Room , use local Virgin Health Club road extra charge lovely use facility include pool . would definitely stay hotel future trip London . 
 Mar 3 2009 	 can not beat location bring earplug 	 second stay Strand Palace - first one May 2007 extremely pleased service . can not beat location - great centrally attraction - Covent Garden tube station 2 block away - direct Picadilly line access Heathrow add bonus . the downside hotel street noise - actually could not sleep traffic noise Strand bad- call desk 1 am request room change ( immediately accomodate ) ask different location noise bad side building - not problem first time -I may try another hotel next time London fact alone - otherwise could not happy Strand . 
 Feb 28 2009 	 good location 	 travel London many time past time stay Strand Palace . time wife travel together make reservation almost six month ago cheap price BB 5 night . reason choice Strand Palace center London theatre area easily access show . room small expect , ' accept room upgrade offer know ' much difference . nowadays even 4 star hotel coffee / tea make facility Strand still service room . although receptionist say hotel renew ' notice change corridor , room etc . like breakfast , satisfactory . price facility Strand Hotel still good one Central London . 
 Feb 26 2009 	 good location - poor standard room 	 hotel situate central location , ideal Covent Garden , Leicester Square , theatre , whitehall etc . book single room 1 night , cost £ 88 . room dark , date , need complete refurbishment , dirty carpet . hallway also need refurbishment , carpet tape together . unable tell clean thing room old ! not eat hotel , comment food . I would stay hotel . 
