awesome 	 hotel staff fantastic , location slap bang middle times square absolute awesome 
 Job 	 stay two night past weekend Renaisance Times Square . NYC dozen time past 10 year , however stay Times Square hotel . certainly faint heart . would recommend location anyone except enjoy pushy , loud , touristy crowd child . part city location convenient , not deal people inexperienced city walking sidewalk etiquette . say , hotel nicely modernize renovated boutique hotel . lobby good size update furnishing . guestroom high floor nice view TKTS booth . like king bed settee seating . love bathroom , expecially sink shower . negative thing room quite musty smell , almost like mildew . eat breakfast restaurant one morning . completely overpriced ! ! ! $ 60 total two people egg bacon . eat breakfast another morning block away half cost . staff great ! Oscar check super nice ! , never interact anyone else , fine we .... would recommend famile travel child , not mind crowd mayhem . 
 Nov 23 2004 	 will return -- say 	 first time Renaissance , New York America , experience . choose Renaissance many hotel Advisor comment seem fit want . must say expectation fulfil . moment arrive know right , comfortable double bed , room overlook 7th Ave large enough 4 adult base day location Times square second none . hotel security make feel ease staff helpful especially Omar concierge . problem want go back thing do not time around Renaissaince visit . tip , bit entertainment meal try Ellens Diner Broadway next Winter Garden Theatre . 
 Nov 10 2004 	 Renaiisance great 	 Stayed Renaissance Times Sq . celebrate birthday 2 sister mom . begin disappointed . spacious 4 woman . bed super comfortable pillow great . bathroom marble great showerhead . staff excellent esp housekeeping service . give we extra towel , cup , creamer etc . location well . stay next trip . 
 Nov 3 2004 	 Great Hotel Great Location 	 Renaissance Hotel great location -- also nice sized room beautifully decorate lobby . check long international flight . bed extremely comfortable bathroom , although large , large many New York Hotels granite countertop . usually stay Times Square , go Marriot Marquis . compare hotel , room nicer , elevator quick , much quieter ever busy Marquis . staff friendly room clean . stay ! 
 Oct 19 2004 	 Nice Hotel 	 stay hotel 4 night October 2004 . hotel fine . clean , central ( albeit well insulated traffic noise Times Square ) . friendly . room quite big centre New York . bathroom clean , , pretty big . stay many 4/5 star hotel UK Europe would hesitation go back Renaissance Times Square . 
 Oct 11 2004 	 nice hotel 	 stay first trip New York hotel conveniently locate , clean , nicely decorate . room small , expect . great hotel , especially price compare other . would stay . 
 Oct 4 2004 	 Great Hotel ! second visit 	 second visit Renaissance . arrive , ask room view , instead give room 5th floor ! not happy , especially 3 a.m. woken noise sound like someone hammer floor we . next day key card stop work . go front desk complain ask room view get 5th floor . also , point pay rack rate Marriott Rewards member . clerk apologize say check , hotel full could move we room 26th floor , agree , ask needed help move , decline . move show we one thing -- room , fact find room 26th floor nicer showerhead big ice bucket , well stand hang suit jacket . meet room attendant -- nice helpful we . place hotel full - on view Times Square Foley 's Restaurant . eat late breakfast one rainy day -- miss buffet , order regular menu , incredibly expensive . however , one place get good table . breakfast good , find much cheap food elsewhere . location Renaissance good -- near Times Square thick . matter time go , Times Square mob . ride subway , , not catch train Times Square . 2 station close hotel -- 49th Street one 50th street one . express train stop , however . agree poster , find cheap hotel NYC ( well one expensive ) , stay . room nice -- room room king - sized bed . staff always helpful friendly -- check , even hotel maintenance man ask we visit . eat Foley 's manager come table see thing even recommend thing could rainy day . 
 Sep 17 2004 	 great hoping . 	 read review site various hotel NYC decide stay Renaissance . like everyone say location great ! room nice entire hotel . first arrive happy room go inspect bathroom see hair leave tub ( dissapointing ) . night 11:30pm try go sleep hear jack hammer . continue hour . call desk say alert would check . call back hour later tell would continue throughout night nothing could . hotel well educate Customer Service ! top leave 2 item check . contact hotel next day call we back find item . arrive next day get , idea talk . since , ( month ) call every day idea happen item not really seem care . 's loss , already collect money we . bring another topic . hotel price . long room ( 8 - 9 hour sleep ) not worth money . stay Renaissance 2 night check Sheraton Manhattan . happy stay . not quite fancy room noticably small bed even comfortable . staff excellent , always ask could help . not problem noise ( room right next elevator ) read other review Sheraton Manhattan . Sheraton Manhattan much well deal we juste want nice room sleep day late night great city . location also great Sheraton couple block Renaissance . may impress Renaissance would customer service orient ! 
 Sep 14 2004 	 fantastic place ! 	 place great . husband , four kid make cross country drive New York . know people think mind , great time . hotel one good place stay 3 week road . stay four night . check - in immediately greet great point . concierge wonderful . help we tremendously . Foley 's nice place dine can not beat view . hotel good location , right behind hotel pick tour bus city drop want go . not stay anywhere else , stay . bit nervous know leave morning traffic , bellhop give we perfect direction way . another note , city clean . prepared kid think would look like , find completely wrong . not worry safety everywhere walk appear police officer . five day think see three panhandler . definitely come back another visit ! 
 Sep 8 2004 	 Definately must stay hotel ... 	 pleasure stay Renaissance week June 21 , 2004 . staff friendly helpful , make dinner reservation several time . right middle & quot ; action & quot ; could not well time . 
 Aug 21 2004 	 Renowned Renaissance Staff 	 Renowned Renaissance Staff ...... pleasure stay Renaissance Hotel Times Square August 5 - 8 2004 ......... never receive courtesy promptness hotel offer hotel wonderful resilient city New York . view Times Square Foley 's good ! ! ! ! ! ! ! ! go ! ! ! ! ! ! ! 
 Aug 18 2004 	 would not stay anywhere else 	 bring mum birthday July . first time New York want make extra special . we could not falted anything . room great clean , lovely bathroom . staff especially concierge helpful obtain we 2 Wicked ticket supposedly sell week - recommend show enough . main purpose trip see boy Oz Hugh Jackman not let we . last performance 12 September anybody go New York show see . 
 Jul 28 2004 	 great romantic Getaway Access 	 wife New York City many time , always work relate trip kid . time decide go spend day together two we . special occasion , choose Renaissance . admit nervous might make bad decision , realize lot stake trip never stay place would want try . disappointed . stay five day enjoy every minute . truthfully , admit minor annoyance ask housekeeping leave extra packet coffee ( would think note every day three day would not necessary keep ask , etc ... ) fact girl front desk would sell stamp keep international package & quot ; . rest staff , check - in check - out , kind . level service remind we Ritz Carlton entire staff glad see , sure let know care . many time ' ve stay pricey NYC hotel treat poorly snobbish doorman , front desk clerk , etc ... overall staff really make effort make we comfortable . the king size bed incredibly comfortable lovely towel bathroom . marble tub huge provide relax , long bath . locate within block subway station , access anywhere city simple convenient . could run Zabars West 80th , grab picnic lunch go Central Park grab subway SoHo afternoon back hotel within minute ... show within block , entertainment close enough walk . there handful hotel Manhattan will recommend love one colleague . Algonquin Renaissance two top . thank wonderful stay Renaissance . see next time . 
