disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Jul 18 2009 	 may stay 	 second stay Nugget . first time 5 6 year ago perfect every way ( except tight slot , even tight hubby fairly well blackjack table ) . ' ve stay Mirage well MGM . arrive Sunday evening July 12 6 face long line check - in . soon get desk tell go vip check - in . DUH ! forget fact . get 2 parlor suite , one we , smoking , one couple friend , non - smoking . north tower , 2nd floor , friend 6th floor . view concrete wall building row compressor . first negative smell . ' ve stay lot smoking room none stink bad one . bring expensive air freshener not help . provide type decent ventilation . bathroom fan absolutely nothing shower . picture online show bright cheery room , slightly feminine decor do contemporary , dark tan brown minimal lighting even curtain open , feel like cave . non - working refrigerator 4 warm bottle water . Maintenance came inspect say would try find replacement . 10 min . later tiny little elderly man could not speak English show luggage rack carry really beat replacement half size one room . way could lifted , much less break one . send away soon another maintenance guy show try work . give spark shoot bottom hit boot ! next day 2 guy show work replacement . another complaint kill 3 roach room . good sign . small whirlpool tub several long dark hair stain could not tell clean used shower . go vip lounge complain offer move we , decline settle . give coupon book trouble . oh boy ! $ 5 discount $ 65 Gordie Brown ticket , free drink purchase several club couple free dessert purchase . another reviewer mention , Gordie Brown ok , worth money . 2 full bathroom nice . Shampoo , conditioner , bar soap body lotion provide , shower gel . receive 4 small bottle water ( complimentary ) never supply . 2 large bottle Figi water want pay $ 4 . bed comfortable turn first nite put privacy tag since room already clean day ' m never comfortable people room there . the dinner buffet mediocre . cook vegetable mash potato salad . green bean , pea , corn , carrot , etc . ask one server say & quot ; will go warehouse see find & quot ; . course , already plate fix . go back check 10 minute later 3 serve platter completely undercooke fresh green bean , red bell pepper hard rock carrot . guess since compe , could not complain much . my husband friend breakfast ( slept ) buffet say excellent . first morning , orderd room service Eggs Benedict superb . never venture pool area although intend . incredibly crowded young child everywhere . stay downtown ( go strip ) sure catch Carl & quot ; Safe Sax & quot ; Ferris . great watch . ' ve buy 2 CD 's not disappoint . play night take tip well sell sign cd' . I would still recommend Nugget hope other would great experience first time . make reservation next stay , specific expect demand another room 's anything like last one . suggest insist see room commit accept it . oh , one thing : not discount slot airport . flight delay 2 hour husband decide try one would see guy hit big last year ( stay MGM Grand ) . end hit $ 600 jackpot ( put $ 100 ) 2 spin 4 spin later , hit $ 2700 . dollar machine . gal pay say well pay machine . make expense trip little easy swallow ! ! would definitely take advantage online special . get Parlor suite $ 149 . 
 Jul 15 2009 	 great location terrible service 	 stay 6 night . 's first stay downtown , Golden Nugget nice location . downtown atmosphere great , free music , cheap eat , walgreen mcdonald short walking distance . hotel need improvement term service.1 . stay South Tower . know cheap room GN , could start renovate room . ugly curtain , flat screen TVS , ( could not connect iphone watch movie , guess want pay movie ! ) , sheet & quot ; Days Inn & quot ; type . 2 . maid service . times clean room 9 am , day late 4 pm . way tell going come . sign like cruise ship say & quot ; please clean room & quot ; . leave room early morning could clean , come back late afternoon take nap , not clean . not clean day . also not pick room service tray right away , leave hallway day . 3 . Customer Service . run problem safe , security come fix . seem attitude problem , accuse breaking . fix , could big safe ( yes I ve hotel big safe ) also , request restaurant chair help disability , give hard time . want extra chair ! 4 . food expensive , eat downtown hotel . 5 . swimming pool okay , crowded . new tower build , be even go to crowd . also not check hotel key , guess anyone could use . 6 . casino okay , time smoke smell ... well ventilation need . overall would consider stay downtown hotel . 
 Jul 14 2009 	 Excellent service ! 	 little leary stay somewhere $ 39.00 night . want see room first assure valet would not disappoint . glad stay . see room North Tower run right back downstairs book 2 night get third night free ! bed super comfy ! room service prompt ( food good ) . housekeep well ! smell clean fresh every evening get back . pool fun crowd . night pool area turn cocktail lounge really good music coctail server . new place stay Vegas ! 
 Jul 11 2009 	 free upgrade ! 	 minute walk sell , although lot campy people . Casino look fine new pool ( waterslide shark tank ! ! ! ) look cool ! free upgrade room nice quiet ... ! 
 Jul 11 2009 	 Awesome pool great value ....... 	 return 3 night Nugget wife two kid . pro : awesome pool kid ( shark feed 12:30pm every day ) , clean , affordable ( pay $ 36 / not ) , two Starbucks hotel , waitress service pool goodcon : Taxi strip expensive -- $ 22 one - way . kid menus hotel restaurant food hotel price -- food good great . access gym $ 20 / day . breakfast buffet end 10:30am sharp . suggestion : request room away hotel 's expansion project else construction vehicle honk backing - up early morning . overall nice hotel would stay would recommend family . weekday lot less crowded . 
 Jul 9 2009 	 Solid Gold Nugget ! 	 spouse another couple travel together Vegas . first time , 5th . we originally book another hotel early , book flight later date , give we unanticipated extra night Vegas . extra night land we Golden Nugget . we please everything minute step Nugget . nicely decorate , bustle people , quick easy check , plenty restaurant , casino close room great . room nice spacious , clean , well decorate charming . also trouble parking rental car . we spend 1/2 day pool . darn hot , manage stay cool 2nd level shade palm tree . also take frequent dip pool cool . also must view shark / fish tank pool course take fast slide tank pool . although line waterslide look intimadate move quickly . relax lounge chair drink service available partook find drink reasonably price consider place ( course not beat $ 1 Margherita 's Strip ! ) pool , husband eat Grotto site . fantastic meal great service . friend eat early Buffet say lot variety eat well . this casino Fremont St area seem last lucky day gambling . fare well Strip , Fremont prove we jackpot ( mean big gambler , win $ 25 huge we ! ! ) .Great area stay night witht entertainment , casino 's old style Vegas Neon light . we highly recommend stay Golden Nugget Vegas choice . 
 Jul 8 2009 	 Golden Nugget Spa Suites worth splurge ! 	 Golden Nugget favorite Las Vegas hotel & amp ; casino . stay every room type available . spa Suites worth splurge ! ! also great value compare upscale suite strip . book Spa Suite $ 239 per night email promotion . suite 1500 sq ft . 1 1/2 bath , floor ceiling glass window , bar refrigerator & amp ; ice maker , 3 flat screen tv , jetted jacuzzi tub , separate steam shower , bidet & amp ; convenient exterior door bedroom chamber upstairs . casino friend stay . like dealer nugget personable . whole atmosphere Nugget like good . classy yet lay back & amp ; fun . also ... hot rock massage GN spa fabulous . , rib - eye steak Vic & amp ; Anthony 's GN fabulous . Gordie Brown show ok ... good . I encourage sign email promotion interested staying suite GN . probably get well deal air / hotel package standard room ..... good deal Spa Suites & amp ; Parlor Suites email promotion . 
 Jul 8 2009 	 wow ! 	 hotel exceed family expectation ! beautiful room , bathroom , restaurant pool ! parking detach hotel make little inconvenient , bad . especially love pool . gorgeous ! good ' ve see . wish pool open 10:00pm . pool area crowd not really chair available 6:30pm - 7:00pm closed 8:00pm . much fun anyway ! also , hotel connect Fremont Experience street happening & quot ; strip & quot ; downtown area make convenient shop hotel hop gamble eat . will definitely back ! 
 Jul 7 2009 	 Golden Nugget well yes golden ! 	 book two night Gold Club Rooms everything expect read , surprise . check fast professional club room check - in room line front pack , far … good . go another couple give we adjoining room , exactly portray web site spotlessly clean . bed linen top notch great night sleep , big screen tv , leather couch , great view pool smart mirror bathroom cool . bottled water , apple snack day nice coffee morning much need appreciate . wife never ever go pool Vegas love shark - aquarium tank , yes busy great time . staff genuinely friendly , helpful seem enjoy job . stay Bellagio , Wynn , TI suit , Tropicana Flamingo fine finer . yes , hotel old bathroom small everything else first class . wife want stay downtown love strip , think find new home Golden Nugget . 
 Jul 7 2009 	 classic gem still need polishing 	 husband need staycation , check Golden Nugget one night . hotel lovely , staff courteous efficient . however , issue . complaint follows:1 . hooker casino . be obvious , obvious security . not allow work casino floor blatant manner.2 . need invest new mattress . feel like Princess Pea experience . mattress room entirely soft . everyone like sink way floor lie down.3 . make sure room Disturb sign . not one , not think necessary . , housekeeping barge 8:30 a.m. wake we . ouch . good thing able check drive three mile house sleep comfort . other , Golden Nugget nice location tourist . not expect get caviar bologna budget . 
 Jul 7 2009 	 great hotel - great service 	 highly recommend hotel . great time friend spectacular hotel . 
 Jul 7 2009 	 Nice Stay 	 arrive Golden Nugget around 3 pm wait check . ask free upgrade clerk try find one room sell due Blackjack Tournement weekend . South Tower room 19 floor pretty view comfortable King Bed . bathroom nice shower good water pressure . time share people near elevator try stop several occasion tell interested stop . ( also get people entrance casino Fremont St well ) overall Golden Nugget nice hotel , get coupon booklet coupon good Mon - Fri , course stay weekend . eat Carson St Cafe okay . eat Grille late night people much personality . casino fun , slot tight . enjoy play blackjack table dealer always great . far Fremont St area , place lot sketchy character area lot people give & quot ; free & quot ; comp ( beware timeshare ) . lightshow pretty neat well . would probably stay strip next time , Golden Nugget fabulous , Fremont St area impress much . 
 Jul 6 2009 	 try go back 	 Vegas numerous time usually travel twice year , always stay Main Street Station ( see review ) stay GN 3 nite MSS 4 . price room $ 49.00 night plus tax , receive coupon booklet , use one buffet . drink coupon kind joke , give sampler glass certain type beer , small mixed drink ( could taste alcohol ) bartender nice . buffet good value 2 1 . like other say pool area crowd extremely hard get chair . lot family . you walk far way get elevator south tower yes annoying time share people bug everyone , keep walk ! walk far away spouse bother you . we end get handicapped washroom ( sink small counter space place anything ) fridge room tv always work signal channel . GN pretty crowd seem like young crowd like party ( MSS quiet different clinental ) slot tight , could even win $ 5.00 ( different story MSS , CAL Binions ) drink service far inbetween , like Binions ( excellent , super friendly waitress ) MSS CAL.In event , GN clean room pretty nice , big $ 49.00 night , complain . stay , I . any way , be 2 cent worth . 
