Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Nov 1 2006 	 First NY Hotel worth price ! 	 stay Benjamin wedding anniversary . say , either exceed expectation meet . service prompt friendly . concierge helpful cheerful ask assistance prior arrival . even call back confirm requests- Great Job ! hotel package get website include spacious yet cozy 350 sq . ft . Studio Suite fully equip kitchenette ( stove ) , breakfast include , 20 % Spa Service $ 350 / not . Anniversary make special lovely note manager , box assort Godiva Chocolates , appreciate small detail : choice 10 type pillow help sleep , turn bed service , lower lighting , classical music background , truly clean marble bathroom , lovely clean scented toiletry , well - appreciate umbrella ( rain 2 3 day ny . ) kitchen godsend- love access freezer microwave , bottle Veuve Cliquot ready open lovely touch . since check Spa last morning , enough time enjoy Spa service . ( Bob 's wife : & quot ; Gentlemen 's Package massage , facial foot rub would perfect gift husband know early set 2.5 hrs . aside . & quot ; ) thing need update would printer connection use usb port . definitely recommend hotel friend family . definitely come back Benjamin be town . 
 Oct 31 2006 	 may finally find ` ` one '' 	 wife , daughter go New York twice year every time ' ve stay somewhere different - Mark , Iroquois , Elysse , Casablanca Benjamin . ' ve want settle hotel keep go back , may . service outstanding - door always hold we greet genuine friendliness employee , whether front desk , elevator outside hotel . concierge give we couple perfect restaurant recommendation . the room perfect - nice spacious family small child - view alley city ! bad Orbitz special deal ( although still around $ 350 / night queen bed ) . elevator sometimes take long time , well place ' ve stayed - force carry stroller stair . location good , perfect . would rather block close Central Park , be huge sacrifice . restaurant 1st 2nd nice change head direction towards Rockefeller Center . would definitely recommend Benjamin . 
 Oct 29 2006 	 Great Hotel 	 room nice clean . upon check - in music play clock radio oversized bed big pillow . complaint seem hotel lobby bar relax . great hotel . 
 Oct 10 2006 	 charming 	 really like hotel . lobby welcome staff extremely friendly . room nice special touch business traveler . include fax machine , large desk , fax page even & quot ; guest residence & quot ; business card . kitchenette nice surprise . location great- walk distance attraction . would highly recommend hotel would return . 
 Sep 23 2006 	 Loved ! 	 GREAT experience ! Got Orbitz special $ 175 per night great room w/1 queen size bed . rate include free full breakfast normally price around $ 30 . price could well . clean , quiet , excellent customer service . small kitchenette area w / micro / fridge / bar . LOVED . good location NYC . 
 Aug 18 2006 	 could not ask anything 	 spend long weekend Benjamin . three we , stay one bedroom suite realise scour internet deal , roughly price standard room many . hotel well decorate fantastic location . spa , sleep concierge pillow menu add bonus . Times Square great visit would not want sleep . always pleasure hard day 's shopping wander back midtown East , shop restaurant still abundance thing less hectic . thing little pricey hotel much choice New York would churlish complain . ice cake restaurant concierge recommend book we . receive three complimentary glass champagne , pay hotel . could not ask anything definitely plan stay Benjamin visit New York next year 
 Aug 15 2006 	 Fantastic ! ! 	 wife two child go New York combination business / fun trip ... Benjamin good everyone describe site ... room really large , clean newly decorate / furnish ... staff could friendly cooperative ... concierge get we great ticket lot good suggestion tip ... travel NY 5 - 6 time per year will not even bother check hotel ! ! 
 Jul 12 2006 	 great hotel right price 	 spend 4 day Benjamin July ; fourth fifth stay past year . excellent hotel attentive professional staff . great location Midtown East Side , close restaurant , shop easy walk , cab subway ride museum . highly recommend especially find good deal online either hotel online travel agency . complaint high price room service still $ 10 per day charge high speed internet . 
 Jul 10 2006 	 Excellent service 	 wife take parent birthday treat could happy hotel staff . room decent size New York addition proper fridge/ freezer ( small ) kitchenette nice touch . location excellent number good restaurant / diner nearby , Mama Mexico East 49th Street & amp ; 3rd Avenue well worth visit like mexican food . staff throughout hotel pleasant doorman particular helpful . I would hesitate recommend Benjamin . 
 Jun 16 2006 	 Disagree reviewer ... 	 stay hotel one night business . fine , standard would give 4 - 5 star reviewer give . pay $ 469 per night queen size bed room . room small fairly threadbare . first room give ( 505 ) overlook air shafts / trash heap . ask another room , give 2204 -- much nice view , lack coffee maker / microwave first room . also , refrigerator room work , shower fixture break , carpet stain . service fine . small restaurant offer good food . gym pretty good . stay many time Palace , still think well mid - town hotel . 
 Jun 9 2006 	 delightful place stay 	 spend three day Benjamin could please . room 11th floor quiet , well - appoint comfortable . linen fabulous choice pillow particularly nice touch . hotel convenient public transportation short walk place want go . bathroom tad small bathrobe wonderful . staff accommodate pleasant . great stay ! 
 Jun 6 2006 	 great hotel 	 Benjamin fantastic hotel week New York . stay friend book king suite sofa bed well . service excellent location perfect subway station across road . room large well appoint daily maid turn service . side slow lift , two service whole hotel . probelm rush really minor issue . overall Benjamin great . 
 May 31 2006 	 Perfect ! 	 place great ! stay lovely girlfriend really tick box . lovely lobby area check - in smooth . room small side ( always expect New York ) , lovely clean bathroom kitchen area essential need . like fact space fridge put food . love & quot ; Pillow Menu & quot ; - although find swap throughout sleep . location good well . round corner Smith & amp ; Wollensky 's block Grand Central , 5th Avenue Shops Central Park . also decent gym spa really feel need work great food New York offer . conclusion place perfect really . not cheap place New York always prepare pay London price good quality hotel . hotel make break holiday Benjamin definately make holiday ! 
 May 20 2006 	 Fantastic Hotel 	 13 year old daughter take 1st trip NY decide stay Benjamin due review Trip Advisor . fab time . nothing much staff , room facility 1st class , great location ( walk everywhere ) , food excellent . yes , food not cheap get pay . excellent door man wonderfully helpful . really make great fuss us hesitation recommend . ' ve already book go back ! ! 
 May 3 2006 	 will back 	 definitely stay Benjamin . great hotel . nice decor , friendly staff , immaculately clean good location . room back hotel , view , quiet . fantastic mojito lounge bar ! 
 Apr 29 2006 	 Welcoming Stay 	 stay Benjamin , everyone nice . room look Lexington avenue , pretty street . complaint fire station make much noise street . room spacious comfortable , living room fantastic . tore nearby perfect sushi restaurant great . love stay . 
 Mar 27 2006 	 successful spring break 	 get back excited tell everyone Benjamin -- great place stay new york ' ve try many . 2 kid we love pillow menu . ( agree water pillow jelly neck roll good , magnetic facial one -- much ) room attractive , large suite new york price -- $ 349 we . nice egyptian cotton sheet comfy bed . kitchen nice -- granite countertop , nice glass front cabinet huge refrigerator . pull sleeper sofa living area . good bathroom clean overall . location great- right street Waldorf . the staff lovely . friendly , helpful exactly would want . side $ 9.95 internet fee wireless 2nd floor . happily recommend hotel . enjoy . 
