perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Oct 4 2008 	 one night stop NY 	 stop one night Manhattan en route business trip . usual small room stop previous visit NY , smart , clean comfortable . location hotel Times Square far enough away bustle . staff friendly courteous , breakfast serve next door room service . 
 Sep 28 2008 	 Book Hotel Mela stay NY city . 	 get back two night stay Sept.25 27th . Hotel Mela within walk distance anything everything , 1/2 block Time Square . 's food beverage market type store three door . buy wine , water , fruit , cereal , bagel , medicine , anything really . staff Hotel Mela , well , care . be effort genuine feel really want make stay positive experience . happen 40th birthday , around 5 pm , knock door . concierge deliver delicious melt mouth chocolate cupcake Birthday card sign several staff . nice extra touch . Tirone Desires desk also helpful pleasant . check quick professional . room small , clean well decorate . elevator small , 5 adulte fit fine ( luggage ) . 's 10 - 15 minute walk NY Penn Train station . would return hotel hesitation . mention awesome price 159 $ night ( 26th ) . 
 Sep 28 2008 	 Nice Hotel 	 Mela offer small , nice fresh room . clean perfect , concierge offer good service we , book restaurant etc . Hotel locate perfectly , 100 meter Times Square , walk away everything ... really recommend visit Nobu restaurant Buddha Bar Restaurant . place offer great food fantastic atmosphere . 
 Sep 25 2008 	 Great Hotel Frienfly Staff 	 friend return 5 day stay Hotel Mela . great location , helpful staff . review read line make decision book . glad . tad pricey amenity available , would return . 
 Sep 22 2008 	 warning : stay Hotel Mela 	 stay Hotel Mela nightmare ! book superior room online Expedia . we arrive around 10PM night check . front desk manager tell we hotel book capacity could offer we room double bed . tell we Mela double bed & quot ; size queen bed & quot ; upset . however , upon enter room , see tiny bed around size twin mattress . immediately contact hotel manager room switch . manager rude unhelpful say nothing could night . needless say , completely unacceptable ruin first night city . another huge dissapointment hotel quality . advertise 4 star property , meet standard typical 4 star hotel NYC . Hotel Mela lack decor , ambiance , taste . ' ve stay many hotel city hotel mela compare . room extremely small even nyc standard similar size closet . overall stay horrible would recommend hotel anyone , unless like overprice , tiny room rude staff . 
 Sep 18 2008 	 Mela Great ! 	 Hotel Mela amazing hotel right heart City . NYC several time truly enjoy stay Hotel Mela . hotel unassume outside , walk modern entrance / lobby promptly greet extremely courteous staff . check - in breeze head room begin encounter negative hear , tiny stature ! elevator barely big enough fit 2 people luggage . the hotel design modern , simple clean . room , great style little space . bathroom decent sized size room functional . interior room noise issue , although bit dark even light though . not stay close Times Square hang room get around easy . staff great get car need everything seem like within easy walk distance . the stay perhaps highlight staff 's reaction injury sustain last evening stay . truly go beyond make sure comfortable assist we get airport . the bottom line Hotel Mela amazing look hotel , great location great price . come ( minor ) negative low square footage room . I would definitely recommend Hotel Mela fellow traveler . 
 Sep 15 2008 	 Fantastic service 	 travel agent booking hotel world , fussy . hotel offer customer service ' good . great location , great service , nothing much bother . room great , cheap well know name frankly far well . stay give treat staff really genuinely care . continue book client , give great satisfaction offer outstanding property . 
 Sep 4 2008 	 Times Square Gem 	 pleasant place stay business . hotel middle Times Square seem hectic loud . stay work hotel room accommodate guest need workspace . suggestion move clunky desk lamp take much room laptop . business center also easy use however tell management remove mouse pad . please make available customer want use . plan stay Hotel Mela October another stay . nice place reasonable price hotel . staff professional efficient . room service really fast food great . 
 Aug 28 2008 	 Excellent Cozy Hotel 	 husband stay Hotel Mela July . great little boutique hotel . clean , retro decor , safe great staff . expect room tiny since everyone state , fine . huge need bed , bathroom window , really . size perfect we . close Times Square , walk everywhere around NYC . idea ' ve never ny , approximate walking time area : Times Square 1 minute hotel , Central Park 15 minute hotel , Chinatown Little Italy 1 - 2 hour hotel financial district 5 hour hotel . & quot ; walk - shop - stop drink & quot ; time , course . overall , great stay hotel . recommend . tip : walk everywhere see city , take Grayhound Bus Tours see city different view . , eat eat eat Little Italy ! enjoy ! 
 Aug 27 2008 	 truth standard rooms- objective review 	 believe many old review Hotel Mela , would put want stay there- nearly happen . gutte booking confirm booked week read thing completely scare e.g . size room , lift size , view etc . interestingly , review write August ( time stay ) fantastic would like contribute objectively set recent review . other stay time rate Mela 5/5 , ' m going give 4 . doubt other consider excellent hotel fair many aspect hotel excellent still room improvement write . partner stay standard room- room type people seem complain often consquently get upgrade straight away . on arrival hotel greet friendly man take bag straight taxi lobby . lobby quite small wait 5 minute check . however , immediately able see staff Mela prepare devote time help guest book various local entertainment offer strong advice . partner impress friendly staff realise positive thing prepare put time energy guest . walk lift expect one , small lift describe other 3 ( maybe 4 ) lift . Whe open door standard room first time realise small unbearbly small review suggest . rediculously small ' knock one another whole time ' ' walk sideway ' . partner exactly small either would completely like confirm size issue opt standard room . leave good idea layout show clearly Hotel website www.hotelmela.com ( excellent website ! ) suggest look website detail size important . storage hand ... grrrr ..... except fact living suitcase . tiny amount space cupboard hang thing 's worth take risk damage wine glass . desk chair business person standard room would possibly irritate . however , huge japanese pillow could rest back sit bed find work well want work .... whether be intend purpose ? ? bathroom fabulous , fresh decor nice smell bath soap . generally would say bathroom bedroom wonderful contemporary look view ............ OMG ........... see room leave , right opposite ten floor . room privacy curtain issue- actually lack light bother me- could not guess time day look outside light low floor - however , room light stun detracted issue . the minibar quite good stuff expensive although camera sell half price Rockefeller centre ! movie system quite good gym . not try room service put three different taxis pay make order . think real gem Hotel Mela cleaner . cleaner exceptional , always friendly professional work . bit disappointed leave reception tip give reception quickly dump discard side without thank . luckily tip clean separately . first trip New York feel fortunate centre everything . hotel literally one minute walk ( turn leave ) Times Square many exciting local attraction e.g . toy r we store big wheel , & amp ; 's store , Madame Tusauds , international centre photography etc . one day even walk 40 block around central park use subway ' complete ' must ' . mela good place relax many busy day experience New York . possibly would stay would totally depend price offer would consider opt large room hope well view . 
 Aug 26 2008 	 wonderful hotel experience 	 spend past Saturday night , August 23rd , Mela hotel New York City . girl weekend , four we stay night . moment arrive hotel , greet warm feeling . front desk girl polite , helpful . tirone help we plan evening . reccommende amazing italian restaurant . set we one good club , tell we nightlife information want know . John Paul helpful well . help we bag , give we direction , pleasant . room clean . room service extremely fast . every employee hotel always greet we smile . think hotel experience make trip . could not ask well hotel . extremely happy entire stay . absolutely book future trip Mela hotel . 
