never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Sep 20 2008 	 bad hotel experience ever 	 probably bad hotel experience ever . suppose stay 13 day end check hour check . sum upNo shampooonly hanger , ask say ! ! ! iron iron boardNo place leave language check check outexceptionally unfriendly staffvery noisy tell cancel stay reason , instead apologetic actually say " expect , budget hotel " . rate $ 200 / night , even London expect least basic amenity price . 
 Sep 16 2008 	 customer service ? 	 London visitor11/12 septemberWe return two night stay hotel . ugh ! check 3 pm - . facility leave luggage time even arrive 2.45 give room - 3 pm unless course pay £ 10 supplement.for early check . 3 pm long queue & quot ; guest & quot ; wait check . add insult injury hotel staff put & quot ; queue & quot ; sign ! lift smell cat , washbasin room leak water foot shower work obviously do time , non working mixer tap fill bath ( partly block ) shower . floor properly sweep want hairdryer collect one reception return within one hour . Travelodge provide shower gel etc . breakfast mediocre , arrive dining room fruit bowl plate tea bag . wait these . for money could stay far nice hotel area .Wo not go back ! ! 
 Aug 27 2008 	 Location Location Location ! ! 	 friend stop London quick two night head Edinburgh visit friend . since time essence , book two night Travelodge Covent Garden location unbelievably cheap rate . People complain many thing regard hotel , especially thing like rather steep step lead reception . 's hint discover : turn small street stair start walk toward next cross street . even leave hotel area , will see ramp right lead reception . 's dark empty night , perhaps stair preferrable , drag heavy luggace , be well way ramp ! , room fine ; frill . really need place sleep not spend much time room itself . the rug turn bottom sock gray get one bar soap two we whole two day ( see - through sliver checkout ) bed make either day . ( towel change ) lobby area nice look restaurant always busy night computer check email . need key access elevator , would say security probably issue . but seal deal incredible location . mere 100 buck night , five minute foot Covent Garden . minute be smack middle West End . walk British Museum well Strand ..... great restaurant right near hotel . ( Rock Sole Plaice Endell Street right front door ! 's Savoy Ritz , value ( ) location , one can not beat ! 
 Aug 20 2008 	 Excellent Location Price 	 Excellent hotel central location . stay two night clean comfortable room . stay 13th floor terrific view LondonEasy walk distance London 's major attraction theatre . . helful staff reception give plenty advice go see . resonable rate . would definately like stay would definately recomend . 
 Aug 17 2008 	 Great Value Great Location 	 Stayed Travel Lodge one night ( 15th August ) family room . pay £ 59 £ 12 per day park car - excellent value anywhere let alone central London . the Room clean totally acceptable , nothing complain all . there considerable noise outside early hour that s hotel 's fault . the breakfast excellent , good quality fresh lot it . the location great visit British Museum - literally 3 minute walk ( ) going see Lion KIng Lyceum . this great little find would definately recomment anyone . if look hotel go see Hairspray could not get well location 20 step hotel ! ! ! 
 Aug 14 2008 	 Excellent value money 	 return stay hotel , book special rate deal 29 pound per room ! ! absolutely fantastic value money destination let alone central London ! room standard Travelodge room spacious clean . recently stay Travelodge Birmingham Maypole ( see review ) different two hotel chain ! ! pre - booked breakfast discount rate 6.75 , child eat free , excellent value . good choice cook breakfast / cereal / bread yoghurt etc . staff polite helpful . excellent location . enjoy stay much would definately return 29 pound ! ! 
 Aug 12 2008 	 great position West end show ! 	 stay one night theatre break . well position West End budget hotel . room well equip , include slim - line tv bathroom spotless ! side , sun - face room hot fan provide . due hot window open slightly overnight not help noise factor siren reveller outside nearby club still loud 7 am Sunday morning ! would stay , although would avoid Saturday night ! 
 Aug 11 2008 	 PLEASANTLY SURPRISED 	 ( 2 adult 2 child ) recently stay 2 night Travelodge Covent Garden Family Room pleasantly surprise base previous review read . room new building - 2 building opposite side road . room comfortable , reasonably large considering 's centre London , clean everything need . not provide shampoo etc , get soap borrow hairdryer reception . downside air conditioning ( know book ) one extremely hot night stink hot room , window could open fan room . the location hotel great , easy access tube etc lot restaurant / eat option within stone throw . Overall Travelodge great value pay would hesitate stay . 
 Aug 10 2008 	 budget price experience 	 stay husband 2 kid family room . across road building . ok , clean , new tv , bathroom could done refurbish . great location noisy 1 ! aircon hot . th fan drown noise street . budget hotel get budget experience , enough towel pillow number people room . would well winter less hot . 
 Aug 2 2008 	 great location 	 booking ask room new building stone throw away Shaftesbury Theatre easyer get luggage . check old building flight stair climb might discover new building across street ! . room good size especially family room two go . would definitley stay centeral place . 
 Jul 29 2008 	 go new basement room ! 	 stay hotel last weekend . arrive offer choice room tower block basement room ' other building ' across street . opt basement room receptionist say newly refurbish air - con . would recommend go type room - air - con fab noisy , okay view underground carpark room nice , flat screen telly nice bathroom . we pay £ 30 night would not minded pay bit . end pay £ 100 room would avise go elsewhere definately check early enough get basement room ! down - side entrance building courtyard seem full smoker day night back 11.30 deserted lot shadowy area enough lighting - 'd woman along have feel quite wary ! 
 Jul 27 2008 	 not waste money 	 hotel date outside , horrible shabby building . room stay room 42 ground floor average . although get 2 bath towel one 3 pillow 2 people . bed comfy room v hot . air conditioning hotel bar area incredibly hot everyone sit outside . also hairdryer shower gel etc . v basic room . 
 Jul 27 2008 	 Great Location great hotel ... 	 stay four night , part business , part pleasure . choose Travelodge literally next door office visit . huge building , obviously originally hotel adapt . first impression fine , receptionist point factual . give room top floor , good little exterior noise . however , warn - hotel allegedly Air Conditioning disconnect . ( guest next room confirm also ) . reception fan lend . room stifle hot , window open 3 cm little air circulate - fortunately sleep ! hot time year , could uncomfortable people . the hotel wifi , virtually unusable due slowness , take reception advise call premium rate helpline - not email instead . decide avail breakfast rate online , usual Travelodge breakfast , however agree previous comment , hot food border tasteless , ' ve stay many travelodge many breakfast , reason one taste different . addition cereal date 2 week check package date ! ! hotel great location outweighs bad point , quite happy pay internet rate £ 79 would go elsewhere pay full whack ! plan advance not need usual stuff associate major hotel good choice . 
 Jul 21 2008 	 little flexible date 	 book hotel Australia Travelodge excellent deal web site ( 29pound per night weekend ) . speak friend UK little later nearly pass tell price have book boss hotel working week cost 100pounds . friend please get price still pay little attention site ' check ' road High Holborn . unfortunately , not get stay new part request twin bed tell Travelodge side road not . find staff pleasant helpful : follow morning receptionist duty contact Luton Travelodge let know late arrival query public transport access etc . hotel situate centrally beware carry much luggage Holborn Covent Garden tube station 's least 10 minute walk along crack pavement . 's true hotel could improve cosmetically minor renovation well bed adequate pillow fluffy towel . suggestion would - be guest check Travelodge 's newsletter tell bargain throughout UK Europe ( little 19 pound night ) little flexible date . 
 Jul 14 2008 	 good location - good hotel ! 	 stay Travelodge Covent Garen whilst business trip London . choose hotel location central . also belive part Travelodge chain would certain standard . wrong ! check 5 pm was'nt bad . little bit que staff efficient helpful . whilst wait stand behind lady dripping wet hair , tell come borrow hair dryer available within room . overhear receptionist tell loan 30 minute , see pass could describe little old 1980 's style dryer . Great work hwy rush return - certinly do not think anyone would benefit steal ! room 5th floor overlook apartment block . ok central London although need keep curtain drwn get change net feel private . room fairly clean , hairdryer , fridge , safe etc . colleague appear get short straw room appear lack furnature . bed quite comfy . Breakfast serve Cafe next reception . cost around £ 7 book online room . good selection food cereal - although cook breakfast taste like large catering pack lack flavour . communal area quite clean - stain etc expect huge hotel . for cost £ 125 per night would return . got much well deal online stay well quality hotel little . one night good location ok . 
