ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Aug 1 2006 	 great place stay 	 reading review make nervous . live Chicago many year , idea stay Drake recent visit exciting- famous historical hotel . opinion , review Trip Advisor harsh . stay 3 night . room 6th floor face north ( view Oak Street Beach ) . bathroom obviously recently redone- marble tile clean . thing nit - pick carpet- little warn . bed comfortable clean- white linen / duvet cover . everything clean fresh . usually stay hotel Sofitel W , Drake comparable . pay competitive rate $ 219 , hotel , imagine would pay $ 299 night . nice stay overall- complaint ! 
 Jul 16 2006 	 romantic 	 husband celebrate 17th wedding Anniversarry Drake Hotel , Chicago . first read review , come close cancel reservation rebook different hotel . since Drake well know romantic hotel , gave try anyway . 80 year old hotel , Drake preserved elegance . the hotel lovely .. husband love lobby set decorate . room nicely decorate , clean wonderful view Lake Michigan . staff - nice welcoming . Doorman Jay helpful , give we luggage claim ticket , direct we Front Desk . bell attendant Octavio right away ask need assistance carry luggage welcome us hotel . check fast smooth thank wonderful receptionist Valarie welcome we right away smile faboulous room . housekeeper friendly . Room Service staff Restaurant Staff nice friendly . everything great . concierge indeed knowledgeable helpful . express checkout great convenience we well . the room lovely , expect . bed comfortable room well clean . restaurant especially Cape Cod Restaurant favorite . Breakfast Buffet Drake Brothers reasonable @ 22 / pax food great . overall , really enjoy stay Drake Hotel . return Chicago certainly stay . 
 Jul 9 2006 	 great location wonderful stay ! 	 fiance get back last night five night Drake - first time Chicago . location , think first Drake far away heart city , be Boston be use far - reach city . base assumption distance ( half mile ? maybe ) drake touristy hotspot Navy Pier . soon learn , however , be much right around hotel - beach , upscale restaurant North Rush , less upscale bar Rush Division . drake good walk Navy Pier river area , be still great spot . hotel elegant classic . many new trendy boutique hotel city , cool stay Chicago landmark . room small side , still lovely , think abnormally small compare room ( friend standard room good sized ) . past ' ve stay nice hotel - Ritz , Fairmont , St. Francis San Francisco - Drake measure right . great stay look forward go back ! 
 Jun 25 2006 	 Highs 	 Toronto & amp ; spend week combine business / pleasure w/ wife . high point ; breakfast buffet fresh . Service F desk / concierge / bellhop / clean staff / door staff acceptably good . great location , good florist & amp ; quality bath extra . impressive banquet , foyer & amp ; Palm Court area . Bed & amp ; bedding comfy . Cape Cod Room staff & amp ; dine excellent . historical feel come , certainly . low point ; tired room carpeting & amp ; furniture , poor bath drainage , & amp ; feel Drake ask top - dollar give ( come away thinking & quot ; wow , great value ! & quot ; ) . note Palmolive Bldg process become condo . Walnut narrow street , condo great view room Drakes ' south side , point think would advisable , privacy - wise , try well get room north west side . P.S . second trip Chicago , fave US city ( wife , ) & amp ; many thank Chicago people make trip well . 
 Jun 19 2006 	 ' Two Star ' Hotel 	 Drake & quot ; used & quot ; one Chicago 's fine hotel . well , be today . hotel room dirty tired . first room check long hair bath tub carpet stain . check another room find clean , yet need touch . detail like caulk bathroom need bleach pen . tub not drain end shower four inch water . carpet need replace . not Neocon convention would change hotel . the entire place need face lift . housekeeping staff wake every morning talk loud almost shout . bad part lady discuss get tube tie friend hall .... 8 am . addition , wall paper thin could couple sex talk next door . it be shame amazing landmark go downhill . would not recommend stay Drake . benefit stay , be close everything . however , ton hotel area . 
 Jun 15 2006 	 Drake Hotel 	 stay 2 night Drake , suppose say 5 check early , move Penisula . thing nice say drake view spectacular , otherwise place overprice dump . 
 Jun 15 2006 	 Amazing ! ! ! 	 large room hotel ever ! amazing service , perfect location - worth every penny ! 
 Jun 2 2006 	 Drake Hotel impress 	 price pay , Drake Hotel impress . hotel lot history . little display ground floor next elevator Queen Elizabeth , Prince Phillip Lady Diana stay hotel . room history book , , read history place . aspect , interesting stay Drake . pay lot less get well service nice surrounding elsewhere Drake . reserve king bed upon check offer two over - sized twin bed . unhappy , offer queen bed . still unhappy , & quot ; find & quot ; king room we . room spacious . shower incredibly difficult figure . handle think turn would move . pound nearly break wall , get turn . never eat hotel overprice . $ 21 breakfast buffet ? would bother stay . many hotel area . 
 May 29 2006 	 unbelivable location location location 	 Drake hotel - what say . unbelivable . travel often / tons- pleasure - and one good . definately nice Ritz , 4 season , etc . year history . like top line hotel . bed comfy . goose duvet . nice large bath w / granite top floor . gorgeous lobby , great door people , great staff . beautiful huge flower arrangement ever see lobby . never go Chicago without stay Drake . one block beach . 1 mile less Navy Pier . also Michigan Ave good street . take walk shoe . probably walk least 40 mile 7 day . room nicely update . large closet . balconie jacuzzi tubs 's new stuff . be look good location town hotel & quot ; past & quot ; definately DRAKE place stay . be good enough Queen England Al Capone 's good enough . 
 May 18 2006 	 Happy New Year 	 Love Love Love ! ! go unique historical .. Drake .. classy ! take outside modern world .. although modern . classic timeless .. not need change . hope never ! stay New Years 3 night lovely room .. spacious elegant . bed far comfortable evef sleep . want take we . buy robe .. fine . , stay executive level . add much experience . access time .. breakfast available also pre - dinner app cockatail .. include . room internet access free , supply perfect atmosphere intimate conversation meet people . drink include cocktail , soft drink various wine , app great ... veggie dip , fruit , cheese cracker , salmon , nuts , variety , something hotel make feel & quot ; Somewhere Time & quot ; .. happy walking . restaurant awesome actually many year . many employee also many year think add much charm timelessness hotel . seafood great .. view Lake Michigan .. staff nice . afternoon tea ( pricey .. worth experience ) .. cute see little girl mom American Girl doll ... manner ! everything Michigan Ave walking distance .. convenient also jog morning .. safe nice jog around .. even winter ! highly recommend hotel appreciate by - go era .. America infancy heyday .. classic ... luxury ! would great place wedding . 
 May 15 2006 	 Wonderful 	 could feel history wonderful grand old hotel . service top - notch classy . include breakfast room . location great . Shopped Miracle Mile . walk Old Town Second City Review via brownstone . Took el - train around city etc . yes , pricey , experience time . 
 may 4 2006 	 Pleasent stay landmark hotel 	 visit Chicago dozen time since 1987 , always admire Drake 's location architecture . late visit town , finally stay Drake . really beat location . stay Executive Room Lake View ... actually , would stay room Lake View available . the hotel clean comfortable ... particularly like bed ... size Executive Room generous . previous review , hotel could definitely renovation ... remind house widow aunt use rich , live old glory . really mind that . the consierge prove helpful , problem front desk staff upon check , claim cancel reservation . case , since book online 30 day arrival ... obviously reason cancel . insist problem system want talk manager .... surprisingly matter settle second later ... wonder issue first place . 
