knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Aug 8 2007 	 Hrumpf ! 	 really look forward business trip . know would bit difficult see many site enthuse great hotel . read review , remain positive would good . heck , hotel pay $ 300 night must nice . the day fly call hotel travel agent not book smoking room . tell could not arrange first night smoking room remain night convention level would loud day . not bode well working night shift opt non - smoking room . when check room ready early . lobby outstanding Martini bar quite neat . Nyx restaraunt immaculate look though never back early enough eat there . there faint odor hallway , not room . find double bed arrangement instead request king . drop bag head work . work excited sit drink neat little martini bar .... close 12:30 . bartender Floyd wonderful despite able serve . give direction 4 am bar hang next day . upon return room unpacked laptop could not find wireless signal ( internet usage direction hide phone ) . call desk tell would purchase LAN cable wet bar $ 7 , charge $ 10 per 24 hour internat usage . stew inspect room bit . yes , tiny could understand . light dim night . tv not pull far enough good angle desk work computer . closet small small well restroom shower nice though . limited space around . comfotor wear hole they . explain problem front desk , agree comp cable . ask sure one wake room service 3:30pm . awoken 1 pm room service people contrary order . comforter change entire trip . check not charge internet usage stay . this place not terrible , worth $ 300 night . see get decent rate discount site $ 80 night might way agreeable problem , even $ 80 night ' ve well experience Holiday Inn Express .... 
 Aug 7 2007 	 great location really need update 	 could great hotel -- 's historic building great location neighborhood wonderful , decor shabby serious need updating . room small bathroom really tiny rickety ( shower door tiny pedestal sink wabble bathroom door would not shut , repair person never show fix ) . front desk staff rather inefficient often state confusion . one plus rate reasonable compare hotel area , would rather pay next time stay somewhere else ! 
 Aug 7 2007 	 KnickerDump 	 desperate need cleaning update . Dark , dingy room patch ceiling soiled comforter . rip rug , chip furniture , smell cheap room freshener make stay unpleasant . one plus , staff friendly accommodating . 
 Jul 17 2007 	 place put head 	 Hotel ok . old hotel interesting history . great let we check right away 9 am carry bag around day . upgrade large room 2 double bed . can not imagine small original room 1 queen would . spend night long day taste archetectural tour . not want pay rate breakfast $ $ ask concerige wonderful recomende great resturant name Tempo block away . 
 Jul 16 2007 	 suggestion make trip well . 	 hi ........ stay 7/13 - 7/16 ......... book hotel Priceline 4 mon ago , not select Knickerbocker , Priceline select we : ) .... say - read review take ( early 30 's child ) . suggestion room request - request new bathroom room end hallway arrive . 2 huge suggestion ask . old bathroom everybody say yicky - brand new , clean - still small , biggy . end hallway - imporant - wall thin , easily hear people walk - highly recommend request . GREAT location everybody say - right Michigan Ave come Louis Vuitton , close everything . yes , hall spell like cat urine , however room ( 522 ) - bring candle burn room make everything spell yummy : ) ........ picky picky - Ritz Carlton traveler , however know go look plan GREAT time : ) . 
 Jul 15 2007 	 Downtown gem 	 review complain small room . major city , find room quite comfortable king bed really nice furnishing . one feature like ability open window . Knikerbocker small boutique hotel right Michigan Avenue good area Chicago . staff friendly helpful . $ 116 pay Hotwire , could find well room downtown Chicago . 
 Jul 13 2007 	 Staff get a+ ; rest oy vey 	 experience hotel sum two word : risky venture . the staff fantastic part hotel piece crap . lobby old worn , mention elevator , corridor , room door , room , bathroom , bed , bedding , desk , desk chair , carpet room , towel , toilet , bathtub ... need go ? get feel staff try real hard impress guest one get feel even check - in be go lackluster experience . reception tuck away back far away corner seem renovate dozen year , least . room exceptionally dirty decor assault sense ( , include smell ! ) . make sure remove quilt bed sleep - seem not change guest - by - guest basis , uh , stain somethin ' . not know not find out . this not four - star hotel way staff 's history . be present day condition warrant complete makeover . say , lucky price right hotwire , Priceline , etc . , location , maybe be trade - off . , would rather stay elsewhere high cost improve hygiene room experience . 
 Jul 11 2007 	 Great Hotel ! 	 wonderful hotel ideal location ! Chcago three day important stay somewhere close everything want . right . moment walk , elegant , clean , lovely , welcoming . staff nice helpful could not ask well service around . good part hotel bar lobby . stop two night great drink nice chat Humberto , bartender . nice make great drink we . thing would negative say bathroom little small , not big deal . ' ve stay Knickerbocker definitely stay whenever be Chicago . 
 Jul 10 2007 	 great location Knickerbocker dump 	 stay Knickerbocker hotel Jun 28 - July 1 07 . first mistake purchase hotel stay Hotwire , never use service . not get stuck PLACE CA not get money back . second mistake actually stay . can not believe consider hotel 4 star hotel . whoever rate hotel must drink smoke something . solid 2 - star hotel . room extremely small well maintain . 's old hotel layer upon layer paint wall mold . first room queen bed , give we 2 foot side . bathroom door could touch bed . one person fit bathroom . place put toiletry 's single sink . wallpaper peel various place . move room king bed . little well little room . decor horrible . look pick item flea market . , location great . 's 1/2 block Michigan Ave . , plus . , recommend hotel HOTWIRE . 
 Jul 5 2007 	 Absolute Dump 	 Knickerbocker one hotel would like forget . room small , musty smell decoration abomination . could shop flea market find high quality furnishing . use hostel type living -- might find place agreeable . good might two star ' m gracious . 
 Jun 24 2007 	 nice comfortable hotel 	 not understand negative review . unless look super high standard 5 * , would certainly recommend hotel . whilst room quite small bathroom fairly limited , nice hotel - dump one reviewer say . staff attentive kind hotel feel quite luxurious . location great ( close water ) . 
 Jun 1 2007 	 Meh 	 plus : - bathroom recently renovate , new shower instal . clean . - staff polite attentivecon : - boy , place stank . & quot ; stank & quot ; mean , smell . hallway unique odor mildew , doggy smell even urine - like smell . - room incredibly small.- decor hideously ugly . , early seventy mirror wall bed . worth price . P.S. , wary small & quot ; gift shop & quot ; across front desk . employee short change three separate occasion - serious issue able count money . 
 May 1 2007 	 Old Towne Hotel Experience 	 hotel give old school vibe , kind like something mob movie . friendly staff , easy check . bathroom little small , though shower good size . good location right Michigan Ave night life . bed could little soft overall good experience . 
 Apr 30 2007 	 stellar service would stay 	 hotwire hotel , concerned reading review . pleasantly surprised attentive service recieve ( car bring around promptly , great lobby bar , super concierge ) . room bit date , informed major renovation underway . set great Gold Coast location , close world - class shopping dining , quieter street east Michigan . stay . 
 Apr 29 2007 	 bad people say . 	 fiancee book room Knickerbocker return . room 920 , king size bed partial view beach . hotel bad people website say . concerned reading review , arrive realize people way picky . not feel hotel & quot ; disgusting & quot ; reviewer think . highlight : room - room decent sized comfortable king size bed . decoration little weird , feel like add character hotel . bathroom small , one person time fine . shower work really nice soap shampoo include good quality . consider old hotel , feel room good condition . lobby - lobby large really nice bar attach . drink pricey though $ 8 rum coke . not go hotel restaurant , look like reasonably price . staff - front desk staff , concierge , bell hop friendly accommodate . concierge even help we find address bar look . problem . location - absolutely perfect . less one block Michigan Avenue Hancock build two block Water Tower Place . close beach . also , ton restaurant within walking distance , include Ditka 's . parking - park directly across street parking garage right next Drake . charge $ 30 per day , be well $ 40 per day hotel charge . overall , great stay Knickerbocker would stay . 
