stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Feb 25 2009 	 highly recommend hotel 	 13 year old daughter stay Argonaut 3 night mid - February . book package trip Expedia less week trip ( chose Argonaut base tripadvisor review ) necessarily expect great view prime room . thrilled room view Bay Golden Gate Bridge , cable car terminal Ghirardelli building . room one cut hotel room ever see , addition clean , quiet comfortable . second floor , bother outside noise durne night early morning . hotel staff respond quickly deliver toiletry item forget . daughter 's complaint lack wireless internet connection room , survive wire connection . find hotel wonderful respite touristy Fisherman 's Wharf area . definitely stay . 
 Feb 21 2009 	 great staff 	 Argonaut staff top notch . Donovan bell captain maintence guy fix small problem room , profesional exceptionally friendly . build pretty cool - timber shell brick facade old cannery . room nice exceptionally quiet urban hotel . hotel conveniently locate adjacent trolley line , Fisherman 's Wharf , Ghiradelli Square . ' ve stay twice surely . 
 Feb 20 2009 	 Great themed hotel 	 hotel nautical , make great boutique hotel . staff friendly helpful , really make feel welcome . room well equip quite , continuation nautical theme . breakfast great relax outside terrace , service little slow , happily relax let world go . location wise 2 minute walk beach fisherman ' wharf , even close tram stop union square . fisherman ' Wharf touristy might everybody , San Francisco really relax city visit well worth trip . 
 Feb 19 2009 	 great location excellent staff 	 love maritime theme throughout hotel . room much large expect bed comfortable shower great . staff friendly helpful . hotel complimentary wine taste evening . street level window street . sleep everything , other may able request high inner room . 
 Feb 19 2009 	 Loved argonaut - definitely stay ! 	 LOVED hotel ! location perfect near Fisherman 's Wharf . room clean cozy . planning return trip definitely choose Argonaut ! satff accomodate , helpful friendly ! 
 Feb 18 2009 	 Perfect hotel SF wharf exprience 	 hotel exceptional wharf experience . centrally locate within walk distance pier . staff helpful friendly , always someone available answer question . ambience warm cozy . wine reception add touch class . wewould definitely stay . 
 Feb 17 2009 	 Loved - 	 room pretty pricy ( charge extra $ 39 / day park , think stink ) , room great & amp ; staff polite & amp ; accomodating . we stay @ Argonaut twice . time put request upgrade bay view room available @ check . time upgrade & amp ; worth it . the area busy , stay high floor - time 4.the room cute , bit top nautical theme . 's bit pricey , guess 's get stay Wharf . the room good size tv dvd player - bonus fly portable DVD & amp ; often movie we . 
 Feb 16 2009 	 love Argonaut ! 	 fiance stay Argonaut 3 night October 2008 ~this tail end trip , start Vegas , drive Santa Barbara , eventually wind way SF . choose Argonaut base TripAdvisor review , disappointed ! stay Kimpton hotel , Argonaut far live expectation . price splurge , regret here . because recent engagement , receive complimentary bottle wine upon arrival , special touch . king room gorgeous view Golden Gate Bridge . room , include bathroom closet , spacious comfortable . Loved could open window fresh air . overall , hotel immaculate service excellent . choose package breakfast valet parking include , strongly recommend . first time SF , find hotel location perfect hub sightseeing dining . easy take public transportation ( walk ) neighborhood shop dining , wonderful come back wharf area . also easy quick take drive across bridge explore place like Sausalito Muir Woods . the single downfall ( unrelated Argonaut ) fact ' Fleet Week ' ( not realize booked reservation ) ! hate loud noise jet , luckily leave town crowd get bad . 
 Feb 14 2009 	 Best Wharf 	 native San Franciscan , obligate return occasion visit family , unfortunately , pay last respect age survivor . therefore , comfortable hotel mandatory order provide respite anxiety require family meeting . fisherman 's Wharf favorite location SF light - hearted atmosphere due tourist traffic , annoying want stay away crowd . course location also nexu one SF 's scenic spot . argonaut far good hotel Wharf area . pay extra stay room face bay , include ( foggy ) spectacular view Golden Gate Bridge Alcatraz ( choose high floor 4 story building ) . room face north look directly onto terminal point fabled cable car line , also peak Ghiradelli Square , home chocolate candy factory . as boutique hotel , enjoy amenity excellent service personal attention . everyone helpful . try blue Mermaid meal . nice - size bar . take early morning walk pier see hoard bark sea lion give SF Bay unique feel . it always pleasure return Argonaut tired need comfort pamper . 
 Feb 9 2009 	 Loved Hotel Great Staff 	 hotel staff friendly helpful . great kid , treat family nicely . room stay large comfortable four people . complimentary wine taste every evening , nice museum site . outside room near Del Monte cannery little loud Saturday night . bar nearby hear people laugh carry 1:00 2:00 . hotel 's fault , reflect negatively hotel . location great within walk distance attraction around Fisherman 's Wharf . great time . 
 Feb 4 2009 	 excited ! 	 make reservation hotel March call back three separate occasion . every time call , representative exceed expectation property . figure way save money ( use saving get well view ! ) , list great thing kid , offer special accommodation ( goldfish room .. cute ! ) big vacation plan come , one stop , definitely say excited stay ! kid ' first time SanFrancisco sure hotel compliment stay perfectly . normally not participate hotel 's activity , evening reception , specifically set nap time around event , since agent assure kid welcome attend ! reason post early know difficult find decent customer service hotel . travel agent work day . already recommend hotel number client simple fact need talk , speak someone kind , professional , efficient . I excite stay , write get back ! 
 Feb 4 2009 	 great hotel enjoy stay 	 hotel locate tourist area , convenient nonetheless . great view bay Golden Gate Bridge . staff also excellent . room well furnish comfortable . would definitely stay . 
 Feb 4 2009 	 good location sight see 	 hotel nice enough , dissapointed room honeymoon view room brickwall . agent ' Travelbag ' stiche we bit honest , hotyel unwilling compromise room ..... surprise honest . write documentation regard room allocation . reception staff look like another planet.as mention room fine ( apart view .... clean ... comfortable etc etc.the hotel situate ideally sightseeing easy get centre use tram , easy get around see alcatraz , good cycling place intrest across bridge . recommend . gripe room unwillingness move we ( tw * ts ) oh yeah ....... cocierge complete muppet well , every bit information give wrong ....... last thing .... look culture visit th otel ..... stay somewhere central 
 Jan 31 2009 	 great place 	 five night 12 4 year old . worried living top . need not worried . room big room move . location great , around corner cable car , short walk sight Fisherman 's Walk build bicycle rental . staff friendly extremely helpful evening complimentary wine nice way relax ( two time back sightseeing time take advantage ) .What say . great stay 
