disappoint 	 rude staff ; good value price ; security check go room ; small & amp ; claustrophobic room ; inconvenient bed ; loud music bar first floor could fourth floor late night . go . 
 Cool hotel great location 2 minor fault 	 really enjoy stay hotel , be perfectly place explore Central Park , Empire State , Rockerfeller , Times Square 5th Avenue , within walking distance . room cosy yet funky , although two minor fault are:1 ) light bathroom bright enough - could barely see apply make - up come back bushy eyebrow ! 2 ) towel rail hook hang towel , not dry properly use . would not wash often somewhere dry . 
 perfect hotel perfect location 	 first time stay New York hotel first plus ! nice welcome , helpfull , attend , ... room spotless , spacey ( stay Queen room ) , breakfast large variety choice hotel amenity ( pool ! ) perfect ! would definitely go back . 
 Good Hotel avoid room number number 205 ! ! ! 	 hotel great location , clean small nice room , medium size good breakfast ... first stay room 305 bar run music 2 am level difficulty talk room ... argument receptionist , could finally move another nice room fifth floor . we recommend hotel make sure room third floor … . 
 little gem times square 	 stay 5 night begin honeymoon . not expect great deal 3 * hotel heart Times Square , however , pleasantly surprised ! ! arrival , reception staff friendly helpful offer we help advice make short time New York . take elevator 10th floor , first impression hotel look bit & quot ; motel - like & quot ; neon orange lighting , deceive . room compact well design little storage area bed , plasma tv , dvd player , ipod docking station , telephone , aircon , iron , hairdryer , self - stockable mini bar , wetroom separate toilet . room well maintain clean towel daily . bed comfortable bed ever suspend high window look crazy NYC comfort duvet ! hotel offer we continental breakfast ( think room basis ) , yummy ... pastry sweet savory , fresh fruit , cereal , egg , tea , coffee , toast , juice etc . serve 06.00 - 12.00 ! pool really lovely touch soothe ache foot sightseeing ... complaint would temperature need bring degree ! sauna steam room ! pool clean , music playing , swim - up bar , twinkly light ... honestly feel part hotel many guest miss enjoyment , could not understand ? ? ! ! highly recommend hotel , location perfect ! A+ 
 Feb 18 2009 	 Unique experience ! 	 first time stay Room Mate Grace would recommend anyone want distinctly unique NYC hotel experience . travel city every couple month escape scenic countryside home ( Bucks County , PA ) , result , become exciting ( mostly ) rewarding pursuit try different hotel excursion . many pick , challenge find good room good price right location weekend activity . book stay RM Grace pop favorite travel site advertising deluxe room reasonable rate Valentine 's weekend . tuck side street block Times Square , breakfast include ( available noon ) indoor pool steam room , well DJ lounge night , think could cupid order set right mood . little unsure really right choice romantic getaway review read ( elsewhere ) send mixed signal description hotel let know place different norm . boy ! RM Grace hot little number offer right amount unconventional wisdom unusual amenity make perfect choice sexy weekend rendezvous ! purient interest , will skip particular weekend share highlight , shortcoming , consider exciting & quot ; hide gem & quot ; hotel . pro : - read review complain room size ( surprising NYC ) room ( # 1402 ) spacious well lay . particularly love bathroom configuration - large area w/ extra long vanity countertop seperate shower toilet & quot ; room & quot ; ( make prior request toilet door since read room omit feature ) . - balcony ! not know room one discover entry inspection . pull open blackout curtain , well horseshoe panarama skyscraper could view bed ! romantic . - yes , bed ! fluffy pillow ( four ) , great mattress even great linen ! - steam room ! book - welcome feature anytime , anywhere . cap evening nightcap two steam shower bed - heavenly ! - hotel location convenient comfortable walking , wander , shopping , eat sight - see heart Manhatten . P.S . dinner irish pub right next door . busy wait irish beef stew die . - staff hotel beyond efficient . one contact bright personable eager assistance . always make stay relaxing . con : - hotel facade almost unidentifiable street . suspend orange clock catch attention may continue right past hotel . - lobby / front desk also bite elusive . upon enter hotel floor plan suggest continue forward corridor unseen area , fact , quick leave inside entrance put front desk kiosk , also serve convenient , expensive , refreshment sundrie stand . - pool area situate behind lobby . fishbowl sufficient wading , stand , sip cocktail , perhaps float swimming . actually since wall glass open bar , hallway elevator 's really suitable swimsuit comfort level anyway . neat idea though imagine cool lighting , big screen tv pool , dj spin groove alcohol flow make great private party venue . - room well appoint curious detail . small table one chair ( room two ) peculiar . in - room tv mount wall behind drape odd angle bed . cd player find ( much choose mood music ) . shower stall adequite except order turn water must reach handle fixture locate directly underneath showerhead ( matter quickly try move rain - showerhead preppe water temperature be sure wet sleeve may still . fear , faint water pressure cause minor sleeve dampness ) last least , uber - comfy platform bed surround raise , two foot wide , leather cover ledge . find unusually appealing , could also become quite cumbersome extend ( drunken ) stay , possibly , dangerous wrong circumstance ( prove awkward balancing act , even stone - cold - soberly , access balcony . must climb onto leather ledge , tip - toe drape window edge bed ... well , be really strange difficult describe work definitley clumsy , obese lazy attemp navigate ) . - oh , must not forget breakfast buffet ( compelling inclusion hotel ) ! well , actually word come mind ... meh . typical . bland bread , hard - boil egg roll cheese deli meat . enough hold go real meal . now point quiki aspect life RM Grace , must admit really easy acclimate european - esqe enviroment . although find plusher , opulent accomodation city , also many mundane , plain - jane room rent not leave kind impression thrm Grace . overall , find hotel charming romantic , hip vibrant , . although will not everyone , , one , please spend Valentine 's weekend Gracefully . 
 Feb 18 2009 	 little gem hotel 	 read review site book special winter rate . context , 30 's , travel extensively , moderately critical thing like bad service restaurant hotel . front staff extremely helpful courteous . valet parking special rate ( $ 25/24hours garage 44th street ) , pretty good NY . bed really comfortable black curtain want sleep . room nice quiet . not mind shower / toilet thing -- slide mirrored door cover either shower toilet . another plus sauna / steam room . cold day walk around city really nice pop steam room relax go night . sure kind scene bar friday night , would not hesitate bring kid hotel . bar / pool really face walk lobby . location eh , close many subway line . breakfast buffet clutch . usual danish cereal . bagel cream cheese , yogurt fresh blueberry , capuccino . check keep bag storage could enjoy city little long leave . courteous front desk . great base explore New York . hotel edit unimportant thing ( grand lobby , valet parking , huge room ) maximize really want ( comfortable bed , quiet room , nice people , free wifi , discount parking , breakfast , central location . ) 
 Feb 18 2009 	 make trip NYC even well ! 	 hotel right 6th Avenue heart great shopping area . room lot space ( NYC , anyway ) clean well appoint . staff also wonderful ... easy work really helpful . definately back next trip NYC ! 
 Feb 11 2009 	 Grace Interesting ! 	 not mean bad way Grace Hotel room like high end dorm room . pretty bare bone comfortable . bed great . Deluxe King room consist bed roll table cushion sit . plus , 2 people sleep bed , one person climb person get since room walk around bed . make laughs everytime see friend climbing . bathroom design ridiculous . one , yes one door either toilet shower slide back forth . plus , want take shower place put towel across bathroom towel bar . think & quot ; designer & quot ; hotel go type minimalist cool design instead completely impractical travel friend , child . , believe , like hotel . staff INCREDIBLY friendly helpful . breakfast FANTASTIC - espresso , cappucino , egg , fresh fruit , croissant , bread , meat cheese name thing . staff nice . matter fact , entire staff Maintenance Housekeeping incredibly polite friendly always say hello , good morning etc ... lobby pool wild -- like swim fish bowl . night ( Saturday ) bar area PACKED people also people swim drinking . 20 's place . sauna gym nice . like try different hotel interste one . want something like traditional hotel room place . want try something different really go sleep 's place . great neighborhood ( go theatre ) , friendly staff awesome free breakfast . 
 Feb 11 2009 	 funky place 	 less block Times Square . staff phenomenal super friendly . room tre chic , need brief stay . like concept unstocked fridge use , lobby kiosk . pool party Saturday night trip ! young . would stay heartbeat . 
 Feb 10 2009 	 Love hotel grace ! ! ! 	 third time year dream usual . beautifully design , hotel grace seems tuck away even though heart time square . excellent service , pristine , quiet perfect place romantic weekend nyc . thoroughly enjoy bar although patron bite scenester - y . comfortable bed small spacious enough room work well really get every time quick dip pool time steam room night fun nyc . absolute rock star way start day . complimentary breakfast delicious not run food . man run breakfast kind enough toast croissant bring table , taste well way explain . I can not praise Hotel Grace highly enough . oh , happily outfit room hypo - allergenic bedding ! ! ! 
 Feb 9 2009 	 Compact cool Midtown hotel 	 read mainly positive review Grace , consider expensive option Manhattan , pleased selection . we book deluxe room , still pretty compact , room enough two suitcase plenty shopping . note , hotel web site also offer non - refundable rate 15 - 20 % cheap flexibile rate . thing like : - fantastic location ... Times Square , relatively quiet position.- bed comfortable , sumptuous linen.- walk - in monsoon shower.- Continental breakfast plump croissant , cereal , yogurt fresh berries.- funky communal areas.- first room give smell stale smoke . not remember give option booking smoke non - smoking , immediately give alternative room.- Swimming pool sauna . thing not like : - room could big , get pay for.- Window draughty , fix spare blanket.- water pressure shower weak ... shame wet room well designed.- heating room work well , noisy . thing people may like : - come Friday Saturday night , hotel bar pool open public resemble something Spring Break . not bother we , might offend other . overall good experience , would probably stay . 
 Feb 4 2009 	 great place/ great location 	 get special rate via Travelzoo decide try hotel . 's great location ; couple block away theater district , convenient we ! room clean , smell little funny , be due in - door pool . window open , get fresh air , fine . room small , bed comfortable . bathroom shower also clean Euro style - tile top bottom . the breakfast well expect ; fruit especially delicious . use sauna feel like million buck ! 
 Feb 4 2009 	 Love Atmosphere 	 would definitely give Grace 2 Thumbs . think adorable hotel . absolutely loooooooooove pool middle lobby . unique sauna / steam room nice touch . love design room hate bathroom . 6 friend go NYC & quot ; girl weekend & quot ; . friend quad room - FANTASTIC 4 people . person bed ( comfy ) tv . think hot ! ! stayed & quot ; king bunk & quot ; 2 friend . , love room hate bathroom design shower head great . king bunk great concept . king bed bottom twin bed across top . fun . continental breakfast serve - INCLUDED rate tasty consist fresh fruit , coffee , tea , pastry , ham cheese . although hotel small , make extremely good use space decor funky cool . love wallpaper . staff friendly helpful . absolutely ISSUES definitely stay . 
 Feb 1 2009 	 good bed 	 find grace hotel Travelzoo.com . as live manhattan , know location great . during stay , concern request resolve right away . the bed comfort well Westin . I always recommend colleague friend choose upcoming trip well . 
 Feb 1 2009 	 affordable luxury theatre district 	 wife go NY late January visit son daughter whio work Manhattan live Bushwick . leave Philadelphia Boltbus 10:30 ( $ 10 one way , comfortable two hour ride Philadelphia : cheap fast route ) arrive 12:30 Saturday afternoon . check not till three , take taxi 34th 8th 125 W 45th St ( 15 minute ; $ 7 tip ) hotel . intend drop luggage proceed low Manhattan , happily , room open give we key . the room small spare , memory foam bed large make luxurious sheet & amp ; comforter . Widescreen tv , ipod dock , phone , plenty closet space . separate room toilet bath . bathroom contain large walk shower , sink , safe refrigerator , stock newstand , triple duty convenience store front desk . they explain pool ( yes , indoor pool Midtown Manhattan ) open 24/7 , steamroom , sauna lounge , could get complimentary espresso , capuccino tea night long . wandered second floor check pool , though be small shallow ( 4 ft deep ) 's lovely facility . steamroom sauna close beside , one side pool window bar , get drink serve pool . lounge bar.we get cup revive ( surprisingly good ) free coffee machine lounge , go face Soho Tribeca . leave , ask desk send robe slipper room . when get back hotel tired bone sore . robe ready , change go pool . one couple , man bikini clothe companion . sauna , steam swim combination bring we back life , go back town fun . when get back dinner drink , lobby chock full people , pay $ 10 cover attend Saturday night pool party . dance music pound dj speaker , pool fill young folk great time . go bed . I mention hotel sit row irish bar , one , Perfect Pint , hight Trip Advisor rating long list tap beer . be also right Times Square , be close theatre always cab handy . be also close train . the next morning take advantage free breakfast : hardcooke egg , ham cheese ; cereal yougurt , toast , croissant bagel , fresh fruit , juice coffee : continental breakfast actually make meal of . other comment : staff uniformly pleasant , wifi access free , check simple , hotel quiet : floor 8 room , bother neither street noise guest noise , although crowd breakfast early Sunday morning , hotel far empty . good part cost per night $ 179 ( $ 209 include vast tax lein NY put hotel room ) . book Travelzoo , ubderstand ongoing promotion winter month . rack rate NY hotel $ 300 , average per rm price hotel $ 370 . enjoy may . 
