ubiquitous 	 room decent size , clean quiet . excellent location good value money . 
 Mar 18 2004 	 Nice Hotel Great Location 	 stay property Mar 3- Mar 10 . overall , impressed . problem tendency room overheat . minibar function perfectly , contrary review . bed comfortable . pillow hotel . ( always find hotel pillow hard , bring small pillow ) . front desk staff friendly helpful . room thoroughly clean stock daily . find American outlet desk great feature . need converter adaptor plug laptop digital camera . laptop size safe also plus . location minute Victoria transportation short walk Westminster Abbey , Buckingham Palace many attraction . many restaurant , pub fast food outlet vicinity . would definitely stay . 
 Mar 13 2004 	 modern - great location 	 hotel pleasant surprise . get back , Mar . 6 - 12 . get rate Hotels.com $ 150 per night . room large king bed & amp ; modern bath . location good , 8 min . walk Victoria bus station & amp ; 2 min . walk Victoria tube . many restaurant area & amp ; 2 theater . will not use phone room charge 1 1/2 pound ( $ 2.75 ) per min . even toll free call 
 Mar 11 2004 	 nice strange quirk 	 get room Park Plaza Hotels $ 135 night . room terrific , large , clean , first bed stay europe firm soft . bathroom really great , large Bath would actually like take bath . would give excellent review quirk . front desk 's computer several hour get fritz stay . half hotel devoted apartment . room next one hear door slam night long . room warm , window could not open much way cool . neighborhood pretty loud night . need put credit card use mini bar , fairly standard procedure , control front desk never could get open . buy pudde milk want keep cold one send manually open , soon close would lock . staff rather curt tell we prop open night would come back open . check tell 7 pound charge use mini bar , even though never able . really enjoy room not think would stay . 
 Mar 1 2004 	 nothing Special ... 	 guess review not really line rest other need honest ( grant many ) flaw found.1 ) Bed Pillow comfort . yes know seem bit picky , hardness pillow comfort provide terrible even though one weekend .... difficult getting sleep .... MAJOR PROBLEM ...... yes everything modern , nice tv lovely bathroom .... review forgot mention important point .. 2 ) Mini bar refuse open ( 3 attempt query Reception ) tell keep checking would activate soon .... give finish ... ok 2 flaw quite important overall experience . hate fussy picky ( overall trip good ) maybe expect much- review paint good picture hotel live ? ? would return ? doubtful .... get new bed new soft pillow yes .... 
 Feb 24 2004 	 Great Modern London Hotel 	 stay last week vacation , select base previous tripadvisor.com comment . nice hotel center London near Victoria Station Underground ( 2 block walk ) , 21st century hotel cool modern art deco . super modern room huge ( American - Style ) bathroom , high - speed internet access also . UK / EU / USA outlet . comfortable room / bed . professional staff . excellent English / Continental Breakfast . clean ( 2 - 3 yrs old ) . nice health club well . 5 minute walk Buckingham , 10 minute Westminster / Thames . would highly recommend would return future . 
 Feb 23 2004 	 Fantasic hotel great price ! 	 book hotel internet not really know expect . pleasantly surprised ! reception area really spacious modern chic . room spacious , clean modern . bathroom gorgeous glass sink heat mirror steam even hot shower ! can not think anything bad hotel - room quiet , staff friendly ideal central location Victoria Tube Station two minute walk away . definitely stay . 
 Feb 16 2004 	 nice 	 Beautifull hotel spacious room , comfortable bed . breakfast hugh choice cereal , fruit , pasterie , egg , fish , fruit salad , .. helpfull friendly staff . the good place ' ve ever stay London . 
 Feb 4 2004 	 Luxury near Victoria Station 	 excited stay property first read excellent review site take advantage ridiculously good deal travel discount site ( good fact call site make sure price quote indeed american dollar Pounds ) . event , enjoy teriffic stay . room spacious american power outlet desk great - not even need use power converter bring . bathroom super - modern European . glitch find ( small selection tv station , minibar would not unlock charge we dislodge item try open , keycard get deprogramme ) definitely outweigh great positive : amenity , location service . fly Gatwick , have hard - press find convenient hassle - free trip hotel hop Gatwick Express walk block half Victoria Station hotel . would definitely return . 
 Feb 1 2004 	 Heavenly 	 stay weekend January 2 good London ever . besides location ( near bus , tube , rail place interest ) good thing hotel it´s staff . extremely friendly helpful . thank ( Danny , Dan en Leonard especially ) good weekend life . Benjamin Smith 
 Jan 20 2004 	 Great Location ! 	 recently spend 2 night great way begin european trip . hotel clean modern neon light elevator cool touch . the room okay size , would find typical hotel . first floor view . continental breakfast serve 4 pound upgrade full breakfast food Americans accustom to . best part hotel location Victoria Tube stop conveniently locate around corner . choose hotel , always want one near Metro . 
 Jan 10 2004 	 wonderful staying 	 stay Victoria Park Plaza Hotel week fully satisfied top quality service facility . room get standard one , surprisingly large well , well - furnish , full - equip clean . ambiance Victoria Park Plaza Hotel benchmark extreme high quality comfort . addition , perfectly locate close main London attraction ( Buckingham Palace , Parliament Square , Oxford Street , Trafalgar Square , Kensington ) . 
 Jan 6 2004 	 great hotel great location 	 always skeptical hotel review web site book Victoria Park Plaza base review web site happy . check 12:30pm room ready . beautiful room strike bathroom . room minibar , iron board , iron , in - room safe . staff courteous , concierge great - one disappointing thing hotel . 
