nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 Feb 2 2009 	 Nice worth return 	 devotee Bellagio , year stay happen coincide Super Bowl translate room inn . okay , sometimes change good . drop four figure ( night ) suite Wynn much justify . arrive four season Thursday night – check flawless . suite 37th floor floor plan layout perspective quite nice super functional . however , refrigerator big tv not work . call engineering answer promptly resolve tv issue . refrigerator….that never work . as other note , lobby quite beautiful Verandah restaurant nice place eat point day . Charlie Palmers right next door . pool nice , even though drain ( maintenance ) .I submit review not see complaint anywhere else drive crazy enough consider return FS even Mandalay matter . specifically , reflective film floor ceiling window cast severe blue shaded light room make nauseous . find get room 11 a.m. morning wear , queasy would feel . problem night – day – brutal . take look picture submit guest will see BLUE . 's camera catch actual tint room – magic photography trick . ' ve never experience high rise hotel course understand purpose window film , really become uncomfortable . * forget * apply modify makeup room – color correctness perspective , be impossible . little admittedly silly room amenity miss – critical stay add feeling pamper . laundry , dry clean shoe bag plastic , canvas feel . soap , shampoo lotion heavily scented Bvlgari day three buy other gift shop . nail kit , freebie toothbrush toothpaste . glass top table not look like have clean well recent past . on positive side , staff friendly service unmatched . walk four season mandalay take two second . daughter also work spa loan shoe , sock , short – without charge . nice . echo other , lovely hotel go get away noise craziness Vegas . * * hear noise another room hallway . say , visual weirdness return Bellagio . would not consider try true & quot ; Four Seasons & quot ; resort . 
 Feb 1 2009 	 Luxury meant 	 husband stay week , right holiday . fact , Vegas snow ! sight .. first stay Four Seasons say , live name quality service visit top . yes , expensive know old saying , & quot ; ask price , can not afford & quot ; . budget . we book moderate room check , offer upgrade one bedroom suite . room beautiful spacious quiet ! never hear neighbor whole time .. Verandah nice place cocktail bite eat .. smoke loud casino noise , nice retreat go different casino . say , customer service well ever , people always make sure every need meet . I spoil can not imagine stay hotel Vegas ! 
 Jan 31 2009 	 love peace quiet 	 go Las Vegas celebrate son 's 21st birthday get away day . Vegas 30 year & amp ; really change . really enjoy four season quiet , beautiful small . casino hotel like hotel . four season actually top 5 floor Mandalay Hotel Mandalay casino . easy reach casino Four Seasons entry never go casino not want to . our room nice & amp ; service / concierge wonderful . able find good rate / package Four Seasons website book room . breakfast day hotel restaurant & amp ; great . it relax go see hotel crowd people smoker , etc & amp ; come back lovely Four Seasons . also visit Hoover Dam & amp ; take tour go inside dam working . drive Red Rock Canyon & amp ; take drive canyon . short drive & amp ; scenic . if go back Las Vegas , would definitely stay four season . 
 Jan 15 2009 	 way expensive 	 Four Season nice . however , everything expensive nickle dime till get arm legged ! staff ok . 
 Jan 10 2009 	 average hotel 	 ok hotel . worth money pay . good four Seasons hotel either . 
 Jan 1 2009 	 Best Hotel Experience Las Vegas 	 stay Wynn Bellagio decide try four Seasons .it excellent . minute arrive service outstanding . Love Vegas nice stay hotel line , smoke staff attend every need . Veranda Resturant one well keep secret . go dinner food great shocked reasonable price . spa Sunday brunch miss . truely spoil never stay else . can not wait go back ! ! ! 
 Dec 11 2008 	 top hotel ever perfect 	 someone disagree review , point hotel review regard luxurious ( pretend ) pricey be . while easily give 5 * 60 $ not motel show surprisingly nice clean courteous staff forgive minor issue , issue never forgive top class hotel . I reserve three night stay ( stay long promo - 3rd night free ) one bedroom suite . rate 650 $ per night . check - in perfect , staff absolutely amazing , massive lobby well - appoint , upgrade sunrise / sunset suite . suite absolutely perfect ( 1500 sq f. ) , entry foyer large secondary bathroom large living room . living room 3 floor ceiling window , 3 different side ( suite cover 180 ° view , far end floor / building ) .A walk - in closet , large bathroom lot amenity , bedroom . kitchenette . 2 lcd tv ( live room / bedroom ) . nothing say suite , keep mind be rate 1800 $ per night ( ! ) . , let us talk issue . check - in hotel request 1300 $ authorization credit card , final bill ( pay 1st night yet 3rd free ) . maybe US everyone normally 5 - 6 credit card , Italy ( think could say Europe ) usual , authorization remain lower availability 45 day . luckily 2 c.c . large availability , 2700 $ charge ( 1300 $ authorization , 650+taxe pay 1st night 650+taxes check - out ) quite heavy . issue wrong ( imho ) hotel policy . on final bill find 15 $ & quot ; business center charge & quot ; . said & quot ; 's parcel ' ve receive & quot ; ( great service ) . never argue 15 $ charge 1k $ bill not complain , think every charge show . e - mail hotel ask possibility receive parcel , answered & quot ; yes , problem & quot ; , never talk charge . anyway , important . no tv bathroom , jacuzzi . easily survive shaving morning without watch tv , without bubble , find tvs bathroom part major hotel strip ( medium suite mb , normal room hotel , salon suite Wynn , Fortuna suite Palazzo , one bedroom suite Palms Place , normal room trump , choose . room rate 1/2 1/10 sunrise / sunset FS ) jacuzzi , be hard think 1800 $ not suite not stuff . I use internet tv access fee 1st day ( other ) . wireless keyboard not work . inform immediately front desk , keyboard change stay . luckily , find another one bedroom 2nd day use . 2nd sink bathroom not work ( water not flow ) . informed front desk check - out , 's hard think sink become obstructed day , one informed front desk . anyway , be possible . on 2nd day use trash bin sink kitchenette ( coffee filter , sugar pack , paper ) . next day , housekeeper clean room , trash bin still full ( would say tip 10 $ every morning , ' m organize person room generally tidy go every morning , not issue ) . 1st day , coffee cup ( two kitchen ) . Housekeeper took not replace . 2nd day coffee second cup . 3rd day , not coffee cup leave ( never replace ) . be . maybe be big issue ( ' ve say ) . ask would think , pay 1800 $ not suite , find full trash bin reentering room thing note ( 1400 $ total 3 nt not bad deserve ... ) . 
 Dec 8 2008 	 Blah 	 base review Trip Advisor , decide book hotel one night prior catch return flight home . really see Four Seasons rate number one Vegas . book directly four Seasons reservation , call twice ask email confirmation still wait someone send . arrive hotel beautiful entrance & amp ; foyer upsold another room $ 150 per night . Vegas , decide see extra $ 150 get . disappointment follow arrive & quot ; suite & quot ; . old fashioned furniture , lumpy sofa bed , parking lot view , $ 5 per bottle room temperature water . know waste money call front desk let know unhappy . expect offer another room within $ 600 per night range offer we original $ 450 rate per night room , view . decide move original book deluxe room . room small adequate . two double bed , desk , TV & amp ; small bathroom . similar size amenitie Hilton Sheraton . view parking lot another angle , tiny strip view & amp ; fantastic view theHotel , wish staying time . could stay Mandalay Bay , newly renovate suite , double size $ 100 less $ 450 rate pay . late check would charge one night . another reviewer state regular Four season Hotel W W ! ! ! factor sight . anyone little bit research Trip Advisor visit hotel website directly get fantastic value money Vegas treat like royalty without nonchalant attitude Four Seasons . consider 2008 every hotel internet , personal pet peeve mine charge access . four season charge $ 15.00 per day slow , interrupted service . book bed & amp ; breakfast package $ 59 credit towards breakfast room Veranda restaurant . order breakfast room arrive promptly . food well present , hot & amp ; delicious . upon check , breakfast bill tell would expect charge appear late credit card . receptionist return credit card say thank walk away . printout give . still know much pay night . outside hotel ask cab airport & amp ; kindly take we airport courtesy car . find bellman , driver & amp ; room service staff helpful & amp ; courteous would book Four Seasons expect something warrant TripAdvisor number 1 rating could find . 
 Dec 5 2008 	 love place ... 	 arrive 1 JFK fantastic feeling know stay great place like hotel ! minor issue person next door ( room 39218 ) smoking 2 smoke came connect door wake . , great place really spoil we Vegas since not think ever stay place ! 
 Dec 2 2008 	 fantastic Stay ! 	 recently stay first stop round world trip . receive amazing customer service stay great strip - view room . hotel quiet relaxing , great get back visit loud bright vegas strip ! Breakfast delicious . helicopter trip grand canyon sunset , simply outstanding ! hotel highly recommend would definately stay . 
 Nov 29 2008 	 four season LV good Hotel Las Vegas 	 second time year stay Four season Las Vegas always love it . I greet immediatly upon arrival introduce Bell person front desk Lady repeat Customer . I event attend Front desk able immediately get room opinion excellant service . one night horrible odor room come room next 1 phone call someone came spray assured smell disappear would move another room . thank Alex Front desk . I 2 lovely breakfast Verandah , wait pamper Heidi- ask great . the weekend breakfast buffet wonderfull well worth $ 35.00 per person . 
