RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Nov 24 2006 	 Royal Scot Super Value Good Location 	 recently stay king Cross Royal Scot Travelodge , european tour coach cosmos ( also excellent value quality ) . staff Royal Scot never busy answer question respond request , room clean , quiet , plenty hot water ( 3 major criterion success ) , rate unheard , Travelodge special last spring snag 2 reservation equivalent $ 50 / night . . . second stay 2 we , still $ 50 / night . about 5 minute walk king Cross St. Pancras tube station , easy access anywhere else city country . little post office , able mail present home . little walk Euston Station . the area may look good review rate safe , find , even night . near hotel restaurant , license store , little shop fresh fruit juice , friendly internet cafe $ 2 / hour . king cross Euston Stations Marks & amp ; Spencer food store , several night great fresh salad dinner , window ledge room cool juice yogurt breakfast . able hang hand laundry retractable clothe line bathtub , mention handy electric kettle complimentary tea coffee ? frugal stay leave plenty gift dining friend arrive try restaurant . veritable home away home , feel safe treat like queen , could one ask ! 
 Nov 19 2006 	 much well 	 stay . terrible experience . time force stay here . much much well . room clean . hot water fascilitie excellent work order ( unlike last time ) overall improvement make much well budget option ( unless give one nice room ! ! ) 
 Nov 14 2006 	 job definately frill though ! 	 stay past weekend friend . Payed £ 70 2 night . problem check . room fifth floor fine . kettle , tea bag coffee provide . shower gel , shampoo hairdryer room ( although expect much arrive ) . bed fine comfortable , 3 flat pillow provide . info sheet room say could ask another one reception 2 night do not bother . constant humming room be not heater ( make even noise turn ) . could not figure thankfully wreck night problem get sleep . room along front hotel do not experience problem noise traffic either . area seem fine enough . trouble . tube station king cross reasonable 5 - 10 minute walk road . reception staff seem friendly enough , bit detach extremely busy sunday morning . lift also really busy morning . take we nearly 10 minute get one reception . overall , fine hotel be budget . do not expect Hilton though ! would call little step hostel . 
 Nov 4 2006 	 Great Value 26 pound per night 	 stay three night great value London . comfortable bed clean sheet towel everyday . London sight seeing day not need anything . read previous review booking decide take achance glad . want 5 star accomadation pay . will not get clean comforable friendly helpful staff say . Valerie Australia 
 Oct 22 2006 	 good quality price 	 stay one night pay £ 26 single room . decent size room , decent size bathroom , clean . frill , although tea nescafe offer room . also tv set desk / chair . no bug , room 4th floor , security fine position ok , near main train station king 's cross / st pancra . there bathtub , sink , toilet . overall , definately big room one find old victorian building , common London . lobby roomy , bar , far notice , people reception not want bother much . it be type hotel , 26 special offer semi - central london good price without fake smile upper hotel . I need room business trip , would suggest also tourist upgrading hostel . 
 Oct 19 2006 	 Recommend 	 get good price triple room , spacious . be clean , extremely close King 's Cross station , close enough ( 5 minute walk . lot luggage , 15/20 ) . good size bathroom . friendly staff . complaint . 
 Oct 7 2006 	 ok get good price 	 room fine ( read early review think must refurbish ) & amp ; overlook flat roof back build actually fairly quiet . reception - bar also ok ( & amp ; would normally find Travelodge ) however , area really grotty . walk king Cross 10 night & amp ; really glad arrive door . I manage book room £ 26 , & amp ; think 's be worth . 
 Oct 6 2006 	 Lucky Break ? ! 	 read review surprised somewhat , good experience . I say Travelodge fan . find many hotel claustrophobic tatty . this ( ) good hotel present good value money cntre London . unlike other room clean , although issue vent room not spoil stay . I eat hotel evening - quite passable horrendously price . also opt & quot ; eat & quot ; breakfast buffet provide enough opportunity fill day . every reviewer experience - mine ok - understand other due experience Travelodges elsewhere UK ! 
 Oct 6 2006 	 one word - cockroach ! 	 London hotel price generally extortionate , great Travelodge room £ 70 per night . however , need attention . fair play room attendant , clean . wallpaper peeling , carpet wear , window mouldy air - conditioning not work always boil hot , even October . forgive thing , even less helpful attitude staff . can not forgive cockroach scuttle across foyer , matter foot cafe . DISGUSTING . good deal money ? probably . ' ve stay Travelodges London - favour pick one other . 
 Oct 3 2006 	 group dimension 	 arrive hotel bus strange effect . sudden long person let alone individual . group . Travellodge create new dimension word . basically dimension exist , least visual way . travellodge group dimension advantage . seem perfectly ok put 150 person room suit 85 . stand line bread , cup , yoghurt perfectly acceptable Travellodge dimension . although room ok noisy , device could air - conditioning add decibels street noise , overall impression 3 night stay one perfect neglect . ever return group dimension , en start person , sure avoid hotel . trip London , thank hotel , however absolutely magnificent . 
 Sep 24 2006 	 bad Hotel Ever 	 hotel bad could stay leave 30 minute ! girlfriend give room 6th floor absolutely disgusting ! bathroom smelly , carpet filthy , bed cover , carpet , wallpaper curtain tear . we move refurbish room 1st floor however room stifle window open . airconditione make loud buzzing noise would impossible sleep . stay away - even £ 26 per night , worth ! 
 Sep 17 2006 	 good room price 	 stay 1 night book website , 2 twin room £ 26 . non - smoking room , clean tidy , looked newly decorate . room 301 303 . near lift noise tired straight sleep . hotel 10 min walk king Cross Thameslink , come station turn right carry road . look review , ' m sure stay hotel , maybe review smoking room , always find poor standand non - smoking . small bathroom , need , really hot water fierce shower ! ! 
 Sep 3 2006 	 bad room good room bed bug ... 	 work language school use hotel student hence student ' chaperone stay . ' ve see many room hotel - student 's . room good - use 4 * hotel least 30 year ago sign - bad - 4 * least 30 year ago room - especially 5th floor severely need gutting remove mould patch , flaky paint , ceiling crack dirt ... bed comfy , would think would suited hammock rather bed definition . room last night anyone possibly make stay hotel infest bed bug . staff make error room single room finally find long & quot ; look around & quot ; it . I wake next day face ear body toe cover bed bug bite ( confirm pharmacist , doctor apologetic travelodge staff ) . Travelodge staff tell have give room mean use due infestion terrible mistake . tell minimise disturbance - i.e . cut cost - employ pest control every 3 month . they refund 60 GBP 7 GBP antihistamine ' m still wait call 6 week later manager apologise mistake , give duty manager contact detail promise call , tell be common UK hear lot case since come England work Travelodge . do reading bed bug , actually migrate surround room feed month , would suggest maybe frequent number case simply bed bug migrate room since room treat every 3 month . for apart unsightly , itch unbearable evening turned blister - though bite already pretty horrendous bite red area around 3 cm square swollen , hard white centre . go doctor give strong antihistamine steroid cream turn blister . they finally calm around 7 day itchy sleep deprive work ( psychotic effect literally eat alive severe ) . 6 week later red patch bug bit still people ask ecsema - 's itching - avoid massive urge itch , even bite could reach itch itch look same . to summarise , would avoid hotel cost , staff helpful cooperative - mess booking try accuse company book enough room . lose 30 pack lunch 6 7 am , turn afternoon - reception staff morning shift speak english . many room shoddy , service restaurant abysmal ( 2 hour quiet lunchtime party 15 ) ... get good room good rate be lucky proper bargain , get terrible room end scarred bite , get poor room get hammock mould patch ... 
