LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Nov 25 2008 	 trendy security problem 	 reading review , look forward stay Pod Hotel . , other note , trendy modern . lobby big mural wall flat screen behind front desk . room . we book room two bunk bed . room well appoint individual tv 's sink & amp ; mirror ( call 1/4 bath ) exaggerate say ' ve see closet big room . probably 8x12 foot . share bathroom ( 4 floor ) clean nicely do granite floor wall . even light room advise bathroom occupy ( much like airline ) .So , be go bad . come & quot ; home & quot ; one evening find door latch . door spring not enough spring pull closed , housekeeper neglect close . call front desk , ask manager tell none duty . ok . tell whoever & quot ; charge & quot ; security breach . assure would tell manager next day . well , come home adventure next day , yep , door ajar . immediately storm front desk exchange word person charge . tell indeed make note complaint , pass along management . ask could different room , refuse . little irk . the next day manager call apologized . say would send hotel engineer look lock , . never offer kind compensation upgrade could disastrous situation anything steal . would easy since elevator right lobby free access floor security mechanical measure stop someone . the hotel offer room safe , valuable asset , laptop , would fit it . I 10 year career hotel management , know mistake happen . door leave open 2 day row negligent ! manager duty tells not really care guest . 
 Nov 25 2008 	 Cool expensive 	 staid Pod three night November . first impression Pod cool . modern , stylish interior , situate 51st & amp ; 3rd Ave , & quot ; wham & quot ; city center , good enough . Pod boast tiny room , come surprise . especially bathroom ( private bathroom , share ) microscopic , long know expect , kind add cool - factor . important room well keep , housekeep excellent , 's good place sleep doiscovere NY . free in - room wifi - service handy like , although bandwidth great . bad hotel experience : upon checkout , Pod add 70 $ + tax pr . night price agree upon book ( 279 instead 209 ) . take phone call manager argue get price right . even , standard room price somewhat inflated compare room size - even New York . good hotel experience : Le Bateau Ivre , french bistro next door . excellent service , food music early morning till 04 . well worth visit . 
 Nov 24 2008 	 ok hotel - big people check bill ... 	 location : great shopping , good place start stay New York city . the hotel : modern looking , cafe look nice ( closed winter season ) . service ok , great . the room : stay double bathroom . , small room , totaly ok one person . would reccomend two people , though . travel couple , try room two double bed . the bed fine , duvet , american style filt sheet . they seem challenge heating , room eighter cold , warm . the batroom : small , clean , hot water shower . the price : hotel quite expensive get . also try charge we 100 dollar price give phone , quick talk manager , adjust bill . conclution : would probably stay . modern cool look , change fact room small , service good enough . 
 Nov 23 2008 	 terrific stay Pod 	 stay Pod Hotel 5 night November . terrific . room small - everything need . staff great - concierge desk extremely helpful . get right subway , laundry , check ticket Metropolitan Opera , etc . location perfect well -- easy walk 5th Avenue Times Square . hotel close several good restaurant , plus terrific place breakfast street market open late night snack street well . highly recommend place . 
 Nov 23 2008 	 stay single left company : bedbug ! 	 stay Pod hotel weekend workshop city come home bedbug ! entire house exterminate - awful . 
 Nov 10 2008 	 great base explore NYC 	 husband stay 7 night Sept. know expect small room , pleasantly surprised reasonable size double room private bathroom . fair enough , load room imagine . room clean every day great . shower fantastic . could not ask well base explore city . close subway , suit we ground . staff great . would certainly stay lucky enough return NYC ! 
 Nov 7 2008 	 Smile face Small Space 	 husband stay bunkbe room ( hey , cheap rate room sleep two people , $ 169cad ) two night . yes , room small square footage , sleep anyways way set functional . room bunkbed quite comfortable large enough two average sized adult sleep comfortably . front desk staff friendly attentive . call extra pillow within 5 minute . room also sink , clothe hang rack small desk . room # 723 not face street ; quiet door open hallway not hear anything . room quite warm keep window open day use A / c night . ( New York climate control building general seem run warm side . ) four share bathroom directly across room ( be four per floor ) never wait use . staff clean bathroom least twice day spotless , room . bathroom 1 2 bit small 3 4 , FYI . check & amp ; be neat artwork # 3 hallway . the hotel rooftop patio chair sit peaceful place go sit night . hotel decor hip modern pipe music throughout , even share bathroom ! hotel seem popular traveller Europe , great friendly bunch . they concierge service seem friendly willing help find way around city . not use seem line people morning . they also storage room luggage be leave / arrive early late . my small , minor irk wait long time elevator seem , especially high traffic time morning . suppose can not help 's 2 elevator 14 floor hotel . all , definitely enjoy stay can not beat location . 's short jaunt subway plethora place eat nearby . particularly enjoy sushi place door ( & quot ; Tanaka & quot ; ) bagel / breakfast shop around corner ( & quot ; Ess - A - Bagel & quot ; & quot ; Pax & quot ; ) . not realize day leave whole bunch stuff east hotel 2nd . feel completely safe neighbourhood , even night . be take subway JFK hotel , give one hour get . would highly recommend hotel anyone try save buck New York City experience . 
 Nov 4 2008 	 brilliant place stay 	 October 2008my sister first ever trip New yorkWe arrive tired , weary excited , though early we check ! staff Pod great allow we leave luggage could go explore city ! arrive back hotel still early allocate check time , allow we check early could get wash rest ready another tour city ! staff REALLY friendly helpful , tell we go get there . the hotel locate fantastic position New York within walk distance good tourist spot : empire state building , central park , Time square lot walker prefer use public transport right doorstep ! find hotel clean fresh looking , maid come everyday except sunday room clean , bed make etc . the hotel busy yet quiet , would say anyone think use Pod hotel well worth pay . easily pleased , impressed hotel . Rachel JuliaEngland 
 Nov 3 2008 	 recommend friend 	 great place carve unique place market . mind bad hotel cheapest cheap try upmarket pretension . not . yes room small , clean , modern comfortable . yes , not bathroom , one provide excellent shower fantastic . location great , price good . location good , within walk distance Central Park near station service e train 6 line . next time NYC come back . 
 Nov 2 2008 	 Read trust review 	 make sure read take board review hotel . lf want luxury type hotel , fluffy bathrobe , sewing kit fancy toiletry - go somewhere else . want nice spacious room , be probably well go somewhere else well . make mistake , thoroughly enjoy Pod hotel - know exactly would book ( thank Tripadvisor community ) know exactly want hotel . want somewhere sleep clean , conveniently locate good price - NYC attraction , hotel room . the room small ; basic functional ikea sort way . toilet take average economy class airliner . bunk pod tiny boy love ipod dock TV 's . small room quickly turn bombsite maid brilliant keep clear . queen double much comfy could still watch tv sit wc ! everything really clean new / recently refurbish . bedlinen/ towel clean , new crisp . the concierge service excellent helpful . post - checkout luggage deposit easy Raphael able sort pristine car Newark we reasonably . downside , other mention , silly litle lift . worried little get share bathroom , - without need - always spotless find ' light ' system work really well . subway @ 53E & amp ; Lexington couple minute away Times Square brisk 20 - minute walk . lot good eatery around little park road next synagogue gem . send ' Morning Star Cafe ' breakfast - go , good . subject delis , near Central Park /5th Ave shopping make point lunch viand coffee shop @ 61st & amp ; Madison - great food crazy deli atmosphere - true NYC experience ! hotel recently call ' the Pickwick arm ' taxi , Carmel cab include , still recognise name . as long Pod look , 's absoute gem , have absloutely hesitation return 
