beautiful 	 Hyatt amazing unobstructed view river 's beautiful night . location superb , situate two minute start Magnificent Mile shopping endure . however , be pretty much end . room average , poorly decorate , 4 - star quality . iPod functionality clock break , pen provide in - room , colleague stay floor constantly complain noise distraction prevent get good night 's rest . source noise include : - elevator door open / closing- Elevator gears- Street noise- water run pipesunfortunately , noise momentary persist entire night due placement room throughout week stay Hyatt . be almost like build design consideration sound - proofing ! also internet include price pay almost highway robbery ... not archaic still charge in - room internet nowadays ? say , hotel still decent stay . service acceptable friendly . location convenient , view amazing . would still recommend friend . find good deal place 's worth ; otherwise , would suggest look hotel area around Michigan Avenue . 
 nice business hotel well locate . 	 good positive surprise . hotel maybe 2 drawback : 1 - bad isolation hall , like every hotel USA , 2 - it might get crowded conference time , baby BIG ... otherwise amenity good , nice gym spa , shop basement staff impeccable usual Hyatt . good experience . 
 expect MUCH Hyatt 	 get room great rate , still expect standard four - to - five star Hyatt experience . yes , enjoy great location , facility twenty - five year old , facelift give , be still pretty shabby . here lowlight : Got room notice black stuff caulk around tub . ( see photo ) . mention front desk staffer , apologize profusely . say housekeeping manager would get right dinner . we get back dinner ... still black stuff tub . , next morning , bring attention new front desk staffer duty , , , apologize profusely . ( use almost identical wording first woman . script follow ... ) ask housekeeping team address breakfast , could clean tub rest stay . shockingly , change tub breakfast . go back counter , speak staffer early morning . ask would like move new room , , inconvenient , sound like good idea . credit , offer give we sort freebie trouble . since not need free internet food voucher , apparently nothing else could offer . ask could comp $ 48 parking bill ( yes , 's daily rate ! ) sorry , dice . , go look new room . unfortunately gunk tub ! ( see photo . ) 's foolishness ? make matter worse , return breakfast , find sheet actually multiple rip tear ! impossible miss , tell housekeeping staff either not care not give guidance , know , rip sheet not really enhance Hyatt brand . so , pull rip sheet bed go back front desk . tell desk agent would stay original room since new one not much well . ( think sarcasm lose . ) , profuse apology , housekeeping manager call , put good people , yadda yadda . we two night . interesting see play .... 
 Feb 17 2008 	 good hotel excellent location 	 Hyatt Regency Park extremely corporate hotel - 's massive , not much character . however , room spacious clean , facility good , staff helpful . I stay Christmas shopping trip Chicago , 's location could not well - 's right top Magnificent Mile , handy shopping bag get bit heavy ! would prefer stay characterful hotel , rate cheap ( book expedia ) nothing price range character . hotel perfectly adequate want . on booking request room lake view , give extra charge , think , large hotel , good going . would also request room high tower , view well . I would recommend anyone travel Chicago , warn hotel not personality ! luckily city Chicago make . 
 Feb 8 2008 	 Kinda great -- Ingore naysayer 	 priceline couple company room $ 77 ... clearly dead winter season , may work . honest , worried , give negative review board . surprised find room comfy , renovate , relatively perfect ; apparently renovation do . room service food ( whitefish ) excellent , lobby grand . ok , not four season , not expect one , overall , pretty damn nice , hell bargain . 
 Feb 4 2008 	 Nice Room 	 stay last February work - relate conference . people front desk suggest use electronic check - in kiosk , unfortunately recognize name anyone company end check - in desk anyway . room clean , like modern decor . unfortunately , weather terrible time ( sleet / snow ) , could not take advantage nice location . spend lot time watch tv hotel room , ' m glad comfortable ! 
 Feb 1 2008 	 Great Place 	 stay work , central tourist activity well . great place , great location . 
 Jan 29 2008 	 great rate perfect location 	 excellent winter rate Hyatt website January weekend Chicago $ 109 night per room ( plus taxis ) ... travelzoo show Chicago hotel run comparable rate January well . need multiple room family trip -- book four room ( two two double bed , two king ) via Hyatt website . stay hotel work , location central -- river far Michigan Avenue / Art Institute . visit friend live River North friend South Loop , Hyatt Regency truly central location . absolutely freezing weekend Chicago , walk site happen ! -- thankfully cab readily available hotel , ride inexpensive . also ride friend live Chicago , quickly realize driveway entrance hotel complete traffic jam -- well pick side street ! ! room clean , comfortable bed , spacious bathroom marble floor . suited need perfectly . one note , book four room , last mintue need three ... cancellation policy steadfast -- 72 hour notice require . not problem since know advance seem reasonable give low rate - reason mention warn really cancellation policy ! 
 Jan 27 2008 	 stay elsewhere renovate 	 stay 5 night King & quot ; Junior Suite & quot ; . many well place stay chicago.1 . 3rd time ' ve stay ( work make we stay ) time hot water . be even run water 20 minute see ever come . since cold water camping , hotel , call front desk 10 minute 3 call later , someone engineering tell trick - run shower hot water sink hot water comes.2 . despite large room , like reviewer , wall paper thin . hear everything . ' m sure neighbor enjoy 6 - year old son dance singing 7 not like hear drunk antic 4 - get picture.3 . dirty ! ! room mini fridge spill nasty sticky stuff bottom check . lightbulb burn room . scuff tear rip furniture . couch stain want sit . ceiling bathroom look describe & quot ; corroding & quot ; . day 2 glass clearly dirty ( lipstick mark - mine ) .4 . huge hotel . 4,000 - person conference time would wait 15 minute get elevator . also , get cab sometimes take 20 minute everyone want leave dinner time . on good side : bed ultra - comfortable , bed clean luxurious , staff concierge lounge helpful . 
 Jan 20 2008 	 Great Energy Great Location make nice stay . 	 good friend get bargain package deal include airfare 2 night hotel mid - January 2008 . see lot negative review property recently , validity , feel overblown . there quite thing really like property : hotel huge , may drawback , find give property great energy people constantly around lobby bar area . location excellent , right Mag Mile . window 23rd floor could see river Wrigley Building . several restaurant property Pedway use link several local business . room tad small , immaculately clean . big screen plasma tv well . wireless internet fast ( tad pricey ) . bed comfortable , nothing go wild about . there also thing not like , course . front desk staff not unfriendly , definitely business . walk check , first thing say & quot ; last name ? & quot ; find staff way trip . business , friendliness . perhaps property size way , still think little & quot ; Welcome Hyatt . & quot ; & quot ; last Name ? & quot ; would appropriate . cost minibar , always expensive , outrageous . coke $ 5.overall , enjoy time property , weekend getaway Chicago general . ( first time city ! ) would happy stay Hyatt . 
 Jan 6 2008 	 never 	 many wonderful hotel Mag Mile area - Fairmont ( even ) Marriott ! 's reason stay Hyatt unless . boyfriend conference find lack many area , chief among rude front desk people . clean lady repair staff ( contact replace light bathroom ) wonderful ! people work front desk incredibly rude , especially call tell light bathroom . make feel like inconvenience . also LOUDEST hotel ' ve ever . 27th floor West tower guess use suite turn single room . wall thin hear every conversation go room beside well hallway . also hear everything happen bathroom around . not feel private ! honestly , think hotel big . staff clearly can not handle volume people come show . , would not recommend hotel . , however , clean conveniently locate . 
 Jan 2 2008 	 bad New Year 's Eve stay ! 	 business - person frequent traveler say stay New Years Eve Chicago Hyatt bad experience ever hotel – world wide . from over - price room " view " ( dirty window look river ? ) smoke - smell mess dinner reservations….the list go . gladly pay full " access , up - grade room " cost , trust Hyatt great New Years wife sadly disappointed point check 7 am New Years Day drive back home . 
 Jan 2 2008 	 poor service 	 nice feature hotel would never stay . travel often & amp ; honestly say last night one bad hotel experience ever . pro : excellent location , modern , clean , nice view room . con : crowded elevator area , noisy room ( toilet , neighbor , outside traffic ) , response need help . we stay New Year 's . understand noisy midnight experience UNREAL . book w/ two group three room evaluate . party every floor 6:30am . People yell hall night , teen smoke outside room ( non - smoking hotel ) . like frat house hotel . take five call finally get front desk attendent . supposedly send security floor would not know . Yelling & amp ; banging & amp ; flush persist 6:30am . group 6 people , collective 8 hour sleep . in morning , call front desk cab airport . snotty girl say cab always outside & amp ; could also take shuttle . go downstairs guess ? cab . much work night . look shuttle . cost twice much tas cab BS night , glad get hell away place . if value good night 's rest & amp ; customer service , strongly recommend find another hotel . 
 Jan 1 2008 	 consistantly acceptable 	 stay whenever hotel run special price . Chicago often child attend college . seem like always different hotel , couple place reliable fallback . Hyatt fall category we . I not Chicago New Year 's celebration glad motivation place pack , entire city ! check quickly , gold member . check first room meet standard . think afterthought part see would complain . . move swiftly well room view . huge hotel get enjoy location central everything downtown Chicago . staff security top priority , New Year 's Eve . 3am several people continue party hall outside room . quickly disperse additional problem . say lot give security issue might . 9AM could tell massive party . clean , staff bright eye ready new day . nicely do Hyatt , especially security get we room two double chair ! 
 Jan 1 2008 	 New Years Hyatt Regency 	 boyfriend two friend decide stay Hyatt Regency New Years Eve , 2007/2008 . going go hotel party locate within hotel . plan far well . however , choose hotel good location average reputation . room- wonderful . bed comfy , sofa comfy chair . also huge plasma tv ! bathroom nice well , wonderful shower . however , need bit light , plus , hair dryer not work . service - from moment walk hotel ( first one group ) greet treat well . front desk agent helpful friendly . also , later , decide open bottle wine , room service happy quickly send bottle opener . food - we eat 151 Bistro breakfast . buffet outstanding hotel buffet , omelette station everything . however , wee bit pricy $ 22 . still , though , well go snow . the bad thing say people stay hotel go hotel party . arrive back hotel , rude drunk . get elevator , girl press every button stop every floor , good 24th floor . overall , though , nothing hotel . stay need . 
