great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 Jan 25 2008 	 Waste Money . spend bit Relish Sister Hotel 	 fiance stay Christmas holiday Dec 22 - 28 review place we thrilled excited , thing leave China polluted taste mouth assurance ever go back Beijing , PPW 's sister hotel , Regent , see business -3star establishment ever . book reservation online goldpointsplus program guarantee good rate bar none . check , desk clerk offer we upgrade junior suite , ( take ) , later find , charge breakfast upgrade twice . several complaint manager offer we 10 $ discount total bill , refuse . end offer free night ' stay , day still wait refund ' ve promise . ' ve tell could take long two month transaction process , suppose will wait see . check girl nice enough notice Christmas Eve birthday offer we free birthday cake really thoughtful . upgrade access club lounge , checking take two hour suite ready available we . ( tell clean issue , lightbulb issue , etc . ) lounge access constant issue often deny use internet become angry enough half way stay never become issue . lounge access make we feel like thief privlege guest . room wonderful zero complaint ( heating issue , day two , thermostat fairly easy figure ) . bedroom spacious ton storage even plasma screen tv enjoyable . bed dream sleep bathroom clean , spacious , invite . wish could say service staff . breakfast PPW one thing dread every single day . Breakfast run 6 am -10am ( seem end early 4star standard ) thing rarely ( ever ) tend . hot dish greasy clearly re - used day , station cramp poorly maintain . come late food terrible . come 6 am food equally terrible . chef work egg station show obvious continual contempt ask egg white omelet , cheese leave dry plate , cold cut look old unappetizing . be go buffet small space , small fabulous , not fill terrible food poorly prepare easily forget . morning birthday come late breakfast tell could not eat food still buffet service . ask could cold dish not allow , even though numerous table still eat help clearly open buffet . force order menu egg benedict bad thing ever try eat life . egg hard boil sit spam soggy toast , broil . fiance absolute foodie absolute travesty . waitress clearly see upset refuse anything . politely voice complaint manager , first thing try quiet us fact birthday cake due arrive room . also tell we would refund breakfast , never hear back refund never come . room service food mediocre good , infamous birthday cake leave bedroom four day , despite numerous request remove . try subtle one point destroy cake cutlery smear plate make look like have eat thing ( ) . clean staff actually replace cutlery plate would not remove cake ! take three separate phone call housekeeping , room service , finally front desk , get offend dish remove . Christmas Eve spend PPW 's sister hotel Regent . let say right ... pay money stay luxury ! hotel much well condition ( PPW 's lobby date , dark , dank , like house restaurant ) . Regent staff smile face look truly enjoy job . helpful , atmosphere one hundred time well anything PPW offer , Christmas Eve seafood buffet dream worth wake ! even two prize night lucky enough come back free Christmas Day lunch buffet high tea lounge area . could go , judge suppose . thrilled review post fiance experience disappointment disappointment . bottom line ? room 's PPW par everything else ( staff , surrounding , service , food ) WAY 4star rating . , pay extra 10 20 dollar upgrade real hotel . 
 Jan 20 2008 	 recommend Hotel - Detailed Review 	 summary : excellent choice , great location , hotel / room / facility & amp ; staff excellent . friend recommend . General InfoA group 10 we stay hotel 2007/2008 new year period . we share superior room one deluxe suite include buffet breakfast 2 2 day , free happy hour drinks+finger food 2 2 day . warn although 4 us deluxe suite , permit 4 go . must use 2 coupon 1 day , 2 next day . reason behind beyond personally . LocationWangfujing consider one , high class / expensive area Beijing . stay hotel , location , expect clean environment spacious path . despite population something like 15million would barely believe walk around area . much space overcrowding issue . close walk ( 10 - 15min ) shopping area food market be dare try thing like scorpion , starfish centipede . also feel extremely safe area . locate directly front hotel starbuck , ferrari , Lamborghini Roll 's Royce outlet indication type location stay . walk shop also pass Novotel hotel think Regeant . many restaurant also along road walk . price pay think hotel bargain . term get tourist attraction hotel issue , quite central everything . Taxi 's cheap complaint taxi fare everything quite close . room / FacilitiesNo complaint , room look modern , clean bed comfortable . happy room . hotel stay china , also get free bottle water everyday . deluxe suite nice mention include large LCD tv living room , sofa bed nice study table . bathroom share big . toilet also could say cubicle quite far not worry brushing tooth hold breath someone dump . staffvery friendly , must admit due complication fact 10 us staff pressure act professional keep cool . speak english quite well . 
 Jan 15 2008 	 Fantastic Hotel 	 wife stay 2 week Christmas not one single complaint . hotel central - 10 min walk wangfuje top subway station really handy . room fantastic , king size bed , fantastic view free broadband well . staff hotel clone send every hotel - never request problem , genuinely happy always greet we . breakfast amazing Christmas buffet . also take advantage happy hour offer real value money . definitely stay hotel Beijing . 
 Jan 13 2008 	 well ! ! ! ! ! ! ! ! ! ! ! ! 	 book hotel online reading review site certainly disappoint . stay hotel 8 night Dec / Jan 2008 . upon check give opportunity add daily breakfast two , room upgrade happy hour one bar daily extra 280rmb ( approx $ 45 per day ) , decide take . room magnificent suite seperate lounge desk tv , seperate bedroom large bathroom . beautiful . we problem airconditione / heating second day trip speak reception move we another room immediately . staff hotel always extremely helpful , nothing much problem staff speak good english . the concierge desk also well come across travel china , always willing help direction , taxi ( write plate number case problem ) , restaurant recommendation etc etc express helpful travel independantly country little english spoken . gym hotel fairly small couple treadmill equiptment , although rarely anyone else use facility . breakfast buffet amazing , morning busy huge range western chinese cuisine . bar 15th floor part upgrade package provide free drink 5.30pm til 7 pm offer range wine . beer , soft drink even spirit ( johnny walker black , gin , campari , barcardi etc etc ) hot cold nibble . the hotel also offer free internet business centre , great . location hotel great , short walk shopping mall , forbid city etc taxis always many restaurant even starbuck within 50 m not feel like go far . can not rave enough hotel , really make trip Beijing magificent ! 
 Jan 12 2008 	 greatly exceed Expectations 	 delight stay Park Plaza feel greatly contribute quality stay Beijing . room really lovely - decor amenity feel like 5 star hotel . the staff , especially concierge , helpful . give we excellent advice offer obtain train ticket station ( save we hassle ) charge service -- cab fare . also delight door service - help we cab give direction driver Chinese quite elementary . also make wonderful suggestion . well note cheery greeting staff morning return pass lobby . although hotel give similar service , none compare & quot ; desire please & quot ; attitude staff . felt reflect excellent hiring skill also train staff . 
 Jan 5 2008 	 Christmas Magic Park Plaza 	 stay Park Plaza hotel great experience . hotel abouta 20 min walk Tianammen Forbidden City . 10 min walk Snack Street main shopping area . concierge helpful booking city restaurant also ensure taxi driver know exactly go set . hotel providedhelpful translation main tourist destination get lose could idiotically point card magic way want go . we lovely view hutong . housekeeping fantastic , place spotless nice touch ..... Christmas Eve little parcel cookie chocolate leave room . staff friendly . first hotel westaye China unfortunately other , bar measure other . book direct hotelseem get good rate definately great value money . would absolutely stay . sad leave thehotel Beijing , fantastic city . 
 Dec 31 2007 	 well imagine . 	 read positive review hotel high expectation . hotel staff even well . rent two room week . 20 something daughter comfortable hotel choose stay extra two day travel two day . hotel nicely decorate comfortable invite lobby bar space hallway room teak wood look modern warm . beautiful bathroom room high function light nice amenity . fitness room well design . like carpeting decoration . like exercise live room . the staff speak English well fantastic help we various arrangement . nice recognize time find hotel staff could recall early conversation arrangement . beneft stay small property . once learn subway system , convenient station next door hotel . 
 Dec 29 2007 	 Fantastic 	 stay five day December . get amazing deal Expedia $ 65 per day include tax ( exclude breakfast though ) . hotel great location , close tourist activity shop . 's modern pretty inside , good , service fantastic . staff super helpful friendly . overall , great hotel business tourist alike . pay three time price five star Peninsula ( hotel ) around corner , get quality service place . know though much long great deal ? 
 Dec 29 2007 	 Park Plaza beijing absolut top 	 stay 10 day excellent hotel . reveiwer mention , 5 star+ hotel 4 star price . yes might miss special feature get 5 * rating , none miss . fantastic roomy suite , feel like home keep clean nice entire stay . staff hotel , without exception , friendly , helpful courtious special mention business lounge staff . location also excellent many tourist attraction within easy reach . great value definite recommend hotel traveller Beijing . 
 Dec 28 2007 	 Park Plaza Beijing wangfuje oasis comfort Beijing 	 Park Plaza Beijing wangfuje wonderful . husband stay 5 night late November . service staff excellent across board . room spacious bed comfortable . lovely lobby comfortable lounge sit relax drink day Beijing 's pollution crowd . concierge ( day ) helpful we figure get b . pleased stay would go back ever go Beijing . 
