Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 Nov 13 2006 	 make Weekend 	 hotel really help make weekend Chicago first class . think room , service , location great . our group 2 room 11th floor able check - in quickly arrive 1 Friday afternoon . understand floor recently renovate room large , smartly furnish super quiet . bed luxurious bathroom large . north - face room beautiful view Michigan Avenue & quot ; Big John & quot ; even small piece lake . unfortunately , south - face room 15 ' office building . busy enjoy Chicago utilize hotel 's restaurant / bar fitness facility , can not comment . however , encounters staff public area pleasure . concierge helpful direct we perfect breakfast cafe several obscure treasure . call front desk immediately answer another room key . doorman & quot ; own & quot ; little piece Chicago . the location central activity . take we minute walk south river tour boat , another 5 Chicago Art Institute Museum big park . could walk north Water Tower area 10 minute . whole area fill great restaurant , shop safe neighborhood . the Conrad serve peacful posh weekend retreat excitement area offer . 
 Nov 13 2006 	 rough Start great middle 	 flight Chicago delay 3 - 1/2 hour due weather . call Conrad NY LaGuardia confirm room late check - in . response & quot ; problem & quot ; . arrive Conrad 1 am tell not room , guest decide stay extra night . fortunately , already set another room Soffitel ( nice hotel , ) one night , compe . also provide taxi taxi fare transfer Soffitel . I return Conrad next day , upgrade recently renovate room top floor . room good size , clean , large bathroom separate water closet . think bed would comfortable base previous review - ok . staff nice , never feel hotel understaffe . no one seem eat hotel restaurant . diner call Mary 's 3 block away good place breakfast . hotel bar popular . location shopping great , impressed w/ 9 % tax . take elevator 5th floor Main Lobby , walk another elevator bank access room . big deal be try walk calorie ! would stay . 
 Nov 10 2006 	 Great Location Comfortable hotel overprice 	 first visit Chicago . love everything city , people , restraunt . load see . pay full rate 2 room 4 night . room comfortable , good size great bathroom . seperate bathtub shower . there number first class hotel closeby consider next visit . base value money . not mind pay everything live expectation number thing fall short visitMy room ready till 4 pm . Luggage deliver wrong room . partner call hotel tell one name register . argue hotel staff tell there.this happen 2 occassion ! ! pretty serious shortcoming service security point view mention confusion could cause relationship ! ! ! ! duty manager send plate cheese biscuit two bottle water ! ! way apology . felt disatisfie handle . the concierge first class room service . pity shortcoming pay full price receive full value . 
 Oct 27 2006 	 Perfect Location - Perfect Stay 	 hotel spectacular . upon arrival , able park across street parking ramp . easy , convenient , not always case downtown Chicago . find hotel complicate . enter shopping mall , sign elevator get right . nice shopping dine we . make convenient meal exhausted go anywhere . room decadent . love decor , color , bathroom . ZERO complaint everything . course , get great Hotwire rate , chance stay slim , ' m bargain shopper . opportunity , stay . staff wonderful , room wonderful . can not miss ! 
 Oct 23 2006 	 Excellent ! 	 stay Conrad business ( 4 - night ) . comfortable stylish property . every want / need take care . good location . Kudos Jose doorman / bellman ! 
 Oct 23 2006 	 Nice try -- still Hilton Park Hyatt get right ! 	 conrad upscale version Hilton Park Hyatt upscale version Hyatt . well Hyatt get right Chicago Hilton . stay Le Meridian Hotel . hotel room still Le Meridian Hotel lack customer service . room clean evening turn like Ritz . also provide L'Occitane lotion room . location great price good . pay $ 230 night . anyway big complaint customer service . staff not know much Chicago good luck get concierge service . appear like Hotel understaffed . never see anyone eat hotel restaurant . gym nice hotel . would stay value location . 
 oct 22 2006 	 great stay Great Location 	 return stay Conrad . stay several year ago LeMeridan . must say , prefer Conrad employee . generally friendly service orient . doorman without exception friendly , personable quick ! room large , bed comfortable , large bathroom . really like Conrad contrast hotel ' ve stay Chicago even capacity , lobby always ( almost ) peaceful staff not seem overwhelmed . enjoyed arrive back hotel night candle lobby . location perfect ! 
 Oct 11 2006 	 nice stay Conrad . 	 stay Conrad single night attend nearby conference . first trip Chicage . room excellent , exactly would expect upscale Hilton brand . check - in check - out quick easy , room modern , clean , bed comfortable . bathroom well - equip nice towel . staff friendly top - notch time . would gladly recommend return Conrad Chicago . 
 Oct 1 2006 	 Great Place - Great price 	 great hotel , elegant , modern room , perfect location . stay Conrad 3 girl . get two adjoining room . bathroom huge large soaking tub , granite shower , double sink vanity granite top . large flat screen tv , white , fluffy duvet . locate Nordstrom ! ? ! ? else girl ask ? enjoy couple breakfast late night snack via room service taste good prompt . service employee courteous efficient . tell enjoy place ? pay $ 185 per room per night seem like bargain . fyi .... make reservation central reservation . say could guarantee adjoining room would add request . call front desk day arrival see way ensure adjoining room . Stephanie say problem , would take care make sure . 
 Sep 20 2006 	 Great Location Great Deal 	 stay Conrad July 30 - August 2 partner heat wave ' 06 . price Hilton & quot ; Bounceback & quot ; promotion $ 200 include breakfast . hotel area $ 200 room . although room view , large comfortable good air conditioning . bathroom deep & quot ; soaking & quot ; tub separate shower . staff attractive , concierge helpful . unlike hotel area , tour group stay Conrad hotel quiet peaceful . central location great shopping sightseeing . 
 Sep 15 2006 	 Patchy service 	 book hotel via priceline pay 65 pound per night ! ( 130 US Dollar tax ) say cheap consequently happy hotel . however pay rack rate 375 US do not think would happy service level i m british ! ( do not generally get good service ) location fab think room great - incredibly comfy bed , huge plasma screen , good choice film etc . breakfast delicious breakfast wait staff bell hop good housekeeping get pillow request wrong twice take 40 min get plug adaptor . we love Chicago ever come back would consider satying . 
 Sep 12 2006 	 great kid ! 	 get back 3 night weekend Chicago . go fun husband 1 year old son . read review , book first two night Hotel Indigo last night , use 40,000 Hilton Honor point book Conrad . though Indigo good great location , room give child friendly . would stay not son we , cram . actually put part crib bathroom could move around comfortably . little nervous conrad review okay . however , stay excellent ! must give completely rennovate room locate 17th floor . view , room spacious modern , large sunken tub , huge Plasma screen , Bose sound system . sure floor empty , could hear thing room next we ! watch movie totally comfortable king size bed . wonder put we away rest guest since baby . either way , work great . can not say enough great hotel we . use good hotel business , able still receive level service baby nice . little touch Conrad great . little tray set shoe , big umbrella , shoe horn / brush , slipper bed , water bed . happy , especially come cramp quarter . tub amazing ! room large enough several kid run around . seem almost baby proof . wire hide , outlet high , toilet seperate little room , shut door could not get .. try well get trouble , could not . location ideal , walk Navy Pier , around downtown , shopping , etc . staff friendly well . afraid since & quot ; business & quot ; center hotel downtown , would not feel welcome , case . fact , blow away child friendly Chicagoans general ! use city people make eye contact , surprise ! take El Midway downtown since not car seat . elevator not kind elevator Roosevelt transfer . Everytime , several offer people want help we ! 5 pm Friday evening rush hour know people probably anxious get home . train door open stop , people even clear path could get stroller . nice ... think Chicago great destination kid , get treatment fine hotel without feel like outcast baby . dine close Conrad , Bici 's block away good italian food . 
