luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 Aug 21 2007 	 Good Location sightseeing 	 wife travel NYC Toronto fly back Liverpool Fly Globespan good use - travel extensively . I book via Venere.com , online time offer well rate hotel booking service . hotel situate 32nd St. East Madison Park . afford easy access jfk.the room facility adequate ( tv , fridge , 4 piece bathroom sufficient space 5 day clothing . ) cafe next door serve hearty breakfast £ 3 ( $ 2 £ 1 ) unlimited coffee . plenty fast food Korean Restaurants within minute hotel . once wife , early 60 's , fathomed timing traffic light could walk Empire State Building 6 minute , Macey 's 15 Times Square 45 ( do late evening shopping attraction ! ! ) . walk back via Bryce Gardens well worth Monday evening open air film show - get chair Library next door , people take away food , enjoy party atmosphere . would recommend take minimum 2 day tour one hop hop tour bus , use red one . to get maximum benefit study map prior boarding ensure get point interest e.g . cheap shopping downtown get Canal Street ( part Chinatown ) . check Guide time expect last one , 5 pm last bus leave Times Square downtown night bus run Times Square one stop Empire State Building .there plenty ticket vendor mill around early morning . combine ticket 3 hour boat trip round Manhatten Circle Line . Tip - board walk across boat opposite side , near land give sightseeing . if shop Macey 's take passport Customer Services , balcony ground floor , 11 % Tourist Discount Card valid March 2008 . decent reasonableprice restaurant basement . we feel threaten due high visibility Community Service Officers tourist area NY Police - check 3 wheeler electric patrol car . we time visit Uptown , Queens etc - come back stay Grand Union - remember get 20 minute free interest access . we enjoy hope help make stay happy rewarding one . 
 Aug 6 2007 	 quite basic worth money would stay ! 	 boyfriend ( 21 ) stay 7 night . ignore really bad review , really fine . room clean , bed r slightly small bed frame bit squeaky find annoying , nothing bad . air con work really well be not noisy , room quite big clean . bathroom really clean new towels+flannels every day . temperature water change bit shower , , nothing major . staff overly friendly helpful . view empire state window nice . much noise street , sirens+horns expect middle new york ! excellent location , clean , comfortable . absolutely fine ! would stay agin . nothing special , well worth price pay ! 
 Aug 1 2007 	 ok stay elsewhere ..... 	 book girl weekend NYC use venere.com good price - $ 200 night . would recommend Grand Union . basic small room ( case many NY hotel ) friend find traffic noise dreadful ( not sleep first night buy ear plug help 2nd night . ) sleepless night try switch room one street , staff member speak clearly unwilling help we , even though hotel book . soon realise worth hassle argument , gave make NYC delight instead . slack attitude staff member one main reason write negative review . I say Grand Union location convenient , room reasonably clean ( except obvious carpet stain ) ........ room old need renovation look tired . personally , not think we ( 4 ) would book . ironically , get Sheraton Towers Hotwire price another NYC visit later month . advice shop around , steer clear Grand Union . 
 Jul 23 2007 	 pleasantly surprised 	 read large number review hotel NYC , deceide stay Hotel Grand Union . arrive , pleasantly surprised . hotel staff friendly helpful . room bathroom clean . room little small location unbelievable , especially price . hotel locate block away Empire State Building far Subway stop . great shopping Herald Square also within walking distance . would recommend hotel anyone want stay heart NYC pay lot . 
 Jul 15 2007 	 would definitely stay ! 	 hear many terrible story dive hotel New York , book Grand Union lot online research read lot review ( various hotel ) choose Grand Union base price , location positive feedback . and not disappointed . room basic , essential clean ( always good recommendation ) . fridge room handy well ! decor not taste , care look like , right ? bed good , small . bathroom clean nice , good shower , bath . the location really good , subway street 2 block away another line . easy access whole city ! be look lot bar restaurant near hotel , might want look another neighbourhood , not many . 
 Jun 23 2007 	 Great Location Comfortable Rooms Great Price 	 Arriving via cab Newark , excited see Empire State block Madison Square Garden 5 - 10 minute walk road . staff friendly upon arrival , provide we map city brief direction . the hotel really great location explore city . empire State 5 min walk away , Madison Square Garden 10 minute walk , Garden get Times Square 5 minute well ! wonderful , cheap little cafe right next door hotel well many food place scatter around vacinity . if look NYC budget want maximise time see site , highly recommend great little hotel.p.s . shopper , 5th Avenue easily accessible foot not forget visit Woodbury Common ! 
 Jun 5 2007 	 great stay 	 first thank everyone else post review , select hotel . stay memorial day weekend mom cousin mine first trip NY . location great two # 6 subway stop right block hotel . Madison Park prime , prime location . the hotel great candid pic justice hotel . bathroom nice hair dryer room cozy . staff friendly always answer question offer help . special thank Marla book Hotel via email helpful . if stay make sure go little cafe right next door breakfast great . advice keep room key away cell phone battery , easily demagnetize . overall great experience , would definitely stay . 
 Jun 2 2007 	 Shower problem bit noisy read booking ! 	 expect much hotel read review . ' care fancy shmancy one . everything decent , bed bit hard bother much , acceptable . pretty pleased hotel ' price also low expectation book hotel . experience city hang hotel room sleep night . really get we give hotel bad rating shower system . water take heat ( bad ) , fact would go warm burn HOT , REALLY bad . happen every ten second . trust , boyfriend stay 3 night fiddle hot cold knob many time , yet really ' trick . suck . turn cool temperature , go nice warm , freeze ice - cold . horrible ! everything else fine , decent least . bottom line , ' expect much , plan shower room , ' stay hotel . ' mind shower system stay . 
 May 14 2007 	 Great Location - Price ? expect ? 	 wife spend 7 night hotel double room top floor , street - side . great location ! okay , staff not great room romantic special everything else fine . bed comfortable , sheet towel clean , price state , tv work , fridge hairdryer room temperature right ( even though control ) .considere great location , say excellent find . little expensive expect Manhattan ? 
 Apr 25 2007 	 be look luxury even hairdryer .... not bother ..... 	 travel part large group stay hotel one week period . first arrive make wait rest group , although separate room . not fun travel 12 hrs . the room small would not recommend anyone suffer claustrophobia dislike 60 's type decor think decade hotel last decorate . basic amenity iron even hairdryer provide . pleasure toilet overflow entire bathroom floor cover toilet water another member party receive free company , form mouse bed , move room . staff , especially reception , particularly friendly helpful internet connection room , seriously overcharge use PC 's reception . $ 2 every 10 minute additional charge use Microsoft programme Word Excel . the positive point find location hotel , central sightseeing public transport , small cafe ground floor food excellent cheap owner staff fantastically friendly helpful - needless say owner lease cafe hotel not run people . 
 Apr 15 2007 	 nice affordable hotel middle New York 	 ' nice affordable hotel two block away Empire State Building ( see photo ) . hotel old could use modernization ( carpet especially ) . however , hotel clean cleaning morning good 5 - star plus hotel . stay 9 night thrilled bathroom ( primary reason choose hotel ) .Despite people ’ review site , think clerk hostile . really nice we answer question nicely . even borrow we hair dryer whole stay . yes , elevator slow ( go – strange reason ) . however , step nice clean – fare , even 8th floor . addition water warm heat radiator . on down - side window modern . room street side car clearly . however , charm city like New York ? tired night problem us sleep – street noise low morning . the thing thought ought , clerk hotel want we pay arrival instead check . seem like train asking question , since observe people get question . however , say would rather way check - out – problem . , remember question request payment arrival . all , nice hotel affordable want bathroom : - ) 
