third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 Jun 8 2009 	 dig 	 Monte Carlo locate Las Vegas Strip , within walk distance action . regular double hotel room relatively solid , unassume fit mold traditional hotel . clean , moderate space good travel Monte Carlo really place sleep nothing since be Vegas . hotel offer friendly valet parking lobby gorgeous sight see . room view kind ugly , give lot construction occur time back hotel . casino function like lot casino would available gambling restaurant . Place conveniently locate next 24 hr . CVS get need food toiletry also Strip be far action . 
 Jun 7 2009 	 will back ... 	 spend 3 compe night Monte Carlo . tend stay whichever hotel offer we time Treasure Island ( 2 free night ) Monte Carlo . ' ve always enjoy eat MC buffet gambling casino , want try room . initially , spend 2 night TI , room MC little bit letdown . TI fluffy bed flat screen tv . room MC feel like stay grandma 's guest room - little date overly ornate . however , spend time , also realize room clean , bathroom nice really matter difference taste . a plus casino elevator speedy ( elevator segregate floor , bank 6 elevator service floor 23 - 32 ) . another plus food court quick snack . starbuck efficiently run Starbucks ' ve ever ! line might look intimidate , speed get amazing ! ask room view front desk person accommodate - realize due City Center configuration hotel , really not room view anymore . room face strip - angle mostly see roof one City Center building , complete Porta Potties worker . however , not go Vegas look room window , not issue . overall , enjoy stay MC . buffet always one favorite food good seat comfortable cozy . bring home money take , casino friendly we ! 
 Jun 6 2009 	 overall average hotel . 	 stay Monte Carlo recently free room offer . pleasantly surprised see pretty nice old casino strip . spa suite . although everything bite old date , clean nice whirlpool tub . hotel pool nice , well large casino usually visit . cabana , luxurious relaxing . spa nothing special , however , go Mandalay Bay usual spa day . not overly impressed restaurant staff , attentive . hotel staff great , hand . real complaint extremely noisy early morning due construction new condo next door . 
 Jun 5 2009 	 Monte Carlo Hotel 	 Monte Carlo good hotel value . adjoining property construction problem stay southern end property . staff helpful courteous . 
 Jun 5 2009 	 almost less average Hotel 	 friend stay Monte Carlo four night . read review seem give hotel average review . rate average also , suppose . one thing bother hotel room . looked not update since have build . clean . hair carpet . not think vacuum long time . towel pille pretty badly . pick individual pill dry . bed linen pretty bad shape . blanket cigarette burn . hate think else sheet . Yuck ! mattress bad ever sleep . back kill whole time . ' ve sleep sleep bag cot comfortable . I read reviews pool area ... loud music . annoying . could understand reason behind . college kid bump grind music . especially since pool close early evening . turn iPod high drown annoying pop / hip hop crap . however , pool nice . really enjoy lazy river pool . not excess amount chlorine pool skin eye suffer . we try morning buffet . food average process get table pain . two people wait seat time huge ordeal . hostess walkie talkie , could see food / kitchen short way hall could walk pace stop usher pace , stop finally show seat . one line ! ridiculous ! thing coffee . not think ' ve place not actual half half cream coffee . imitation stuff . ask real thing give glass milk . Weird ! find nice place across street well food price avoid buffet experience . I know seem like ' m give Monte Carlo bad rap place lie head . ' m gambler not know gamble . employee helpful . lobby beautiful . think spend maintenance money outward appearance hotel lobby , completely ignore room . location great . right strip able walk hotel site . bus also go strip stop almost front hotel . would go Monte Carlo ? nope . 
 Jun 2 2009 	 comfortable pleasant stay 	 end mistake boy really enjoy stay , clean room friendly staff . buffet 24 hour try restaurant right beside buffet area one word ... AWESOME ! ! staff mostly spanish speaking , funny friendly ! blast , food awesome casino clean . Believe feel slot machine looser csinos go , know , luck luck = ) pool hot spot , hot girl cool guy , seriously beautiful , spend almost 2 hour morning . I would love stay ! 
 Jun 2 2009 	 possession return 	 May 2009 . decide stay Monte Carlo please , please , please make sure leave anything room . 53 year old ; work court system value honest person . intention rip - off establishment measly $ 100.00 worth possession . contact Monte Carlo day check request return bathing suit ( hang towel rack bathroom ) sweatshirt ( hang closet ) . several day leave message speak Security Department , receive letter Denise Chilipka - Oltay , Claim Rep Monte Carlo state Monte Carlo " responsible report miss item , unable compensate loss , hope incident deter visit Monte Carlo again . " say please … … if hotel hire honest maid , safe property room ? never stay tell everyone else thing . 
 Jun 2 2009 	 Good Hotel 	 good hotel centrally locate strip . facility would want good location withe walk distance hotel show . 
 Jun 2 2009 	 Amazing experience 	 first trip USA . spellbound experience . Las Vegas great . Monte Carlo huge resort great casino . room clean hygienic . casino huge . give lot freebie check in . overall great experience 
 Jun 1 2009 	 nice place stay good price 	 stay Monte Carlo 3 girlfriend long weekend Las Vegas . really nice hotel . staff great . Cafe restaurant open 24 hour day food good ( slightly overprice everything Las Vegas ) . buffet really good relatively cheap . Brew Pub also serve good buffalo wing . casino not overcrowe shopps good . pool crowd really clean nice . the bad part floor several young drunk boy loud girl , would probably move hotel would reach monetarily ! like Bellagio Venetian . think 6 8 people room . loud . ( never call security awful annoying ) .I also spa treatment ( Swedish Massage Jose ) awesome . really great . overall hotel clean , staff friendly surrounding good would return . 
 Jun 1 2009 	 hotel Vegas meet sweet spot 	 ' ve stay lower price hotel around Vegas also extravagant high price hotel , Monte Carlo fall right middle term price comfort . perhaps good middle tier hotel arguably include : Treasure Island , Hotel Paris , MGM Grand New York NY . past 7 year ' ve come attend March Madness festivity room clean , bed comfortable , hospitality staff beck call day ( night ) . agree MJP2617 complain pillow , usually remedy order make work . pool also nice . wave pool river type pool wrap around huge area lay tanning . great sport type bar ground floor locate right next pool call Monte Carlo Brew Pub . pub feature huge television several small one space evenly bar . great place hang NCAA March Madness fan almost every team tournament find root alma mater . really fun atmosphere food great . also Brand Steakhouse feature bar area plus couch place right behind nice lcd tv 's . almost like watch favorite sporting event home , eat steak have hard press match . night Diablo Bar usually use pre - party destination could easily utilize main destination not want move around . money would highly recommend stay Monte Carlo not want spend money upper tier hotel not want take chance stay dump either . 
