could 	 get great deal Priceline two day advance annual black Friday boondoggle . location beat . one half block Union Square . lobby busy arrive people come go - they several doorman valet duty . even though arrive busy time two hour ahead schedule check immediately greet give room . front desk , gracious accomodate fact accidently show credit card wallet ! ! wait elevator , notice lady really struggle get elevator really big rolling suitcase . employee jump nowhere help ask other need help . nice - I love see people make extra effort come service . lobby nothing exciting . 's long narrow , front desk right enter elevator leave . behind elevator small seating area decorate holiday . room 21st floor . look Westin St. Francis ( daughter fascinated outside elevator ) , Sir Francis Drake Hotel Starlight Room tiny peek Union Square . book room bidding site . . expect get one & quot ; less room & quot ; , be fair enough . room seem sub - par anyway . spacious clean like location high floor . right next housekeeping closet expect noise morning , happen . either quiet 's little used closet . bed super comfortable nice linen . extend stay , plenty room put thing . spacious closet , two dresser . tv amoire Mini bar / fridge - sensor kind can not use fridge stuff . 's desk chair small sit area arm chair table window . Liked iPod docking port . thing room not perfect , other mention , furniture little bang up . the storage bathroom countertop . nice , Portico brand white ginger soap shampoo little tube toothpaste ! not eat Grandview 36th floor go look BEAUTIFUL spectacular view ! ! would drink bar full . would recommend hotel service , cleanliness , spacious room awesome location . especially get $ 66 price tag ! ! fun ! 
 May 17 2004 	 Disappointed 	 come back one night Grand Hyatt S.F . ticket Lion King want make great evening stay nice hotel . go online select Grand Hyatt . Lion King OUTSTANDING ... hyatt marginal . first thing registration clerk try get we stay night & quot ; live room portion suite & quot ; alternative confirm reservation . say , fairly nice room provide rate confirm . wife mostly disappointed lack little thing . minimal ammenitie room . ' ve stay many less expensive hotel ammenitie much nicer . guess thing bother we small coffee maker int room coffee . make specific trip registration desk request coffee tell would morning . well probably figure never show . know 's small thing , expect Hyatt . will try another place next time go City . 
 Apr 24 2004 	 great service great location 	 stay hotel first week April . staff courteous always willing help we . service always smile . grandview restaurant excellent attentive service Richard waiter . great location , close shopping . would stay . 
 Mar 23 2004 	 San Francisco Teens 	 return San Francisco trip . San Francisco worth trip , incredible place . high 80 's temp cool night course . Grand Hyatt ok hotel , nothing special except excellent location Union Square . get Bart ( train system airport 4.95 cent per person , short walk hotel . get area tourist interest within block transportation 1.35 per person 18 .35 . feel safe around . conceirge excellent advice get location . front desk unfriendly , esp . guest service . check bag hold plane counting bag make fun we like could not count . tell bell hop 6 - 7 - 8 whatever not know , right front we . unacceptable . upon return , might check different hotel around Union SQ . , expedia offer great deal . 
 Mar 18 2004 	 great location 	 stay Hyatt Valentine 's Day weekend 2004 . good thing hotel location . central everything . room clean , room service food tasty staff helpful . able find reservation top restaurant Valentine 's Day next impossible . would stay . 
 Mar 1 2004 	 intrusive minbar check otherwise good service 	 book trip Travelocity , initially fourth floor move 22 nd floor check . service generally good disturbed daily & quot ; Minibar check & quot ; person knock door still room sleep ! also get charge item take . room moderately spacious exciting . 
 Feb 18 2004 	 good location 	 Grand Hyatt Union Square good location . hotel average . staff helpful , room clean . not understand several rating group rate hotel 4 star hotel . would say 3 star easily , rate 4 star accurate . disappointed think going stay real 4 star hotel . book upgrade room , make sure get , seem like Hyatts ' try down - grade room purchase . location around Union Square really good , feel safe , plenty shopping , food could walk . cable trolley ony block two away . 
 Jan 20 2004 	 Killer Location Standard Hyatt Accommodations 	 stay Grand Hyatt Hotwire rate $ 79 plus plus . totally worth , hotel locate one block north Union Square , step great chain - store shopping city . Market Street four block away , transit easily accessible . hotel hardly anything unique , good , quality Hyatt fare : clean room , well - maintain lobby , standard service . always , high floor , well view less street noise . would definitely repeat customer price right ! 
 Dec 30 2003 	 think fine hotel travel much 	 use review website book rather expensive Regency Club room . mistake . date 2 star hotel try 4 star . location great , 30th floor , could easily hear street traffic due lack modern glaze window glass . Add noise could hear room , could say one big hotel disappoinment . sleep , call Four Seasons get room 9:00 . hotel . holiday rate $ 80 / night Hyatt , absolutely incompararable . feel like move 30 odd story buget hotel Taj Mahal . 
 Oct 23 2003 	 first class service usual 	 grand Hyatt sure stay every time San Francisco , good service , big room , good location good executive lounge S.F .... good & quot ; real & quot ; food , free Starbuck great view . think Hyatt need open class teach hotel run executive lounge ... ha , five star . 
 Oct 19 2003 	 Pretty Sweet 	 Stayed Grand Hyatt 2 night @ $ 199 / nt shabby & quot ; Frisco & quot ; yeah SF newspaper tell 's hip say & quot ; Frisco & quot ; not get excited ... checkin fast easy . ask low floor get . yeah know make lousy view hate wait elevator . .. Television AWFUL staticky blurry . complain modestly not care slept room . room otherwise great l shape bathroom . ( bedroom small hallway sink bathroom ) regular one king bed room . . . Good Climate Control . Great Location . walk Union Square , ChinaTown , Moscone Center , Cablecars , Restaurants , car rental location . . . . .blah blah blah Felt safe night . gift shop available , many store nearby . cool hotel top bar restaurant view . 
 Oct 4 2003 	 first class location 	 stay 3 night . ideally locate Union square , centre town . excellent base sight seeing , cable car terminus , shopping restaurant . hotel clean well manage . friendly efficient staff . recommend short stay . need stiff drink , try & quot ; Ultimate Martini & quot ; . 
 Sep 30 2003 	 great service Great Location 	 great hotel service excellant . room little small great service view 25th floor make . first worried would get around town without car cable car right around corner hotel . easy get fisherman wharf china town . Union Square also good location shopping . 
 Sep 4 2003 	 Grand Hyatt exceed Expectations ! 	 8/28 - 9/1 stay Grand Hyatt fantastic ! nothing negative say hotel -- - everything great ! front desk staff nice give 18th floor room awesome view Union Square . Grandviews Restaurant 36th floor excellent food service . definitely stay Grand Hyatt . exceed expectation . 
 Sep 2 2003 	 Hotel throw good special 	 Excellent hotel ... 1st class ... Great Location close Union Square , China Town , Cable Car . got good deal rate . 
 Aug 25 2003 	 4 - star stay Union Square 
 Aug 25 2003 	 Tips 
 Aug 16 2003 	 decent 
 Aug 10 2003 	 good deal throug AAA 
 Jul 31 2003 	 Grand Hyatt good deal thru Hotwire 
 Jul 3 2003 	 Grand Hyatt 
 Jun 26 2003 	 Grand Views 
 Jun 14 2003 	 High Hyatt 
 Jun 4 2003 	 love view 
 Feb 5 2003 	 love staff 
 Oct 25 2009 	 Un hotel centrico con inmejorable vista 
 Aug 22 2009 	 ? ? ? ? ? 
 Jun 18 2009 	 Super Lage - toller Ausblick 
 May 1 2009 	 Super Lage / super Hotel 
 Apr 28 2009 	 efficace cher et peu chaleureux 
 Mar 16 2009 	 ? ? ? ? ? ? ? ? 
 Jan 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Oct 19 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 13 2008 	 ? ? ? ? ? ? 
 Mar 14 2008 	 Bien situado trato frio 
 Feb 17 2008 	 Hotel ist gut - jedoch amerikanischer Standard 
