would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Jun 21 2009 	 HOTEL FUTURE TRIPS MANHATTAN 	 say enough good Affinia Dumont . hope people read review pay attention say ! hotel perfect . location great .... noisy .... beautiful view Chrysler bldg . friendly helpful efficient staff . room clean spacious . single negative comment place . bark Dog Restaurant / Bar next door convenient warm welcoming . pleasantly surprised check hotel ..... love suite . stay everytime go back Manhattan . be great ! ! ! ! ! ! ! ! happy every aspect hotel . 
 Jun 18 2009 	 great hotel would highly recommend 	 want add one good review property , strength TripAdvisor review end hotel . I stay Affinia Dumont one one - bedroom suite mum sister three night . room large NYC standard could believe excellent value money . staff friendly attentive love personalize service ( especially selection pillow ) . location ideal , far concerned ... could walk midtown easily well - place near subway line get everywhere else , residential area nice feel . also , Macy 's block away ! plenty restaurant near hotel choose from . I would definitely stay hotel . five - star luxury clean spacious place stay good staff obviously care clientele . 
 Jun 18 2009 	 good place stay 	 hotel decent place stay location pretty good . room new - look picture website would suggest , bed pillow extra clean comfortable experience far . bathroom clean ( mildew ) , poor lighting . ' m woman like bright lighting apply makeup bathroom . would suggest increase bulb wattage bathroom add light . hotel room kitchenette , convenient want bring food re - heat leftover . the subway 3 block away . overall good value money 's worth . would recommend someone else . 
 Jun 17 2009 	 good expect . 	 spend 2 night weekend visit NY . wedding anniversary wife NY , look somewhere special stay . look photo Affinia site read review , Dumont seem fit bill . unfortunately , find place bit drab unexciting . room decor furniture ' tired ' see well day ( large chunk enamel miss bath , wallpaper peeling , carpet wear ) . room mostly clean , large well equip feel decent motel rather ' boutique ' hotel . also , specifically request high room view book . pick check ask . due respect staff , request meet without fuss offer option ' special request ' seem read ? summary , nothing fundamentally wrong hotel feel 5 star praise lavish upon need balance little . 
 Jun 15 2009 	 Love hotel ! 	 recently stay hotel family great . location wonderful , close many restaurant , store subway . room large small kitchen full sized bathroom . staff friendly helpful . travel two small child ( age 5 10 ) staff friendly toward child . thing wish room coffee maker . stay next visit NYC ! ! 
 Jun 15 2009 	 terrific hotel great staff 	 daughter return 3 night stay Affinia Dumont - Murry Hill . could please location , amenity particularly friendly , helpful staff go way make sure everything need . Doormen Donald Chris especially helpful hail cab corner offer advice local restaurant activity . spacious room 35th floor offer interesting view ( 2 side ! ) quiet well appoint . kitchen great bonus , . need coffee pot well . negative internet surcharge - $ 13.95 day -- bit anachronistic day WiFi everywhere ! overall , great hotel price ! 
 Jun 14 2009 	 back ........... 	 book hotel read rave review site . say dissapointe . place size Manhattan hotel excellent location . also staff extremely helpful -The complaint would talk we book car return Newark Airport , promise would charge $ 80 , compare NYC cab inform we would cost least $ 100 . surpise , surprise car cost we $ 100 . small point , sour opinion little . overall though would stay . 
 Jun 13 2009 	 enjoy stay expected bit . 	 think high expectation hotel base review forum jade view bit . we studio suite 4th floor get excellent deal Priceline . for New York City , room huge full kitchen . window overlook 34th street find window close barely notice noise street . like dislike location , sound strange 's ... be locate mostly residential area lot restaurant , small store , drug store , etc . make feel like part city rather tourist . sometimes feel like bit hike get place , however , subway bus practically right outside door though . the hotel bit worn . carpet need replace not amenity offer 4 - star hotel . hate pay extra internet 's pretty standard day anything 3 - star . for price pay good value , would probably stay return New York , primarily due location . prefer either Union Square area Central Park South area . 
 Jun 8 2009 	 great wedding anniversary Big Apple Thanks Affinia ! : ) 	 husband book stay Affinia Dumont ( Murrary Hills ) great review site . first trip NY one year wedding anniversary . disappoint . the staff thoughful bellman especially helpful find good place shop , eat , etc . room come safe impressive . impressed front desk offering hold luggage check ( flight early morning ) well check flight . bed comfy view great ! resturant next door ( Barking Dog ) reasonably price food good . hotel close Empire State Building . sad leave go back home . room super cute look like studio apartment . next time go New York sure book hotel . can not say enough nice thing hotel ! ! 
 Jun 8 2009 	 could stay well place ! 	 book package priceline , first cheap place find 3 1/2 star hotel around location . hotel location perfect , block train station 4 block Empire State building . arrive check , front desk busy yet still able please request high floor large room , upgrade $ 40 night , expect lot two room suite able get room 29th floor . suite full kitchen well ever , utensil cookware available many place around hotel grab food cook . room great , comfortable big king bed , clean bathroom . what like hotel location room big comfortable , feel comfortable refer home talk . like least bathroom door slide type heavy , need change normal door type . tv outdated . small thing , like seat day watch tv still , also Wi - fi free ... ' ve stay inn offer free wi - fi .. charge water snack pretty high , duane read right across hotel get cheap snack drink . minor thing , definitetly overlook thing . overall would stay . please stay . like previously state , could stay well place , amount price . 
 Jun 8 2009 	 great stay 	 stay 7 night march / april 2009 , everything perfect . room / studio huge 2 double bed , desk , huge tv , kitchen . clean , quite good location ( near empire state building ) . staff polite helpful.good value money nyc ! 
 Jun 7 2009 	 spacious clean good location value 	 four we ( 2 parent 2 tweenager ) young adult neice stay 1 bedroom suite GREAT stay . 2 queen bed pull bed large spacious room . Dunkin donut right next door bus station right outside , 4/5/6 subway line block away . conceirge fantastic - tell we get inexpensive ticket try sell we thing need . hit child speak question . overall good trip NYC . 
 Jun 7 2009 	 Sirens 	 ' m newbie NYC first visit city never sleep . accept 5 star ' m sorely dissapointe NYC offer ( really bad luck ) .The good : transatlantic flight happy check breeze , give room high ( 20th floor ) full - on view Chrysler building . & quot ; stuff & quot ; request room . first glance everything look fine . staff friendly courteous . checking go fast check doorman personality hat match great make send - off special . the Bad : check , go deli next door get beverage room , start notice detail room . discover pile cracker crumb ( orange - ish color ) easy chair couch living room , right near high traffic area ( near coat rack / umbrella stand ) . actually crunch sound underfoot clue we presence . not one two crumb , look like amount leftover box ritz cracker whole one eat . call front desk ask somebody could take care . say somebody would right . nobody ever show figured housekeeping would take care next day . even housekeeping next day , crumb still .... call explain call day response somebody would right . forty five minute ( one day ) later , somebody show get rid crumb . the living room furniture see well day : fray bit dinge , condition would see hang around room own . the : bathroom fine , bedroom fine . amazed loud street noise room - difficult time sleep . , may lack experience NYC . would expect modern window would able reduce kind noise . not think location great . be really near anything - , be really far away Manhattan ? 's relative . ' m pretty sure next stay uptown . I dissapointe none staff follow cleanliness issue , either Friday Saturday ... check - make wonder hotel pull rank pulled tripadvisor . maybe , maybe , end lemon rest hotel lemonade ... could case . this hotel really not meet expectation - high expectation due high number 5s rest give hotel base & quot ; isolated & quot ; ( ? ? ) NYC experience . 
