suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Sep 23 2007 	 2 Thumbs 	 need low price hotel , shower , bed , tv that s exactly get Four Queens . room nice clean . location could not well plus go strip breeze catching Duece block away ( make sure get $ 5 pass last 24 hrs . ) able check hour early schedule . not plan spend much time room need basic Four Queens . 
 Sep 21 2007 	 Great Location ! 	 decide stay another night vegas , think would give downtown try . less 40 buck night , not expect much . hotel nice , classy anything , clean , great view fremont street light show . also 32 inch flatscreen tv unexpected . casino fun , lot old people . early 20 , far young people . still lot fun , not feel weird . glamorous like strip , nice go , eat gamble . limit table game much low strip . want relax , play casino , good place , be not lot action aside . good hotel , especially price . 
 Sep 18 2007 	 would stay 	 Vegas eight day trip stay three different property town Labor Day holiday . first time stay hotel , anxious see would like since hear recently refurbish . book room phone casino rate base play previous visit May . receive mail offer call ask casino rate . check easy line . front desk clerk cordial make experience pleasant . room south tower , room 1033 four night . king , n / s room . accommodation nice , new fixture , bed small plasma television . miss thing refurbish hotel , though . shower curtain old desperate need replacement . smash spider stick outside look like . air conditioner / heater unit controller disgusting smoke alarm also need replace ( see photo ) . not get could spend much update room forget detail . not notice work - out room swimming pool , definitely negative amenity important . sister family stay Golden Nugget , go visit pool . stay GN last trip Vegas , nice . in - law four free night Plaza slot tournament , room . location Four Queens great since smack dab , right middle thing Fremont Street . mcdonalds right across street Walgreens within walking distance . eat Magnolia 's , hotel , buy - one , get - one free coupon American Casino Guide ( buy web book store $ 14.95 - well worth ! ) . prime rib excellent reasonable . would highly recommend restaurant . spend time casino go slot club ask comp cash come back , slot club attendant rude . could really benefit basic customer service training . notice last visit , visit . father - in - law also comment rude mother - in - law . even though miss thing update room slot club attendant rude , definitely stay hotel since bed comfortable location good . would definitely recommend hotel friend long look total resort type hotel since there s pool , spa work - out facility site . please feel free ask question regard stay . 
 Sep 17 2007 	 four Queens Great ! 	 Husband stay four Queens Sept 13 - 16th . never stay Downtown thought would give try . great price figure bad could ? FQ exceed expectation ! ! check : front desk check wonderful .... wait ... friendly .. honor request . ask King bed , non smoking , face Fremont street side hotel . ROOMS : receive room fifth floor ( 518 ) . love face Fremont Street experience great ! four Queens one hotel downtown actually room & quot ; canopy & quot ; face Fremont Street . could watch light show right room ! ( people watch great ! ) even number room face fremont street . noise light show play music day long . stop Midnight . big deal ! kind enjoy music . casinothe Casino good . see many people win ! not ! ! parkingparke easy . self park car , Valet also . Saturday night allow we vip parking even though sign say lot full . no POOLThe FQ not pool , honestly ... busy , not miss it . RESTAURANTSWe eat magnolias twice , food average , cheap enough , wait staff leave little desire , little language barrier problem girl get drink restaurant , server average ...... overall AVERAGE ! ! downtown AREA Downtown area honestly revitalize . much offer . Ariel performance , motorcycle stunt show , stage variety performer , plenty kiosk sell gift snack . evening bring rolling bar sell adult beverage . seem like big happy , party , fun atmosphere . say FQ Luxury Property , not charge Luxury price ! fit need would recommend people look clean , nice , friendly hotel downtown ...... stay Flamingo , Harrahs , Monte Carlo , Luxor , Palace Station . give idea compare past stay to . the Four Queens solid choice . 
 Sep 17 2007 	 first class budget hotel great location 	 Four Queens great budget hotel , staff friendly helpful . hotel situate Downtown area lead directly onto Freemont street experience ( sound light show ) . hotel clean room well decorate recently refurnish , include flat screen tv 's , bed comfortable ! join player club ( free join- get free shirt ) get great meal deal Magnolia resteraunt , situated casino , recommend salads- enormous delicious . we definately return ! ! Great Value . 
 Sep 15 2007 	 Loved Four Queens 	 return 13 Sept three night stay 4 Queens . travel sister friend . friend 's first time Vegas sister 15 year . enjoy 4 Queens . check staff great . arrive early room ready , 2nd floor ask something high since friend never Vegas want able see strip room . problem , wait couple hour ready . food Magnolias good price great . encounter one problem . rude waiter one night . rude we , hear rude people around we well . room nice mattress comfortable . three us room ask extra towel , problem . room room 1842 south tower . overlook mountain strip . would stay 4 Queens . 
 Sep 15 2007 	 great bargain nice room ! 	 stay 4 Queens Sept. 3 - 6 , 2007 . ' ve stay Vegas never stay downtown , think would give try . find great deal $ 44 per night ( Mon - Thurs ) . stay room 1216 north tower , overlook light show canopy Fremont Street . room clean , bed comfortable ( like firm mattress ) staff friendly helpful . discount breakfast dinner deal Magnolia 's restaurant player card great perk . 1/2 ticket booth also locate casino , convenient . unfortunately , show offer want see . not problem noise come Fremont Street . light show end midnight get bed Vegas ? machine pay pretty well , keep play end give money back casino . not part Vegas ? also attend time share presentation offer lobby . stick gun say return get voucher free future stay Vegas well $ 80 spending money use 4 Queens . enjoy free dinner spend rest gambling . bad ! overall , pleased room stay . will definitely stay . 
 Sep 8 2007 	 Great Value Stay Downtown LV 	 get back yesterday ( Fri . , Sept. 7 ) stay four Queens . stay room 801 north tower , face south away FSE . room nicely remodel , new furnishing , include wide screen flat tv . seem little large room Fremont across street , little small room fitzgerald next door . bathroom clean bright , mold stain sight . large Fremonts , small fitzgerald . typical motel / hotel bathroom . Valet parking quick easy . every employee encounterd pleasent helpful . third stay 4Q 's last 3 year , would certainly stay . 4q 's ( along Fremont Fitzgeralds ) solid , dependable value stay downtown LV . little play slot card bring free discounted room offer , even standard online rate reasonable . stay one night , solo time , try time , past $ 20 trick get we & quot ; free & quot ; upgrade petite suite . Magnolias Cafe Hugo 's good casual upscale dining choice . bad experiance Chicago Pizza Pub one time , may bad night . 
 Sep 7 2007 	 pleasant surprise hotel turn ! 	 newly renovate / remodeled room . nice casino . hotel right center Fremont Street Experience ( canopy light show . ) amenitie normal non - casino hotel room : really comfortable bed , hairdryer , iron / board , COFFEE maker ROOM ( unheard casino hotel ' ve ever stay . ) big flat screen tv . call extra pillow deliver within less five minute . stay weekday night $ 30 per night well room ' ve sometimes double triple rate . highly recommend hotel ! 
 Sep 2 2007 	 good 7 trip 	 father - in - law Canada check Aug 24th Aug 31st/07 . first contact Valet Parking immediate . actual check take moment room South Tower clean , spacious well equip amenity . staff encounter week courteous helpful . slot machine generou hit 2 jackpot tax withhold 3 $ 1175.00 . first meal staff restaurant Magnolia 's remember we food good price reasonable 90 % meal eat . could continue compliment however want everyone know stay 3 hotel strip much high rate Queens Hotel choice future stay . Marcel BinetteThunder Bay , Ontario Canada 
 Sep 1 2007 	 woderful Time Better Strip ! ! ! 	 two Friends recently stay four Queens two night Vacation Las Vegas . work retail tight budget go , price big concern we choose stay downtown two night Strip two Nights . four Queens nice room see Las Vegas ( remember not wealthy can not afford $ 50 / night comparison base room $ 50 / night Vegas ) hotel staff kind helpful act like actually care ! : - ) & quot ; Special Requests & quot ; honor ( adjoining room , Non - smoking , one two queen bed one one king bed ) 11th floor elevator work great , slow . afraid stay downtown base & quot ; Negative & quot ; review post shady gross disgusting hotel casino , blast , funn trip yet , bad part trip check move Imperial Palace Strip ( please read review one ) honestly say fun downtown strip spend lot less time walk lot less money downtown strip . plan take birthday get - a - away december plan stay FQ ! 
