lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 Oct 2 2006 	 Loved Gold Coast 	 absolutely love Gold Coast . ok , 's & quot ; right strip & quot ; shuttle run midnight pick Barbary Coast next door Ballys Flamingo . buffet fantastic , poker room staff top , must say front desk staff 2nd none ! ! ! would advise ask room one new air conditioner like cold sleep notice room old & quot ; motel & quot ; style ac's . a little tip , Gold Coast reservation staff , actually Coast Property reservation staff match price find online even ' ve make reservation . book 2 night stay Sun & amp ; Mon last week . online price $ 55 / night , reasonable . however , 2 week trip notice TripRes $ 44 / night rate available , call Gold Coast , speak nice lady , tell see $ 44 / night , ask , check , actually get room $ 39 / night TripRes charge $ 5 comish . 
 Sep 29 2006 	 Decent Place stay Las Vegas 	 husband look affordable place stay Las Vegas night September choose Gold Coast Hotel Casino . look price hotel stay past year shock see high get decide one night pass would save money stay elsewhere . there line reception desk , rarity Las Vegas , staff pleasant . get room check bed find hair pillow . everything else clean room , look like maid take nap room clean , something ! call front desk ask another room . give we another room , go get key . would appropriate have bring we key since have already inconvenience , case . anyway , new room fine everything need . bathroom little window shower stall open nice not hot morning fresh air feel good . complaint room charge use internet . last night trip would get complimentary wireless everywhere else would stay decide save money get online return home next day . enjoy play slot Gold Coast quite nickel slot allow we play long money ! have give we coupon well use coffee place casino - convenient quick breakfast . , Gold Coast decent place stay . thing could well , overall good experience . would stay can not find reasonably price place Strip . 
 Sep 22 2006 	 Fun casino 	 go Gold Coast every time go Vegas play bingo blast . Gold Coast also friendly dealer , low table minimum place crowd . also great deal food drink . fun casino check , even strip . 
 Sep 18 2006 	 great deal 	 please two - night stay Gold Coast . book online ( prepaid ) check - in breeze -- line , difficulty . give we coupon book include discount bowling , free drink , discount restaurant gift shop . free secured valet parking , comfy king - size bed , free shuttle sister - hotel Barbary Coast ( block away heart Strip ) keep we stress free . room fairly basic clean quiet suited need nice view Palms part Strip , smallish bathroom , flat - screen TV . luxury resort -- think step motel -- basic amenity ( plus extra ) reasonable price great location explore . also , bowl alley lot fun , & quot ; Cosmic Bowling & quot ; Friday Saturday night , mean black light disco ball dance music . great time . 
 Sep 11 2006 	 thing good good . 	 stay Gold Coast Sept 4 - 8 comp . location good easy rental car . room clean comfortable , although bathroom somewhat small . in - room coffee maker unusual Las vegas . casino good video poker player place load full pay machine , even bartop . ( even hit royal last day .. ) downside , service somewhat lax , coffee coffee maker absent last 2 day . refill shampoo lotion . food great either . coffee shop average . coupon comp book free bottle wine buffett . thing bad food buffet free bottle wine . would reccommend sister property Orleans Gold Coast . 
 Aug 28 2006 	 Good Value Hotel good location 	 good value hotel , although much busy weekend much less queue ( perhaps glitzy ) hotel visit , make good base , particularly use shuttle bus Flamingo access rest strip . perhaps choice food would help ( terrible Mikes burger bar disappear despite literature ) , reasonable value , particularly breakfast buffet . bowling lane useful feature travel kid , , easy get game without wait . 
 Aug 23 2006 	 last minute trip Las Vegas 	 stay Gold Coast quick prompt trip Las Vegas August 18 2 night . look price Expedia find cheap hotel : Expedia $ 83 hotel site $ 105.00 . hotel match travel site many restriction Expedia book call hotel , ( must within 24 hour making reservation ) take care match Expedia . hotel room see sight true picture room . check prompt friendly . parking easy long walk hotel / casino . hotel room nice . simple . flat screen T.V . nice touch . bed , ( taste ) bit soft side . compliant bed use fit sheet sheet keep come long wide enough bed . short toss around lot night ' wake clump top bottom sheet . room remodel 6 - 7 month ago . room clean . complaint come mind remodel room leave bathroom . shower toilet small room . big person might find little hard move around . sink area closet outside bathroom separate room show age . actually announce age . one thing exceptional shower head pressure , GREAT ! ! ! thing find strange hook DSL . locate table chair sit locate dresser ? ! ? ! ? ! ? ! cable long enough power cord could get bed , maybe , would move chair dresser sit sideway work want look thing , etc … convenient state place strangely room . besides else pretty ok . budget hotel local hotel hang step budget . budget though ' great stay instead pay price Palms , ( across street ) Rio next door . easy walk . save money thing frequent two hotel popular club . also eat coffee shop , Monterey Room ( ? ) . actually good cheap . funny thing , eat Red Rock Casino Summerlin night buffet , ( good ) use paper thin napkin , ( $ 300 night ) Gold Coast understate coffee shop use cloth one ! would problem stay Gold Coast . ' expect anything fancy ritzy ' ok . 
 Jul 25 2006 	 nice 	 stay two night mid week . able check room 1 pm . per previous review read website request room 6th floor . spacious , clean great plasma tv advertise . partial view strip nice . saw & quot ; Forever Plaid & quot ; musical hotel recommend light , feel good show whole family . food buffet . receive coupon book various discount hotel nice shuttle run fairly often strip convenient . would certainly stay . 
 Jul 20 2006 	 Wish could stay long ... 	 stay Gold Coast one night - Saturday , return 3 week Florida , fly home UK Sunday . we one check desk , deal quickly . lucky enough allocate suite price room ( $ 109 ) .what say - fabulous end vacation ... even Dollars casino ... ; - ) 
 Jul 10 2006 	 upgrade suite charge 	 Stayed night get upgrade one bedroom suite charge without even ask . room spacious quiet 10th floor . $ 38.00 Travelocity . 
 Jul 7 2006 	 can not beat price 	 originally give room first floor .... need update , good rug shampoo smell little smokey casino underneath . move first floor due power outage second night stay room sixth .... much well room , clean , etc . draw back shower drain well . good stay , would return base upon room price location . Gold Coast rug room general area need good cleaning $ 40.00 night , sometimes compromise save buck . 
 Jun 20 2006 	 FAB HOTEL ! 	 fiance stay Gold Coast 5th - 16th June . want somewhere nice stay do not want pay fortune Gold Coast perfect ! lovely clean room ( large flat screen tv ) . bathroom small clean . Air - con work great . bed comfiest world ! ! ! would recommend high floor . stay 8th ( hotel 9 floor ) . non smoking floor quiet . buffet food lovely $ 25 2 dinner . do not try Italian , Cortez chinese restaurant . breakfast Montery Room times coffee shop yummy toast bagel get coffee bagel morning take back room breakfast watch world cup game bed ! $ 2 roulette table $ 50 night , $ 5 blackjack table . staff really friendly . pool area always quiet , problem get sun bed . go casino get drink tho pool bar waitress service day . Free Shuttle bus strip every 10 - 15 min . take Barbary coast right near Bellagio Ceasors . bus run til midnight . although 100 degree outside find casino pretty chilly inside girl bring nice cardy 's put outfits ! would definitely stay gold coast highly recommend . 
 Jun 16 2006 	 win 	 Stayed 1 - 12 June 2006 . bedroom ok bed clean , linen change day towel . air conditioning , free safety deposit box . stay th strip numerous time , cheapy good miss . regular free shuttle strip . pool clean quiet . ' strip ' hotel course lose , money game last long . problem , little book freeby drinlk money offer hotel also use . would stay price pay . say problem complaint . 
 Jun 4 2006 	 unexpectedly good 	 reading review consider price pay room , expect much . however marvellous five night many surprising way . room ( flat screen tv ) , large anticipate include bath , small wndow could open fresh air therefore switch aircon . bed linen lovely quality cotton . low limit roulette pleasant change nice environment , staff professional . we good win slot unusual main Strip casino . read Gold Coast smokey , bad rest . shuttle centre strip Barbary Coast frequent handy service make fact strip significant disadvantage . would use internet except $ 10 / day charge . hotel charge four time necessarily four time well . 
