Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Feb 24 2007 	 Canadians love hotel 	 stay Hotel Newton Feb 19th-22nd first trip NYC remarkably please . one complaint hear recent review poor elevator service . luckily check - in , request 2nd floor room use elevator admission discharge . absolutely complaint stay . room clean bathroom immaculate . try figure use shower tricky helpful front staff guy gave lowdown . obvious recently renovate nice marble floor wall plenty big . room huge considering not spend much time , totally fine . 4 suitacse strew around room still place walk . would highly recommend stay room private bath though . flatscreen tv nice . location Newton perfect activity . 1/2 block subway 96th subway station happen one express stop could Times Square less 10 minute Ground Zero 15 . front staff friendly be look somewhere quick tastey eat , key West Diner nextstore fabulous . great breakfast ( especially granola / yogurt / fruit combo ) 2 impressive salad dinner one night ( good price ) , 3 block walk Central Park , perfect location . also late night drug store open 2 door away . , good trip ever defintely stay Newton next time ! 
 Feb 24 2007 	 room 903 great ! 	 room - 903 top floor - two double bed look Broadway . clean , bathroom recently renovate sparkle . aside single elevator - require wait sometimes - slowness ( five minute sometimes ) get hot water faucet non - peak hour - recommend hotel completely . rate - February anyway - quite reasonable . $ 750.00 canadian four night . booked hotels.com . would stay . 
 Feb 6 2007 	 Great Deal ! 	 stay Hotel Newton Feb. 2 - 5 , 2007 pleased . location excellent , short block 96th St . subway entrance 1,2 3 line . hotel clean perfect traveller want clean place sleep . although room small , perfect one . $ 110 / night room private bath . key West Diner next door provide room service typical diner fare . negative elevator , take time one . morning checking , elevator service . since not want wait bellperson , carry luggage 5 flight . upon note customer survey , receive response within 12 hour offer free room upgrade next stay . needless say , customer service top notch . 
 Feb 4 2007 	 Great Hotel 	 Clean , confy good location . great experience ! 
 Jan 31 2007 	 great hotel money 	 stay Newton past week impressed room , location , cleanliness , service front desk . one well bargain City , not sure going get money . however , pleasantly surprised . room clean , impeccably tidy everyday , comfortable . , room two adult three small child little tight , prepared , expect Waldorf . far location , quiet neighborhood convenient 1 , 2 , 3 train ( subway stop block hotel ) . Central Park also 3 block ( ave . block ) walk hotel . this obviously upper tier 5 star hotel , definitely good spot budget - minded traveler . 
 Jan 30 2007 	 Great Location ! 	 actually go hotel Newton 3 time 2 year find ease . the good thing hotel position . Upper West Side really nice place feel people actually live , not work . you find simple shop like hardware , grocery chat owner relaxed way . price tourist street noisy , be quiet location . the subway station near 10 min easily get Times Square ( almost everywhere ) .The room spacious clean . Moquette everywhere . bathroom clean , 's hairdryer . the staff friendly ad ready help answer every question . hotel restaurant suggest go adiacent Key West diner comfortable diner . food good expensive . I recommend hotel Newton people want enjoy New York tourist Newyorker . 
 Jan 20 2007 	 good location 	 stay Newton hotel early march 2006 & amp ; honest expect little glamour 3 * hotel broadway . wall cardboard thin could couple next room ' fun ' morning ! bathroom / toilet share landing . also lift slow call . room ' average ' although bedding / linen chic looking . probably one least expensive hotel broadway & amp ; show . not dissapointe stay , price reasonable 's location , maybe dollar could little comfort & amp ; glitz . ok though ! 6/10 . 
 Dec 22 2006 	 Good Place Sleep 	 intend go sightseeing spend much time hotel . prerequisite cleanliness decent price . Hotel Newton deliver $ 130 / night avg . room incredibly small . entry door barely clear bed . view window neighboring apartment close could read magnet refrigerator ! everything clean housekeeping like clockwork . room extremely quiet despite next elevator . expedia claim room renovate 2005 - 2006 . either bathroom overlook ( see photo ) different definition & quot ; renovated & quot ; . several bathroom tile crack grout miss . shower head secure wall , could not aim without gravity pull downward . sink faucet & quot ; sweet spot & quot ; find would drip night . toilet bowl wobble window shade miss slat . room lack information regard tv channel remote require scroll 40 + get one want ( e.g . could not type one ) .The public area hotel hallways lobby attractive . love wrought iron stairway polish wooden bannister . two lobby computer provide high speed internet access rate 20 cent / minute . per page charge print . the neighborhood great feel safe . key West Diner Lemongrass Grill ( Thai ) good food . dunkin ' donut across street well another pastry shop one block south . two drugstore grocery within block . several newsstand , fruit vendor , electronic store service nearby . subway block away ( tip : head downtown Times Square , try catch express train . local take sooo much long ! ) Central Park three block east . consider use Newton future stay Upper West Side . 
 Dec 17 2006 	 Great Hotel 	 return NYC stay Hotel Newton ( Dec. 12 - 15th ) . travel alone single female . feel quite safe . bell staff , great time . less one block subway . 3 block Central Park . room rate great $ 175 night compare hotel . bathroom chic . love design . room small really need place sleep shower fine . room side hotel . view stairwell alley great street noise . however , guest hallway hear clearly mean noise filter around door . towel little small . ' m big woman barely wrap around I . internet free fyi . staff helpful give direction regard subway stop . budget , would definitely stay ' m NYC . 
 Dec 15 2006 	 Pleased Newton 	 stay Newton hotel December 10th 13th , research hotel Frommer 's travel guide . New york many time pleased area , hotel room . room upgrade two queen bed , clean new looking . small problem hot water , resolve day front desk , helpful . able use subway go everywhere , close . stair subway little difficult since five month pregnant . especially enjoy shopping baby clothe Lord Taylor , wide beautiful selection . eat bagel h H bagel breakfast , dinner good enough Eat , lunch Jean Georges nougatine room , special dinner Daniel 's ( fabulous ) . hotel one good rate could find Christmas season , would definitely return . 
