great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 Aug 4 2008 	 another Great HGVC Great Location ! 	 one three HGVC 's Las Vegas , apparently , new nice one . currently break ground build two tower . we really like hotel . really nice studio 14th floor overlook pool , clean maintain daily housekeeping staff . staff friendly amenable . hotel locate right Las Vegas Blvd . quieter section North big casino ( venetian , Caesar 's , Wynn , etc . ) - pretty close Stratosphere - within walking distance prefer , Deuce stop right front hotel side street ( public transportation - double - decker bus system cost $ 5 24 - hour unlimited pass ) . supply Starbuck 's Coffee ( yeah ! ) little coffee maker - run , ask front desk send room not pay . pool area beautiful little market great - although surprisingly pricey . gym nicely equip , . pleased property would stay heartbeat . 
 Aug 2 2008 	 great family - Service less expect 	 combine business trip little vacation time wife . hotel great staff good detail ( except concierge ) . wnat bring kid pool wa great , look romantic place swimming som many child pool . we upgrade one bedroom suite 30th floor . room great view stupendous . bed comfortable . room quiet except roller coaster across street dull background noise . service much less expect Hilton . room service menu include deli sandwhiche pre - package fruit bowl . food menu extremely disappointing , vacation club resort family , full - service hilton . concierge seem inexperienced . ask authentic sushi reccomende us & quot ; new age sushi & quot ; restaurant korean restaurant sushi sideline . prepared list know . impressed Valet . $ 8.00 day park car run hot sun get . smile everytime always courteous . valet give we great hint sushi place eat . 
 Jul 22 2008 	 great kid 	 spend week two bedroom room tower two . nice room . kid friendly place . pool stay shade til 11 1130 . not worry , sun , kid nice follow shade . provide noodle volleyball basket ball net one pool , also ball pool . rent cabana one day , find waste money . turn mister ? ? ? turn misters area pool . Marketplace kid med like chicken salad sandwich . Tuna sandwich good . pool bar drink resonable price . 6.50 pina colada , bloody mary . skip margarita . folk pool pool bar nice.requeste view room , get look constuction across street . hotel far everything . prepare drive . take advantage free valet service hotel.s tip buck save parking car.josh bell desk wonderful . somehow remember everyone 's name . nice guy . nice property , would come back . 
 Jul 17 2008 	 beautiful property seem like inconsistent policy 	 first , beautiful , new clean property give Hilton thumb decor construction . pool terrific , fitness center terrific , Marketplace terrific , etc . but dismayed read mere Silver member give upgrade suite question ask Diamond member . husband Diamond member receive proverbial eye roll ask upgrade . week hotel seem pretty quiet , assume property 's policy upgrade . I say , find owner / renter distinction rather irksome . feel like we Hilton Hilton Grand Vacations Club . hello guys- not suppose team ? get treat well Hilton Hotels would ever buy Grand Vacations Club ? seem counterintuitive I . so seem perfect place owner , silver member , status Hilton . rate reasonable , location great , , , property nice . one thing- traveler bad experience door latch right . luckily nothing take room , make effort make sure door actually latch every time leave room . security make round throughout night great friendly . I not know would stay . price set great , employee 's apathy registration attitude towards renter great . 
 Jul 14 2008 	 Awesome Beautiful Wonderful Fantastic 	 one beautiful resort every stay . RCI owner , well worth point . pool absolutely gorgeous . grill outside grill lunch dinner . room beautiful also , comfy roomy . 1 room/ 4 Person max suite . full kitchen , garbage disposal , wahser / dryer , several accommodation place . great able go grocery store , buy food , cook hotel . hotel north side strip pretty far walk distance many new casino , drive park casino take public transportation . things- staff great . valet great . nothing negative say place . 
 Jul 13 2008 	 Great Hotel 	 Hilton Grande non - gaming hotel Las Vegas strip across Sahara hotel / casino . four day spend Las Vegas honeymoon notice hotel matter nice outside smell like smoke sweat casino floor . add noise gaming floor fact check desk require guest walk casino say Hilton Grande BEST hotel see weekend . we spend weekend one bedroom king suite beautifully appoint . full kitchen utensils coffee , creamer , sugar w/ coffee maker . living room comfortable bathroom towel washcloth could possibly use . check front desk quick easy check agent even call room let we know firework would weekend not stand wait look up . the marketplace downstair little pricey convenient Starbucks coffee breakfast sandwich tour . cvs next door purchase 6 pack water put fridge take we day . we use monorail get strip convenient hotel . leave hotel front lobby walk leave toward Sahara hotel . enter Sahara Monorail entrance 1 o'clock . take we 5 min get Sahara also ride brave amongst may find fun : ) next trip Vegas definitely stay Hilton Grand . see many people schleppe luggage casino floor way would stay game hotel Vegas . 
 Jul 9 2008 	 great stay not want sleep 	 friend one bedroom 4th July weekend . get room think look really pretty check staff friendly helpful . huge problem sofa bed sleep worst . first night sleep torture device call front desk see could get roll - a - way tell not . hotel not roll - a - way ? ? ? second night sleeping rack call house keeping bring pillow go sleep floor never bring . last day go speak manager never get pillow want confirm whether actually roll - a - way tell fire hazard . say foam topper sofa bed . would helpful three night ago sleep . , going stay sleep sofa bed make sure ask foam topper first night - good luck ! 
 Jul 4 2008 	 awesome 	 wonderful experience ! everything place awesome . stay tower one . room separate bedroom Jacuzzi , great bathroom beautiful shower , full kitchen ( Albertson ' close buy food ) living room . request room since 25th anniversary . management send employee room nice bottle wine ! price right $ 129.00 per night ! ! ! ! ! ! Vegas several time far good place ever stay . fact casino major plus . glad ' experience nasty stale cigarette smell every time enter building . 
 Jun 30 2008 	 Bargain Strip 	 be look base operation fun various point Vegas , would place . relative amenity , hotel bargain . suite Embassy Suites equivalent less 2/3rds cost standard hotel room Bellagio Caesars Palace . long drive , room washer dryer come handy , full kitchen . spa tub average , walk shower outstanding . separate air conditioning unit live bedroom come handy well . the hotel 's pantry area well stock wide variety food offering , however business exercise center small volume evening user . just three quibbles:1 ) pantry area stock drug , necessitating trip neighboring CVS.2 ) 10 a.m. check time early . Hilton property , either 11 a.m. noon.3 ) Express Check receipt option . would seem brainer standard Hilton property offer service Hilton Honors member . all tell , convenience downstairs gaming room not necessary , be look medium long term stay Las Vegas , want strip , place . 
 Jun 29 2008 	 bad experience 	 Hilton vacation member stay last year time start Father 's day 4 day year stay Sunday Saturday . pleased last year everything since not stay resort since buy vacation membership Orlando everything nice staff friendly . rent 3 bedroom suite plus 2nd tower 's roomy like home away home . horrible downside trip Thurs . night husband son come back late run Circus Circus clay face sculpture run downstair market forgot put security latch door . middle night sometime 12:30am 6 someone push door able open take purse , husband 's cash child 's wallet kitchen table . scary since child sleep sofa bed living room mom , sister family also . security guard come room around 6 am try wake daughter open door turn door handle thief ( thief ) leave locked position leave would not hear door shut . door heavy make quite loud sound shut . inform next morning report crime 4 guest Tower 2 break since security guard inform we 's possible get room push hard enough door . upset not make guest aware resort not video camera hallway . supply kitchen Cuisinart appliance can not afford high level security ? save grace trip security staff able retrieve purse digital camera cellphone . none credit card debit card take cash thankful none we harm . warn other Vegas even though night put security latch feel totally safe probally guard . 
 Jun 22 2008 	 A+++ ! 	 schedule stay HGVC Strip June 10 - 20 , flight cancel not make LV morning June 11 instead 8:30 p.m. Tue . night . when flight cancel call HGVC apprise situation , tell would hopefully 10:30 We d. morning . arrive able check right away , manager even credit previous night , not expect ( much appreciated ) . place wonderful top ! book directly Hilton website $ 80 weeknight/ $ 107 weekend guest room , silver Hilton Honors member . Latanya front desk check . upgrade 1 - bedroom suite , wonderful ! put suite away construction ( per request ) . face Sahara Ave . Stratosphere 11th floor Tower 2 . encounter attitude anyone & quot ; renter . & quot ; suite like photo already post extremely quiet . people party hallway ; everyone respect everyone else , even family kid . I rental car park new parking garage . self - park start fourth floor , really not matter floor park ; park close elevator , even 's 7th 8th floor . 's short walk hotel ( hint : get hotel , instead walk step , walk around left side entrance . card key open door . ) elevator hotel parking garage extremely fast . 5 elevator Tower 2 3 elevator parking garage . I worry would hard get hotel onto strip , extremely easy . be drive north strip make left - hand turn onto hotel property . drive i-15 Industrial Rd . Sahara , drive south strip take right property . remember traffic back way Sahara , certainly not even Fri . & amp ; Sat . night . want get Industrial Rd take right onto Strip hotel , drive Circus Circus Blvd . , hang right go light ... 's Industrial . easy get parking lot behind west - side Strip property Rio , Palms , Gold Coast . fast get anywhere . I problem one night sound living room tv sudden go . not even close remote . next morning still not work , bedroom tv fine . call maintenance time . say Tower 2 room close remote another unit accidentally affect tv ; turn Bose sound system back , interesting . everyone encounter always smile friendly , front desk personnel housekeeping maintenance security personnel hotel parking garage . no matter late room ( work room couple day ) , leave return hour later room always clean ready I . I give property A+++ would love stay ! would recommend anyone , unless want walk smoky casino get room . -- Mary 
