nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Feb 18 2006 	 nice people nice hotel 	 reading last review , feel obligated post recent experience Hotel Palomar . maybe ' m quite & quot ; picky & quot ; people , find customer service hotel excellent , compare 200 + hotel ' ve stay last 12 month . apparently hotel good enough win & quot ; Conde Nast & quot ; Traveler 's 2005 Gold List World 's Best Places stay , guess ' m alone think 's nice place stay . be & quot ; road warrior & quot ; , ' m also & quot ; Inner Circle Elite Member & quot ; , be possible get treat little well average customer , compare treatment chain ( Intercontinental , Marriott , Starwood ) , find customer service adequate . checkin : arrive early hotel ( approx 1 pm ) , not expect give room , desk clerk find one without problem . Based & quot ; Inner Circle & quot ; status , ask could get upgrade . , base past experience equal status chain , prepared accept negative response . desk clerk upgrade jacuzzi suite , extra charge . friendly , smile , welcoming , trait unfortunately see paucity hotel business . Room Service : believe room service Kimpton hotel quite level large hotel , boutique hotel , small scale definition main chain hotel . say , think quality food ' ve order Kimptons hotel exceed rival . I breakfast hotel restaurant , though expensive , really rival hotel ( esp . San Francisco ) . service fast good , problem there . room : clean , relatively new appear furniture ( , maybe ' m picky other - stay enough hotel able judge quality room accomodation ) . bathroom jacuzzi separate walk - in shower Aveda toiletry . overall : consider booked room Travelzoo discount 150 ( $ 25 discount towards restaurant meal ) , would definitely stay . friendly , welcome staff ice top feature would lead stay again . I think Travelzoo offer also free parking driving , may run March ( weekend ) . also & quot ; Hot Date Hot Rate & quot ; special ( like kimpton ) 
 Feb 16 2006 	 stay somewhere else - luxury hotel make stay well bad 	 stay Friday night Feb 2006I start issue reflect less preferential quirk ... 1 ) order room service 10:30PM ) person answer phone know offering b ) person call back ( supposedly know offering ) within 30 minute c ) call back 30 minute get someone answer phone within first 10 ring ) call ( 13 ring ) person handle problem promptly e ) scant offering one ( one ) pot pie chef salad f ) order say food 30 minute less thank 1.5 hour g ) salad cold populated brown lettuce , stale / dry cold cut , white tomatoeson quirk ... Quirk # 1 : want bell hop touch luggageI wnat bell hop ' push trolley & quot ; want bell hop even know namei pay facility hotel - trolley part facility - bell hop tell use bloody trolley . say want ferry luggage room use trolley perogotive - let me.quirk # 2 : want valet touch cari accept generally tolerate andso , , pay parking well tip valet - , call carat 7:30pm 1 ) concierge answer phone2 ) call front desk ask car not tell & quot ; take number & quot ; 3 ) not take 25 minute get car ( note : one car bring 25 minute next day - within 5 minute ) .quirk # 3 : select hotel & quot ; pet friendly & quot ; .A pet friendly hotel allow leave pet room feel safe willing take responsibility . indication requirement attend dog time check ( quite bait switch not tell -how- friendly ) . take dog us - event require leave car , require drive rather take taxi , eliminate need go drink - and - dance party remain 100 % sober way drive . when travel europe , little burgh along Rhine get well service know thereis service available rather feel theservice available isn't . when travel Singapore luxury hotel none issue raise near visible - much less occur . when travel Mobile Alabama get treat well ... future opt motel away location event take three room price luxury hotel able walk resturaunt evening meal - leave dog room pay nothing parking , need valet , use trolley want bleed bell hop tell ferry luggage room . 
 Feb 12 2006 	 wish could stayed long 	 Hotel Palomar fabulous . First 's great location - right Market Street heart San Francisco . within walk distance multitude shop , restaurant , Sony Metreon Moscone Convention center . staff courteous hotel wonderful decor . room small side , view leave something desire , ( view Old Navy Store downstairs ) would stay tonight could ! wish dine restaurant , ( aroma come great ) not time .. next time . 
 Jan 28 2006 	 Fabulous always ! 	 stay Hotel Palomar 3 occasion . group friend take annual trip San Francisco girl time lot shopping . staff Hotel Palomar outstanding . never feel welcome hotel . consider stay another hotel , since nightly rate fairly high , say switch ! completely spoil rotten ! ! location beat . able walk everything need . check , never get car garage ! possibly swing price , stay ! disappointed . moment check , rest assure , well take care . 
 Jan 26 2006 	 Leopard skin carpet ... awesome ! 	 stay hotel summer weekend 2005 . overall great experience . room funky clean . bed huge comfy . bit pricey side , really can not beat location tourist . Steps Union Square , street car , pier . walk distance baseball stadium shopping mile . I would definitely reccomend first timer city . parking bit pain butt though , wary . 
 Dec 31 2005 	 Perfect Place Chill 	 find , price match ! everything hotel perfect friendly clerk soft sheet comfy bed . service impeccable , treat like family immediately , even give location close inexpensive garage . room large , particularly San Francisco standard treat like royalty . place stay SF .... 
 Dec 26 2005 	 Service 	 Palomar strike hotel . everything subtle refined comfortable . know arrive somewhere special moment walk . one staff member , however , absolutely sublime . Ana , front desk manager , star player Palomar 's well - oil team . represent kind customer service nearly non - existant day . many front desk manager encounter travel try pomp end come completely offensive ineffective . Ana exceptional -- often greet we name inquire satisfaction . ever - humble responsive . know many four Seasons manager could learn much style . 
 Dec 13 2005 	 happy come back 	 visit San Francisco business , enough time good thing hotel offer . time visit fame french restaurant fifth floor ... room spacious , nicely decorate . bed firm , pillow , love turn - down service . business center fifth floor unattende well maintain . even travel without personal computer , check email , browse web print material . also ideal browse nespaper morning . love DVD / CD player . wish come back leisure visit take full advantage hotel ... 
 Dec 11 2005 	 wonderful Hotel : will not disappoint 	 hotel disappoint . room soothe decor plenty space , bed comfortable . room face inside square , never noise . every staff person encounter , people desk wonderful doorman , friendly helpful . even room service dinner one evening team play - excellent ! location midst almost anywhere want go . one gem ! dog lover , could help notice pet accompany . addition , call masseuse dog 30 minute 60 minute massage ! unfortunately , dog accompany we - perhaps next time . 
 Dec 8 2005 	 pleasure Staying Palomar 	 Excellent service . room comfortable quiet despite Old Navy Store Market St. , bit small , drawer long stay . eat Fifth Floor dinner heavenly . conviently locate everything concierge Virgil well ! ! ! swanky luxurious , enjoy . 
 Nov 6 2005 	 Great Hotel ! 	 Palomar terrific hotel -- stylish , great service , good location . 
 Oct 12 2005 	 Loved ! much well ' W ' 	 super hotel . recently stay one night ( one night pricey & quot ; W & quot ; San Fran ) Hotel Palomar far superior ! locate close one another -- convenient location -- Hotel Palomar nicer ( large ) room , friendly service & amp ; well amenity ( free wireless access in - room ) . Hotel Palomar also much clean room ( W 's far spotless ) . , Hotel Palomar $ 129 less ! Palomar Kimpton hotel , representative hotel , look . Skip overrate w enjoy lovely hotel . 
