fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Apr 10 2009 	 Perfect place stay want see city 	 get great deal hotel could not even believe . $ 59 per night ! book double room tiny bed comfortable . bathroom clean shampoo , conditioner body wash dispenser . take note use soft water bring hair product ! water humidity hair really frizzy . think decor nice cultured . build historic look ' brand new ' book Westin place like . walk city day take cab night . would suggest take straight walk path Sutter downtown going . city go one street depend many homeless people . bother hear people agressive . seem flock towards shopping / downtown district day time pay attention . hotel offer free table wine lobby 5:30pm every day . refer & quot ; wine - thirty & quot ; . refill glass much want aware 30 min . take away . night take cab ideal . hotel hail cab 2 second . pay $ 10- $ 12 go one way across town . check Mission North Beach area night . coffee morning restaurant connect hotel never eat dinner . coffee strong good . use computer lobby although pay use convenient use book trip Muir Woods Sonoma . staff hotel nice problem - check breeze . going take free hotel car train Powell Street something wrong car hotel give we $ 8 cab . super nice ! ps . agree review say see photo 3rd world people wall stressful . think photo stressful large amount homeless people completely pass street city ? get grip ! 
 Apr 9 2009 	 not know be rate highly 	 initially pleased see high rating Hotel Carlton ( HC ) get tripadvisor -- , traveler expert . however , arrive , take aback old hotel feel , despite update global decor . everyone already mention , staff great . book Queen room give high floor , upon request upgrade ; however offer King room . think bothered hotel fact art suggestive folk struggle develop world . not get wrong -- partner work non - profit work w / population marginalize . however , ' m vacation , would like feel like be okay splurge take care . suppose 's pretty disintegrated view life , suppose would nice feel like room place could really relax enjoy . other mention already , dodgey area walk try navigate around city foot -- aware . also not like fact parking whop $ 35 / night open lot across street , particularly area . not think would go back Hotel Carlton . 
 Apr 8 2009 	 Great Service Thin Walls Best Neighborhood 	 not good introduction San Francisco . cab driver take we right middle Tenderloin District way hotel take direct route freeway airport . Tenderloin district & quot ; pit despair & quot ; quote Frommers Guide Book . ( read get hotel . ) hotel right edge district , think make big mistake book hotel bad neighborhood . ( not know anything book . ) give hotel credit , room decent size clean . wall , however , thin , situation middle night people next door keep we awake talking . service excellent . hotel staff reception could helpful . pay high price hotel , learn get pay . think hindsight book expensive hotel do research location hotel . would recommend hotel friend location . tight budget , would tell decent hotel money , careful walk . San Francisco downtown , way , typical large american city , mean always want know purse wallet , avoid eye contact many homeless panhandler . 
 Apr 3 2009 	 good hotel 	 great hotel heart city , short walk Union Square , Cable car major attraction also chinatown . clean spacious room , good facility private bath . great place stay . 
 Mar 26 2009 	 fabulous hotel great staff 	 despite edge Tenderloin ( ' dicey ' area time ) , feel really safe travel single female . great location catch mode public transportation . room spotless , whole hotel ' go green ' part . initially room adjoin another , find really noisy - could hear loud voice tv people . need request another room , one moment , help Marc front desk . great local restaurant within walking distance , especially good find ' budget - minded ' traveler . good feature hotel staff . everyone , especially evening staff - Marc , Theo Edgar - attentive , helpful , really fun , well highly professional competent job . would whole - heartedly recommend hotel anyone travel San Francisco . warn adjoining room - noisy . room quiet . 
 Mar 25 2009 	 good Stay Multi - State Honeymoon 	 absolutely love Hotel Carlton . period . stay . be uneasy city , location might give pause , not , excellent choice . price , simply can not beat . ( also often AAA member deal certain day - think AAA room rate $ 110 something similarly ridiculously low . ) heck , stay much expensive hotel trip , not like nearly much Hotel Carlton . be like : -- funny , friendly , helpful staff -- beautiful boutique hotel decor -- clean room bathroom -- free evening wine reception -- really excellent middle Eastern restaurant downstairs -- price : amazing value ! like : -- neighborhood unsafe , be terrific . 
 Mar 25 2009 	 Excellent hotel explore city . 	 2nd time Carlton safely say will not stay anywhere else San Francisco . room clean , staff friendly helpful location perfect explorer . 's market ton coffee shop , deli restaurant within couple block hotel . be walker walk everywhere - Fisherman 's Wharf , Chinatown , Ferry Building - take Muni place like Haight Ashbury , Castro Mission District . 's worth buy 3 day pass though be plan use cable car / bus / trolley . hotel wine reception every evening approx . 5:30 great way meet traveller find 's go might miss . 
 Mar 21 2009 	 good value 	 boutique hotel good value look decent location ( block away main Union Square shopping district ) . hotel staff great helpful come assist us times - funny always add enjoyment trip ! room clean comfortable . negative room could sometimes little noisy give good value hotel , still overall place would recommend ! 
 Mar 17 2009 	 Brilliant Hotel 	 fantastic time hotel - staff lovely , hotel room , quirky bright breezy , great . central location therefore close everything , ie . tram , train , taxi ' etc . although walk around easy too . lovely little reception area hotel ideal meeting place , lot people lively fun - fill . Wished could stay much long ... one point concern , ask price breakfast , give ' minimal ' amount get load local taxis , tip , etc , etc ... make much expensive . beware remember ask final price .... 
 Mar 15 2009 	 affordable hotel- priceless service ! 	 recent trip SF , friend book Hotel Carlton fun weekend city . walk hotel little expectation , another hotel room sleep weekend . blow away genuine attentive front desk staff ! address we name , inquire stay ( hotel daily tourist activity ) . request ( ice bucket , additional glassware , etc . ) meet swiftness smile . nightly wine - hour liveliest ' ve see hotel- ever ! great see guest interact , hotel staff . treat ! say enough good thing hotel . since ' ve home , ' ve tell everyone know Hotel Carlton BEST place stay SF . affordable spot , priceless service . to staff Hotel Carlton- Thank ! 
 Mar 14 2009 	 friendly clean economical 	 second stay property new management , quite enjoyable . staff friendly attentive upon arrival . reserve two room orbitz.com 5 nite 4th floor Nos . 404 408 . room ready clean aptly decorate bedding par 3 -3.5 Stars . positive review correct . problem noise , thin wall heat .... extra blanket available . odor ... maybe food restaurant below . yes lobby nice 5.30 ... wine service begin . absolutely would return fully recommend traveller look hotel 3 - 4 star range 
 Mar 11 2009 	 Excellent value 	 lovely hotel , good location , great vaule .... complaint . room good size , well equip comfortable . do not find cold noisy all . the staff good fun pleasent . provide small map San Francisco check mark hot spot place aviod . there free wine reception every evening ( altho make ) .If pan go San Francisco sit Hotel room hour may want look 5 star hotel stay much find hotel fantastic value money comfortable . do not eat restaurant look smell good . also do not use car park really do not need car San Francisco . 
 Mar 5 2009 	 hit miss 	 hotel great budget conscious traveler . room clean , price unbeatable . however , room also noisy , unpleasant odour . heat centrally control , not come 9:30pm - uncomfortably cold mid - February . space heater available , heat room well enough . staff member great , parking expensive , location okay , towel suck . not know hotel rate high . good choice budget conscious people . 
 Mar 3 2009 	 look smart cosy hotel - ! 	 Carlton brilliant place stay , home home bargain price great location . spend 8 night early February ( select result rave review TripAdvisor ) , delight . room ( 4th floor ) light , bright large smart bathroom walk wardrobe . bed comfortable ' ve ever experience hotel . reviewer talk thin wall not notice room . lounge area welcome , open fire , big comfy sofas nightly wine taste . asian decor , colour furnishing lovely well think . staff helpful ( theo particular ) . careful opening time attach restaurant ( Saha ) ; fully book 2 evening try eat , obviously popular . next door restaurant ( Brick ) great value , good food , cosy atmosphere , give visit . problem location area - although pretty shocked overall number homeless city . eat breakfast Golden Coffee Chan 's Coffee House road - cheap absolutely fine . 
 Mar 1 2009 	 Good Place stay come back 	 stay Hotel Carlton four day recent visit San Francisco . please hotel . good description room & quot ; frill . & quot ; clean good view Sutter Street . location hotel great . 3 bus line pass hotel . able go Downtown , Union Square , Chinatown , Japantown Market Street bus . the daily complementary wine service great . make sure get 6 pm . hotel close shop complementary wine 6:01 pm.the wall thin ; able hear neighbor ' conversation know get phone call , could also hear phone ring . bit annoying . over , Hotel Carlton good place stay good value . 
