thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Dec 16 2008 	 Excellent Hotel excellent location ! ! ! 	 stay Sheraton Wharf November wife , mum , dad , brother partner . sum hotel one word would use ................ brilliant ! ! ! ! ! ! ! location hotel great . close Pier 69 also begin Tram line . get easy . the hotel nice bar great outside seat area open fire table . now important part , room . room absolutley brilliant . clean modern . 2 double bed nice TFT TV . decor bright fresh bathroom everything need high standard . look like hotel long since update room perfect . I seriously can not speak highly enough hotel . be look stat San Francisco make hotel , A+++++++ 
 Dec 13 2008 	 love hotel ! fabulous 	 timeshare starwood book starwood prefer guest card . we delight proximity everything san francisco . take we 2 minute get harbour view alcatraz , golden gate bridge course pier . we meal first night stay definatley disappointed . room immaculate , bed like sleep cloud toiletry great . starbuck coffee room , plasma television , great wardrobe space , good view , fire pit outside great sit smoker , delight cig two guest whilst drink bar . the fly ointment deposit hold credit card . appear £ 100 night stay . mean £ 400 hold credit card still release week arrive back UK . email starwood expect reply shortly . otherwise , hotel everything need . brilliant 
 Dec 12 2008 	 great location ok hotel 	 husband stay one night hotel December 2008 . hotel clean close Fisherman 's Wharf get . 's convenient location tourist walk wharf , Little Italy Chinatown . refurbish hotel since last time stay 3 year ago . old decor kind dark hue 1970 's fisherman 's theme . white splash teal pastel hue - guess move 1980 's . 's improvement make thing look little bright cheerful , also remind one home improvement show $ 100 budget redecorate room . bed comfy , flat screen HD tv nice . bathroom tiny . for Starwood member , long club lounge complimentary breakfast like use . inform though buffet breakfast ~ $ 21 morning . go give try wait seat , peeked buffet see little chafing dish runny - look scramble egg , fruit pastry . yes , parking ridiculously price ~ $ 50 / night hotel . 
 Nov 29 2008 	 cool funky hotel great location 	 really like hotel . room modern funky bed amazingly comfortable . great hd tv room . niggle bathroom small , not go wonderful city spend lot time bathroom . really nice sit area outside hotel nice relax flame - perfect place drink day see sight . 
 Nov 23 2008 	 good locatio 	 location good , close pier 39 cable car stop . room ok comfortable bed . car parking expensive 49 $ per night . feel rip reduce rate hotel guest . public car park near charge 25 $ per night . sure would stay . 
 Nov 23 2008 	 Nice Great Location Staff ! ! ! $ 45 / night Parking - Ouch ! ! 	 outstanding hotel great location one block Wharf . room large well appoint plasma tv . staff extreme ; friendly helpful . concierge outstanding set nice Napa Valley wine tour . also , recommendation local seafood restaurant right . locate within one block Safeway Trader Joe 's snack beverage . appetizer drink expensive . buy enjoy fire pit side lobby door . fire pit really fun cocktail snack - like outdoor room : ) one hassle we bring food beverage , opposite seem glad good time . breakfast buffet $ 21 / person breakfast deli run $ 10 / person . across street IHOP - well deal . I would give 5 excellent except parking fee . rental car except one night find parking cost $ 45 / night . son find place half across street , come $ 45 - for guest / night -- bring car unless money concern . 
 Nov 22 2008 	 ok hotel pricey San Francisco 	 stay recently half . find alot hotel San Fran pricey . hotel room modern . comfortable , dodgy green / blue colour room make feel cold . parking complimentary , approx $ 50 day hotel car park . would recommend go accross street public park , $ 25 24 hour parking . Wifi free either room . staff particularly friendly either . job , really not put anything extra work . 
 Nov 16 2008 	 Ridiculous Hotel 	 frequent hotel guest Sheraton / Westin / W far bad stay life . location bad , really accessible Pier 39 , Embarcadero North Beach . hdtv nice room nice . not enough make stay pleasant . minute get inform daily parking $ 43 plus tax . turn $ 49 night parking . pathetic . ' ve never park anywhere san francisco parking $ 30 . ruin everything . not know , not seem like parking fee cause complaint . want word whoever going make future booking , aware close $ 50 daily parking fee . bs . 
 Nov 16 2008 	 3rd leg Honeymoon - Hotel Review 	 room modern colourful . bed huge comfy . starbuck coffee room brew . bathroom little small clean , nice towel free shampoo 's etc good quality . the staff friendly helpful . bar little pricey drink lovely firepit outside sit round . 
 Nov 15 2008 	 disappoint 	 hotel room , would give 2 value customer service lousy get one . take 4 phone call get hold room late arrival still not record check . also problem check get helpful information staff stay . the hotel antiseptic feel . nothing really separate hotel except be expensive . plenty well less expensive place stay Wharf area . disappointed . 
 Nov 11 2008 	 Great Family 	 try Marriott , Holiday Inn Best Western Sheraton San Francisco Fisherman 's Wharf could right ! receptionist ( Andy ? ) wonderful get we great price even well room . middle action Wharf . great family , safe convienant . parking extra . decide Breakfast go star - buck instead . remodel room exterior nice . area loud , hey S.F . staff nice helpful . would stay 
 Nov 10 2008 	 disappoint ` ` upgrade '' 	 husband spend one night Sheraton Fisherman 's Wharf October 2008 . also stay property 6 year ago . apparently hotel & quot ; upgrade & quot ; since last visit , opinion upgrade drastic & quot ; downgrade . & quot ; hotel lose classy feel Starwood property . think look go somewhat modern & quot ; beach & quot ; feel , end seem cheap poorly do . room comfortable bed excellent definitely worth price . brunch terrible - poor selection quality food bad . coffee bitter - I like strong coffee , beyond strong ! hotel great location-1 block Fisherman 's Wharf pier , 's great leave car walk around area . guess expect excellence Starwood property know .... go ! will not stay . 
 Oct 28 2008 	 Close Fisherman 's wharf 	 wanting stay Fisherman 's Wharf area decide spend night Sheraton Fisherman 's Wharf . usually , find cheap option Union Square . rate $ 199 night seem cheap previous period check rate . arrive , one bellman kind , welcome hotel , check , bellman wish well . room seem new , nice match bright color . could hear guest room , think ask moved room 4th top floor . figure one night , also , room nice balcony overlooking courtyard , room one . peeve mine hotel expect sheet blanket bed tuck , hotel , do nicely extra piece cloth across bed reinforce it . room service breakfast great . order night arrive time . everything delicious . I check early next day spend Fisherman 's Wharf Ghiradelli Square . initially plan go Union Square plenty see Fisherman 's Wharf completely bypass San Francisco 's downtown visit . also , one thing stay Fisherman 's Wharf next time rent bike go across Golden Gate Bridge . seem end shop rent bike . 
 Oct 28 2008 	 stay well away one ... 	 although hotel refurbish , be still heart sad business hotel . price , find somewhere else ! one positive thing say beds linen comfortable , clean new . begin , service slow unfriendly . room ( try ) double glaze ( window miss refurbishment ) since room either look onto court yard open road , court yard hotel ventilation equipment directly onto busy road , anything near quiet room hard find . air conditioner ancient , unsightly take good portion room - diminish would otherwise reasonably decent modern decor ( bright contrast colour thing . ) pool area small , uninteresting , right next road pretty much useful get wet rather relax . Valet parking expensive - even SFO . large parking garage right road , self - parking may much cheap . the area unintereste , tired aim squarely tourist . sport pretty much middle - of - the road , overly - price restaurant shop sell nothing would ever consider buy home . rather get hotel another part city visit Fisherman 's Wharf ( must ) bus / cable car / foot . 
 Oct 24 2008 	 new improve 	 's 1.5 year since last visit , hotel completely remodel , retheme . casual , colorful , comfortable . & quot ; beach theme & quot ; would popular family tourist . lot red yellow white blue . overall pleasurable place stay . bathroom bite small , clean update . bed big comfortable . location well . 
