luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Sep 6 2009 	 love Palazzo ! 	 six we book three room Palazzo two week ago really enjoy stay . minor thing rectify immediately . burn light bulb toilet one room not robe , fix issue immediately . aunt request empty fridge also bring room immediately . the all - suite hotel spacious handy family since able entertain six people living room area give time . unlike strip hotel , pretty easy get lobby room . usually navigate casino maze find elevator room . initially , one person wonder toilet stand middle bathroom actually 's room . two extra jet shower , separate tub . also , double sink bathroom . three flat screen tv : sink living room , front bed , bathroom . like Agraria lemov verbena toiletry provide : shampoo , conditioner , bath salt , shower gel , lotion , soap , separate travel box sewing kit , q - tip , hair tie , cotton . also happy dining choice Palazzo well Venetian . really enjoy breakfast Canyon Grill . everything healthy , delicious , plentiful . also nice breakfast Bouchon Venetian . wonderful lunch dinner Noodle Asia , Sushi Samba , Dos Caminos , Grand Lux Cafe , Postrio , good - restaurant Charlie . we read plenty mixed review find service outstanding stay . mom use one hotel 's complimentary wheelchair ask one security guard get elevator go Sushi Samba . show we elevator , escort we way restaurant even give we recommend dish . every single time call one hotel 's department room , always address we name . hotel accommodate different arrival time even accommodate two we early check - in since room clean available . request adjoining room , Palazzo also grant request . it convenient walk venetian direction toward Wynn Encore . also walkway take Fashion Show Mall across street , look half price ticket . the last night stay , slot surprisingly pretty loose . $ 150 evening penny , nickel quarter slot . big jackpot , still win . I can not wait return Palazzo . excellent choice strip . 
 Sep 4 2009 	 Book ! 	 first time Vegas glad stay Palazzo . location perfect , right opposite TI middle strip . look casinos opinion one well one . accomodation , room enormous , large comfy bed , split level sitting area , large marble bathroom three flatscreen tv . could not fault . couple tip , checking try $ 20 dollar trick ( work ! ) . keep tip waitress keep bring drink . also try Grand Lux cafe , great food resonable price relaxed environment . warn though portion huge ! like spend hour research TA not bother book place . 
 Sep 4 2009 	 luxurious accomodation 	 stay 2 night August , hotel special $ 129 / night . room spotless , sink living room , 3 flat screen tv 's living room , bedroom & amp ; bathroom . housekeeping friendly , accomodating & amp ; invisable . casino almost 50 % non smoke even smoking area bothersome good air exchange & amp ; high ceiling . shopping course high end & amp ; affordable & quot ; mortal & quot ; fun visit anyway . Coffee Bean right outside elevator make convenient ( although expensive ) morning coffee . price twice much Coffee Bean near home , & quot ; hey & quot ; , be Las Vegas ! enjoy able stay extremely nice hotel ordinarily would able afford . reservation desk people efficient & amp ; look professional matching uniform / suit . give circumstance would stay hearbeat ! one negative -- -- -- -- internet service $ 13.95 / day , outragious today climate . 
 Sep 3 2009 	 GREAT VACATIONGREAT HOTEL ! ! 	 first time see Vegas , wife sister brother law stay Palazzo 3 night 4 day . we different floor room nice view . fabulous hotel , standard room large studio apartment . nice casino , friendly helpful staff . Vegas great ! hotel great spot , easy get everything . walk distance many show huge mall across street . entire facility really impressive , nice pool , nice place eat hotel , none cheap good , chance stay ! .Hope stay year ! ! 
 Sep 2 2009 	 luxury good value 	 room really well furnish clean ; also spacious . good experience housekeeping staff , great deal make stay even worth . would recommend hotel anyone . also , casino actually smell lot less obnoxiously smoke less crowd casino area . one thing would better indoor pool ... outdoor one , however . 
 Sep 2 2009 	 good resort expensive ! ! ! 	 one good hotel stay problem hotel everything expensive . bottle water 4 6 dollar ! ! ! even internet 9 dollar day ! ! stay dump charge anything course palazzo charge ! ! ! sure think ? guess think since stay expensive hotle pay everything 500 time . hotel staff great . 
 Sep 1 2009 	 Great Room 	 check Saturday night - know would low room inventory - the desk agent ask we want smoke non - we say smoking - she say ok - get room 31st floor - gorgeous view ashtray - I call front desk - he say oh non - smoking floor - they move we next day stay six nightsbut real apology even inform we smoking room available first night - the room fantastic though - greta view strip pool - you must eat Grand Lux Cafe - enormous serving - overall great hotel - I find housekeep friendly staff , always greet hallway . would definately stay . 
 Aug 31 2009 	 large room - 	 First , like stay Strip ( call & quot ; Crazytown & quot ; ) enjoy hotel . not care stay strip need centrally locate & quot ; base & quot ; we various thing ( hike Red Rock Canyon , golf , see show , shop little , try famous chef 's restaurant , etc ) 750 sq foot room , could & quot ; base & quot ; still share one room . assume low room rate $ 179 part current economy another reason stay . say , hotel like many other LV : really nice large life ; busy impersonal . room decor obviously Italian Italy time , bit gaudy would find . still nice , comfortable room 2 double bed full size sofa sleeper . room , huge window afford great view surround mountain bit strip . many restaurant within Palazzo & quot ; complex & quot ; , course , often go casino & quot ; mall & quot ; atmosphere find . try Emeril 's & quot ; ' table 10 & quot ; overlook & quot ; mall & quot ; . food pretty good ( although preferred & quot ; New Orleans Fish House & quot ; MGM ) music restaurant compete & quot ; mall music & quot ; . service great . like eat healthy food also try - enjoy - Canyon Ranch Grill . atmosphere nothing special nice able healthy option within hotel . service average . also try Wolfgang Puck restaurant & quot ; Solaro & quot ; breakfast . solaro adjacent pool . although lovely place , server simply far interested hostess serve we . watch chat several time rather refill coffee , bring iced tea order , etc . ; finally enlist help busboy end tipping since seem much interested job . regard pool ; several choose Palazzo want sun anytime noon - 1 pool become crowd quickly . not want sun noon , definitely luck & quot ; main pool & quot ; see umbrella whatsoever . LV summer heat , would nice shady option could enjoy water without sustain heat stroke . also pool food service see although come cool wet towel cucumber slice . ( suppose could bring & quot ; Hidden Valley Ranch & quot ; eat . ) also never understand pool not stay open late LV . day convention even oppressively hot day , would lovely able relax pool ' ve find LV pool close early - many 8 even 5 ! major complaint Palazzo , despite & quot ; Disturb & quot ; sign door , still startle awake sound shrill & quot ; HOUSEKEEPING & quot ; 9 o'clock hour - 2 day row . 3rd day , handwrote note tell bother we 11 am . day 2 , speak housekeeping tell have room could clean smiled say would back never see room never touch day . one thing point call ahead car use valet parking . must go downstairs , hand ticket wait . although valet attendant well could , self parking much easy going . , feel typical experience large hotel Vegas . hindsight , much preferred quiet signature MGM glad try Palazzo room size convenient location attraction strip . spite problem , be still grand place lot offer . could not list merely average hotel 's massive dozen amenity . love whole & quot ; Vegas way & quot ; though , probably love hotel . think build run & quot ; Las Vegas & quot ; mind rather people visit Las Vegas would actually feel stay . 
 Aug 29 2009 	 Fantastic ! ! ! problem - remedied ASAP 	 get back 5 day @ Palazzo . switch room first night . dirty window , 2 light bulb burn out/1 bathroom . otherwise room clean , show age . second room , dirty window , clean day . another burn bulb . corrected staff . comp desk somewhat helpful , seem bothered question comp . use . ' m sorry not poker room . walk Venetian , nice , friendly staff . Jersey Boys show absolutely Fantastic . Lux Cafe outstanding ! ! ! try First Cafe upstairs , great music , great view TI 's firework dinner time , Pirate Show , nice staff . stay , hope service not slip . may look elsewhere soon ? Pit BossTable games / Utica NY , pleasant talk to / info . . 
 Aug 28 2009 	 another great stay 	 back another great stay Palazzo . 4 night compe . check , $ 20 hand - offer upgrade large suite $ 75 night , view $ 20 night . clerk see $ 20 , say , let see . end great view ( standard suite ) strip , directly across TI . appreciative $ 20 tip . 3 meal grand Lux - great always - fast service portion huge . Dinner morrell also good . casino fun -great bartender main bar ( Bobby ) venetian bar ( Danny ) . crap dealer staff friendly accomodating . cocktail service quick well . big win . slot tight . staff great overall definitly favorite place stay vegas . 
 Aug 26 2009 	 love smell cigarette smoke will heaven 	 return treat fiancee three day desert celebrate birthday . opt upgrade suite since one every decade affair . exception restaurant ( many friggin steak place hotel complex actually need ? ) really nothing exciting place . casino underwhelming ( $ 0.01 slot everywhere ) , pool extremely uninspired , room hardly worth extra cash ( bathroom inconvenient location relative bed ) could room Marriott Hilton ( save L shape couch ) anywhere . we request non - smoking room non - smoking floor . dismay receive non - smoking room clearly chain - smoker bunker least week . every fabric emit ghastly smell cigarette smoke ... joke . become unbearable , finally call front desk 1:35am wait queue less 20 minute ask move another suite next day . problem exception next room still cigarette smoke order -- albeit much fainter -- smell fry food . never receive apology hotel course not get discount first night 's inconvenience . friend stay Palms Place dare say , ) room far nicer , interesting luxurious , ii ) pool much interesting actually get sun , iii ) bill significantly less expensive . so , , save buck stay well place . 
