Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Jan 9 2008 	 hate honeymooner group . 	 book hotel proximity London eye river Thames . since honeymoon request river view , get 1 night , inexplicable reason advise we next day change room , complain manager ( Victoria ) lady cold block ice , care say firmly inform we need change room , & quot ; upgrade executive suite & quot ; , finally move & quot ; executive suite & quot ; learn small room without view ! .We also experience , terrible service room service , include mixed - up order wait time hour ! . also group stay hotel comment service terrible . 
 Jan 3 2008 	 beatiful hotel poor experience 	 book another hotel Go - Today Travel switch hotel week prior trip . hotel lovely location fabulous - however - upon arrival show room distinctly musty smell , mold bathroom bed ( double ) angle shape room . ask change room tell hotel full - additional fee could upgrade gprgeous room river view . protest Iknew first rrom substandard one stay - reluctantly relent husband allergic concerned mold .. try vain additional fee refund . beware hotel other board similar experience . 
 Dec 31 2007 	 Excellent / Superb every way - 100 % 	 arrive post - christmas break . hotel everything & amp ; could ask . staff pleasant / friendly . Breakfast could faulted . many tourist ( american , french , italian , spanish , Dutch etc . , ) stay hotel make proud English ! food hot fresh . room ultra - clean & amp ; relax . central amenity . would definitely recommend certainly stay next visit London . 
 Dec 18 2007 	 beautiful hotel little pricey 	 stay Royal Horseguards two night 14th & amp ; 15th enjoy stay immensely . the room smart without stunning bed comfortable . we river view look London Eye front , Big Ben could see right St Pauls could see along river leave . breakfast buffet style enjoyable . not meal hotel apart breakfast think £ 4 cup tea bit pricey , £ 10 large glass wine suppose hotel price bite silly wherever go . the staff friendly polite overall experience excellent . perhaps next time try avoid ' City Types ' xmas party season though ( hotel fault ! ! ) . 
 Dec 16 2007 	 great Stay - Excellent Choice Hotel 	 great location - quality hotel . river view look millenium wheeel -stunne . public area immaculate , service excellent . room traditional perhaps lttle date immediatley obvious . comfy bed . price resonable drink food etc safe bet quality hotel lovely area city literally 5 minute trafalgar square / big ben etc 
 Nov 30 2007 	 enjoyable 	 stay Royal Horseguards one night 24th November 07 . staff pleasant helpful . bedroom clean spacious . breakfast excellent . ideal travel tube etc . return 
 Nov 25 2007 	 great stay Royal Horseguards 	 stay Royal Horseguards Hotel Nov. 15 - 21 . hotel fabulous location sightsee one short block tube station . lobby beautiful , breakfast room ( wonderful breakfast morning well , although include room ) . room locate 4th floor . not view river , big deal . room perfect size one person think . actually couple could stay quite comfortably well . nice big bed comfortable . great shower well ! staff nice attentive . would definitely stay ! 
 Nov 19 2007 	 would love stay ............. 	 due stay hotel last weekend attend wedding night . arrive tell book even though book 6 week advance would go stay sister hotel Charing Cross . people stay wedding issue well ! give complimentary lunch great ( glad not pay expensive ) free taxi . nearly ruin trip avoid chain . 
 Nov 12 2007 	 great view great value money 	 Thistle recommend chain hotel use company work little choice stay disappoint overall . I deluxe double one night promise river view - certainly get . view fantastic ( opposite London Eye ) even little noisy side hotel . room quite large well furnish ample storage space pleasant bathroom . no complaint staff - reception pleasant arrival checkout . do breakfast consider £ 16.50 continental buffet steep even London . good location minute Trafalgar Square embankment tube station . downside would mention full cost room ( & gt ; £ 300 night ) certainly worth not go unless favourable corporate rate like ! 
 Nov 9 2007 	 Lovely Hotel 	 Royal Horseguards wonderful hotel great eat breakfast , stunning interior comfortable room . downside would note drink food grossly overprice - £ 6 ( $ 12 ) small glass Baileys Irish Cream £ 4 pot tea . would drop price sensible figure would ideal hotel London break 
 Nov 6 2007 	 half term break 	 book twin deluxe room son half term trip London . hotel great location visit sight , convenient tube eye . room however disappointing , much small picture internet site slightly tatty . breakfast include rate good , although pastry poor quality price charge . eat restaurant two evening - two course set menu good quality - waiter bite intimidate , relax experience . would stay location , would try ensure going allocate well room . 
 Nov 5 2007 	 good hotel great location 	 originally book new Park Plaza County Hall girl weekend , due be late opening transfer Royal Horseguards instead . luckily benefit low rate ( £ 90 B & amp ; b ) Park Plaza pay difference . the room large , sofa , amenity fine ( include shower pressure ! ) , breakfast good . sound proof room good , ask neighbour keep 1 am could hear every word ! check little chaotic , put charge two room onto one room , promptly sort . overall pleasant stay , especially price ! 
 Oct 18 2007 	 poor value money 	 great view London Eye bedroom highlight stay thing London pay ! room large quiet , albeit shower trickle . service downstairs lobby lounge lunch soup sandwich slow . expensive . 
 Oct 13 2007 	 bad hotel good location 	 good thing hotel good location near theater tube . experience hotel horrible . first , hotel advertise room view Thames . room small , smell mold , window open small opening building 2 meter wide 3 meter long . entire space enclose since first floor almost light come room . wake morning sunny day , window would still dark look like still night . plus hotel room 6 foot mine look across space keep curtain close almost time . aside room , find staff bad ever encounter . prepay room Expedia . check lady front desk say room breakfast prepay . 4 5 day eat breakfast morning . quite mediocre consist runny scramble egg , bean , grill tomato , bacon . nothing special . upon check bill 17 pound breakfast morning plus charge item mini bar never touch . tell man check tell breakfast include say pay . tell take anything mini bar say could deduct . take mini bar charge bill give new bill . one charge breakfast morning , one day charge two breakfast . ask double charge say must guest . tell guest ask remove charge . man , remember assistant manger , quite huffy difficult deal . ultimately take second breakfast bill indeed pay whopping $ 35 dollar day $ 6 breakfast . experience hotel good would stay would recommend anyone else . stay , make sure carefully review bill upon checkout get room really view Thames . 
