cleancomfyperfect 	 second stay travel inn 42nd street . even knee damage find location theatre shop ( time square ) within comfortable walk distance . I book single get double double , near lift request . forgot hair dryer uk USA adapter provide ( hair dryer room , plug request ) handy later check 12 pm , still get run last min errand last day . easy walk subway port authority . also across street drug store food nearby . fridge microwave room nice touch warm . can not fault place price location . small cozy , well look helpful staff . will return def . reccomend NYC traveller want comfort budget location ' the thick ' ! 
 Dec 13 2004 	 would stay ! 	 really suprise nice hotel . book double / double 1 night $ 125 . hotel next 2 day twice much quality , difference location . find hotel soon would booked entire stay . room clean normal size hotel room normal & quot ; New York & quot ; size hotel room . room overlook pool would great summer . get back stay 12/9/04 would go back sure . staff nice professional , big plus free parking secure parking lot . parking cost $ 40 night New York price plus free parking , can not beat ! 
 Dec 7 2004 	 Great Place Stay 	 stay Travel Inn Manhattan December 4 , 2004 pleasantly surprise . give weekend popular holiday season , difficult time find hotel . originally book room Super 8 Times Square ( $ 329 ) , base review bed bug , look something else . pay $ 190 per night Travel Inn time year , good price . ' ve also stay much bad hotel Manhattan pay more . the review Travel Inn accurate . positive : hotel clean , lobby attractive , people front desk friendly , reservation process smooth , hotel quiet , room ( double - double ) size average hotel room large city hotel , elevator large ( , old city hotel ) fast . , bathroom large enough counter space . pool look nice though one swimming since December . area parking garage check bag check leave town . negative : towel quite thin ... think hand towel wash cloth 
 Nov 25 2004 	 love NY ! 	 stay October fantastic time . room large enough accommodate new purchase ! staff helpful . change traveller cheque we need cash cab also let we check hour late shopping last minute trip need time . would definitely recommend hotel definitely return . swimming pool would great weather nice . 
 Nov 10 2004 	 great value hotel smack middle town 	 get back stay New York , find hotel Trip Advisor feel duty bind write little note . Travel Inn gem , although four star cheap cheerful , safe clean . staff friendly accomodating . it be two block subway , jersey ferry terminal , port authority bus depot : ( bus jfk / la guardia $ 15 drop every terminal ) , -gray line bus woodbury common $ 36 - huge designer retail outlet ) great deli downstair stuff gut $ 5 free refill . room clean everyday gonk put telly REALLY loud 6 am , reception sprint stair sort sharpish . sure be little worn edge one cupboard miss catch - three we share $ 120 - come , be bargain . advice get cab $ 45 get bus back airport.anyhoo - 's P.O.S.H u try Pierre Park . value money try Travel Inn . 
 Nov 4 2004 	 Super little find ! ! 	 recently pleasure stay Travel Inn New York , good value , friendly sincere service . big room comfy bed . swimming pool ... sunny day ! ! excellent clean bed make every day . location 2 block west Times Square ... one block subway minute Broadway ( subway ) cab driver know take road nypd.lovely original deli downstair . cosy gift shop ... really nice lady run could not helpful . just one block circleline cruise water taxi town 10 min . reception brilliant - check smoking room ( non smoker ) ask change truly problem do there . Dont put low price stay previously Lexington posh expensive hotel , totaly rubbish ! ! * * * Raddison do not go * * * * give Travel Inn go totally brilliant . 
 Nov 3 2004 	 Nice Clean Hotel / Free Parking plus 	 visit last week October . hotel easy reach driving . Lincoln Tunnel Henry Hudson Parkway close . onsite deli good breakfast . great sandwich place two door west call Starwich . east 10th 42nd good sized grocery store . large internet cafe 234 W. 42nd . around corner 10th sport 's bar call Mr Bigg 's serve decent chicken wing . John 's Pizza 260 W. 44th must . room Travel Inn clean bed nice firm . bathroomsare small , fine . location great access around Manhattan . park car onsite garage , buy Metro Cards travel Bus Subway . would hesitate stay ! good Value ! 
 Nov 1 2004 	 great location ........... 	 & quot ; hotel staff grim welcoming & quot ; ...... agree ! ! ! give 5 point ..... friendly ! ! ! ! 
 Oct 29 2004 	 good enough 	 Read report please position . hotel cafe OK Kraft restaurant across road well quality service full local well tourist . easy walk without suitcase Port authority Bus station arrive bus Newark . bus good value quick . times square reach easily . supermarket next door great snack buy metro bus pass $ 7per day adn hop 42 bus hotel 5th 6th Avenue link part city . hotel staff grim welcoming . however need extra pillow adn assistance TV soon sort . quad room ok bathroom bite date tatty . room overlook pool quieter area noisy night constant siren . heating last week whcih much people complain cold must Florida cool cold . choose stay prepared clean basic good position like edge action . pool area look good summer parking look ok see price carpark close hotel make definite choice u car . think go Jersey shopping Mall New Jersey day free tax clothe bus Port Authority 110 take Ikea / toy r we really cheap quick . mall 200 shop lot big name good food hall . spend 5 hour bag bargain . designer type Gap Old Navy etc . 
 Oct 29 2004 	 good hotel good price - stay ! 	 stay last week 6 night read previous review site . excellent location , far enough away time sq avoid chaos area still easy 10 min walk 2 min bus ride - bus stop across st . eat breakfast Kraft diner across street - usual stuff available . book non smoking room hotel website give smoking room rear hotel - face railway track ! ask non smoking room front face 42nd st - noise be not bad night , bear mind good location . front desk staff polite room ( double / double ) good size clean . , great value money . ( possible , go Jersey Gardens Mall NJ - get 111 bus Port Authority Bus Terminal - 35 min - good range shop SALES TAX ! ) 
 Oct 11 2004 	 great place 	 stay Travel Inn Oct 5 - 8 , 2004 . hotel extraordinary value , clean easy walk anywhere . be far enough Time 's square get away bustle still close subway sight . great restaurant bar 3 block NE hotel . the service Fairmont level , staff courteous quick . hallway front smoking room , could smell smoke room smoking room smell fine . also , room pretty small , price expect much definitely comfortable . 2 - bed room comfortable size . I would definitely stay . 
 Oct 1 2004 	 Loved ! ! ! large room close everything - great value 	 get back stay Travel Inn , Sept. 24 - 27 ......... review right , great place , nice Big Rooms , nice large closet , 3 block Time Square ......... great .......... ' m picky hotel ........ place awesome ......... stay last year Time Square Travel Inn 100 % well , large room , large closet , nice staff .......... would stay anytime ....... front desk staff , especially Jacquelyn helpful ........ small gift shop , purchase tour , stamp , etc ....... car safe garage , light camera , security ....... totally free .......... not want walk time square cab , cost $ 4 - 6 , bus stop right outside Travel inn $ 2.I ask inside room -- -- get room window overlook pool , great quiet ......... oh , around cafe , food , even CVS pharmacy , ( like Walgreens ) right street , grocery store .......... two block we see Lion King Amsterdam theater ........ stay nice ............. encourage anybody stay ........ 's worth ......... price great room nice.email question . 
 Sep 29 2004 	 wonderful value 	 town 6 day NY Fringe Festival . place rock ! ! ! would bring wife seven year old heartbeat . close theatre district ( like actualyy two block theatre ) , pool , close subway train . also sort remove quality get inside , could actually forget busy city US . ok , let us realistic . not going pamper . staff extremely helpful ( wake call , car airport , kind stuff ) get BIG CLEAN ROOM location fantastic . 
