Loved 	 get great deal website promo code Thanksgiving holiday . hotel all - suite , huge room / bathroom , quiet , smoke free staff top notch . great service Concierge ( Ozzy ) front desk check - in breeze . never see housekeeping hall , room make every day ( electronic system let know want housekeeping ) . Stayed Tower 1 -- close MGM Casino , enough distance feel like frenzy ( second - hand smoke ! ) . walk escalator & quot ; people movers & quot ; provide high heel wearer respite walk casino . use monorail MGM Grand travel strip -- convenient . ticket purchase right monorail & quot ; station & quot ; ... not though -- nice man give we ticket leave next day use ticket 2 day :0 free WI - FI ! ! ! ! ! definitely stay . 
 amazing hotel 	 boyfriend return 6 - night stay signature . stay one bedroom suite Tower 2 . hotel room absolutely beautiful . great experience would definately return . complaint distance casino ( 10 - min walk ) . day tired make long walk back room . aside , be great hotel regret choose stay . 
 watch ! 	 ' watch . stay 2 night , get 3rd night free deal even paperwork name people talk even though e - mail offer send directly , take hour get honor . however hour , every single person check kind deal something , drink , whatever every single person fight hard get honor special . travel living , go Vegas least couple time year work . really great place , 35th floor Strip view Jacuzzi kitchen . get private cabana pool , might well , ' pay resort fee . fight ruin though . go leave high dry finally prevail upon right thing . never see anything like people , even Newark ( personal standard hassle travel ) . plus try make feel cheap honor deal . give break . 
 worth walk ! 	 yes , hotel strip . take 15 minute get front MGM ( strip ) . walk signature hang leave walk Planet Hollywood strip ( 15 minute walk ) . walk easy big deal . the hotel beautiful . 1 bedroom junior suite connect . room clean , king bed comfortable kitchen set - up helpful . use kitchen make breakfast , store water , beer snack . car drive 5 - 10 minute Albertson ' supermarket . the mattress sofa pullout could little firm . average sized guy ' comfortable . we Tower 1 , Starbucks , fitness center ( modern ) , lobby bar business center . valet parking ( free ) end tip every time . fast friendly.2 minor issue – ( 1 ) get sofa bed make . make request front desk , fulfil . call housekeeping come make sofa ' . 1 day checkout must think check close sofa bed . call housekeeping - fast courteous . ( 2 ) gamble MGM Casino apply comp room MGM Signature . overall great stay . want get away madness end day place . 
 nice hotel 	 can not really comment stay authority , first time Vegas , idea expect . one night , not use hotel facility . however - night , nice hotel . price pay ( GBP80 mid - week ) , promise & quot ; Junior Suite & quot ; , expect Vegas term normal small room . however , definitely suite - sized , fully appoint , way fully - equip blender kitchen area . overkill one night , definitely great long stay . also , one night - 's fair trek strip . assume next MGM Grand ... quite ! although access walk MGM reception , past restaurant , past show , several enclose walkway ... time get ( Tower 1 3 - furth ) , have walk half mile ! tourist - walking , foot pretty tired end stay there . however - hotel nice , long stay , ' m sure would welcome little distance away . service friendly efficient . one night , perhaps try brave one big hotel actually strip , night , be great mix close , close .... 
 Sep 10 2009 	 Sin City 	 Booked signature read review TA disappoint stay . book 1 Bed Suite , worth extra , two bathroom , like apartment city . staff service 1st class , location mean secure 4 minute walk ( ride travelator ) MGM Grand good MGM pool area , spectacular . will stay next return Vegas . 
 Sep 9 2009 	 awesome 	 totally different experience stay instead regular hotel . come concert MGM Grand Arena . walk room & amp ; tunnel connect MGM . close venue . stay JR suite . bed comfy , nice big jetted tub , big shower , nice flat screen tv , microwave , 2 burner flat stove , fridge , toaster , blender , plenty drawer clothe , sofa sleeper , robe . actually able check 11:00 a.m. busy saturday holiday weekend . staff ever friendly , start Valet , baggage personel , front desk etc . problem safe & amp ; send security immedately let enter new code . ASked I.D . ( course safe ) , make feel like really take precation make sure mine . nice balcony make sure ask one . pool nice & amp ; quite , u look action use al pool MGM . even get late check ! superb . back 
 Sep 8 2009 	 Great experience 	 check . price room amazingly inexpensive . enter separate guard gate , fast valet parking . 3 tower - separate registration area . get indoor move walkway ' 4 minute casino restaurant . great room balcony , one - bedroom suite . tower two small deli cook breakfast order sit outside enjoy meal quiet environment . 
 Sep 8 2009 	 Excellent hotel ! 	 book 4 day , 3 night package Toronto Sunwing Sept 3 - 6 . arrive hotel ( Tower 3 - furth building strip ) around 9 am ask could leave bag check strip . offer us strip view room balcony want early check take ! room like picture . make good use not eat every meal since kitchenette room . make good use daily internet room pay resort fee . the walk 15 minute MGM Grand tower 3 another 10 minute get casino strip . not forget anything room walk add day there . checked front desk night checking see could late check give room 1 pm since flight not leave 6pm . all , great hotel . thing not like walk , be want stay air condition tunnel . find could shave 15 minute walk , walk outside , 40 degree . would definitely stay . 
 Sep 8 2009 	 wonderful ! stay Tower 2 Junior Suite 	 nothing bad say , great staff , great location , great room , great value . 
 Sep 7 2009 	 Fantastic hotel superb service wonderful stay 	 signature MGM Grand fabulous place stay whilst cheap place Las Vegas hotel certainly offer first class break . love travel USA service usually far exceed hotel UK , staff seem recognise customer vital business . definitely true signature , staff welcoming & amp ; always please help . take car parking valet & amp ; valet team excellent ; open door & amp ; remember name lovely touch . as room , little could do improve . excellent sized room , closet , well equip kitchen ( teapot thing miss we ! ) bathroom could spend whole holiday , fit double sink , jacuzzi bath & amp ; huge shower . besides second bathroom / shower room . there excellent fitness room signature choice two pool area . one adjacent tower main hotel pool complex MGM Grand . first one quieter , plenty chair & amp ; shade plus cabanas ( hire ) , main hotel pool offer lazy river , hot tub & amp ; couple large pool . much busy bit get , really good especially teenage child . the signature not restaurant , although small bar & amp ; Starbucks , however part MGM Grand , lot restaurant choose main hotel . access via cover walkway 3 move walkway , air condition . I would love stay next time visit Vegas & amp ; would thoroughly recommend hotel . 
 Sep 5 2009 	 Perfect sin city 	 select Signature MGM Grand read review trip advisor , helpful . hotel disappoint , room spacious well apointed , even bath room tv spar bath , kid love . tower pool , though tower 2 large . tower 1 & amp ; 3 average size gym , private signature guest . signature guest also use facility offer MGM , facility tend crow . 2 route strip ( walk ) , first via MGM take 15 min second via signature entrance take 10 min ( air condition ) .if look hotel min strip without noise smoke perfect . 
 Sep 2 2009 	 Smoke free Vegas close strip ! ! ! 	 husband love Vegas hate smell smoke ! stay many hotel near strip & quot ; non - smoking & quot ; floor could still smell air . hotel allow smoking link MGM casino able gamble night 5 minute back hotel room . convenient ! also enjoy little kitchen room . stay 4 day not eat every single meal . save we bundle . would definitely stay . 
 Sep 2 2009 	 Great Spot Stay 	 spend week signature great . junior suite well equip spacious . everything tidy clean include lobby hallway . staff always polite helpful , fact , service top notch . would stay . prepare walking bit walk connect MGM Grand . enjoy away casino pool area busy noisy . note - room balcony junior suite . , ask balcony . would like able step warm Las Vegas air . 
 Sep 2 2009 	 MGM signature- look ? 	 wife book trip last minute birthday surprise we . go 2 we enjoy nice weekend alone . 7 yr daughter decide last minute come we ( love Vegas ! ) need large room asap ! wife book BlueChipVegas.com get amazing deal Jr. Suite book . however , add little person , want space . wife contact Julie Bluechipvegas get amazing last minute deal full 1 bedroom . also special promotion get buy one get one many bar / restaurant inside mgm.the room beautiful . full kitchen high end appliance , huge jacuzzi tub TV master bathroom daughter go & quot ; swimming & quot ; hour watch favorite tv show ( kidding ) , second bathroom shower , room simply put , awesome ! signature behind MGM . Monorail right MGM use hot weekend . never use trip figure heat good excuse , well worth money ! pool/ gym also fantastic great benefit private gym / spa per tower . would recommend bring snack / food/ drink . save we alot money heat nice relax bit head back . stay high end resort world . second stay MGM Signature really , reason stay anywhere else Vegas . highly recommend book Bluechipvegas.com Easy process customer service provide top notch ! 
 Sep 1 2009 	 good hotel ' ve ever stay . 	 money , close luxury will probably get , especially young child . 1 bedroom suite affordable ( watch deal ) well beautifully decorate , flat screen tv 's room , balcony , modern small kitchen everything would need entertain , 2 bathroom gorgeous jacuzzi . junior suite rent nice without bedroom . staff warm attentive . tower own run someone different might want check amenity Trip Advisor reviewer go . stay Tower 1 multiple time love everything , include Starbucks downstairs . tower 2 pool free pen . : ) ( pool guest ) neither tower charge water housekeeping must exclusive Tower 3 . constantly hand free water experience valet quick taxi 's car . would not think stay anywhere else Vegas . 
 Aug 31 2009 	 Excellent Choice Families 	 return week - long stay signature wife four child , age almost-18 , 16 , 13 10 . choose signature excellent review TripAdvisor , package deal offer conjunction JetBlue , availability link room give we space need . would , would recommend Signature JetBlue package deal other , comment board , opinion , little overboard . observation : be go family , STRONGLY recommend limit stay Vegas mid - week , Sunday afternoon Friday morning time frame . Vegas change dramatically weekend , 20 - something flood Southern California party . even signature , not casino nightclub ground , number boisterous young folk lobby , elevator , hallway , scantily clothe drink hand , increase noticeably Friday afternoon ( Saturday afternoon follow Saturday morning ) .We receive excellent service concierge hotel ( Mary Ellen ? ) , housekeep miss room one day take 3 call front desk someone send take care thing ( person housekeeper poor facsimile real housekeeper ) . also notice room service cart tend stay hallway little . small thing , evidence be - all end - all hotel review would believe . $ 20 per room per day & quot ; resort fee & quot ; rip - off . occupy two suite 6 night spend thousand dollar , internet access bottled water complimentary . as type ( 8/31/09 ) , Harmon ( Avenue ? ) , primary entrance signature , undergo significant construction . traffic flow impact , stop light sync , get around taxi take minute ordinarily would . fault hotel , forewarn forearmed , leave little extra time Harmon put back together . make use signature 's & quot ; private & quot ; pool . signature guest access variety MGM Grand pool , include lazy river , enjoyable , although crowd loud , music pump constantly . , however , pool available signature guest private bar , waitress service , towel , etc . not & quot ; discover & quot ; signature pool day vacation , make daily use thereafter . all , recommend signature , would gladly stay . 
 Aug 30 2009 	 fantastic room ( full kitchen ) great service clean luxurious . 	 quite distance strip ( deceive , like Vegas distance ) , notice especially walk . walk MGM alikttle easier move walkway . room beautiful modern amentie appreciate , especially electronic & quot ; disturb & quot ; & quot ; Housekeeping Requested & quot ; switch . not thrill $ 20 / night surcharge room ( Southwest Vacation package price deal ) . sure blame that . wish pool hour long . yoga class would nice touch . overall , beautiful , high class , superior accomodation . 
 Aug 30 2009 	 First Class WAY 	 hotel AMAZING ! tower alone beautiful . room top notch . say enough . the best feature MGM Grand Signature airport check . hotel check - in desk airport , convenient . room key even leave airport , could go straight room . even not , since signature not DIRECTLY strip , chaos free . connect MGM Grand 5 min walkway . be basically like walk extend hallway hotel , even move walkway . room service AWESOME . food good ' ve anywhere . I definitely stay . 
 Aug 29 2009 	 Blue Chip Vegas- signature MGM Grand- WOW ! ! ! 	 second stay signature MGM Grand . last time stay Jr Suite tower 2 , time 1 bedroom , Tower 1 . book last minute thru bluechipvega . com . end call reservation number speak Julie awesome every aspect . go birthday celebration alone , husband nice , romantic , weekend . well , plan change almost overnight . 7 yr old daughter end come we . call panic see Julie could move we large suite . keep mind , do within 36 hrs us check . without issue , Julie able get we move 1 bedroom suite Signature . well worth small fee . room huge ! even husband , would absolutely book size room . full kitchen beautiful stainless steel appliance . family room/ dining room huge . pull sofa bed dining room table 2 stool kitchen bar . master bedroom comfy bed . comfy , overslept morning ! 2 bathroom . one shower ( family room area ) , master jacuzzi tub could swim , tv , 2 sink , amazing . we travel snob every sense . room 5 star way . spotless , clean , amazing . never use Bluechipvegas.com fully intend use anniversary trip October . Julie helpful well concierge , Rajah , & quot ; private & quot ; concierge thru Bluechipvegas.com . we zero issue check , zero issue room , zero issue Bluechipvegas.com flawless , wonderful birthday celebration husband . room absolutely make amazing . drive able bring lot food , snack , drink . would highly recommend anyone drive take advantage full size fridge kitchen . starbuck right downstairs small cafe . workout room ( also awesome ) downstairs well ! thank Bluechipvegas . com book amazing room signature ! 
