Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 may 14 2009 	 never stay 	 first , book online expect jacuzzi suite face strip . get small basic room overlook lovely parking garage . gambling Casino get 2 drink 2 hour period .. extremely rude waitress flag get service . way cool room make even comfortable enough sleep . terrible experience would stay again . the BUDGET car rental person awsome ! DINING FANTASTIC . 
 May 14 2009 	 well expected 	 stay Stratosphere hotel quite quite enjoy . provide room new tower well last time since remodel . bathroom could use upgrade since look much old room , overall still good place stay price room alone . 
 May 12 2009 	 nice clean super - cheap room 	 everything would expect casino strip . stop Las Vegas night , Stratosphere great deal April . room nice , well furnished . downside fact end strip , pretty far everything else see Vegas . shuttle strip ( try ) , could pain get restaurant casino look . downside pool close early ( 7:00pm ) 
 May 12 2009 	 gloriously value 	 meet friend Vegas . stay Stratosphere . get spend night . hotel really pretty . love fact see be drive Vegas . bed ultra comfortable . price blow mind . $ 45 per night . everyone friendly hotel . pool great . stratosphere even house DJ . unlimited drink $ 19.99 c - bar 4 - 8 steal , be drinker . 's busy weekend - revolve casino . downside stay distance Strip also air not seem work well . get pretty hot . overall , would recommend stay beautiful Stratosphere . 
 May 11 2009 	 average hotel 	 stay 4 night Stratosphere 's hotel not upgrade honeymooner hotel stay honeymoon . hotel begin strip , amazing view tower - highly recommend day & amp ; night - rather , be average . defference high floor , cheap room job , nice buffet , nice pool , close store cheap drink snack , nice staff slow service . would defenetly choose next time well hotel . 
 May 10 2009 	 Great Value Great Tower Great Beds Great Food ! 	 title say ...... Stayed end April 2009 cheapy deal $ 26 plus $ 7 resort fee per night . rental car , location free parking problem . Room World 1 Tower level 5 view price include tower admission . room tastefully redone bed soo comfortable ! ! food great deal $ 19.99 eat day . 
 may 9 2009 	 still impressed ! 	 review long overdue . . . however many recent stay Vegas review hotel ' ve venture along way would good Stratosphere Hotel Casino . my hubby stay twice Stratosphere . hesitant 1st time # 1 location # 2 great review ! never impress hotel . yes location definately downfall know . . . 's Vegas plan walk wait matter stay . option deuce . the hotel clean , service great . . . although arrive hear people scream employee front desk issue stay wonderful . issue get room biggie . . . actually put we suite inconvience . comfortable clean room ! . loved pool area even venture european pool well awhile sunbathe . blast Stratosphere . food price reasonable gift shop McDonalds 2nd floor well . purchase alcohol snack , ect . nice convienent . not mind location all . love much book December Xmas stay Romance suite . Loved huge jacuzzi french door . beautiful view , wonderful experience . never Stratosphere disappoint we . not stay year . stay Mirage Honeymoon could say wish would stay Stratosphere instead ! return . . . miss stay . 
 may 6 2009 	 wonderfull 	 stay stratosphere past weekend great.room clean bed comfortable.only problem wasthe tub , high hard get in.last resort strip within walk distance start trekdown strip.go tower view fantastic . 
 May 5 2009 	 great place ! 	 Stratosphere great place stay . though little bit away action center strip . Liked pool buffet . do not forget pay visit top world dinner fantastic view . stay two time probably go back future . 
 may 4 2009 	 view LV strip magical 	 Stratosphere give magnificient view Vegas strip . crazy ride top braveheart . we get strip view room enjoy amazing night view Vegas comfort room . the breakfast spread restaurant , though pricey , offer wide variety taste . conveiently locate plenty parking space courteous staff . 
 May 4 2009 	 ok nothing special 	 stay September 2008 one night . special cheap rate week ( 30 $ ) . room ok quite small american standard . bit old bathroom quite small well . we wireless internet free convenient . look cheap hotel luxury fine , expect much . 
 May 3 2009 	 great value 	 1st place stay trip happy aspect hotel choice quality cleanliness . get great deal hotel want stretch dollar . hire car find problem get around . without transport would difficult due distance . 
 May 3 2009 	 nice room nice pool otherwise kid stay elsewhere . 	 get hotel room book get free upgrade 2 room suite . the suite beautiful , linene fresh , nice paint , wonderful mattress , 5 star room . now , North vegas strip kind away hotel , hotel nearby transient crackhead , roam around night Stratos . next morning walk dennys breakfast , stratos $ 19.99 day buffet , pay , eat day want , great deal hour could comment food . also 4 - 8pm happy hour , drink $ 19.99 , not drink either . nice poker room , nice busy casino floor . staff beyond friendly , pool 8th floor nice , lot lounge chair , nice towel bar . bring beachball big net pool , otherwise like $ 10 & quot ; rental ball & quot ; .Not real family friendly like SouthPoint , Mandalay , Luxor , Circus Circus . PS stratos hotel per say attraction , two wing 23 story say , nice room , friendly staff . 
 May 1 2009 	 well deal elsewhere 	 money stay elsewhere . room locate Regency Tower . trouble find correct set elevator redirect staff several time & quot ; thought & quot ; elevator . although non - smoking room reek smoke contaminate . room small , need renovation , bathroom like small closet difficult open door get toilet locate close doorway . shower nozzle position approximately 4 foot shower tub floor , tall person , like , contort full wash . smell sulfur water enough make grab purse come back ready pass constant hum hiss AC unit right outside 2foot wide window . hotel strip far , far end require lot walk get worth - while attraction . plus side , bed comfortable . first time last time would stay . 
 Apr 30 2009 	 pleasantly surprised ! ! 	 experience statosphere great . hotel clean bed comfortable . problem check . check - in room take 12 min . room Premier Tower , view overlook downtown . non - smoking room , close access pool 8 floor . weather high 20 's , great relax pool . staff friendly , willing help . food also fine . price pay , can not go wrong . remember people & quot ; Ceasar 's Palace Bellagio & quot ; , be want want fork $ $ stay ! ! 
 Apr 29 2009 	 enjoyable stay problem . 	 meet two couple four day fun . room nice , comfortable acceptable , get view pay expedia booking . suppose get strip tower view low get view HVAC unit pigeon live . could'nt even see horizon . big deal we feel little screw . check process wait time painful experience ever hotel . after check get settle happy stay overall . easy walk catch mono - rail . buffet restaurant good . fun go tower . enjoy live entertainment lounge casino . 
 Apr 27 2009 	 Stratosphere staff useless 	 stay Stratosphere 3 night 5 night stint Excalibur . stratosphere clean inside room nice well furnished . gamble away find slot payout ridiculous serious lack slot machine . choose hotel / casino promise nightlife entertainment . first night C Bar busy pretty much . armadillo bar unmarke hide far end casino people front . tell hotel staff bar change several name past month one know open close time . nightclub , although advertise , non existent . encounter rude staff check - in , slot , bar , starbuck , ticket counter , tower . Signage also terrible , pretty hard find way around place first day . pricing sign tower ticket booth say $ 12 hotel guest , actually free staff member tell hinted tip . overall place cheap staff anything relate information signage beyond terrible , wall extremely thin . best place go Stratosphere magic shop nacho restaurant shopping level , people great . 
 Apr 26 2009 	 cheap 	 find Stratosphere clean reasonably price hotel . ... be lookng evening entertainment away gaming table not place ! 's nightclub close advertised ' live nightly entertainment ' simple not exist . need head strip evening jolly . not great problem deuce bus stop right outside hotel , ride busy strip take hour ! 's quick walk bit trek find action , 's good wander around area near Strat dark . we happy Strat holiday , would not stay next time 's far fun . however , location not bother 's nothing wrong staying . 
 Apr 26 2009 	 would think Twice 	 Hotel so - so , facility obviously need remodeling . hotel 1 mile north action , quite way walk . pool area mediocre . entertainment likewise bland . get see & quot ; American All - Stars & quot ; , Stratosphere 's celebrity impersonation act . also , get chance go top floor private pool , advertised & quot ; Europen Pool & quot ; , i.e . patron naked wish . man pay entrance woman get free . hype tough , pool so - so . it good thing get room new wing . least room look fresh . quite walk though get elevator ( pretty much anywhere ) .pros : cheap ratescon : Off - stripTHE verdict : unless look isolation , probably would go somewhere else 
