Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 May 6 2007 	 Ups down 	 today return form 5 day trip NYC . pick Skyline hotel room 4 ( travel 2 young kid ) .Ups : enough space room ( suite ) , concierge staff bell boy friendly effective . front desk staff bad . also guy bar fine . Maids perform well , room keep clean . down : restaurant staff terrible breakfast . one lady calling & quot ; Royal Highness & quot ; bill ( .. serve .... ) not give attention customer never smile face . contact throwing ( yes ... bang ) bill table , start eat . one woman ( refer Mrs. BMW ) try make behaviour bit . do not expect much pool , water quality poor day swim use local swimming school . also miss coffee maker room , coffee available lobby either . like another reviewer also problem tv safe . luckily room two tv 's , least one work . safe worked give reset turning . 
 Apr 30 2007 	 customer service zero ! ! 	 arrive back today skyline 5 day , impressed ! ! stay new part hotel , room lovely nice new bathroom . location hotel great , good distance centre thing nearest subway . bit nervous walk night , could bit dodgy , end get cab back hotel night . customer service reception appalling , staff rude unhelpful . 2 small problem safe tv , go reception 6 time 2 day anyone would help we . arrive reception staff shout match another guest finish 2 staff member take start fight also front reception , appalling , guest everywhere , apoligie , nothing ! ! ! ! ! plus side concierge staff great , helpful booking show , trip ect . 1other thing room tea coffee make facilite , mam dissapointe love cuppa tea . overall happy hotel , would not reccomend thinking booking . could get cheap hotel nearer everything good customer service . 
 Apr 25 2007 	 Great Hotel 	 reading review little worried staying hotel however I m glad say not need too . I stay hotel 11th Dec - 17th Dec 2006 . arrive little early greate helpfull & amp ; polite receptionist . give room key straight away . room double quite large . room clean & amp ; tidy bathroom . room always nice & amp ; warm apart usual sound siren New York quite hotel . we find location ideal , not mind short walk Metro Port Authority ( main bus terminal ) . buy bus ticket Woodbury Common ( outlet ) - must bargin hunter - designer & amp ; half price . hotel 10 - 15 min walk Times Square . pay breakfast every morning not disappointed . pay one evening meal hotel not nice though .... however let . would recommend hotel someone . 
 Apr 10 2007 	 great place stay 	 third visit NYC , first time little bit away centre . bit spook review day go , happy report hotel pleasure stay . skyline little City centre 's close enough everything want . room big , comfortable well - service . thing miss local NYOne TV Channel . walk City Centre pleasant , far concerned , unthreatening - qualm walk Broadway Comedy Store return foot well past midnight . front office staff ok professional understand people find unfriendly . concierge top bloke , . restaurant well - price serve good food , although breakfast weekend confuse good one waitress tell serve buffet breakfast arrive kitchen via different one . the city wonderful ever , would - - recommend one . eat Juniors Roxy 's , well - price deli . nothing else get Empire State Central Park ; go shopping , heaven 's sake , get bus Port Authority Woodbury Common early visit , fantastic shopping village get see hour New Jersey bus window . we stay hotel . 
 Apr 1 2007 	 pleasant surprise 	 write soon . not tell Manhatten extremely expensive . thusly , expect get much $ 200.00 night ( buck applicable taxis include ) fabulous location , short walk Time Square , Circle Line Cruise . standard hotel room clean , spacious , junior suite book party , travel large well appoint . the staff cordial , other mention , else park car nearby hotel stay atfor $ 10.00 night ? breakfast brunch believe $ 14.95 good value offering , fact not travel far meal . only complaint hour pool open restrictive . , many property manhatten price offer indoor swimming . all , place stay manhatten price sensitive individual . 
 Mar 31 2007 	 get pay 	 return new york would like take time tell people experience big apple . never ny find initial impression skyline mixed room smell bed firm almost lumpy . the staff indifferent time smelly room opposite buide site work midnight pool waste time definitley bottom end market serve purpose base place hang . 
 Mar 31 2007 	 recommend ! 	 parking hotel absolutely horrible . wait 30 - 45 minute park parking garage . parking garage also available general public . guest give priority people parking day extend period time . car pack like sardine wait line street . hotel attendant helpful situation . pretend though know understand parking situation . car sidewalk along side street . room satisfactory finally able get one . checkout , ask comment card fill stay . sort survey guest fill couple rave review website . if absolutely stay hotel , recommend arrive evening parking may available . otherwise , spend extra money stay customer service likely provide . 
 Mar 30 2007 	 Fantastic hotel 	 stay hotel friend bit worry go due mixed review location seem bit far main attraction New York . however , could not happy hotel . put new part hotel room big , clean exactly want . maid service daily , clean towel two double bed room . heating could adjust also safe , iron , iron board hair dryer room . the staff friendly helpful , cheap internet acce adjoin restaurant nice food every drink imaginable offer ! 5 minute walk Times Square , plenty restaurant shop nearby . I would hessitate stay Skyline would happily recommend anyone wish visit new york . 
 Mar 29 2007 	 bad side - good side ! 	 bad side ... first appearance photo see skyline look fabulous . arrive look neglect dirty . window hard see dirt . overall decoration Hotel negelecte .We meet reception check hotel guest line complain . wonder earth let . room clean maid helpful . menu hotel room wrong price food . bar charge different price depend time day ( odd ) .The hotel ever stay charge look luggage departure . staff tip mad ! language barrier huge problem staff speak really bad english . be nice booking treat well ! make sure complain nicely ! good side , close everything taxis cheap hotel every want go time square could walk 15 min good percentage staff helpful warm ! , close empire state building central park quiet place sleep fabulous ! food good bar nice could watch life go sit . like hotel always good bad honest , do not expect anything like photo travel brochure ! good side far weigh bad definaltly book stay . 
 Mar 26 2007 	 well expect 	 book hotel day stayed need last minute hotel good rate . bit nervous due mixed review decide give try . must say much well expect . drive city , get easy . parking reasonable although not enough attendant work . book king room not one available arrive offer room two double bed . good mood accept alternate room give free parking night ( $ 10 value still appreciate ) . room extremely nice . new carpeting , furniture , bedding , etc . everything clean nice , include bathroom . big surprise hallway bit dirty due remodeling work . ..... would recommend hotel look inexpensive clean place stay city . 
 Mar 15 2007 	 exceed Expections 	 reading review Trip Advisor , friend sure expect arrive hotel . however , really pleased room , recently decorate , large , spotlessly clean towel change daily . although second floor overlook 10th Avenue traffic keep we awake great view New York skyline . would recommend breakfast 10th Avenue Diner block away corner 52nd Street . excellent value welcoming . we eat drink hotel comment price service . conciege hotel pleasant help we provide map ticket Empire State Building Ellis Island / Statue Liberty ferry mean pass queue location . the hotel situate 10 min walk away Times Square area safe walk back go midnight night . something woman would not feel safe England . overall , would hesitate stay ideal location use base explore city . 
 Mar 11 2007 	 Stroppy staff 	 stay hotel , override memory rude , unhelpful staff , many could barely speak word english . also find staff restaurant extremely rude , refuse provide room service breakfast anything $ 10 , ( even though $ 8.50 charge $ 3 room service charge ! ! ) ) - room service mean ROOM service , would order whole lot breakfast get $ 10 every day . pointless . also surprised sleepless first night room front onto 10th Ave double glazing ( feel like sleep street noise ) ensue room change another stroppy conversation reception . heat hotel also joke , room heater , even , blow hot air , will not blow cold air , room get hot night can not window open noise , hence sleepless night . whilst room clean hotel generally acceptable , staff make stay pleasant one . therefore choose take custom elsewhere next time ny . 
 Mar 9 2007 	 Overall good experience 	 stay last year forgot review . seem people review bad . ... cleanliness : check matresse pillow lie , clean , stain , bug . bathroom , clean , carpet clean . dust.not updatated decor , consider price , get good dealparking ! ! ! love hotel parking , hotel park lot pile car top eachother . hotel underground parking ! 10 dollar day car really good compare lot . u question , do not hesitate contact . 
 Mar 6 2007 	 pleasantly suprise read mixed review 	 sadly return first great trip ny . expect anything special hotel normally quite fussy stay unable fault skyline hotel . staff friendliness good , room spacious clean daily maid service provide nice clean towel . food ok surround good eatery anyway . we stay room 511 great view city skyscrapers inc . Empire State nice suprise . it 2/3 block ( 10/15 min walk ) hustle bustle city away noise still within walking distance feel unsafe .If however like we , much walking want taxi , widely available reasonably cheap ( min . $ 2.50 fare ) taxi JFK $ 60 inc . toll tip . there sooo much NY really need place crash night ideal hotel . even do not get hotel , guarantee fun , friendly memorable time big apple ! ! ! 
 Mar 3 2007 	 nice hotel good concierge service 	 hotel quite nice , enjoy stay . although ask 4 time get tv fix , end move we another room upgrade think get engage otherwise probably would move we room similar one already . upgrade room much nicer . huge king size bed fantastic , great sleep great view Empire State building . noise ( 5th floor ) street especially sirens fire engine etc , upgrade not bad . ( 8th floor ) close train track loud hear once . the conciege desk lobby hotel great help . book tour get cheap theatre ticket mean queue TKTS booth . ( although probably would nave even cheap get tkts ) .The hotel feel bit far main action 's less noise . take 10 minute walk Times Square . restaurant great food reasonably price . staff not great fiance say 's good salmon 's . breakfast ok great , pay extra . overall good stay would return hotel . 
 Feb 27 2007 	 good tourist hotel 	 share room Skyline week friend , satisfied hotel . friend make booking , can not speak price , location , pleased . feel bit far west main attraction , be see show thing Times Square , might choose another neighborhood . hotel staff friendly helpful , provide new key card lose one change lock code keep room fully secure . room generous size -- queen size bed couch fold double bed . bathroom spacious immaginable amenity . noise street ( although 7th floor ) , even noise room next door , family child stay . discover several day actually large crack wall two room one corner , conceal window curtain , crack large enough see light neighbor ' quarter ( hence noise ) . lobby elevator often feel bit chaotic -- seem popular choice among tour group high schooler , geriatric , foreigner , often busload arrive depart . however , need , ideal , right price , would not hesitate use . 
 Feb 22 2007 	 would go back flash ! 	 nice time Skyline hotel . room clean spacious , parking , inexpensive , location convenient staff friendly . forgot item staff find mail free charge . also give courtesy upgrade . , quite pleased . caveat : pool hour limit ( view ) renovate part hotel ( back tower ) tell room quite nice . would go back flash ! 
 Feb 20 2007 	 clean basic 	 stay Skyline Hotel 5 night Feb 15 - 19th group ........... plus 's : room clean fairly big .... adjacent bar / restaurant small gift shop ..... close alot sight attraction subway ..... friendly bellman ........ minus 's : room basic 's ..... clock , radio , coffee maker , dirty elevator , tv 2 channel one clear .. ask come fix come look say would & quot ; try get we another one & quot ; ... never come back .... tried go bar hotel lobby lock inside go street enter way ............... ? 
