word 	 stay TMA one night Sunday 29th November business trip . ' ve use , satisfied , Thistle hotel previously different . check - in , fair courteous reasonably quick , tell upgrade cost superior room - jolly good . jolly arrive room . although undeniably large , include seat area sofa , room scruffy long overdue refurbishment . arrive 9 - 15 p.m. ( later would hope ) leave first thing next morning , have reject . several place wallpaper lifting seam ; considerable stain decor ceiling adjacent , lead , aircon unit ; bathroom tired apparent defect appalling state principal table , wardrobe , slightly less degree , bedside table . chip , stained , damage visually dreadful . main table fit firewood . also , bizarrely , tv could not orientate viewable bed . want watch , sofa nothing . ( mattress bed ludicrously soft , hey , maybe 's ) .It explain room & quot ; much , much well & quot ; room would book ... would not want see one ! breakfast ok ... , staff restaurant friendly efficient , check clerk . there way 4 star hotel - charge £ 148 room breakfast excessive poor experience . staff markedly well infrastructure hotel - room border unacceptable ( call ) 4 star hotel high - profile chain . will not back hotel . ' m stay another Thistle hotel Liverpool 2 week time son - not deliver , Thistle forget custom . 
 need reconstruction 	 furring bathroom tap , wear room . 4 lift large hotel - wait away . unbelievable breakfast eat room - look like dining hall factory . 
 good value money upgrade 	 book standard room upon check offer upgrade wich first decline , however go room go back reception ask upgrade pay resonable amount must say difference room huge term size also state room , want bit comfort go upgrade 
 overprice poor service jade hotel 	 Location perfect early morning appointment American Embassy work visa . in aspect Thistle , Marble Arch never fail disappoint . check take forever , room shoddy date . dining room small size hotel , table cram together . breakfast like rugby scrum , walk around circle try find table not use store dirty dish . ridiculously overprice , exist 's location , pay internet ! ! ! ! 
 Aug 29 2007 	 great location nice room - everything else good .... 	 Marble Arch - great location . 15 pound , upgrade room . problem - fact , room nice size . however , hotel huge four elevator two day , two service . inquire would back service , front desk clue . wait long people force figure maze stair get lobby area . dine fine - good quality crowd hectic . other service - wireless connection difficult establish confusion front desk help . expensive - 10 pound per day . price hotel , include . before could make outside call , need go reception desk leave 300 pound deposit - yes 300 pound . absurd . pay channel also able establish . overall scheme thing , big deal , price , amenity run smoothly . choice London , would try somewhere else . 
 Aug 1 2007 	 little tired restaurant staff unfriendly 	 spend 4 night wonderfully locate hotel . position really unbeatable , room face Oxford Street . room , however , little noisy insulation road . hotel clean , look little tired . dinner hotel restaurant one night staff be not friendly . food expensive , even London , great . avoid restaurant . do not breakfast comment . 
 Jul 31 2007 	 Great Family Suite 	 give hotel travel agent part GoGo Tour package . family four ( two teenager ) . nervous size room since , although book family suite , think would merely give king size bed cot ( since hear Europe hotel generally small ) . surprised walk room . room recently renovate , truly suite - two room . first room large king size bed amenity , second adjoining room two twin bed . t.v . room enough closet space , bathrobe ! ! love would highly recommend room family travel Europe . 
 Jul 18 2007 	 good choice 	 good choice -- clean room , nice size . nice size bathroom . excellent breakfast -- buffet . near Marble Arch Bond St tube station , grocery store nearby . locate near lot shopping restaurant area . happy would stay . 
 Jul 17 2007 	 nice hotel 	 return week London stay Thistle Marble Arch . stay Executive King therefore comment standard double deluxe room . room extremely nice . nice size , large bath , comfortable king bed duvet . plenty drawer . nice closet wooden hanger . good iron ironing board . AC work well quietly . problem street noise ( 5th floor ) . even 115 volt outlet desk ! find service excellent porter bring luggage hold onto end trip , reception , maid service , concierge , etc . everyone nice . like stay 34th Street Manhattan . think & quot ; poshest & quot ; area . tube block away use constantly get around . usually eat breakfast & quot ; Pret Manger & quot ; block away decent american coffee muffin / pastry baguette lot cheap hotel . complaint hotel . 
 Jul 1 2007 	 Excellent location 	 stay 4 night end June 2007 daughter , pick mainly would close shop . greet friendly doorman , luggage whisk away ( deliver promptly ) direct reception , receive another friendly efficient greeting . receptionist take great trouble allocate we room suit wish - non - smoking quiet . heart sink bit step lift see length corridor , rather dark seemingly endless , room fine - quite spacious London well - equip : two wardrobe , safe , iron board & amp ; iron , table , easy chair , tv , tea - maker fridge . bathroom big well ; negative comment step high side bath use shower could difficult anyone mobility problem . first night ask sheet ( bed make duvet find hot ) housekeeping send promptly . exceptionally quiet - 's want , make sure ask room not face onto Oxford Street ! 's air - conditioning well , hot cold want . the breakfast good , wait table lot choice whether want continental full English . eat restaurant one night food fine ( bit slow arrive ) service extremely attentive . also use room service one night came wet cold meal deliver within promise time . the big plus basically chain hotel location Marble Arch end Oxford Street . take 2 minute walk Marble Arch tube , get bus direction either side Oxford Street Portman Street . within 5 minute many shop - Marks & amp ; Spencer , boot , Selfridges , Debenhams , HMV - list endless . it be top - class luxury amenity location would hard beat . every staff member come contact extremely pleasant would happy stay . 
 Jun 21 2007 	 Fabulous Location 	 Excellent hotel , really big room . huge bed good bathroom powerful shower . excellent central location , especially shop . hotel staff friendly helpful , especially bar staff . definitely consider hotel next time visit London . 
 Jun 18 2007 	 Poor Room Conditions Customer Service 	 stay Thistle Marble Arch poor . front desk staff quite rude . room disrepair ; moldy grout ventilation . overall poor quality ; would stay hotel . 
 Jun 3 2007 	 PLEASANT SURPRISE ! ! ! 	 know expect , hotel tour include , stay . pleasant surprise ! check time 2:00 pm . arrive 10:30 , immediately check upgrade room additional price ( although list $ 40.00 per night ) . room immaculate , firm double bed , comfortable bed home , first time ever case hotel . private bath large well appoint , excellent water pressure shower . could get adapter work electrical system , call engineer . arrive within three minute ( weekend day ) , tell wrong adapter , leave , return five minute later proper adapter , hooked , test everything , charge . listen ... two free ice machine floor ... try find Europe ! find personnel fluent English , helpful , unfailingly pleasant polite . food restaurant excellent , full english breakfast particularly good . carvery meal evening true food value find London . $ 20.00 get all - you - can - eat roast rib beef , leg lamb , ham , turkey , delicious grill shrimp skewer ' ve ever eat . side dish also particularly good , consist mainly fresh vegatable , grill , braise sauteed . roasted potato braise parsnip carrot melange highlight . restaurant service also superior . location perfect ... step Oxford Street , Hyde Park , Marble Arch Underground Station . stay Thistle Marble Arch visit London ... five star consider value relate quality . 
 May 31 2007 	 staff respect Customers 	 Hotel initially refuse honour Expedia / Hotels.com booking . management counter attendance staff unpolite , ignorant interested assertion room already pay . management insist room hotel book reference . advise Hotel book would able give we room & quot ; favour ! ! ! & quot ; & quot ; pay significantly increase price ( top booking Hotels.com ) . alternative seek accomodation else . distressing give arrive Hotel approximately 10.30 night . alas initially pay second time booking follow day able get entire matter sort , Hotels.com contact Hotel behalf . I since speak people encounter similar difficulty branch Hotel chain . juncture appology offer . customer always right mean follow establishment would advise stay . 
 May 30 2007 	 would stay 	 20 year old stay May 19 -21 Thistle Marble Arch . love location . be busy , step away bus tube station , step away major department store Marble Arch . take time get anywhere . bus stop right back hotel Oxford Street . British Museum 3 stop , Covent Garden 10 minute bad traffic ( good private driver ) . Hyde Park diagonally across street . Harrods , short tube ride stroll across Hyde Park . come King 's Cross bus take less 30 minute bus stop seemingly every corner . ride bus top deck great way sight - see , take wee bit long , avoid crowd tube stair . upgrade room probably like stay much . upgrade get big room . room american size lovely closet , safe valuable , iron board . daughter like mattress , hate . heavy , petite . 50 , 20 . room nice , fluffy bathrobe we use , sit area pleasant color . however , daughter make joke decor pattern . upgrade give access lounge food drink , include alcohol . money would spent grab breakfast lunch ( $ 2.00 / pound ) equalize money spend upgrade put enough . also internet access two computer sometimes get immediately time wait guest finish . wi - fi everywhere hotel bring . gym room everything upgrade lounge big flat screen tv people nosh , drank ( beer , wine , hard liquor , coffee , tea , water , juice , soda ) watch game ( Chelsea ) .The staff variable two phenomenal concierge one so - so , great door luggage man , incredible person charge housekeeping floor ( 5th ) , wonderful smile , pronounce limp , delight bring we armload extra towel , twice ! reception staff act cold diffident initally , brace complaint , woman check we warm quite bit not complain . people behind desk upgrade lounge really serve sometimes grudgingly . spend lot time computer loath break assist . ask want quiet room , check photo view , vent machine roof . however , fair , quiet . noise street considerable . shower not work anymore , fix hose run bath spout , come shoulder hose pull reach top head ( 5 ' 4 & quot ; ) . get tub / shower combo big step edge bathtub . recommend elderly person mobility issue . , location upgrade lounge , would definitely stay . two night weekend ( busy weekend ) upgrade taxis $ 650 325 pound . 
