gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Jul 16 2008 	 wonderful service ! 	 get back San Francisco - get amazing deal Hotels.com Fairmont , though call website make sure 2 bed ( 2 small daughter ) still book one - bed room . find call way confirm reservation . hotel 's answer & quot ; not worry , be Fairmont , will take care , & quot ; , middle tourist season , 4 night , extra charge . the downside hotel location - quick & amp ; easy restaurant nearby , though little coffee pastry shop base hotel trolley car stop . room service expensive high - end hotel , easy , affordable bite eat mean take public transportation hill either Little Italy Market Street , not easy kid . if stay , get excellent service luxurious hotel feature elegant marble - fill lobby spacious room . thrilled experience . 
 Jul 4 2008 	 lovely place 	 really enjoy hotel . travel great deal . go conference June . wife get great deal ( rare get ) internet . outstanding atmosphere , wonderful breakfast buffett , top notch service . really get spoil . good location close China town short cab drive Fishermans Warf . discern traveler rate excellent come 10 % time . bottom line business paying get great deal internet take . tonga room fun also ( low level Bar ) raj 
 Jul 3 2008 	 love hotel 	 stay Fairmont 2 night . upgrade signature room fairmont room slight mixup reservation . mixup , front desk direct we lounge receive complimentary drink . not sound like much drink good glass Cabernet $ 18.00 glass son $ 6.50 non alchoholic drink . signature room 12th floor incredible view city , Alcatraz , Telegraph hill ...... spectacular ! service hotel good hotel stun inside . negative cost parking valet $ 57.00 per day ....... ouch ! self park hotel anymore . be bit outrageous . 
 Jul 2 2008 	 Grand hotel grand city 	 reason hotel flagship property Fairmont Hotel chain . moment walk lobby , transport hotel like past . positively sumptuous . stay 7th floor tower , complaint whatsoever . room , able see corner Powell California , two cable car line intersect . Powell St. line take we one end Fisherman 's Wharf , Market Street , take Union Square . California Street line take we Ferry Building Embarcadero . would not use cable car primary mean transport ( make sure either buy 1 day least 3 day muni passport ) , cable car much enjoyable walk steep hill SF . prime consideration hotel top Nob Hill . our room large , probably big bathroom see hotel not part 5 star resort . bathroom line marble , huge shower separate bathtub , along semi - private area toilet . king bed quite comfortable , ample room desk sit area . 32 & quot ; LCD TV , channel quite clear . thing complain : $ 50 night parking , 14 % occupancy tax charge make total nightly cost $ 57 . reason , maid compel turn temperature thermostat low level dial ( 50f , set cool ) , temperature outside never high 60f day . take advantage hotel service like restaurant room service get coffee Caffe Centro parking level . many great choice dine close , either Chinatown Union Square . 
 Jun 28 2008 	 Grand Hotel Grand View 	 arrive Fairmont around 3 pm car door open luggage immediately take we bell boy show vast brightly decorate lobby . plenty relax comfortable chair , sofas seat position conveiently around lobby , lovely colourful flower . huge light candleabras light lobby great effect atmosphere people came go . check smooth advise go . new tower 27 floor think sweeping view bay area brdige / alacatraz . mainly foggy went not make dissapointing . the room large ad well appoint . king bed comfortable , desk chair / business area lap top access , chaise longue , bedside cabinet I - POD alarm clock LCD TV / HD among modern amenity . bathroom large large shower bath , bathrobe , seperate area toilet good size sink area . clean modern well decorate room . although connect door hear noise fellow guest despite near lift . know reviewer complain , tower di seem issue . we lovely breakfast spacious dining room . wife buffet whichshe say plentiful tasty , seperate egg station , fruit , pastry , cereal regular hot cold thing bacon , sausage etc . , fantastic banana cake scone - delicious ! ! la Carte omellette hash brown good indeed , round noce strogn coffee tasty refresh OJ ! go dinner one night find open Sunday Monday , try shame look forward nice dinner there . a nice touch free coffee tea morning . go couple tour early , nice go urn pour couple coffee along way . shame hotel not ! 4 day great . little demand need plan hand . one question concierge deal hand tiny bit rude , busy , upset ! , fantastic grand hotel nice comfortable room good ( mostly ) service encounter . would stay . 
 Jun 28 2008 	 great hotel cold city ! 	 stay hotel 6 night June 2008 . beautiful hotel great view room tower ( get one ) . room large well equip , although without in - room coffee make facility . staff helpful . surround area little get excitie except view . as expect , hotel know charge - minibar expensive breakfast . breakfast morning Cafe Centro Parking level hotel , much reasonable , good cafe couple block away ( Gallery Cafe , 2 block north Mason well ) . web access gym also charge , free join President 's club ( site ) .another point - cold windy SF late June - beware ! ! 
 Jun 27 2008 	 Nice hotel aggressive maid 	 ' ve always fan Fairmont 's old , legacy hotel like Copley Boston decide try offer SF . service generally excellent check - in hotel lounge , concierge unable suggest simple offering good local lunch place outside hotel grab burger & amp ; beer ( tell hotel lounge place know ) local pastry place buy snack meeting ( tell try hotel coffee shop ... sense trend ) . room nice clean although not spend much time , maid barge two three day stay hour already make room ' m still sure happen . highlight hotel cityview sixth floor room main hotel ... nothing beat sit back end day watch sun set bay mostly visible room . old school window also open enough let SF fog night cool room . pleasant experience would not mind stay . 
 Jun 26 2008 	 great ..... old people 	 even though ' m SF , stay company work sort conference ...... 's old classy hotel . nice restaurant bar . close shopping . top floor beautiful 360 degree view . SF terrace restaurant / bar great weather nice . lobby really confuse different elevator . also feel like maze ... definately great couple old tourist . recomend place bunch friend 20's-30 's want fun stay . go W.I rather stay somewhere modern / contemporary ... new / remodeled . 
 Jun 25 2008 	 love ... 	 exceptional service , one comfortable bed ' ve ever sleep , great location , beautiful hotel -- highly recommend 
 Jun 22 2008 	 beautiful historic hotel great location 	 stay three night month Fairmont love . room tower comfy good size . bathroom free stand shower well deep bath tub . toiletry luxurious - want find order soap ! bed super lot pillow size luxury line comforter . the Fairmont top hill Nob Hill district . cable car go almost right door learn last day go parking garage quick way room . unfortunately , buy cable car pass hotel , three block hill Walgreens buy pass . single ride cable car $ 5 transfer . 3 day pass $ 18.00 unlimited ride . also include historic street car along waterfront bus system - Bart . between cable car street car could get everywhere want go . take cable car Fishermans Wharf long ride , long line get back Fisherman 's wharf go back hotel . find cable car embarcadaro - quick Ferry Building new find many trip San Francisco . could take street car Pier 39 Fishermans 's Wharf . the Fairmont great treat San Francisco still one favorite city . one final note - try park Fairmont - $ 57 night ! 
