stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 Jan 26 2009 	 great experience Hotel Giraffe 	 reasonable rate combine friendly staff , nice room , complimentary breakfast buffet , complementary evening cocktail hour wine appetizer . many great restaurant immediate area . really enjoy . 
 Jan 26 2009 	 great hotel great staff 	 return weekend stay Hotel Giraffe 4 couple . room great staff hotel terrific . staff friendly , informed go way helpful . really enjoy hang lobby breaksfast evening wine cheese reception . highly recommend . can not wait come back ... hopefully warm weather enjoy rooftop lounge . 
 Jan 25 2009 	 Perfect hotel NYC 	 go ny every 3 - 4 month stay 10 - 12 hotel city . far favorite hotel NY . small hotel , nicely locate Park Avenue . room comfortable update , even balcony . staff friendly earth . complementary internet access breakfast . great wine & amp ; cheese reception evening . highly recommend . 
 Jan 20 2009 	 love Hotel Giraffe ! 	 stay Hotel Giraffe 10 day New York await birth Grand - daughter . location great room comfortable spacious . staff always pleasant helpful . would definitely return . 
 Jan 19 2009 	 great small hotel Park South 	 great place stay . european style breakfast buffet , wine cheese 5 pm , warm friendly staff . hotel locate near Murray Hill district , south side convienent subway ( two short block ) easy grab cab choose . definatley stay . stay several hotel area like well ! 
 Jan 18 2009 	 Thank help 	 boyfriend stay hotel 2 night Christmas . we love hotel . staff helpful ( problem computer flight ) . not professional staff would miss flight Miami , thank much help . hotel great , room clean quiet . love location , close enough walk major attraction . 
 Jan 12 2009 	 Happy Stay 	 last week 2008 stay Giraffe spend 10th anniversary : happy stay . though room beautiful picture internet promise we , actually nothing complain . room spacious , clean equip excellent bed . hotel staff friendly helpfull . breakfast abundant . hotel location perfect . stay Giraffe highly recommendable . 
 Jan 11 2009 	 Christmas engagement ... 	 look great way capture Christmas season spirit way surprise girlfriend , take advantage low cost shuttle ticket DCA - LGA hit City shopping Nutcracker ticket . tripadvisor- select Hotel Giraffe . location : 27th Park great location . main path , really good walk location major attraction . cab always available look , need staff- doorman easily track cab one . first impression : new construction . extremely nice art decco look walk . major sign wear tear . Doorman eager assist . front desk able check we early due room availability . staff friendly consistent . room : work city previously- stay boutique unique hotel , room ( minisuite ) spacious , superb high ceilings- way big NYC property . bed comfortable . pillow -- not like pillow need bit substance pillow ... ask see . know late . linen great . Towels- nice ! personally like small architectural detail rooms- hospital track shower curtain , wave glass pocket door ... fair say- room look like website meet expectation . staff : Cleaning / Maintenance people super efficient omnipresent . never forefront- none less performing . Front Desk - super friendly . concierge like question handle efficiently without many recommendation really tie marketing relation ! nice thing . staff read email special need comment . use that- really responsive . take note comment pende engagement make sure ask go night . thank ! club : club long line patron 11:00 pm- look like start crank return . use , look like nice dressed crowd . breakfast : couple comment other agree with- run late , 15 - 20 minute hour do . come grab bite we take . morning crew busy already begin break - down picking slim , bit inquisition get silverware cream cheese take upstairs everyone get ready check - out Nutcracker . Concierge Service recommendation dinner : many thank crew recommend Primehouse . part BRGuest chain , steakhouse locate 26th ... one good steak ' ve time . and yes- Hotel Giraffe part engagement ... shopping day , come back clean ( slip ring coat ) . take leisurely 5 minute walk Empire State Building- shoot 102d floor ... son , & quot ; fiancee & quot ; guard- use sight night propose . last impression : Hotel Giraffe- great place . always think back fondly- shall return . look right price value far exceed nightly fee . welcome change usual big chain us corporate road warrior stay . 
 Jan 8 2009 	 love hotel giraffe 	 stay four night new year two kid . love hotel think great value money city centre hotel . we family room two double bed , nice furnishing small balcony look street , flat screen tv ipod docking station nice bathroom shower . breakfast fine , help lobby , nice bagel cream cheese , fruit pastry . wine cheese also nice touch come busy day sight seeing , need . gripe though , lady serve wine tell daughter take many olive . tell save ' for guest ' think rich , guest ? lady would also stand munch crisp nut ! ! ! good . for good thing hotel helpfull staff desk . one girl morning great , book restaurant we good recommendation , nothing much trouble , big thumb . even let we back office check line flight , could not get computer lobby . lot nice restaurant around block , favorite Tabla ... modern indian tapas , eat stair informal setting , food great . would definately return . 
 Jan 3 2009 	 Great Trip 	 staff extremely friendly helpful . accommodation lovely location excellent . intimate place offer nice respite busy day explore city . 
 Jan 2 2009 	 definitely average ! 	 really nice stay giraffe christmas new year 's eve . result : - sheet towel change every ( ! ) day , room clean pick room service repeatedly ( ! ) . first wonder , room service knock door 20.00 evening , far cool . find room always tidy , clean hotel . ah , person , moan noise street , come guy , be nearly right middle manhatten , county side ! ok , window may enough isolate , mean ... yeah.- room big enough we , eh lot space put stuff room , really col room ! tarte A / c war minute , chill cold . always blanket , want stay alittle long room.they really check well alternative , like real radiator , know that s expencive restore everything , ' m shure 's worth ! - breakfast european / continental mention website . small fine assortment fresh bagel , fresh pastry , fresh fruit salad , fresh juice – enough start day . but : not like people watch , ' m put stuff plate , feel bit observe girl breakfast desk . not need kind attention . instead make feel greedy , put little smile face , be ask cup tea coffe , make feel comfortable.dure day always help youself coffemachine behind & quot ; bar & quot ; /breakfastdesk , make tea etc.- cheese wine reception evenig really cool , like cheese also wine , low quality cheese , like rewiever say , quite ok ! hey , free , hotel force , serve thing free , appreciate , go elsewhere , eat N ° 1 cheese . but : young woman serve cheese wine reception , obviously nerve serve & quot ; rich , arrogant , greedy & quot ; hotelguest . attitude , must say , yeah , , put smile face , job , not make person serve uncomfortble.for example , take peace cheese prepare stuff desk , not finish , also guest . said & quot ; could please start eat , finish put thing desk ? & quot ; . & quot ; hello , ... & quot ; , & quot ; sorry , ... & quot ; & quot ; excuse , ... & quot ; . mean , hello , difference make , take peace cheese later ? ? think little lady unprofesssional serve people 4 * * * * hotel like giraffe , ' m sorry say that.however , stay general really cool , recommend everybody expect waldorf - astoria , high room prices.work bit stuff , maybe bit mature experienced people would whole experience well ... regard , nelly 
