City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Jun 28 2009 	 wonderful hotel friendly staff great location 	 lot read research book 13th floor thame - face suite wife 's 40th birthday 2 night . say one good hotel stay ever . suite beautiful great view , quiet , air condition , clean modern decor . service really impressive . get level care professionalism hotel like take lot many get right , be right . ' ve never stay hotel friendly helpful staff , ' ve stay lot hotel . booking , email hotel quite occasion arrange flower , chauffeur , etc - always deal promptly helpful advice . throughout stay staff always helpful . particular Avin Raphael make stay fantastic many thank help . we breakfast suite turn time food really good . make real change ' ve countless hotel deliver breakfast late , miss item . everything perfect - service , , really friendly professional . also try City Cafe - , impressed quality food service . location wise , think great . 's 5 min walk Houses Parliament be quieter area ( thankfully ) west end Covent Garden . 's still easy get around everywhere cab outside Hotel , staff always hand get cab none around . well ? well , maybe movie demand rather pick - up dvd service reception . soft robe perhaps . ' m really picky City Inn 's staff really fantastic job . 
 Jun 24 2009 	 Perfect every way 	 Booked hotel base review glad . stay 2 night sightsee London . room great , staff . slight complaint bit walk near tube station major attraction , bother we much . overall , great hotel highly recommend . 
 Jun 20 2009 	 slick 	 stay last week business trip . repeat customer know expect dissapointe . hotel perfection business traveller impeccable service convenient part town . room comfortable comfy bed , , really efficient air con system . could get room perfect temperature window open fresh air , nice touch modern building . give location , view dissapointe many room hotel block building . imac great good selection chanel include sport tv . food great breakfast triumph fantastic choice super fast service wish , lazy sit around time . location fine business travel , surrounding bit sterile tourist , short walk bring reward direction . walk Pimlico tube less 10 minute drag suitcase taxi outside require . do not feel pamper , want clean efficient well run hotel centre town good bet . 
 Jun 17 2009 	 Comfort 	 like other choose hotel base review post tripadvisor disappoint . London take show ( Wicked ) .We arrive early expect drop bag go sight seeing without fuss hotel allow we book early . the room clean well appoint , IMACS useful - especially internet access free . the hotel peaceful comfortable would hesitate recommend it . only slight negative bed little soft . 
 Jun 16 2009 	 Comfort value quiet part London 	 Staff pleasant , check , information check . room clean sound proof ! i - mac room also great touch , allow free internet access . near tube station pimlico , bit walk away , fact walk victoria line close . not take away fact great place stay . 
 Jun 10 2009 	 Excellent Stay City Inn 	 see brilliant review City Inn decide stay weekend 30thmay 2009.the trip consist 2 couple . check late room first always try hotel first see match price usually get well deal . we book 2 Club room price £ 119 per couple . these 12th floor price consist breakfast free wine water chocolate also get early check 10 oclock late 4oclock brilliant . the hotel new modern , clean swish staff helpful , get free parking weekend across road . breakfast good , also book meal hotel good ( club room give 10 % discount . ) room comfy great bed free internet etc shower great nice white company toiletry . the hotel quite area 2 minute river . I recomend hotel anybody stay 
 Jun 9 2009 	 Fantastic Hotel 	 recently stay hotel base fantastic review high rating Tripadvisor give hotel ( always start research TripAdvisor never steer wrong yet ! ) . live previous review . hotel quiet part London -- near Tate Britain 10 minute walk Westminster Abbey Parliament . get triple room husband , teenage daughter fairly large comfortable bed pillow . also nice safe good -- computer room ( apparently , ) free internet use well ( unheard London ! ) . nice able e - mail room convenience . also let print boarding pass room send print job guest service . the shower WONDERFUl ( plus , also separate bath ) -- hard pressure ( feel great walk London day ) service everyone dealing superb . every concierge solicitious ever problem , take care immediately ! another plus small refrigerator room allow remove item put without charge move around food item fridge . this hotel also blackout curtain room stay dark early morning . another nice feature allow we check early without fee , morning check - out ( stay week ) , check store bag need leave airport ( tip concierge fee ) .only negative : cafe hotel expensive find nearby pub eat reasonable . also , several small store within several block contain ready - make sandwich , doughnut , etc ... want grab food run . also , 10 minute walk tube ( Westminster tube Plimico ) handicap issue might deterrant . however , plenty cab come hotel fairly reasonable . this four - star hotel worth money pay ! highly recommend would return wonderful hotel ever return London ! 
 Jun 6 2009 	 almost perfect 	 hotel clean well keep room dead quiet . room fair size bathroom small , well appoint good shower , adequate shelf space helpful extra include shaving / make - up mirror bathrobe . IMAC free Wifi really convenient . also provide lap top size safe , wine glass , cork screw , water glass , bathroom glass . enough room mini fridge store water bottle . individual heating / cool unit work well . staff friendly helpful . breakfast include lovely service super fast . ten minute walk Westminster Abbey Houses Parliament 15 minute London Eye Trafalgar Square . one caveat scarcity restaurant close proximity . enjoy Pizza Express behind hotel Millbank one minute walk . quiet safe neighborhood although area nearby Page St bit dodgy . 
 Jun 2 2009 	 Great Hotel ! 	 boyfriend take London last August stay 3 night . great hotel ! room ace ( although do not touch mini bar do not want spend fortune ) Imac room great listening music planning day say another reviewer . last night lovely meal restaurant - altho little pricey lovely ! breakfast lovely - location amazing ! basically around corner big ben etc ... would definately stay ! one good weekend ever ! 
 May 31 2009 	 clean modern hotel A+ staff quiet safe neighborhood 	 wife finish 9 day stay City Inn Westminster exceptional experience . hotel modern overstate , somewhat comprable & quot ; W & quot ; franchise US . room clean well appoint London standard comfortable queen bed , strong / hot shower , extremely clean bathroom , iMac internet connectivity include . word advice : booked Hotels.com advertise two seperate rate one include & quot ; free internet & quot ; . learn room CIty Inn offer iMacs free internet Hotels.com would refund difference price . be well book standard room will still get free internet . the staff curteous efficient . one doorman recommend try nearby Albert pub dinner . unfortunately horrendous experience , never receive order , keep wait 75 minute ineffective manager could not give we refund . upon learn experience , doorman profusely apologize recommendation , take corporate phone number Albert Pub file formal complain behalf , send we complimentary bottle wine trouble . Albert Pub manager could learn thing two staff City Inn . , one example type high quality service receive . the City Inn 10 min . walk Pimlico tube 12 - 15 Westminster tube . 's close Parliament , be likely safe part central London . walk near hotel almost every night never feel concerned give constant police presence block away . hotel also literally next door Tate Britain ( 5 min . walk ) . unfortunately not much nightlife near hotel evening . although not eat hotel restaurant , City Cafe , learn 's highly rate local around central London . be college break look stay hustle bustle craziness London probably not hotel . however , be mature adult look modern hotel exceptional staff tuck quiet corner central London , City Inn absolutely deliver . third trip London . stay many hotel , wish know City Inn . definately back . 
 May 31 2009 	 Excellent every aspect 	 read other review hotel , say concur recent time . enjoyable peaceful stay . top , corporatye hotel , would not expect personal touch , although manager always hand greeting ask everything alright . definitely return . 
 May 29 2009 	 stylish hotel great staff ok location 	 Modern hotel somewhat quiet , ' business - like ' area . perfect place fill complimentary tasty breakfast , continue rest day . concierge extremely helpful knowledgable planning day . recommendation take many bus possible -- amazing way see beautiful city ! addition , underground simple take one taxi 4 day stay ( late night partying ) . imacs room fantastic way check email , plan day , watch tv , listen local radio -- one drawback , unless foreigner miss -- clock ! ? maybe take time read imac manual would figure , age 30 , ' m still bit old school . also , concierge dvds adapter usage ... extra touch really appreciate . the hotel bite quiet area , easy get everywhere hardly minded . however one night sightseeing shopping come back clean look local pub ... area however shutdown 11 pm , subject room service -- tasty , expensive ! look quiet , stylish hotel ... . look bit action -- like walk door thick , would suggest somewhere else . find City Inn nice oasis -- extremely roomy , modern clean . 
 May 28 2009 	 comfy modern friendly plus great location ! 	 really enjoy stay City Inn . great facility v clean . find staff pleasant friendly breakfast super efficient plenty choice cook continental . walk Victoria tube ( approx 1 mile ) discover Pimlico close last day ! think location great , easy get town , walk day get taxi evening . right beside Tate Britain . concierge recommend good Indian Restaurant , Millbank think pub close . 
 may 26 2009 	 modern Clean Quite 	 stay two night . spotless modern room bath . somewhat comfortable bed pillow . 10 minute walk near tube . very neighborhood restaurant . quiet room . hotel staff helpful . we eat so - so breakfast hotel . since business , would consider another convenient location next time . 
 may 26 2009 	 Excellent service pricy food 	 stay city inn two day may bank holiday weekend , impressive hotel excellent staff . room basic well lay comfortable . location good overall quite convienient pimlico westminster tube station . area around hotel generally quiet . one small gripe ; quality food offer good cafe , bit expensive get . good hotel overall one small gripe do not spoil great experience . one would problem use hotel 
 May 24 2009 	 nice room good location somewhat pricy ( well 's London ) 	 ' m give 4 star instead 5 2 reason : location ideal ( though bad ) , relatively expensive . location half mile either Pimlico Westminster station ( well choice ) . often hop bus along Millbank cover part distance . ( buy Oyster card . 's good investment make . ) want 2 thing hotel room : ability control temperature ( way , weather may unpredictable ) , quiet . get , caveat . a / c work fine , heat not ( though appear work another room , not general problem ) . rush electric heater room , actually happy . quiet , not hear neighbor , though hotel full . hear helicopter evening . keep mind close Parliament , often news cover . helicopter stop 10 pm , not bother we unduly . aside , hand towel provide , apparently rarity London . iMac room , course , brilliant touch . plus , room really big London , bath , small , well - design quite serviceable . we choose hotel research 30 hotel 20 B & amp ; Bs , none could meet condition . choice consider Howard . however , construction work go right next ( see Google Street View , we person ) . end , feel good overall choice , enjoyable stay . 
