almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Sep 16 2008 	 good hotel Swisscom 's wi - fi service appal 	 stay one group second straight year location great , food good . however , wireless internet important traveler day buy week worth wi - fi Swisscom around $ 90 usd.the signal good bar , average reception area , bad dial - up room . Waaaay bad ! Premier Inn client think too . I complain hotel put Swisscom touch twice . course say check system could find nothing wrong , connect wi - fi signal numerous hotel , simply true . my second attempt resolution bring message Swisscom call one manager , leave message . he not call back , consequently will think twice stay Premier Inn Swisscom wi - fi provider . sorry rant , stay lot Premier Inns be good ! 
 Sep 16 2008 	 credit brand - excellent 	 Premier Inn hotel usually sit ' middle road ' category hotel , County Hall get full 5 star . it be location simply perfect , 5mins Waterloo ( & amp ; IMAX ) , Westminster , Charing Cross ; 1 minute London Eye & amp ; Thames ... could not well . house within County Hall building therefore pleasing look outside . staff exceptionally courteous , room large well clean , public area smell fresh well present . inside room tea & amp ; coffee , remote tv , windows secondary glaze , fan provide aid heat ( applicable ! ) , bathroom good size tub excellent power shower . sleep well road outside close general traffic . breakfast 7.50 , worth 's good quality , plenty choose regulary top , right 10 am service stop . admittedly , hotel Central London overprice , consider location , couple service attention experience , would say be totally worth price . excellent , every respect . 
 Sep 11 2008 	 great location 	 would definately stay . clean comfy decent powerful shower good freindly staff . great quiet location mostly close road ( still car think access ) also far away tube station right next london eye . good price location . 
 Sep 9 2008 	 Fabulous Location excellent price 	 location duplicate hotel comfortable family friendly budget hotel . even London friend surprised location . staff young eager please . large room extra bed . across Westminster Bridge Big Ben , Houses Parliament , street WWII Cabinet War Museum Churchill underground museum . Horse Guards Trafalgar Square . importantly , stroll south bank Thames , along Jubilee Walk Globe Theatre , Tate Modern , Borough Market , Hay 's market , Golden Hind Tower Bridge Tower London . without traffic worry . good location London . 
 Sep 1 2008 	 Premier Inn - County Hall Excellent Stay . 	 not usually feel time people quick complain reluctant give credit credit due . take wife 2 teenage kid London recently short break . spend alot time search hotel central reasonably price base review Trip Advisor opt Premier Inn County Hall . suprise learn family room available happy price 3 night stay consider location . child sixteen could eat breakfast free long adult pay breakfast , another great saving . arrive expect something basic pleasently suprise , outside old building inside renovate modern design , fresh clean . arrive early expect check hope could leave luggage room whlie explore London . reception staff give we lovely welcome , check housekeeping see family room ready check we . room spacious bathroom clean , even daughter comment fussy thing like . London Eye literally doorstep hotel Waterloo Station less five minute walk . great time Premier Inn , location great , Staff housekeeping , bar / restaurant reception pleasant helpful . have hesitation recommend hotel anyone stay London . 
 Aug 30 2008 	 Fantastic Hotel ! ! 	 great Hotel brilliant location . could fault - family room stay spacious , clean good en - suitethe staff helpful , polite nothing much trouble . the breakfast first class could eat much want , really recommend Hotel sure book . 
 Aug 29 2008 	 Great Hotel Great Location Great Value . 	 Premier Inn know be get - great value , clean comfortable frill accomodation one great location . easy find , get Westminster Tube , go bridge , past step leave take eye take next left ( Belvedere Road ) Hotel leave . check easy helpful staff . good size family room even though daughter . comfortable double bed equally comfortable sofa bed daughter . facility need short stay - tea / coffee , clean bathroom handsoap shower gel . add bonus good size fan already room window not open much air con even humid night fine . view window ( room 602 ) - fabulous , probably good ' ve stay London - look Jubilee Park side view eye - beautiful lit night . breakfast - great . greet friendly staff show table , busy buffet style plenty everyone . £ 7 full english , cereal , croissant , yoghurt , fruit , juice , coffee , tea etc daughter ( 2 kid eat breakfast free one pay adult ) can not complain ! walk along river Waterloo Bridge straight onto Convent Garden . take 30 min get Shaftsbury Theatre . put one top list London place stay ! 
 Aug 29 2008 	 functional comfortable easy access sight 	 Premier Travel Inn high list recommend hotel simply well . luxurious hotel London destination right , clean , efficient , comfortable excellent value somewhere bang middle town easy access everything . do not expect great view room ( since face back old County Hall ) aware lift bit slow especially morning , vague downside think of . I ' ve never try hotel food many good place eat within five minute walk , include Le Pain Quotidien Royal Festival Hall excellent continental breakfast . recommend functional base central London ! 
 Aug 28 2008 	 great location ! excellent hotel 	 stay 3 night last summer late July . hotel family friendly . travel two young child , age 4 7 . automatically upgrade family suite price . family suite spacious , especially London standard . location could not well , right London eye , Big Ben . walk way Trafalger square , well West Minister Abey hotel . whole area lively , right river , kid love park playgound area right next building . lot restaurant near bank river . front desk staff friendly helpful . also enjoy breakfast buffet every morning , kid 10 eat free , lot choice little picky eater . highly recommend hotel vacation family . 
 Aug 27 2008 	 Superb Location ! 	 family book three family room three night August . room clean , plenty room , even ton suitcase ! breakfast worth money , especially child two kid eat free pay adult - reasonable family London start day ! desk staff extremely helpful , internet we confirm flight allow we use phone need . smile around . the thing like heat room - fan provide a / c warm ! bathroom also warm humid couple shower . however , overall pleased hotel would stay . location fabulous , London Eye Thames . night time view fantastic around corner . Big Ben across river , ton photo op . whole area feel safe walk around tourist shop across street last minute souvenir ! thank evening staff ! ! 
