great 	 stay hotel numerous time business leisure . great comfortable room fun bar . love lavender smell hallway . 
 may 5 2005 	 not get well ! ! 	 decide try Hotel Vitale love find new place stay . stay Vitale 4 night Four season 2 night . four Seasons husband say want return Vitale ! ! bay view vitale incredible , staff wonderful location great , next beautiful Ferry Building good restaurant city . eat hotel 's restaurant & quot ; Americano & quot ; enjoy much . would highly recommend stay , LOVED ! ! 
 May 3 2005 	 great location stylish service need work 	 review say , hotel great location , stylish , comfortable , amazing view , etc . the service major issue though . example , room key stop work first night mysteriously . also , call order room service , get wake call , call wrong last name ( complain several time , eventually get use ) . dry cleaning pick 8 am suppose back 7 pm night , unfortunately & quot ; forgot & quot ; overnight . staff member show door milk coffee supposedly order ( not ) .When service fall - make vailiant effort correct problem , respect . - not many problem . , be dumb luck - ' ve talk several colleague stay hotel issue . in summary - 's really great hotel , need work operational kink even consider good class . 
 May 2 2005 	 great hotel ... great location ! 	 recently stay Hotel Vitale find nice hotel . location perfect lovely restaurant bar nearby well farmer market across road sell amazing organic produce ! room extremely comfortable nice touch altough wake 2 night run noise road . slight improvement could make turn amazing hotel back ! 
 Apr 27 2005 	 fabulous CA modern style luxurious bed 	 Ignore fact everyone say outside design disgrace bay skyline . great hotel ! staff friendly & amp ; accomodate check - in . mushroom & amp ; truffle pizza Americana good - thin , slightly crispy crust , fresh ingredient wonderful truffle oil . $ 14 , get 9 & quot ; pie 6 slice . room well dress bed - one word - scrumptous ! pillow , comforter enough pillow make anyone happy . stay lady night we happy room . bathroom spacious enough come complimentary Fresh Lemon bath product . reason alone go ! ask extra take home . too bad rate get special - $ 140 superior queen room view bridge water . will back next get - together : ) 
 Apr 25 2005 	 hot new SF Hotel 	 stay 1 night . perfect location , great bed . pleasant . warmth hotel , really shine night . location make get explore exercise . trully new Gem Town ! massage top -- - can not wait go back ! 
 Apr 21 2005 	 wonderful stay vitale 	 gorgeous room , wonderful view Bay Bridge beyond . subtle , tasteful decor limestone bathroom super toileterie . excellent service , especially patient helpful Edward Kitone . hotel location 15 minute walk Union Square . dinner hotel 's Americano restaurant recommend . also delicious strawberry breakfast . additionally recommend dine Slanted Door Embecardero Centre . 
 Apr 21 2005 	 Beautiful Hotel 	 stay Hotel Vitale weekend open . staff friendly helpful . room wonderful : mood lighting , jazz cd , flat screen tv , spa bathroom , incredible view Ferry Building , Bay Bridge , sailboat Bay . Dinner Americano great , along service . incredible spa treatment . roof top patio nice place enjoy coffee view . would recommend Hotel Vitale anyone would like enjoy wonderful San Francisco experience ! 
 Apr 20 2005 	 think property hip yet elegant 	 room ( bedding , bath view excellent ) . food Americano restaurant wonderful . ability walk Ferry Plaza fantastic . we love property , would highly recommend 
 Apr 18 2005 	 wonderful Hotel vitale 	 opporunity stay Vitale San Francisco CA . location fantastic ; across Embarcadero wonderful Ferry Building shop . room do tasteful modern décor . husband love late flat screen tv room . bed run mill " hotel " bed , kind want take home . especially appreciate quietness room . vitale rooftop patio overlooks bay enjoy cup morning coffee . ' miss enjoy wonderful meal Americana Restaurant locate hotel . 
 Apr 17 2005 	 gem Embarcadero 	 finish two - night getaway Hotel Vitale , one enjoyable time have . we stay Joie de vivre hotel , like experience , staff hotel friendly , courteous , helpful . ( find folk , not know . ) interior sleek , modern , clean stark . expect something traditional decor , Hotel Vitale may little off - putting , find refreshing . the room immaculate , bed comfortable , pillow entice . especially nice simple climate control respond quickly quietly request room environment . Geographically , Hotel vitale great location . right across street Ferry Building , block away Embarcadero Centerand Market Street , world class view Bay Bridge . close enough go morning ramble Filbert Steps Coit Tower . quick plug exceptional restaurant block away , Cosmopolitan Cafe . outstanding food service prescient . the highlight Saturday morning go farmer market Ferry Building . beautiful sunshiny S.F . morning , complete overload visual olafactory sense , guitarist fiddler sit right next we play away Cindi world class crepe bacon eggs baguette . on fifth floor hotel terrace huge , comfortable chair view bridge , Yerba Buena island bay . wheelchair accessible dinner . go split champagne watch activity Embarcadero , bay , bridge light like fairy tale structure . two thing find annoying wonderful stay . waste basket terrace , cart trash back room . second problem hotel offer complmentary coffee morning , unless want call room service ruinous price . every morning would trot across street Peet 's ( open 5:30 weekday ) get coffee . good thing ! , grest time -- great stay . Jim Myers 
 Apr 17 2005 	 amazing view wonderful hospitality relax ! 	 privilege stay hotel first week opening have never know getting start . professional courteous staff ( friendly ! ) hotel great & quot ; vibe & quot ; . Loved Ferry Building amazing view Bay Bridge . take advantage wonderful spa service drink comfy bar . breakfast Americano next day make we wish have stay dinner instead wander across street Metro ( , course , good ) . room well appoint nice little touch ' ve come love Joie de Vivre hotel . shiny new star roster ! 
 Apr 14 2005 	 wow Waterfront ! 	 million dollar water view not get ( sure request room face bay ) , casual elegance amenity - subtle soothe decor , fabulously comfortable bed , flat screen tv , dimmer lighting bathroom , rainforest showerhead - name . walk hallway inhale essence lavendar small spray place next guestroom door . little detail make relax ( include outside soak tub top floor , along luxurious spa ) memorable stay , phenomenal bay view take breath away - location , location , location ! 
 Apr 14 2005 	 Loved Hotel Vitale 	 find hotel wonderfully calm feel . fault could find coffee available morning lobby . twould nice complimentary coffee tea available . room well appoint bed , incredibly comfortable . know hotel welcome addition financial district San Francisco . 
