Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 Sep 3 2008 	 Fantastic Stay Hotel Elysee 	 family stay Hotel Elysee New York City 2 night really love . 2 child age 9 12 . room keep meticulously clean hotel staff helpful suggestion dinner well provide great direction get around city subway . courteous friendly hotel staff definitely make one 's stay enjoyable . the hotel great location convenient everything . wife daughter catch Broadway musical son catch subway Yankee Stadium . easy convenient get hotel . hotel even loaner umbrellas guest use since rain quite bit . complimentary breakfast include room fantastic one less thing worry stay . we stay suite spacious luxurious amenity . kid sleep hide - away bed family room sofa wife sleep peacefully nicely decorate bedroom . although chance use kitchen inside suite due schedule town , could make home - cook meal right room want to . I would definitely recommend hotel anyone travel New York City , whether vacation business . 
 Sep 2 2008 	 enjoyable stay 	 enjoyable stay hotel . location great . check - in procedure efficient . staff pleasant helpful . the club room real bonus provide place relax , free coffee snack , overlook street without venture Midtown crowd . problem hairdrier bathroom not work . report reception replacement provide . 
 Aug 30 2008 	 stay anywhere else ? 	 stay several time never disappointed . room large time room beautiful outdoor patio . 's location great . 's close theater district , great store , several subway line . staff friendly professional . complimentery continental breakfast amazing . large variety fresh fruit , bread cereal . would cost $ 30 anywhere else . hold true wine cheese every weekday evening . lovely sit area library free internet connection . wife already look forward next stay . simply charming wonderful place stay . 
 Aug 27 2008 	 great place 	 give we spacious room since need crib toddler . Staff make every effort accommodate request , include microwave food evening daughter make number excellent suggestion dining . definitely recommend hotel , even travel child . 
 Aug 25 2008 	 Great Hotel little extra 	 hi , spend two night wife Fri 15th & amp ; Sat 16th August . room spacious kitchen area seperate hallway make room big . plenty wardrobe space iron ironing board . excellent add feature wine or'dovre serve week night , also free breakfast provide excellent start day without fish around look somewhere breakfast . one issue Monkey Bar renovation open advertise website.the location excellent , beside Park Ave . 10 min walk Times Sq . 
 Aug 24 2008 	 everything expect ! 	 amazing place - trust good review site . be definitely true ! 
 Aug 18 2008 	 wonderful wonderful ! 	 fourth trip City want stay somewhere quiet peaceful - unlike chain hotel ! take eleven year old son could go see Yankee Stadium New York Waterfalls . son rave hotel . want know come back say not want stay anywhere else . actually want stay day room . would also can not Manhattan ! ! enjoy view hotel window . son especially love little deli across street - perfect quick bite eat sidewalk & quot ; park & quot ; maintain across street hotel . breakfast great room fantastic ! love bedding pillow . tv little small , see stack flat screen television box unload . look like upgrade come soon ! disappointed Monkey Bar close not despair - renovation . already plan another trip know stay ! 
 Aug 16 2008 	 stay ! 	 daughter stay Elysee 9 - 15 August , would recommend anyone plan visit New York . room spacious clean , complimentary canape wine weekday nice touch , superb location hotel friendliness helpfulness staff make fantastic first trip New York we . will back ! 
 Aug 13 2008 	 wonderful stay - could well 	 husband stay Elysee hotel July 30th August 5th . do massive amount research NYC hotel , stay city three time previously , want stay somewhere away hustle bustle Broadway within reach NYC 's good attraction . Elysee 's location superb 5th / Madison / Lexington Avenue shopps plus Central Park minute away Broadway either ten minute walk short subway ride away . hotel convenient subway station locate back block sit on . our room locate 11th floor arrive prompt polite welcome . honeymoon , hotel aware book online service , enter delightful hotel room , pleasantly surprised gift bottle Prosecco superb chocolate send management hotel , wish we congratulation . our room always keep beautifully clean , maid always service room whilst many visit around Manhattan . room spacious elegant feel . window double glaze . front hotel never disturb road / traffic noise ( although visit NYC would probably expect ) . aircon make noise hardly something complain . stay NYC 32 degree heat disturb airconditione something would expect hear entirely control . the breakfast / evening wine cheese also excellent plenty choose , club room lovely area sit relax in . overall , fault stay hotel . staff extremely professional could enough help we daily basis yet intrusive . concern / question meet serious yet friendly response staff always meet we smile hello , often hard find city . future visit , husband stay recommend hotel many friend think pay NYC visit . thank Elysee ! ! ! 
 Aug 12 2008 	 Quaint yet elegant 	 husband use Trip Advisor find hotel 25th anniversary trip let we elegant boutique hotel right heart city . Hotel Elysee great location staff extremely accommodate friendly . the room large ( especially NYC standard ) , clean , comfortable , beautifully decorate . even small bar area refrigerator . king size bed luxurious linen sleep like dream . we enjoy weekday evening drink appetizer 2nd floor club room area . nice touch heading play dinner . continental breakfast great -- especially city hotel ! server make sure everything attend -- even toast bagel bring you . we ask late check due time flight graciously give 3 extra hour store luggage time hail cab airport back home . definitely stay Hotel Elysee return NYC ! 
 Aug 11 2008 	 hotel elysee- many pluse minus 	 daughter return New York , spend five day Hotel Elysee . small hotel locate Midtown East , give easy access destination Manhattan , include museum along Upper Fifth Avenue , theatre district many restaurant . shop along Park Lexington Aves , include Bloomingdales , also close . we enjoy stay , appreciate pleasant staff bright dining area guest could gather substantial continental breakfast . coffee tea fresh fruit available day , wine cheese late afternoon . blessedly quiet room plenty space , - always plus New York- consist foyer ample closet marble - top dresser good - sized bedroom . pretty , well - maintain bathroom foyer . disappointment . carpet pretty worn stain , though want emphasize bedding towel impeccably fresh , wonder elaborate drape last clean . also notice television set ancient , small screen . not go New York watch tv ill one day find disappointing well set provide . single elevator comically slow , seem determined go way top floor return lobby . although think room overdue renovation , hotel well - run still lot appeal traveler look intimate , european feel large chain provide . 
 Aug 10 2008 	 favorite place 	 Hotel Elysee continue favorite spot NYC . never disappoint ... service & amp ; welcome , lovely room , library coffee serve day .. course location ideal . 
