Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Apr 20 2009 	 Roosevelt - Central 	 stay Hotel wife parent week ( April 2009 ) . room big ( none Manhattan ) , clean , comfy bed good shower . hotel foyer quite amazing . it central location Manhattan , perfect seeing sight . right beside Grand Central Station 4 block ( 5 - 10 minute walk ) Times Square . 10 - 15min walk Central Park 2 block away 5th Avenue Rockefeller Centre . we fly Newark , get NJ Transit train ( $ 15 ) Airport Penn Station . use Subway get Grand Central . line 1 Penn Station one stop Times Square , Shuttle line Grand Central ) get 7 day metro pass ( $ 25 ) , good move make used get around Manhattan / Bronx / Queens subway bus . there good fitness centre Hotel , swimming pool . use fitness centre time , tv machine water machine well . we ' eat Hotel breakfast probably bit pricy . adventure NYC go around wee Deli bar breakfast anyway . many they . there good restaurant nearby ( Eamon Bar Grill ) – 2min walk Perfect Pint ( 5min walk ) . fine dine good quality food . if look central location tour Manhattan , Roosevelt one . 
 Apr 19 2009 	 good bed heart Manhattan 	 room kind old small clean bed wow~ ! stuff pleasant especially concierge let carry bag ask nice way tip ! location perfect : one block grand central . say perfect hotel price pay ok recommend . 
 Apr 15 2009 	 room ready 7 pm ! smelly smoke room difficult staff . 	 book two stay friend come town . arrive check give smoking room smell awful . room decent furnishing smoker , smoke room really disgusting . tell could guarantee we non smoking room upon return would put request ' very likely ' coul make happen . return 3 pm check , room ready . wait smoking room 2 hour wait nonsmoking room four HOURS . wait 2 settle another stinky room . staff make attempt compensate we inconvenience rude would check see room ready . second room small bathroom not well furnish . look tired old . this hotel decent room good location . staff would simply make bit effort would completely change review circumstance recommend place . 
 Apr 14 2009 	 pleasantly surprised ! 	 book hotel hotel come really expensive nervous . book petite room not expect much ! husband really surprise hotel , entrance grand room clean nice enough , 17th floor not get nose . bed really comfy location great . staff reception concierge desk friendly answer question ! prebooked transfer Newark airport husband swear would never take long nice easy ! also prebooke bus tour excellent . really enjoy would definitely stay hotel believe fussy ! 
 Apr 13 2009 	 mixed Bag 	 stay week last summer . Front desk fantastic ; Sunday brunch fantastic : room good ; maid service good ; concierge desk clueless job ; front doorman crook . 
 Apr 12 2009 	 hard time recommend hotel 	 ' m well aware NYC price , think location good service average ; however , find room dingy tad dirty side . price , be okay , many hotel competitive pricing well value . 
 Apr 12 2009 	 elegant Lobby clean room great location 	 read mixed review , pleasantly surprise friendly staff . room clean , although small side . enjoy hang lobby bar . location excellent , walk distance Broadway , Times Square , Grand Central Station , Rockefeller Square . internet charge rip - off , not use . breakfast way expensive , plenty alternative block two away . 
 Apr 11 2009 	 Bad ... 	 ... know thing disappointed booking : lobby amazing .... ' think help see room . the room fairly small , small Travel Lodge room UK.It coffee make facility . your room may clean would like , ' really bad . the window look like clean year seem air con unit filter need good clean .... good thing : location fab . stone ' throw away Grand Central get anywhere need via subway 3½ block away Comfort Diner , look , will not regret visit . the room safe , big enough small laptop , camera , camcorder money etc lock away . the bed comfy , lovely shower / bath well need long day walk around NY ! ' spend much time room overall price pay happy . would recommend friend family , mention ! 
 Apr 11 2009 	 Horrible 	 Booked room month advance two double bed . get say room king bed leave could say & quot ; sorry . & quot ; be point reservation ? 
 Apr 10 2009 	 Friendly 	 Excellent service , friendly staff front desk , bell hop nice accomadatingpoore rain , gentleman front hotel hail cab sans umbrella 
 Apr 10 2009 	 great first time New York 	 first time New York & amp ; long flight & amp ; slightly dodgy transfer ( book expedia , pre - pay yet driver try charge again - we refuse ! ) nice arrive ! hotel pretty inside & amp ; great location . close everything need & amp ; want see . load shop & amp ; food place literally round corner . our room slightly small , bed fill , really not matter , not come New York stay room ! plus think mind suite like pretty woman go think small expect ! lol ! bathroom & amp ; room clean find problem whatsoever ! staff really helpful find hotel perfect need , would definitely recommend & amp ; would stay . 
 Apr 8 2009 	 Location location location 	 Service ( especially front desk ) poor . hello , smile , welcome , neutral reaction guest . ( husband ) not pay attention since know review price expect something else . drive Toronto , Ontario ( 8 hour wonderful road trip ) park hotel $ 55 , take car charge . stay 3 day not use car . hotel perfect location not need car . room small ok , request king size bed , look like queen , wish measure tape , curiosity . Washrooms outdate look dirty ( washroom closet ) nice cafe right across hotel , lunch breakfast . take umbrella reception make sure take bill return . almost charge we $ 25 . good hotel budget , stay . will look something else . 
 Apr 7 2009 	 cheap price 	 arrive hotel 9 pm Friday night discover booking lose . phone call expedia.com confirmation fax send hotel , finally agree booking . say say not room available ! ! 9 pm , not room available ? ? guess end compensate we two free drink entree bar . drink entree nice . the room pretty good shape however bath quite dirty . water tend clog bath , not appeal . the gym quite good catered requiredan issue cost internet access . set back additional $ 15 per day . find much cheap go local Starbucks use cheap internet . bit disappointment . overall hotel satisfactory money pay . 5 - 8 minute walk time square . location pretty good considering . worth shot want something cheap , totally nasty 
 Apr 6 2009 	 Good Bargain 	 get deal travelzoo - $ 179 / night rate King Superior Room include full breakfast two day visit . room clean location superb . locate one block Grand Central Terminal , convenient take subway . my complain run breakfast voucher go front desk morning get copy voucher breakfast . waitstaff Roosevelt Grill make friendly accommodating . I would certainly recommend . 
 Apr 6 2009 	 Ideal Location 	 stay Roosevelt annual trip NYC year . location superb . Grand Central literally across street subway access could not convenient . arrive 11:00 able check immediately head Village . room small size accommodate we . bathroom clean shower pressure / hot water good . room noisy bed unbelievably comfortable . hotel locate prime location make easy walk Times Square & amp ; Rock however tend go beat path entertainment . coffee maker room available lobby . eat hotel drink bar , lively evening . unless another great deal , will back next year ! 
 Mar 24 2009 	 great hotel ! 	 hotel great . hinghly recommend ! 's clean , service really good great fitness area . great location : step Madison Ave . it amazing lobby nice bar . room service really good , staff always ready help . I recommend Roosevelt Hotel . 
 Mar 24 2009 	 Perfect location good hotel 	 stay Roosevelt 3 friend , celebrate birthdays . read previous review little nervous staying experience good . book directly hotel get good deal include breakfast . breakfast buffet excellent huge choice . room quite small clean comfortable . bed one comfortable ever sleep . bathroom little tired clean perfectly adequate . staff deal , notable exception woman make waffle breakfast extraordinarily rude , helpful polite . would hesitation recommend hotel would happily return . 
 Mar 21 2009 	 stun 	 read review Hotel stun disgust writer . 18 month since stay , visit twice . first time April 2001 . hotel absolutely superb occasion . room superb , staff friendly efficient food excellent . I hope go New York next year book hotel . 
