elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Jul 31 2008 	 Excellent Property Financial District 	 ' ve number business trip San Francisco recently slowly try various hotel . say bit skeptical stay Le Meridien give location , TripAdvisor review convince otherwise . right . overnight , impressed . check - in one area would leave improvement , although always come specific person . otherwise , hotel immaculate , well - design user - friendly . typical Starwood fashion , give available upgrade junior suite , much appreciated . room spacious , comfortable trendy . gym inivite impressive . all - in - all , center lively nightlife , hotel highly recommend . 
 Jul 29 2008 	 Bedbugs 	 one hand , amazed positive review site , time appreciate -- , avoid room BEDBUGS.I spend two night Le Meridien October 2007 . loyal Starwood member ( though typically stay W Hotel chain ) , stay ( spend $ 400+/night ) base positive prior Starwood experience . I think hotel face great -- excellent location , nice room , great view , etc . unfortunately , awake Saturday morning arrive late Friday series bug bite torso . give warm fall night evening walk city dinner , think possible mosquito bite . prior experience ( knowledge ) bedbug , not give much thought headed day . when awake second morning ( return New York later day ) , find yet bite -- time much uncomfortable prolific -- arm hand . point figure something amiss , rush meet friend catch flight . only upon return New York bite continue research , ask around , etc . discover bring home bedbug . ultimately infest two room home , cost $ 4000 extermination cost replace couch headboard . upon notify hotel happen , blithely inform & quot ; inquiry , check room , thankfully , pest & quot ; . multiple e - mail phone exchange management fruitless , ultimately give final conversation manager assure receive & quot ; complaint & quot ; .Having ( sadly ) become expert bedbug , assure acquire HOTEL . would say stay risk , keep bag floor take precaution find internet avoid bring home bedbug . good luck .... 
 Jul 26 2008 	 want nothing fine hotel 	 stay financial district San Francisco , recomme Le Meridien enough . room newly renovate , tasteful furnishing . service absolutely exemplary . in - room dining excellent ( order breakfast ) although quite expensive . room reasonably price part SF , appreciate fine service attention detail , hotel . 
 Jul 24 2008 	 Solid / a- 	 fiancee stay Meridien July 4th weekend . excellent room reasonable price . clean , spacious , great concierge ! gym wonderful staff friendly . even enjoy little hotel bar , staff personable interesting . excellent location . so - so bathroom . fine view . fine hotel business , vacation , first - timer SF . 
 Jul 24 2008 	 first class ! 	 stay Le Meridien SF five night . superb room small terrace view towards Bay Bay Bridge . bed wonderfully comfortable bathroom good size - power shower leave lot desire . wonder hotel category still use shower curtain . hotel staff could friendly , helpful efficient . in - room dining good . hotel well - situate area rather dead night . all - in - all wonderful stay . 
 Jul 20 2008 	 Fantastic hotel 	 stay hotel three night independance weekend , corner room fantastic , bathroom huge , complementary internet available , staff friendly helpful , hotel good location , easy catch cable car 15 minute walk pier . hotel would recommend visitor san Francisco . 
 Jul 13 2008 	 Excellent Location 	 clean attractive hotel wonderful view . friendly . close walk downtown shopping , North Beach Ferry Building . close bus BART . friendly staff helpful concierge . use Best Rate Guarantee post Expedia rate 50 % . first give run around exact room list . almost one week , Expedia post new room book directly website . honour . staff first give we wrong room number cleaner let we wrong room . water pressure awful sometimes drip take bath , esp . mid - week business traveller . first time complain , front desk say send someone fix not fix . next day , mature person tell we truth problem hotel fix later year extensive renovation . low floor suppose well . 2nd last day key de - activate show ID although hotel one week partner & quot ; remembered & quot ; show ID . nothing offer plumbing problem except switch floor . overall , nice hotel great location would wait plumbing reno do . 
 Jul 7 2008 	 's Okay 	 stay Le Meridien 4th July weekend fiance Studio Suite . bed comfortable LG tv great ( tv rotate could view tv living room area ) . bathroom small enough counter space . bell boy never ask we need help bag , look . conceirge slow wait 15 minute help . like bartender bar small people stand we enjoy drink . room service great food . overall would not stay hotel . many small problem like . 
 Jun 28 2008 	 Pretty Nice Hotel 	 husband stay Le Meridien June 20 - 24 , 2008 . check around 11:00 p.m. lobby bar hop front desk staff friendly . stay 10th floor studio suite . great room . bathroom separate tub shower view two window bay bridge right one Transamerica building ( pyramid shape building ) financial district . enjoy separation live room bedroom big flat screen tv . notice something show bottom . feel slimy time , try wipe , never go away . sure slime , looked wipe clean ? ? ? stay end hall never hear one person come room . super quiet ! eat breakfeast 3rd floor fine . room service accommodate order . fast friendly service . oh way , make housekeeper phone laugh cried call tell need new hairdryer becuase drop toliet ( long story ) : ) location hotel also fabulous . three block pier start / end street car ( trolly 's ) . staff location great would stay heartbeat . happy travel ! ! ! 
 Jun 20 2008 	 amazing location ! 	 boyfriend San Francisco Memorial Day long weekend wonderful stay Le Meridien . 's perfect location people want throw walking shoe explore city . walk tour China Town ( fodor 's great one website ) , North Beach Fisherman 's Wharf . opt rent car transportation airport well two day trip ( Muir Woods & amp ; Napa ) , park extremely expensive . park across street Embarcadero Center lot $ 30 per day ( vs $ 50 hotel ) . actually park street Sunday since not feed meter leave early Monday morning anyway . plan go Muir Woods , definitely get early noon ( Saturday Sunday ) parking hard find . also , tour Alcatraz highly recommend . make sure book ticket online well advance visit 's highly unlikely get ticket within 72hrs wanting take tour . tour sell 6 day arrive . last transportation hint , use Embarcadero trolley line $ 1.50 per person ( exact change ) instead cabbe parking near Fisherman 's Wharf . ticket use hour purchase , 's great way save buck . one great perk hotel ( boyfriend find ) free shoe - shines . special bag closet detail . call front desk , pick shoe back within half hour . last night , check comedy show right across street hotel Punchline Comedy Club . great time ! 
 Jun 16 2008 	 wonderful ! 	 Le Meridien excellent . first trip San Fran great hotel . wonderful view Bay bridge window . staff welcome friendly . would recommend hotel hope stay . 
 Jun 2 2008 	 back ! 	 get great rate $ 155 . Stayed May 31 June 1 . love it . fabulous large room view bay . room huge comfortable king bed premium linen . spacious marble bath 5 star amenity . hotel great location close Chinatown , NorthBeach Embarcadero . opt room service 1 night like big hotel room service really pricey $ 68 2 burger 2 iced tea . ( excellent burger way ) think notable thing hotel service . exception one clueless doorman , everyone wonderful . request coffee setup room wasdelivere 5 minute . excellent service bell service housekeeping . aware parking San Francisco expensive come car expect charge around $ 50 per night park it . as stay many time City go rate . park car either take cab walk wherever go . Taxi 's City expensive . feel lot reasonable encounter NY City . 
