great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Jan 12 2009 	 great hotel fantastic location 	 stay hotel one night . hotel excellent , comparable quality Marriott Sheraton , perhaps superior , location definitely much well . whatever trip purpose , business leisure , drop bag take walk magnificent mile . loved ! 
 Jan 10 2009 	 New Years trip Chicago 	 every year past 25 year , wife sister , along w/ husband , share New Years w/ trip city . use trip get away everybody everything review year past make plan year come . 25 year , spend six year Hotel Intercontinental , Chicago . try place well big & quot ; I. & quot ; centrally locate , great room , outstanding staff , wonderful food . brother - in - law love & quot ; art deco & quot ; pool work - out room . great place go lunch sister shop . even well lounge downstairs ! try place Chicago & quot ; & quot ; always seem come good . last two year spend first day new year Hotel Intercontinental Chicago recent stay well ! 
 Jan 10 2009 	 Fabulous ! 	 InterContinental Chicago FABULOUS ! small lovely room Historic Tower . entire experience , check - in check - out perfect . employee friendly attractive . hotel clean attractive . amenity great , especially indoor swimming pool ! food service prompt , well present tasty . can not wait stay ! 
 Jan 8 2009 	 good value - good location 	 arrive Washington spend 5 day intercontinental part new year holiday . clean , efficient anonymous nothing decor offend ( please ) anyone . build impressive – bring swimming gear . staff polite helpful . hotel ideally situate holiday - well stay loop would suggest . two minute walk ' el ' plenty bus stop outside . plenty taxi , never wait one . kingsize room new tower fine – little small nothing surprising give location . two concern – air conditioning heating system noisy could use night , mean cold room ; plumb noisy . hotel good value ( average $ 130 per night per room ) provide use hotel additional service room service . mini bar pricing ridiculous bottle mineral water cost nearly $ 7 – stock Walgreens road . wifi $ 50 week . okish lobby bar good wine bar attach . lobby Starbucks convenient return cold . visit Chicago want somewhere convenient work hotel good choice . look something little personality look elsewhere . 
 Jan 5 2009 	 good choice 	 spend five day New Year . got great deal intercontinental website guess main motivation choose hotel . plus review tripadvisor overall good . could fault hotel . Stayed & quot ; new & quot ; tower . room comfortable - occasional noise neighbouring room last long . take breakfast two occasion restaurant find good . location excellent - upper end Mag Mile allow easy access shopping plus loop area museum etc . price - would certainly recommend . 
 Jan 4 2009 	 customer service back ! ! 	 many stay comparable hotel , say one far good experience long time ! everyone darn pleasant , renew faith quality customer service . doorman , front desk check - in , housekeeping service , security guard , fitness center staff ... friendly polite could ever ask for . the good example hospitality ? son become ill night , arrange we 4 pm checkout ( need leave catch train ) order stay bed recover . extra charge ; hesitation part . ' ve earn business ! ! 
 Dec 29 2008 	 Perfect Location 	 hotel perfectly locate shopping dining . accomodation need quick get - away . staff friendly helpful . Water Tower block away , plenty great restaurant step hotel . pool pack kid , would not recommend lap swimming relaxing . still , overall super choice . 
 Dec 27 2008 	 great location good hotel 	 great location city , especially shop Michigan Avenue . money , however , think hotel decent nothing rave . room main building fine quite small . pool amazing ( include ) exercise room additional $ 12 day . nice lobby lobby bar hotel service nothing special . wife , kid , try check parking car ( $ 50 / night ) front desk attendant would not let since room name . wife offer ID checkbook name check need ask manager allow check . real customer - orient think could find well money . try Swissotel . 
 Dec 26 2008 	 Good Value Friendly Service 	 room corner room 30th floor , great view lake Tribune building . bathroom nice . old property , modern date . swim pool AMAZING , worth look even go swim . food provide meeting room break out level comparable property book conference space . service always helpful friendly . 
 Dec 26 2008 	 Great Value Chicago ! ! ! ! 	 great place ! ! recently opportunity quick overnight COLD Chicago family ( wife 2 young daughter ) soak - up big city Christmas cheer let girl swim . hotel perfect . property beautiful . large King Historic tower great view , large bath ( w/ separate shower ) , plenty floor space ( girl love bring aerobe ) , overall nicely appoint . historic tower worth visit even stay hotel . beautiful well - mainte structure interesting history . pool awesome ( could degrees warmer - honestly minor complaint ) . breakfast charming 2nd floor & quot ; Zest & quot ; terrific worth $ 18.95 EarlyBird special ( $ 7.50 girl ) .As great property be - the real treat place staff ! person - everyone come contact top - notch . friendly , professional eager enhance stay way could . big - time kudo management staff hire , properly training , great bunch genuinely nice people . we ' ve stay many nice property Chicago can not think well place get & quot ; bang buck & quot ; ! can not wait go back . hopefully , warm enough actually enjoy stroll along Michigan Ave ! ! ! 
 Dec 24 2008 	 Thanksgiving Stay 	 need place right middle Magnificent Mile , hotel . take couple try find drive east , even use Garmin . however , pull front , bag handle efficiently , room ready promise . course , well view large room , offer upgrade elite status travel club . , sure view really change much . check process smooth room quiet comfortable . never appreciate internet fee ' like internet service free . also , park expensive downtown Chicago hotel , avoid bring car unless really need one . hotel location right across street Nordstrom ' , make shopping easy . starbucks downstairs lobby , nice quick breakfast . restaurant / lounge frequently busy , service good . get rate around $ 160 / night would take avoid upgrade something expensive . 
 Dec 22 2008 	 Best Hotel Chicago 	 second stay hotel . choose part package make available Hotwire.com . see one option , seize opportunity stay . time able take wife expectation exceed staff superb hotel . arrive early able check , even though prior noon . small fee , able upgrade accomidation enjoy spacious room great view city . speak staff hotel . probably friendly ever encounter travel . quick help question city , good get around , attraction place dine . certainly stay next visit Chicago ! 
