Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 Oct 19 2005 	 great holiday 	 stay Comfort 4 night great time even though rain every day . staff hotel helpful friendly , Alex give we plenty tip . room 4th floor clean tidy although view window lead fire escape problem . breakfast good set we day sightseeing . location hotel excellent sight walking distance . would definately go back . great time . 
 Oct 17 2005 	 great place stay first visit NYC ! 	 Comfort Inn Manhattan locate 35th Street 5th 6th Avenues . Turn leave hotel entrance , Herald Square Macy 's 5 minute . hotel 10 - 15 minute walk Times Square . Brendan 's Bar & amp ; Grill locate hotel , free continental breakfast serve morning . breakfast include cereal , doughnut , pastry , toast , bagel , apple , coffee , orange juice , apple juice . menu Brendan 's provide decent price fairly good selection food . open breakfast , lunch , dinner , adjacent Anesis Cafe , also hotel . alex front desk seem know everything New York , excellent person ask unsure go , especially ' ve never New York . front desk staff also multilingual . subway entrance also locate near hotel , half - block away . room , although spacious , clean well - maintain . room king bed sofabe . sofabe pull , room walk king bed , bit problem , New York , feel room adequate . two issue complain room light poor drain tub slow . hotel one work elevator , cause we wait couple time 5 minute , time seem problem . stair option , although never use . elevator renovation , several year , accord review ' ve read . overall , would recommend hotel , may stay visit NYC . 
 Oct 10 2005 	 ok 	 friend rave hotel never know . protract book front desk , room finally give clean , small dark . good point staff free breakfast . hotel really need rate cut , full clean decoration . oh please fix lift . 
 Oct 3 2005 	 Prefect Location 	 stay hotel 7 night find good . review make worry little , everything fine . location fantastic , right heart NY city walk anything . room be not bad size , except double bed little bit tight squeeze huge people ! breakfast downstairs Brendons bar great , plenty thing choose . staff excellent help we great deal . would stay i m NY 
 Sep 28 2005 	 wonderful hotel 	 friend travel New York Sept 2005 . week beforre trip would check review hotel although positive , good experience , comment slow elevator . well thourouhly enjoyable stay hotel . find wait elevator long , room clean good size . staff friendly helpful . area convenient location fabulous . would recommend anyone would stay . 
 Sep 27 2005 	 Great Location Ok Place stay 	 reading review hotel , not sure expect , many good review bad . stay 4 night find place ok . old building , clean , staff friendly & amp ; helpful location great . one two elevator work , five minute wait not really big deal . two lady feel safe walking around area dark . think price pay place well expect read review . room microwave fridge , able come back cool drink . People keep mind New York City , get ok place less $ 200 per night , not expect real luxury accommodation room long enough shower sleep would recommend hotel ok place great central location . 
 Sep 25 2005 	 second trip New York 	 second trip New York , previously April 2004 stay Ameritania . the location Comfort Inn superb , come hotel turn right Fifth Avenue , turn leave Macy 's ...... well location ask ? room eleventh floor direct view Empire State building , breath take . room spacious , bed comfortable bathroom spacious . room need redecoration clean , towel bed linen change daily . only one lift still service hotel , not create we problem , even eleventh floor ! second lift due repair anytime . Breakfast take Brendan 's next door , really cosmopolitan bar , ideal anytime day especially be foot can not walk another step liquid refreshment need ! staff hotel pleasant helpful . it ideal base explore New York due 's central location long be expect Ritz will not disappoint . P.S . check roof top bar Metro Hotel road great view Emprie State Building . 
 Sep 18 2005 	 Fantastic Location ! ! ! ! 	 Brilliant Location ! really central many New Yorks attraction . room fine , luxury clean quite spacious , far much New york anyway spend little time room , bed comfortable that s main thing . good price per night aswell , consider excellent location . friendly staff , especially Alex helpful detail good sight see etc , overall staff make we feel welcome breakfast include price add bonus . would definately stay . brendan bar next door also lovely food , even well cheesecake ! ! ! ! ! 
 Sep 17 2005 	 first time New york 	 husband , , 3 child stay spring break . find staff friendly helpful . breakfast okay , , continental breakfast . elevator issue , take stair , luckily sixth floor . location great ! price good could find . notice people stay nice staff , return go way help . room clean , hall need repair . would stay . 
 Aug 12 2005 	 good choice ! 	 location wonderful ! room clean quite large even wash - basin unconfortable really small . lift work not problem . breakfast include price great ! 
 Aug 7 2005 	 good great location 	 overall great , problem one elevator work . staff nice room well decorate , clean spacious NY hotel stay . lobby pretty . hotel locate less block subway close great bargain shopping like Macy 's , Daffy 's , Lush , Victoria 's Secret , H & amp ; Conway . great view empire state building . Southwest airline discount total price ( tax ) 2 night stay $ 300 , fine . happy overall . would certainly return . 
 Jul 17 2005 	 well somewhere else 	 unlucky enough pick hotel one week stay . good point say location within walk distance many attraction , hot water come quickly shower , ask refrigerator deliver right away . however - front staff stand - offish . one tiny , slow elevator commision , usually climb extremely narrow dirty stair . big complaint & quot ; non smoking room & quot ; reeked smoke . complain ( since daughter asthmatic ) avail . room one small window overlook brick wall . hotel grimy ( see peice trash - include green & amp ; sit stair week- place entire time ! ) . floor dirty need replacement . try spend little time possible hotel room creature comfort . 
 Jun 27 2005 	 Great Location ! 	 , husband 2 yr old daughter stay 3 night June great stay . mention previous post - luxurious hotel - however room large , clean comfortable ( bed great ) - nice bathroom great shower . room clean bed make every day friendly maid ( leave $ 5 tip every day great job ) free breakfast morning great perfect way start day . include tea / coffee / orange apple juice/4 type cereal / bagel / toast / doughnut / apple / orange etc . love ! could also order cook meal restaurant around $ 8 . location hotel second none - right around corner Empire State Building . nice view Chrysler building room ( beautiful night ) explore City foot great little base would recommend other . return FABULOUS city - likely stay . 
 Jun 27 2005 	 ok hotel good location rude service 	 wife stay hotel town Yankee game sightseeing . arrive little early ( around 12ish ) , stop find parking early check . basically barely give time day lady front desk . tell could get discount parking ( 18.00 per day ) , say room be not ready do not offer time estimate would . stop back ask two time ( 2 , 2:45 ) , even say anything could finally check . continually rude remainder stay , letter send regard . anyways , room ok . stay 11th floor , elevator definately issue . slow understatement . hotel need TLC . room clean , bathroom small , AC front window air conditioner . room decent size though . location good . subway stop couple hundred foot away front door , Times Square 15 minute walk , good diner / coffee shop close ( breakfast ) . Ground Zero Statue Liberty easily accessible subway , Yankee Stadium . would not stay next trip NYC . subway easy use , would probably stay outside city , utilize mass transit avoid parking hopefully pay reasonable price food . 
