five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 Apr 4 2009 	 clean spacious one two suggestion ... 	 stay Trump friend three night . pleased cleanliness attention detail room bathroom . use sofa bed maid come take care detail we . helpful front desk arrange airport transportation we . bathroom giant , great whirlpool tub use last morning watch t.v . inlaid mirror . want stay right action , choose another hotel . trump 5 minute walk Wynn ( bad ) Fashion Show mall literally right across street ( 30 second front Trump ) . far Strip action , access lot casino , be go 10 minute walk hotel gaming . bad thing . actually enjoy quiet elegance upon return night gambling . 56th 64 floor . not like height , helicopter airplane fly window , get low floor . overall hotel definitely 5 star , would stay . 
 Apr 4 2009 	 love jacuzzi ! 	 nice hotel . would definitely come back price good . stay conference nearby . casino security guy filter people stay time . full kitchen - pity time use . bit way want location central strip . bad thing $ 15 resort fee . : - ( 
 Apr 3 2009 	 floor beauty place - affordable price 	 boyfriend layover Vegas decide stay night . check Expedia find room Trump 89.00 . could not believe consider 5 star hotel gorgeous ! 27th floor , huge tub walk shower , tv bathroom mirror , plush robe , name . luggage travel ahead us didnt't toiletry , ask front desk send we razor , toothbrush , etc promptly . strip , close enough walk ( behind Treasure Island ) 
 Apr 3 2009 	 Great experience ! service Outstanding every Department ! 	 book thru Priceline March 27 - 29 , hope get 5 Star Resort disappoint get Trump . turn perfect . arrive early drive Murrieta , CA . exit Spring Mountain . stay leave lane off - ramp . valet , wait short line check . ask away train pool view . put we unit 5728 , 57th floor direct view high city perfect strip view . amazingly , could hear train day , never notice night . able see Bellagio water show . wife chance finish bring belonging , kid excite jucuzzi tub . warn , add alot less shampoo normally would bubble bath . jet , make mountain bubble kid could hide . unit top - notch . maid service perfect . everything replenish , dish wash , even sofa bed make we . put minifridge cold level drink get cold fast freeze . pool area not impressive , functional . heat though kid still alot fun . service also nice . life guard grab us towel escort we large , padded lounger could fit several people . pool close , allow we keep kid wrap pool towel room instead return towel pool kid go cold . kid age 6 , 4 almost 2 . hotel non - smoking really appreciate breathe clean air . way , lobby area smell great . sound weird , notice . Walk Vegas hotel think be go to leave lung cancer . walk strip . kid ? 5 minute max . think . stay mega resort , hike elavator room , thru casino get strip . probably time . us glutton Vegas could use walk burn calorie anyway . location great convenience mall across street 5 star resort like Encore , Wynn , Palazzo , venetian close . check - out smooth , hidden fee , expect resort fee . valet wait not long check Sunday . brother Encore , check Monday , wait half hour vehicle . drive away , realize leave clothe hang closet . call Trump , turn around , maid already prepare security bring we . truly perfect overall experience . hotwire user , hotwire separate 5 star condo central strip category 5 star hotel category . trump 5 star condo . may change City Center project finish . will back , value great service even great . 
 Apr 2 2009 	 Great room nothing else 	 - nice Spacious Studio Rooms- Modern Design Comfortable- Comfortable Bed- wonderful big bathroom- Nice Lobby- Good Breakfast , much selection- bad , Slow Service Reception- Poor Location , Far walk strip . around 20 minsgood stay , much enjoyable stay Encore . 
 Apr 1 2009 	 Relaxing Las Vegas Luxury 	 gem ! spend 4 day Trump enjoy every second ! know could stay Las Vegas without breathe second - hand smoke ! ? ! ? ! lap luxury , . cordial , friendly professional front desk staff , excellent room - service meal , relax quiet pool , cozy bar . . . everything perfect . can not wait return . defnitely hotel people want relax upscale , quiet , understated luxury -- friendly customer service ; false pretension site . prepare long walks strip , daily exercise , use local taxi . Friday Saturay , notice shuttle Wynn ; will try next time , Wynn restaurant & amp ; bar highly recommend . already reocmmende Las Vegas Trump everyone know ; will definitely return . 
 Apr 1 2009 	 Fantastic Stay 	 giest upgrade studio 1 bedroom suite check . room amazing view , hotel possess every amenity one could think . hand , would definitely stay . 
 Mar 30 2009 	 Great Hotel ... Great Value ! 	 stay Trump one night Vegas . book via Priceline.com , bid $ 97 plus taxis / fee , total $ 111.43 . hotel room fabulous ! let us start bathroom ... big ! mirror TV build ... first time see . bathtub big enough two people shower could easily hold 4 people ! bedroom / Sitting Room ... room basically studio nice LCD tv , King Bed Sofa pullout . also kitchenette mini SubZero fridge , electric flat stove top , microwave mini kitchen appliance tool . the pool nice , kid enjoy it . finally , casino hotel . loved ... smoke ! 
 Mar 29 2009 	 ` ` Donald '' outdid 	 return 4 day stay Trump International . & quot ; standard & quot ; room excellent . actually studio stove , micro etc . cost 89.00 slip 15.00 resort fee ! room sizeable batroom great . right strip Wynn convenient . return wife would definetely stay . would love . attend convention would probably stay close convention center pick hotel casino . personal thing ! 
 Mar 29 2009 	 thing know 	 four we come back one week holiday hotel , firstly fantastic stay would like let future traveller benefit stay . when arrive airport catch Hotel shuttle bus 7 $ drop hotel . strip right next airport strip busy take 35 minute get hotel . the Hotel little bit mean far , one main benefit quiet casino hotel.when check swipe Visa tell we $ 200 deposit could charge damage hotel property , also daily $ 15 + tax resort charge , ask tell cover thing like car parking , use Gym swimming pool incidental use room , say happy pay charge tell compulsary . the room beautiful , large everything need . even cook room want.bee English want Tea , room , rang Housekeeping tell would pay tea bag $ 5 send room.we several minor problem room report send someone quickly put right . all staff friendly could enough we . drink expensive wherever go Vegas vertually everywhere go want sit table drink tell sit bar unless food , though strange many empty tables.when come check tell receptionist various problem think pay $ 15 day resort charge , word Manager charge drop . on Strip go towards downtown two great place Breakfast , peppermill dear Denys exellent seat quickly . we fantastic stay , one week long enough we , never stop see everything . we catch Taxi back airport , driver really friendly , Taxi bill $ 15 pleased give $ 20.when read go get impression constantly give Tips , true , give tip think earn . we wait go Vegas . 
 Mar 28 2009 	 Luxury Lovers indulged -- Pedestrians beware 	 husband book 2 night stay Trump March 21 & amp ; 22 . get great deal Orbitz , include free room upgrade view strip , $ 50 hotel credit use restaurant , spa , shop . use hotel credit fabulous breakfast buffet , love , use credit easily ! trump much outside , lobby lovely glitzy , nothing special . however , service great ... free valet parking , fast check , friendly concierge bell staff . room real standout ! ! great view strip , comfortable bed imagine , giant tub , kitchenette , tv bathroom mirror ... could go ! ! ! room one well ever stay -- include much expensive hotel ! totally spoil ! bad thing Trump location . husband like walk strip Vegas , Trump 2 block strip sidewalk road . plus , night , light whatsoever . spooky . reviewer point , walk mall get strip . close , safe walking . mall open , walk unsafe , scary street . end take cab night , actually work well really windy weekend not want get windblown look ! taxis range 7 12 dollar . overall , would stay Trump heartbeat ! room amazing still miss comfy bed ! 
 Mar 26 2009 	 Five Star ... good value Hotwire 	 get hotel Hotwire go Las Vegas last second . price hotwire great ( $ 100 night ) good value , mean five star hotel . Valet service take forever . strange check , feel nice hotel know go . confirmation paper Hotwire , could find reservation . take ten minute , fine , act like fault . room really nice walk , lot little thing break ( mark wall , break handle bathroom , stain rug ) . Vegas quick business trip , would like hotel vacation . option park car valet , charge , hotel / destination fee include rate ( include use internet gym ) pay get pool ... hear . anyway , would stay rate , would pay rack rate hotel & quot ; 5 star & quot ; property 
 Mar 25 2009 	 Exquisite Hotel - 1st Class ! 	 Trump International Hotel world . stay nice hotel , probably pick . Trump International locate strip , traveller deter . cross road front hotel , walk Nordstrom mall face strip 5 minute . if travel England unsure whether stay , suggestion . stay want smoke free environment casino - purely 5 star hotel gambling facility - want gamble - LAS VEGAS - Casinos everywhere ! modern kitchenette room cook . enjoy environment top class hotel , . room jacuzzi bath tv instal bathroom mirror . view high floor world . if want strip casino ground floor people getting hammered 24/7 bustle gambling arena , go less hotel strip . may suit . also , Trump charge compulsory hide $ 15 per night ameneitie fee bump price give access pool spa ... sun , tend feel sun reflect tower pool area . also , may read bad review valet parking . take 3 - 5 minute bring car . holidaying , matter ! problem . like strip hotel , service offer hotel expensive , Vegas live all . overall , great friendly staff top class hotel experience . our thought Donald Trump business man well . look like hotel build nearby hotel continue thrive next year construction take place Vegas become amongst hotspot area . 
 Mar 24 2009 	 low point trip 	 mean 5 star . sure be one cheap hotel 5 star hotel guarantee service 4 star hotel would surpass one long shot . first valet service take lot time even early afternoon , wait least 15 minute car . could even call car early thus waste time . ask connect room 2 month reservation , say would accomodate 2 room end completely different floor . neighbor loud college frat boy keg party room . seeing past midnight stick traffic six hour , politely ask change room accomodate . say could make noise complaint . order room service overprice give wrong item . server proceed bring back actual item order expect tip ! ha . laughable . location bad since not far walk Wynn much well hotel . advice splurge Bellagio Wynn even stay MGM grand . stay much well . 
