location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Apr 12 2009 	 beautiful hotel right Times Square 	 return excellent stay Casablanca . service amazing , room beautiful quiet , love Rick 's Cafe . time get ice tea , capuchinno , expresso , etc . breakfast nice- croissant cheese ham , bagel , muffin , fresh fruit , yogurt , cereal , . wine cheese vegetable tray early evening cookie milk night . computer printer internet access . suggest wonderful restaurant make reservation . love tile bathroom , woodwork throughout hotel classy accent piece . check DVD 's watch room- New York movie , Broadway show movie , course Casablanca ! slight complaint not dresser clothe , enough drawer put clothe . 
 Apr 11 2009 	 3 visit still want go back 	 stay Casablanca summer winter , alone family , business leisure trip - yes , every intention go back . two main thing draw back - atmosphere location . aware room gigantic , not spend lot time room i'n NYC . even stay alone week business trip lot late night laptop room match australian work hour , not find room size restrictive - find friendliness staff guest breakfast evening drink Rick 's Cafe wonderful . concept Rick 's Cafe cornerstone attraction hotel . fruit , pastry , coffee cold water available day night - perfect grab quick snack meeting tourist highlight . morning breakfast fresh plentiful evening drink snack great pre - theatre treat . People friendly chatty , be also easy sit alone read 's preference . regard location - find easy walk almost anywhere Times Sq , subway right across road need . can not say enjoy thick Times Sq crowd get mid - summer , be easy walk 43rd less congested street walk along . be theatre nut like , 2 minute walk to / home theatre , TKTS booth simply perfect . issue - problem ever one room face front street bit noisy light sleeper like ( daughter sleep fine - ) . could resort ear plug , speak front desk move we rear room less 15 minute . problem solve . 
 Apr 9 2009 	 calm Hotel middle chaos 	 stay Casablance Hotel celebrate wife 40th , book junior suite . first impression outside , oh ! look grand . however welcome doorman receptionist turn , polite inside look nice , especially lounge . our room ready take suite 6th floor overlook road . they put complimentary bottle fizz nice touch , room spacious , clean everything could want . now first moan , web site state room sound proof , turn case , night long could hear noise truck pull build road , mixture reverse signal , truck start engine odd police siren enough disturbed sleep . complain move we & quot ; well & quot ; room , twin bed junior suite back hotel , money charge we extra . room also noisy could hear extractor fan hum time , continuous hum , get sleep . in morning continental breakfast evening complimentary cheese wine , time cookie cake beverage lounge . the hotel 20 yard Times Square great base , WOW Time Square amazing night ! many place eat 7 drink road Hotel youi do not stray far high standard , current exchange rate little expect , hey lifetime trip .. couple side , hotel boast free wireless 5th & amp ; 6th floor signal weak , also tv signal also poor , include watch dvd tired walk nyc.taxi JFK $ 50 , Newark $ 103 ! ( yellow cab do not go reason ) overall pleasant stay , everyone helpful friendly , hotel immaculately clean even cleaner check do not need anything . per title hard 4 day around NY relax calm atmosphere hotel , boy change ouside ! 
 Apr 8 2009 	 Excellent service location ! 	 read review beforehand , prepare tiny room . two boy we sleep pullout couch , sure people say move coffee table room , able push wall easily . yes , room tiny , 4 we , manage fine . also prepare outside noise well . real soundproofing , sensitive noise sleep , might good choice . although front desk happy supply we ear plug . two real negative hotel , like say , read review prepare . staff amazing accommodating . able find we great seat see Wicked hour notice , helpful finding restaurant area seem glad able assist we way . room clean , housekeeping efficient . wonderful experience , beat location ! step away Times Square able walk many tourist location well . 
 Apr 7 2009 	 excellent choice ! 	 find hotel read National Geographic . going stay somewhere cheap decide splurge anniversary . hotel well position ( step Time Square ) walk take subway . breakfast great - fresh fruit salad , yoghourt , bagel , croissant , danish pastry , hard - boil egg , fresh fruit , fresh juice , coffee , tea , espresso , cappuccino , cafe latte , etc . fresh fruit hot drink available day . wine cheese evening also good . computer printer available , high - speed internet bedroom . staff really friendly helpful . would definitely recommend hotel . 
 Apr 7 2009 	 Charming Hotel Mid - town 	 arrive 11 room already ready we . everything perfect . take advantage wine cheese day stay . great relax full day plan evening friendly environment . breakfast excellant well . back ! 
 Mar 29 2009 	 quiet clean 	 return four night stay Casablanca teenage daughter . Casablanca live great thing say Trip Advisor , honesty , little bit skeptical possible . visit last week , would not even consider stay anywhere else return trip . able step inside immediately hustle bustle Times Square , head upstairs tea cookie Rick 's Cafe enjoy big screen , retire uninterrupted night 's sleep quiet comfortable hotel room , fantastic ! bathroom beautiful tile work include high shower head tall guest plenty powerful hot water pressure . amazed night incredibly quiet room , ( room 501 ) . street noise one single sound nearby guest room . keep bathroom window crack couple inch night even never awaken , even occasional siren awake we . northwest easily satisfied caffeine habit morning walk around corner ( literally 20 step ) starbuck Broadway & amp ; 43rd latte , return wonderful breakfast Rick 's Cafe . ( offense coffee Rick 's ) . everyone staff extremely friendly accommodate . bell staff front desk hostesse Rick 's Cafe , Casablanca do superb job encourage exemplary customer service among employee . literally greet name came go . sad leave NYC - wish one day two , Casablanca Hotel big reason . truly wrap visit inside pleasant experience ! 
 Mar 29 2009 	 solid choice Times Square 	 good , clean hotel good price Times Square . one big plus not see reference adjacent parking garage charge guest 25 buck 24 hour -- stunning bargain location . ' m give four instead five star not think & quot ; five star & quot ; place term luxury . combination service , cleanliness value doubt 's well choice Times Square . one night 's stay quiet other report , exceptionally light sleeper not expect utter silence location anyway . ( note street noise , noise neighboring room . ) service live TripAdvisor reputation : professional , respectful responsive . particular room , & quot ; Moroccan & quot ; theme , , amount wicker furniture Moorish pattern window dressing . ' ve stay ownership group 's place - e.g . Library Hotel , Giraffe -- level comfort , quality customer service familiar . 
 Mar 29 2009 	 excellent small hotel - peaceful Times Square 	 Excellent location , Times Square suprisingly quiet peaceful inside hotel make good night sleep . hotel Non Smoking hotel , great neither communal area bedroom smell stale smoke . room good size ( book King bed room ) plus lot New York hotel room tiny . room moroccan theme well maintain . bed comfortable . mini bar provide hotel do not use expensive . complimentary bottled water bar belgian chocolate provide replenish consume . negative room temperature - fairly cold thermostat wall do not seem work . report reception way evening . return heating work room warm . problem could adjust / turn use thermostat wall . bother speak reception fairly cold duration stay mostly want heating . able open window use cool room need . bathroom - nice decor/ well maintain , nice complimentary toiletry , powerful shower , downside bath tub small . staff - everyone maid reception staff smile say good morning genuine friendly manner . reception Ricks cafe staff welcome helpful . last trip New York stay Grand Hyatt nice impersonal comparison Casablanca . Ricks Cafe - relax place chill take break crazy / busy street New York . complementary cafe guest serve continental breakfast , wine nibble 5 - 8pm teas.coffeee cookie day . breakfast good standard easily comparable continental selection available large 4 star chain hotel . pleasantly surprised find good selection twinning tea ( black , green , peppermint variety fruit tea ) available . also computer provide guest use , useful checking museum opening time etc would hesitate recommend hotel would definately stay . 
 Mar 28 2009 	 hide gem heart New York 	 get back fantastic five night stay hotel . book base hotel 's location strength review website , not disappoint . the hotel manage remain quiet peaceful , despite central location ( Times Square ) . room fairly small , spotlessly clean comfortable . hotel staff great - friendly nothing much trouble . really enjoy cheese wine night - relax way start evening go out . the hotel short walk away Hell 's Kitchen area - great selection restaurant along 9th Avenue ( much well value eat around Times Square ) .All , brilliant hotel great location - would definitely stay . 
