great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Jul 9 2009 	 great staff disappointing room nice location . 	 great beginning - our room yet ready , man bell desk soothe traveller ' wearine round complimentary drink . settle room , heater inexplicably come . Repairman minute , although option room change offer . business offering like high speed , executive suite , etc par , room usb charge staion would great addition day handheld smart phone . hated extra - cost fitness center- lay extra $ 25 sweat - glisten exercise equipment , badly ventilate room . over near - riot continental breakfast , client find serenaded amorous newlywed next door . Nice be invite party , annoying be . 
 Jul 8 2009 	 great service ! 	 boyfriend stay Grand Hyatt week July , lovely stay ! location hotel right , within walk distance place like madison / lexington / park avenue also within close proximity central park times square . Central Station next door subway also close . greet sweet helpful member staff front desk check , accommodate ask quiet room without connect door . came realize booking include breakfast one we , check manager give six additional breakfast voucher . find helpfulness service make great first impression like people write page , service great not really matter room little bit date . return sure ! 
 Jul 8 2009 	 great location - good service 	 stay 5 night say location pretty perfect . right Grand Central Terminal , 10 min walk Times Sqaure - gernerally great base explore city . room good , bathroom small side clean . service always good . would reccomend hotel . 
 Jul 8 2009 	 fantastic stay 	 always head somewhere come forum check review . look review Grand Hyatt start get little discourage . speak small room , lack customer service , noisy hot water . well must say encounter none factor . flight 10 late upon arrive & quot ; Melissa & quot ; check we smile . let know luggage lose flight delay 10 hour thing not go right . promptly give family large back toothpaste , deodorant , comb , mouthwash , many free coffee coupon starbuck lobby . introduce bellman fill form luggage deliver hotel would sent right . also upgrade we large room would not ready next morning . promise 11 next day large room promise luggage life good . every morning greet smile night restful noise room hotel pretty full . shower pressure strong hot 28th floor . room small Hyatts hey NYC large standard . check ask large room available vary specification may request . first night 2 dbl bed room bathroom small three we would fine 2 people . room go next day perfect 2 dbl bed . feel need write arrive less worried read previous review . 5 night walk distance attraction . train station right next door offer shop , food great people watch . corner store open 24hrs get water , juice , snack , film underwear , etc get anything may left home . area safe . say room service little pricey usually pay . like breakfast morning use service fee price per person Grand Hyatt high step outside go elsewhere . hey NYC many place grab meal ... return NYC always stay ! ! ! 
 Jul 7 2009 	 Excellent location 	 king size room rollaway bed daughter . room spacious , bed comfortable , aircon work fine , room clean , fresh towel daily . surprised not kettle make cup tea coffee like . location really central . Approx 15 min walk Times Square - could want ? foyer , although impressively large , need bit update , 's brass / gold eighty finish . guess would take lot lot money though 's bit economy bleak ' m assume 's top hit list . negative would say price menu ridiculous . $ 15 bowl cereal fresh fruit . needless say not eat hotel . 
 Jul 6 2009 	 Nice Birthday experience 	 soon wake low lobby , son thank book we great place . nice hotel love lobby area . stone , beautiful lighting , bling , etc common area hotel nice . between fact staying point hotel sell , expectation low . almost immediately delighted checkin staff member Jillian G. see 3 , ask occasion ( birthday ) proceed make sure comfortable room . 2 room suite 2 flat screen , pleased . right arrival , Jillian Guest Services deliver chip salsa bottle wine . nice touch . on down - side , bathroom typically NYC small , wall bit thin room hint wear , much travel common day . room clean & amp ; roomy , staff friendly , localtion good want nothing stay . 
 Jul 4 2009 	 large boxy room thin wall 	 ask room without connect door - thin hear entirety & quot ; Marley & amp ; & quot ; next room 1amrooms large 1980 . 
 Jul 4 2009 	 great great great location ! ! ! ... hotel ok : ) 	 use live hotel several day June 2009 . first trip New York needed city , know : view , walk , etc . hotel 100 % hit ! hotel 's location amazing ! ! ! Beautiful Grand Central adjacent hotel direct corridor ! short walk inspire intimate bryant park , 10 minute Times Square , 4 minute Fifth Ave , etc . etc . etc . the room ok , admit - exceptional . small bath tube , break plunge . ask service mend , take = ) trifle comparison price pay location . recommend place tourist survive without Ritz - Carlton = ) 
 Jul 1 2009 	 Jeremy kind ! ! ! great service even step door 	 not even make yet Jeremy , Front Desk manager , already offer great service . ic alle 5:10 July 1 ask small upgrade could accomadate since wife alone away kid 9 year . 5:22pm , jeremy call back offer upgrade Suite . kind genuine write review even step door . this show great committment service anyone look want feel welcome . thank jeremy great caring hospitality . Marc 
 Jun 30 2009 	 Great Location exceptional service 	 solo traveler , find Grand Hyatt New York convenient location offer traveler leisure able access point New York without much difficulty . be next Grand Central Station , walk distance Times Square around corner Fifth Avenue , Grand Hyatt locate right spot want sight - see want shop . room Grand Hyatt require update , staff exceptionally accommodate provide prompt courteous customer service go beyond provide warm friendly atmosphere , notwithstanding discount room price acquire PriceLine.com . in opinion , Grand Hyatt New York offer excellent location discover New York City , good value exceptional customer service policy . 
 Jun 30 2009 	 Yikes ... waste money . 	 hotel even close 5 star hotel . lobby beautiful , truly deceptive . room pretty standard . large T.V. 's . also lack coffee maker bar fridge . stay hole wall Super 8 motel ammenitie . shower moldy smell like urine , maid service really fail give proper cleaning . wall thin make easy hear other floor . room service horribly expensive , everything else within hotel . bad part stay bed bug leave . complain front desk inform we other complain bed bug well . offer compensation even see amount bite arm leg . horrible hotel avoid cost . 
 Jun 29 2009 	 everything could possibly could need trip . 	 can not say enough great stay hotel . staff accomodate always eager help . start time check . guy stand next check machine would not even take tip helpful we . hotel could not well location . close time square , still far enough not feel overwhelmed crowd . connect grand central station anywhere want matter minute . 
 Jun 27 2009 	 Passing grade maybe worth half - price ( maybe ) 	 ' m stay hotel right . get solid deal Pricegrabber , consider location - make worthwhile even rat infested dormatory . be nearly bad , have disappoint pay anything close rack rate . 's ' m impressed : room noisy - wall paper thin , hear phone conversation next door neighbor . suck , bring earplug , problem solve . bathroom nice product , definitely show age . Shower pan crack / nasty edge , remind nasty college shower . Maid service good , however , everything wipe clean . no view room - ' ve get load interior - ish face room basically worthless view . , fine be pay 30 - 40 % rack rate , ' ve ponie big buck . location good , great - many line connect Grand Central , ' ve find walk fair amount get fun place . expect Midtown East ? functional , much charm . I pay less stay Hilton 57th last year - much nice room . bit small , much sophisticated well - finish . location also bite desirable , step Central Park , Letterman 's studio , etc . 
 Jun 24 2009 	 Nice hotel well choice NYC pay full price 	 start say score hotel Priceline great deal . perspective , great deal . pay advertise rate , much . location : Midtown Grand Central Station . access hotel station . great starting point get around city . check : arrive , long line front desk . one use convenient self check terminal . sure . bypass line ! get key machine , request king size bed enter Hyatt old Passport number right . want interact person , prepared wait . room : ok . flat screen tv , nice bed , great view city . bathroom letdown . still not know hotel pay thousand dollar build room neglect fixture bathroom physical plant . take long time get hot water shower lazy Saturday . sure bad would business day everyone get int shower 7:00 8:00 . pull shower stiff . may need help arthritis . amenity : full - service hotel , everything pay everything . internet business center cheap in - room internet . breakfast room service cost fortune . save money . go street nice deli breakfast . many internet cafe well . overall , nice place . staff friendly helpful . pay Priceline , definitely good value . sure would pay $ 200 + per night place . price , think well option . 
