great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Feb 29 2008 	 Loved Hotel 	 great Hotel stay , welcome lobby treat well . 17th floor view amazing , bed exceptionally comfortable , shower great powerful wake straight away ! ! bit walk get subway great way explore upper east New York ! walk 4/5 avenue get subway bloomingdale . love nice know cosy hotel go back really long day plus service fantastic ... get late check room give extra time get luggage taxi airport arrange time ! ! ! plus , view top floor bar amazing be right next bridge ! ! ! ! ! ! 
 Feb 27 2008 	 wonderful hotel ! ! 	 want quiet hotel New York City , not want pay fortune - easy find NYC . investigate hotel downtown , look review . seem overpriced get . seem run charge high rate convenience downtown . decide Bentley look luxurious comfortable , not far downtown . happy Bentley . room comfortable quiet , service great . whenever need anything , front desk extremely courteous cooperative , send someone right away . want go downtown , ten minute cab ride . doorman even fetch taxi ! also lovely restaurant top floor . return NYC , would hesitate stay Bentley . question , e - mail beanzie @ rogers.com . 
 Feb 12 2008 	 impress Bentley 	 boyfriend stay Bentley Hotel 31st January 5th February 2008 impressed . find staff polite helpful throughout stay . arrive ask room 6th floor ( have advise ) check clerk advise we book queen room would upgrade we King room 17th floor . get room pleasantly surprise decor room fantastic view Queensborough Bridge river beside we . ' ve attach photo view room see . room spotless include fridge , hob microwave case want bring food back room . bathroom immaculate plenty towel powerful shower . we eat breakfast hotel , advise first morning go Ritz diner road love much go every day breakfast . menu huge reasonable , plus 's open 24 hour . go hotel 's restuarant / bar 21st floor one evening . 's worth go view night stunning . menu not extensive food order good . use mini - bar room want drink / snack find cheap buy one local deli 's bring back room . tip 's worth mention probably well money wise book ticket show / sport event direct theatre / stadium rather concierge reception find rather pricey . overall impressed hotel would definitely book stay next time go New York . 
 Feb 11 2008 	 happen Capuccino ? 	 love hotel , nice price comfortable . location great , Ritz diner perfect place breakfast . everything review true include capuccino machine order , unfortunate . People nice genereal , concierge could little bit helpful ... would definitely stay go NYC recommend anyone . shower work great problem shower curtain get messy , not get cold . 
 Jan 31 2008 	 Rolls Royce ... 	 bentley … well , 's Rolls - Royce , either . good thing say place ? like high pressure shower , will love . anything else matter , would suggest go elsewhere stay home . place , word , stingy . else explain - not even think use word justify - quirky surprises:1 . one washcloth bathroom day arrive . none next day , track housekeeping ask two . one next day . ditto last day . two bath towel day.2 . sign in - room refrigerator ( photo , know ' m kid ! ) warn item take refrigerator 20 second , charge - place item refrigerator , charge , ! 3 . $ 11.95 ( plus tip ) breakfast buffet laughable even New York City standard . Coffee , juice , toast , min - bagel , mini - muffin three small bowl fruit ( empty refill ) banana complete menu -- read much appetizing ! tired furniture , carpet non - existent décor not add much 21st floor room , interesting inside empty warehouse . and speak décor , expect deluxe room look like deluxe room showcase website . " deluxe " room deluxe , fellow check counter explain , king size bed . find curious . size ? closet space ? view ? amenity ? guess " deluxe " exclude quality characteristic Bentley . room small , even New York City standard . miniscule closet bit wide door . light build - in shelf - counter - cum - desk break . close light read chair table lamp ( dim fluorescent bulb ) nightstand . fortunately , chair next window room , could read daylight . ask move not like room view , desk clerk tell would call back minute . not , call . say busy . go downstairs wait not busy ask , politely could , could change room . possible , say , hotel fill night - Friday . could wait morning see available … unless wanted move second floor … overlook gas station set gas pump ( traffic ) part first floor Bentley . decline . when call ( Thursday ) confirm pre - pay reservation , Bentley record we . eventually , tell standard room , challenge pay deluxe room ( difference $ 150 three night ) . talk desk clerk dissatisfaction room , tell standard room . disagree , say pay deluxe room . quickly ( quickly , taste ) agree yes , deluxe room . first class , customer - friendly organization , would expect call Saturday morning , offer move we another room -- room almost ! message . on checkout , desk clerk attempt charge we item remove refrigerator . decline . open refrigerator one second - let alone 20.As walk away , desk clerk say , cheerfully , " hope stay we again . " look respond quietly , " lifetime . " 
 Jan 28 2008 	 seem 	 hotel trendy ... year ago . far metro lot traffic around . 
 Jan 21 2008 	 Bentley pretty good ! 	 boyfriend stay Bentley fantastic 4 night stay Manhattan . overall , Bentley great . staff helpful friendly without intrusive honestly not problem . bed massive great big plasma tv relax front end tiring day sightseeing . tip : ask bridge / river view make sure be on- 6th floor be away traffic noise . we breakfast every morning Food Emporium along road Queensboro bridge perfect - fruit , muffin coffee - what could need ? really cheap be pay english pound ! wardrobe room small , 's way could put clothe away - fine 4 night , think would need somewhere store clothe would get bit fed . thing little bit town like walk not worry we much ! great trip ! 
 Jan 15 2008 	 dark side ! 	 reception staff helpful book 2 superior double room ready upgrade we 2 suite . spacious 7 ' bed flat screen tv 's bedroom adjoining lounge tiny wardrobe . heating / air con system extremely noisy wall paper thin ! main problem lift , hallway , bedroom , bathroom rooftop bar badly light ( exaggeration boutique hotel effect ) feel twighlight zone 4 day relieve leaving . first night go bar , could see barman struggle see drink ! also , phone order breakfast room service menu , tell long provide room service . breakfast bar upstairs worth bother . far location concern , Queensboro bridge literally stone 's throw 10 min walk Bloomingdales . plan spend time hotel sleep , value , probably worth . however , would not rush back . Yoko , London 
 Jan 10 2008 	 Great New York find ! 	 hotel bargain New York ! stay last March fab time . book hotel 's website upgrade suite ! far large hotel room ever - adorable living area , dining area completely separate bedroom ! decoration cute modern enjoy view bridge large window . one complaint room not warm could - not try rectify - 's possible would fix , love room afraid complaint would move we new room not want happen ! hotel close shopping ! yay ! be probably 10 minute walk shopping row . also close subway 's minute get anywhere else . there fantastic diner street hotel - Ritz Diner . almost every meal . serve ton food - big breakfast last nearly rest day . 
 Dec 27 2007 	 Great Little Hotel ! ! ! 	 hotel everything could ask . try find room $ 200 night Manhattan tough December . luckily able find room Bentley . good : room pristine condition . clean modern . even huge flat panel tv . great view floor ceiling window . ditto lobby , staff friendly . far amenity hotel ( restaurant , pool , gym , etc ) , really know time look . complaint room small , think expect Manhattan hotel room . comfortable two people , would not recommend two . location tiny bit way 62nd way East Side York . although bad neighborhood , bit walk Midtown / Central Park / Times Square . 20 - 30 minute walk Times Square , , walk thru city pleasant experience . overall , think Bentley excellent choice visitor NYC want pay $ $ $ hotel near Times Square , much well option stay NJ one outer borough . room make feel comfortable go back next time need room NYC . 
 Dec 20 2007 	 Pleasant hotel 	 husband stay Bentley Hotel late november begin December 2007 . large room fairly clean bathroom small , pity could make little large . view room really good . find one member staff rather terse manner . beware credit card ask $ 200 deposit room . member staff friendly always cheerful . pity coffee machine lobby though . great time see sight bit christmas shopping . find lift dark . travel subway find great fun . would go back . 
