great 	 stay hotel twice last month stay Shaftesbury hotel area year . spend business travel stay big top hotel outside London year little spoilt . find decent hotel decent price London hard work company hit right note fair mix cheap room ( London ) smart , fashionable , modern , clean room . hotel great location close Paddington Lancaster Gate tube handy bright light west end park . money relinquish think large spacious room , little tight side travel alone normally spend much time room problem . room modern , well kitte ( tea , coffee , complimentary biscuit , iron great business traveller ) . good television set clean stylish bed free broadband ( quick ) . service ok far bad reflect price ( book via Shaftesbury group website great price £ 75 deluxe double ) . breakfast fantastic money ( acid test England sausage bacon good usual ' frozen ' fair ) . number reviewer complain turning room ... check term condition book price guarantee room hotel book ferry another group hotel . 10 0.5 mile vacinity far alike . use hotel chain stay London ( someone use Hiltons Radissons world ) 
 WORSE HOTEL ever ! ! ! not stay ! 	 HORRIBLE HOTEL ever ! ! never ever stay hotel . book 2 room hotel early Nov 2009 , get confirmation . 15 hour plane , energy anything else ! get hotel first check - in , say room we ! worse thing happen US : - get STOLEN right inside reception area hotel : bag 700 usd cash , one laptop , one digital - camera inside bag . bag put beside 2 laddie group , 2 man deal check - in problem . the camera hotel record everything , not know reason could find ! ! report case police london.- final treatment get hotel send we hotel , still charge we first day hotel never chance stay ? ! 
 Jan 13 2006 	 stay help ! 	 book hotel read comment . comment review hotel true , mostly bad . take heed ... many choice London much expensive sorry waste money , however little , hotel . would like throw money sidewalk doss bum street . ok , maybe bad ... Best Western really ought look hotel consider pull franchise . not let bad hotel put Best Western entirely , stay perfectly nice Best Western Paris . here happen we -- arrive early day wait long line check . staff Indian could hardly understand word say ... system seem mostly manual . not expect room ready , not hotel offer store luggage secure room . far good ... except garbled language problem . then come back dinner room collect bag -- get * * little room -- go room . first glance not bad . two twin room put we least floor . sit bed almost go floor ! mattress wall , side bed sit completely sprung . say spring stick , 's understatement . absolutely pad mattress seem sleep straight spring . late , tired ... toughe night . the bathroom -- ha ha ha . shower -- ha ha ha . the next day ask bed could change , make we change room . could not do immediately , fair enough , come back room change clothe lunch not luggage move . new room ... well . bed extremely bad uncomfortable . not get sleep all . the neighborhood , way , nice . Paddington close tube stop nearby . Hyde Park street like walk include Hyde Park stroll . excellent pub restaurant couple internet cafe nearby . breakfast : not bother hotel breakfast . book room 's worth find breakfast elsewhere . rubbish . bottom line ... not stay hotel . must , ask see room first , try bed , commit room . first one give not good leave time find another get another hotel . hundred neighborhood . beware cheap price , get exactly pay . 
 Jan 11 2006 	 nothing like picture 	 recently stay hotel - book suite . bedroom stainless steel kitchen unit . television not work , could not open window , bath shower cubicle broken shutter door cubicle build dwarf . book suite actually expect space stay big single hotel room . disappoint match description show website . 
 Jan 6 2006 		 first , thank previous review . reading helped choose hotel give realistic view expect . hotel ' ok ' , would little peeved pay full price though . we stay old wing contrary magnificent frontage reception room pretty date . enough room 2 sleep , not mind crawl one person get side bed . enough room 2 get dress whilst stand try get thing wardrobe . water hot describe , along lack pressure . bed comfortable clean . engineering window stop rattle night . the location turn great visit plenty great place eat nearby . use new oyster card , do not keep room key day , become de - magnetised need sort reception.conclusion : - get cheap do not expect much somewhere lay head get wash will not go far wrong . 
 Jan 4 2006 	 Average 	 stay night December whilst visit London day . well locate good value really worth stay discount rate . could not really argue 65 quid cost . could not swing cat room , shower rubbish bathroom date . say , staff helpful ( despite knowledge booking ) , communal area pleasant cheap . 
 Dec 28 2005 	 good value clean lot nearby 	 stay mid - Dec. 2005 . people take overnight flight , hotel store luggage free room ready . double bed new section . lift service new section third floor ; great exercise , stair issue , could problem ( old section lift ) . room not small feared read London hotel room size . keep MIND see picture place expedia web site , room show upscale studio , standard room ! room fine though , comfortable clean , include tea maker , full wardrobe shelving , nightstand 3 empty drawer , iron ironing board . two window near bed open fully onto nice residential street , great way start morning fresh air . bathroom awesome ; large ( big bedroom almost ) , clean , high tub shower . complaint LITTLE water pressure , water hot , get use . towel awesome ; big fluffy -- feel good shower . Front Desk staff , professional , responsive ; request extra pillow , etc . forget . walk Paddington station 10 minute , walk Lancaster Gate 10 minute . hotel short walk Kensington Park Hyde Park ( near Lancaster Gate Tube ) . nice quiet - enough street . 's 2 convenient - store right across street , plenty pub souvenir shop , GREAT DELI across street next medical office NISA store high speed internet 1 GBP hour 's time . food outstanding , staff friendly , deli small sit outside table inside . hotel offer free internet room via tv -- sucked . graphic via web , back feature , time consume frustrating , not rely benefit ; would go across street deli use internet , plenty internet cafe London . breakfast buffet good , b / c low rate , not include ; 6.95 GBP , unlimited english breakfast delicious . cocktail bar small nice common lounge next reception spacious comfortable , great reading watch tv . get 39 GBP / night w/o breakfast -- great deal place . would stay , realize 's west many attraction . 
 Nov 24 2005 	 good Result end ! 	 book executive queen sized bedded suite - request quiet location . upon arrival , receive small cramp room standard size bed rear elevation extremely noisey result externally mount air conditioning . complain tell none suite queen sized bed offer 2other view assess noise . elevation , noise problem . reject three room , offer basement executive queen size bed suite - yes one say not ! room perfectly adequate although say bathroom snug - knee touch radiator use loo ! positive , staff extremely friendly oblye deal series complaint . 
 Nov 13 2005 	 location good 	 great offer stay hotel . 45 quid , reflect size room . space hang clothe put luggage . crawl husband get side bed . bathroom excellent though . tele need tune . 
 Nov 12 2005 	 Good Hotel Great Value money 	 currently stay hotel always book paddington court hotelon frequent visit london last 2 year . staff change friendly hotel refurbish quite well . free Broadband great well . all complain especailly pay £ 79 double room hotel really close hyde park & amp ; paddington station Heathrow Express . serve dinner lot chinese , Italian & amp ; indian restaurant round corner plus Whitleys Shopping centre round corner well lastminute shopping . have stay stay . 
 Nov 1 2005 	 Stolen Goods 	 colleague book stay Hyde Park Paddington hotel . upon arrival 10.30pm , inform room available due renovation move Best Western Paddington Suites around corner . room room floor could access go two fire door two flight stair . after return day sightseeing , find room rob , gift , watch passport steal . sign force entry , allude inside job . management unhelpful resolve issue . never judge book cover apply hotel . 
 Oct 27 2005 	 Good Value 	 read negative review place expect bad . staff efficient friendly location great 5 min Paddington . room small clean ( think bed less double ! ) continental breakfast price include ample . full English could purchase suppliment £ 5.00 not look worth . £ 40 night short walk Hyde Park Natural History museum , look , budget short stay London . 
