great 	 overall satisfied , lobby make feel expensive hotel . room perfect , however wall thin , neighbour keep knock wall small noise room . hotel huge , morning breakfast area totally crowd - breakfast selection quite ok . 
 Jun 28 2006 	 pleasant millennium gloucester 	 reading review little nervous staying millennium gloucester . say however pleansantly surprised . stay 7th floor club room smartly appoint , clean update . staff helpful location central . would certainly stay find good value money . take couple Evan Evans tour use pick Kensington area - save us alot time morning . 
 Jun 17 2006 	 good 4 * deluxe hotel 	 stay Millennium part conference upgrade ' Business Club ' room . different ' Club ' room , much contemporary , well . room definite asian quality , light wood panelling , great linen , big bed , comfortable leather arm chair good desk area . much enjoy room , excellent light great feeling space . public area hotel pleasant , asian overtone . possible question whether large enough . small hotel bar get busy . lobby bar area real natural daylight feel little dark . overly impressed breakfast SW7 . choice not great quality average . table close together comfort heavy chair difficult move . room service efficient high enough standard . would please stay business , personally , hotel enthusiast , would look something distinctive leisure stay London . 
 Jun 12 2006 	 great new room Gloucester 	 ' ve stay Millennium Gloucester numerous occasion past find location ideal ( 30 m Gloucester Rd Tube station ) , big fan kensington easy get , airport , centre town . on occasion fortunate enough stay one newly refurbish bedroom find comfortable indeed . room always good size ( unusual London ) , new room bright , well equip well lay out . the staff helpful always , especially concierge , able get theatre ticket unable get elsewhere . if planning stay Kensington highly receommend Millennium Gloucester , feel offer good value money . 
 Jun 9 2006 	 reasonable comfort central Location 	 reoasonably comfortable stay hotel . good location near Tube . good breakfast . main gripe small room , nicely furnish . recommend , bit overpriced . 
 Jun 9 2006 	 make stay London ! 	 stay London recently whilst town theatre husband . would definitely recommend hotel anyone ... stay London regularly work go tell manager stay . room fab refurbish walk lobby definitely make feel like live high life ! say expensive - get room online £ 99 . staff great help we pre - theatre restaurant choice ( even book we ! ) .The Millennium Gloucester Hotel great be already look another excuse stay future ! ! 
 Jun 6 2006 	 great stay business leisure cost world 	 stay Millennium Gloucester late May 2006 . check quick staff ball . book standard room surprise quality London . large room well decorate . understand 4th floor go refurbishment look good . room modern load room work evening . Orderd room service Chinese Restaurant bugis Street think , excellent idea change ususal boring hotel menu 's . food tasty authentic . the location good opposite Gloucester Road tube station great access theatre district also airport , get tube hotel take 35 min return jump cab take 50 min . tube think £ 4.00 easy . check fine . Great Hotel great location . 
 May 30 2006 	 great service warm welcome 	 property definitely cater business traveller well leisure traveller want stay four - star property ideally situate London . although access / entrance probably unimpressive , staff welcome room design make hotel & quot ; home & quot ; first glance ! ' ve usual drive staff crazy request question ( inc . late in - room dinner , question high - speed internet access , express check - out ) help timely professional manner . leave hotel early hour day run Park perfect breakfast buffet truly comfort time ... try : - ) Juju 
 May 15 2006 	 Rude Staff- stay 	 never write review , want spare other stay hotel . work hotel aware thing always perfect comfartable home , hotel terrible every aspect , except location . staff rude condescending . air conditioning , even though move we another room tell we . charge we six item minibar take , however take bill . hall smell musty get type room request unless complain . even problem would written review staff pleasant , hospitality industry know customer service important aspect hotel MG bad staff hotel stay . 
 Apr 25 2006 	 have smart stay elsewhere 	 location good thing say hotel . room old tired , match attitude off - hand employee . Air Conditioning never work ( change room several occasion , problem ) & quot ; musty & quot ; stale smell throughout . do favor- find somewhere else stay . 
 Apr 14 2006 	 absolutely delighted Millennium Gloucester - renovate room 	 stay 4 night Millennium Gloucester Hotel end April . room 1st 4th floor newly renovate , excellent ! Decor minimalist , nicely design ( good new bed linen ) . room size great London standard . delighted stay ! breakfast buffet good spread cook breakfast , cereal , fruit oriental selection porridge pickle . location convenient Gloucester Road station ( picadilly line ) right doorstep ! many restaurant round location . would highly recommend stay . 
 Mar 28 2006 	 Great Priceline ; disappoint full price 	 land hotel 80 dollar night priceline , psyche say least . anything low 150 buck liveable London decent ( think NY hotel price ) . absolutely worth 80 dollar . 4 star hotel worth price ask . hotel good idea get priceline , get special deal otherwise . for tourist , location amazing - literally next tube stop 3 line double decker tourist bus stop . also thing area - convenience store , fast food , starbuck , pharmacy , pub , restaurant ... thing warn - # 1 may get room get early - worry , concierge take bag . go hereford arm little way gloucester road pint ( like well stanhope arm , little close ) really great pub london neighborhood ( check fancyapint great guide ) . # 2 people problem room . one person know stay problem toilet ask move . room smell like ashtray , be smoker , do not care . otherwise , great , really tremendous value , perfect want good bed , shower , toilet good location.feel free contact question . 
