one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Jun 9 2007 	 quite fun quite W 	 stay hotel 1 night whilst town business . outside build great , bland , Marriott ( hotel look boring outside ) get , start look bit fun ! think Renaissance Hotels Marriott 's answer Starwood 's W brand . mind , still little way go . want attract & quot ; boutique & quot ; hotel market , make hotel & quot ; edgy & quot ; & quot ; cool & quot ; . say , pool area nice , room nice , clean ever , modern bathroom etc . not anything hugely outstanding ! location bad , be close Convention Centre attend conference , quite nice ideal . also , Strip far , take taxi easily minute . stay one executive room lounge access . lounge not anything great also pay wine , beer spirit . think odd stay many hotel / lounge room never pay alcohol . all , quite nice hotel . minus apart booze lounge internal wall seem thin . woke night someone & quot ; night life & quot ; somewhere near I / next door . 
 Jun 5 2007 	 Great Convention Center Hotel ! ! 	 return 3 day convention hold convention center , locate next door . walk tradeshow floor , always great relief walk smoke - free & amp ; non - gaming hotel lie comfortable bed . find front desk staff , bell desk , concierge maid service accomodate numerous request . fitness center update equipment free weight . not get chance hang pool , seem pretty standard . hotel perfect hotel business convention center location . long day work , really relax room . the monorail within walk distance perfect alternative taxi cab strip location . yes , Vegas require ton walk , seriously even stay resort strip , will still ton walk . plus use exercise . 
 May 19 2007 	 Love hotel 	 book hotel Marriott.com 5 day vegas vacation . get AWSOME rate hotel . access Club Level 15th floor . private club lounge breakfast nice selection night . coke product alcoholic beverage one would need . staff Club Lounge Great ! front desk clerk nice always helpful smile thi face . hotel free Valet service rent car save us allot money compare cab ride strip long crowded line Duce bus Strip . room AWSOME . bed great , Marriott new bed hotel worth money . housekeeping also good week . pool hotel great . also dinner ENVY steakhouse inside hotel ..... mistake ... food overprice service bad . hotel great choice want stay close strip hassle Casino .. 
 Apr 19 2007 	 stay away call special 	 partner book pay stay deal stay 3 night get 1 free . believe quote standard rate $ 139.00 + tax per night would effective rate . actual rate $ 188.00 per night + tax , $ 49.00 per night standard rate date stay . actual fact save $ 41.00 , not brilliant math , come seriously something wrong calculation . grant , many hotel sort thing , bad attitude staff hotel . accept Renaissance mislead guest attempt pleasant stay , surliness , rudeness homophobic attitude display staff deplorable . never use Marriott . 
 Apr 17 2007 	 great casino - free Vegas hotel 	 group stay Renaissance Thanksgiving November 2006 town sporting event . overall , hotel fantastic . the room well decorate -- nice modern furnishing appointment . flat - screen television add plus , thereis hdtv service ( hear thing Vegas besides watch tv ) . bed comfortable , plentyof desk space ( free internet access ) .The lobby area also nice . main restaurant , Envy ( steakhouse sort ) , little overpriced probably average byVegas standard . the pool area fantastic , locate hotel 's courtyard , surround four side hotel . be look sun , will not get whole lot there . the service fantastic -- front desk staff maid bellhop . hotel locate strip , across parking lot monorail station Las Vegas Convention Center . get around never problem . overall , great option traveler want experience Vegas without feel overwhelmed Vegas scene . 
 Mar 26 2007 	 Great Choice Las Vegas 	 value advice trip advisor great deal , read review regard Renaissance Las Vegas booking trip . pleased choice . book room convention hold Las Vegas Convention Center . even though within walking distance Convention Center , still quite long walk north end Convention Center . every thing Las Vegas require lot walk . feel mention problem " room detail " regard Club Lounge access Marriott.com web site , quickly take care arrive . book 6 room vary arrival departure date total 28 night , experience problem check - in check . minor problem several occasion get new key room , quit work . positive , access Club Lounge wonderful . great place get together morning breakfast group . continental breakfast delicious ! help soda water throughout day . evening small selection appetizer provide . pool small limited sun , plenty chair area clean convenient . doorman always help we taxi request welcome we back time return . plenty parking available parking ramp . personally eat either restaurant , other group say food excellent . concierge helpful regard suggest booking show we . bed great . wish sleep good bed ! maid service excellent . plenty drawer closet space . nice coffee maker , refrigerator , safe room . Renaissance Las Vegas exceed expectation every aspect . Las Vegas great value $ $ $ . 
 Mar 22 2007 	 ' ve get right convention center ... 	 ... even , would not recommend overrated , overprice place . convention center bulldoze tomorrow , place would close , 's reason come . 's way Strip , mean everything monorail , bus cab ride away ( recommend free Wynn shuttle bus monorail station 8 pm ) .behind hotel ( east ) garden apartment New Yorker would not walk past daylight . walk south Paradise Road pass couple dicey motel gas station long reach civilization . room never properly cool , despite thermostat set -- allegedly register -- 65 . shower stall one shelf -- ankle level ! genius decide people bend get shampoo , razor , etc . ? pillow like mush -- $ 5 wal - mart one home way comfy ! one elevator four break least two day . staff , apparently complaint right . check - in clerk not exactly $ 209 / night friendly . one night ' m come back , exhausted , get stick behind baggage porter busy explain thing incoming guest , hustle big tip . finally manage get past cart , make smart [ -- ] comment rush . let us say take advantage tv checkout option , carry belonging . my company book , without ask , foot bill . someone 's Vegas numerous time , would ' ve prefer stay nice Strip hotel use monorail to / from convention center . one positve : in - room fridge , rare LV . saving buy water yogurt , could almost afford $ 13 / day internet . talk nickel dim guest ! stay Courtyards Marriott hotel time dime . will get warm welcome nice room almost . place sucker bet town 's full sucker bet . stay away ! 
 Mar 13 2007 	 oh thin wall ! 	 constant noise one thing really remember hotel . well , also remember nice lobby , helpful check - in , nice looking room , comfy bed ... mind keep come back wall , door , thin be . yell , talk , walk , um , friendship couple , thesething hear comfort room ! sure look nice ! 
 Mar 12 2007 	 Rude Staff 	 Marriott Platinum member stay 150 night last year . time wonder bother since rarely feel like ' important . tell Concierge floor entirely king bed , one room two double handicap accessible . huge deal except fact charge $ 13.00 / day internet spend decent amount time explain free . usually case , maid good job deserve earn . advise bed small , even double . my big complaint restaurant . receive several coupon mail 2 1 entree . try eat rudely tell way could possibly fit we . normally would understand since reservation . however , moment walk , self - important guy look we not belong anywhere hotel . dress nicely still badge since , imagine , hotel right next convention center . also snidely suggest check lounge , STRICTLY non - smoking . think travel enough know every Marriott U.S. non - smoking . even inquire priority seat platinum member stare . apparently casino Las Vegas problem hold seat top customer . beware probably bother staff make request . 
 Mar 7 2007 	 Renaissance Hotel -- overrate ! 	 colleague stay business trip past week . we find hotel staff rude time accommodate . tv work , constantly call housekeeping basic forget replenish ( toilet paper , bottled water , etc ) . meet facility overly expensive ( charge $ 160 use av equipment ( LCD projector laptop bring ) top $ 500 2 hr block tiny meeting room . we decide drink one night lobby bar . since drink menu list specialty martini , etc . ask cocktail waitress could recommend anything . simply looked blankly state , & quot ; highly allergic alcohol . drink . idea good here . & quot ; one example type interaction staff multiple occasion . I bring new laptop ( Windows Vista ) compatible archaic wire wireless internet . staff business office ( nice staff whole place ) try help internet problem 2 hour one day ... still connection let use computer business office check email . still multiple charge try connect laptop even though tell front desk several day work . positive comment mention valet parking free , helpful , pretty friendly . I stay future business otherwise . 
