surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Nov 2 2006 	 beware iof deceptive advertising picture web 	 assistant book Hotel via web site Muse sell 4 Star boutique hotel . please never fall , especially town another country new New York . muse bad hotel ever stay deserve 4 star rating measure . lobby dark gloomy . food serve room service restaurant bad . glorify bed break fast place . recommend stay else place this . the Muse need heavy renovation structure , interior people deserve claim 4 start status . S Madala , ceo firm California 
 Oct 24 2006 	 Impressed . 	 disappoint Muse . Dank , dark , lifeless . small reception area , poor seating . reception / concierge staff literally sit top - bad ' ve see confidentiality . room fit king bed comfortably . window 5 foot floor , could not see . noisy outside . bathroom roomy - need facelift . hotel total , room include , blank . lack picture color - generally blah empty . good location . restaurant attach good breakfast . Kimpton MUCH well . appreciated help bell staff . would return . overpriced . 
 oct 22 2006 	 would not stay 	 Travel NYC frequently business , stay Muse alternative recent trip . disappointed . request non - smoking room ( provide one ) problem , previous guest smoking room smell terrible . overall , room clean , carpeting stain , everything dusty , not good cleaning do awhile . big complaint air conditioning system , can not see anyone could sleep noise system cylcing .. frequent business travel , one worst experience . on positive note , location excellent , adjacent Times Square , tuck away & quot ; quieter & quot ; street . restuarant also excellent breakfast dinner . nevertheless , consider charge , far well choice city . 
 Oct 12 2006 	 Disappointing 	 stay Muse two night last week September . hotel busy area Times Square . reserve non - smoking room check , none available . room back third floor . reeked smoke . bedspread , carpet , armoire , smell smoke . front desk send air ionizer make noise . ask deodorizer request ignore . air conditioner nothing remove smell . open window outside exhaust fan air unit noise terrible . room windows face brick wall dark . I sick reserving non - smoking room get . Muse go extra effort make . leave belonging smell smoke . never place . worth $ 400 per night ! 
 Oct 5 2006 	 Sad say ... 	 ' ve stay Muse numerous time past four year , ' m sad say last visit disappointing . the hotel lovely , room comfy- 's something miss since Kimpton take over . we check Friday , nightly turndown service Wednesday . lovely touch discontinue notification part hotel staff . on previous trip turndown service include pillow treat , husband look forward . receive ' treat ' first night stay Kimpton membership . turndown . be afraid evening housekeeper terminate Kimpton not want keep turndown tradition . ask service , staffer desk speak we like moron . in bathroom ' convenience ' menu item could pick front desk would leave home . send husband desk item , not any- not day . Suffice say , rate go considerably congeniality courtesy certain staff member go down- be look around another hotel call ' home ' trip . Kimpton renovation Muse , include removal lovely lady ceiling lobby . before July trip , would give hotel ' Excellent & quot ; would raise ' Outstanding & quot ; . be average , comfort room . 
 Sep 28 2006 	 Muse summer getaway 	 stay 5 day summer getaway . unlike previous review , could control a / c find marvelously cold , despite 100 degree outside . tend turn a / c whenever leave room , city experience brownout want risk . great view , bed comfy . Bathroom fabulous . eat restaurant , limited menu expensive . complaint ice machine every floor .. floor big old pink thing water , somewhat unsanitary look ice . thank . everything else nice . 
 Sep 26 2006 	 Loved Muse ! 	 husband return long week - end thrilled accomodation Muse Hotel . every employee encounter super nice helpful .... room spacious clean .... wonderful bathroom ... extra - comfy bed .... fast elevator .... perfect location . definitely return Muse Hotel next visit New York City . 
 Sep 20 2006 		 stay Muse 5 night 8/31 thur 9/5 andcontrary last review quite pleased . bookedthe Muse base good rate find Travel Zoo andthe review other website . room locate the14th floor front corner hotel give we windowson two side make bright satisfactory view 46th street . room large enough clean although somewhat sterile . bathroom satisfactory nice soap lotion . real compalint one chair room . course , two people , one person must sit bed spend time room . accord receptionist , Kimpton plan refurbish upgrading standard towards end year . hopefully improve decor fix chair situration . not need anything bed , linen pillow average . also , room make promptly every day . wine reception every evening free coffee hotel 's restaurant ( except Monday 's ) nice touch . would definetly return Muse highly recommend itwith caveat high floor might improve overall perception .. 
 Sep 7 2006 	 problem 	 Muse positive thing . much intimate big hotel wine reception nice . also nice bathroom . problem bedroom . control air conditioning cold alot time . can not see window unless crawl ledge dirty really could not see much . also ' m sure air dry we . ready leave 2 night . good location many well hotel area . 
 Aug 19 2006 	 GREAT place stay ! ! 	 boyfriend spend 4 night muse research find great review . dissapointe ! first alll , location excellent . right heart Midtown taxis subway always nearby attraction within block walk . secondly , price reasonable ( AAA rate ) whole stay one thousand dollar . finally , staff facility great ! everyone helpful friendly , especially steven front desk . always helpful suggestion happy fufill request ( ) . bed , everyone else state , comfortable ... good hotel every visit . room large , good size city , however , bathroom large opinion . soap lovely complimentary robe New York Times . next time visit New York City , Muse place likely stay . 
 Aug 2 2006 	 Muse super ! 	 spend 3 night Muse live high expectation ! flight late delay arrival cause we miss Sex City Tour , Carlos front desk take care rescheduling soon get . helpful ! highly recommend one room balcony . bed without doubt comfortable hotel bed ever . would stay Muse . 
 Jul 29 2006 	 FANTASTIC ! ! ( Muse ) 	 absolute gem ! nestle right heart Times Square , Muse beautifully decorate everything need make stay New York treat ( wonderful bathroom robe , to - die - for comfy bed , even umbrella tuck closet bad weather ) . provide complimentary coffee morning , free wine taste evening dinner , Staff /Doorman friendly extremely helpful . hotel real find ! back fall ! ! thank Brian Carolyn ( Montreal 
 Jul 24 2006 	 comfortable ever ! 	 live NYC , need stay hotel past weekend . second time last couple year ' ve stay Muse love . bed linen comfortable . bathroom / bathtub perfectly size lovely . especially like L ' Occitane Verbena soap bathrobe . actually think room service District ( hotel restaurant ) well time last . try thin crust pizza . time ... always love Tintol portuguese restaurant across street . great wine ! muse super dog friendly . one day leave dog & quot ; disturb & quot ; sign . someone housekeeping leave probably nice message ' ve ever get hotel staff person . offer come clean room 9:30pm night . nice . if visit NYC want heart city ... location great . Times Square , side street not crazy . close everything ... subway , museum , theater , etc . get deal room ... say go . room decent size . gym fine , huge . would say deal would $ 225 less king deluxe room . would not feel like rip off . the lobby get crowd large group try check -- -but rare hotel NYC not happen . staff certainly seem top work quickly possible . one note : think whole hotel wireless , lobby . room high speed connection desk around $ 11 / day . one thing need update hotel . 
 Jul 17 2006 	 business traveller 	 infrequent ( year ) business traveller NYC , yet find hotel cater business traveller cost $ 400 / night . Located Theater District , little aspiration Muse would great business hotel . previously review Trip Advisor , staff great , especially concierge . room nicely decorate , special touch bathroom . hot water hot , cold water cold ; often case ny hotel . nearby great place breakfast , Euro Cafe , 46th 6th . free wine 5pm -6pm nice touch , although take it . on hand ... thing hotel 's control . neighborhood noisy garbage truck serenade midnight ; guest equally noisy hour return fun night Broadway . however , air conditioner extremely noisy , room . management look instal central air , technically feasible . also , significant dirt dust air conditioner return air filter . would not minded much except locate right next desk try work . leave note clean service clean filter , note ignore / unread . all , would recommend Muse business traveller care location noise . perhaps good set earplug would remedy problem encounter . non - business traveler , good hotel great location . 
