ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Jan 18 2008 	 good earn top mark ! 	 Housekeeping hotel high standard . matter time day , staff find dust polish corridor public area . room also clean high standard . indeed & quot ; classy & quot ; hotel rich carpeting tasteful decoration throughout . add polite friendly staff fine hotel indeed , earn top mark ? first , bedroom . classic room ( standard room ) little space , possibly make bad fact ask twin bed . narrow space end bed wall 60 cm ( 2 foot ) , space edge one bed wardrobe . access wardrobe easy case & quot ; breathe & quot ; pass alongside bed ! say , well furnish , provide everything need bed comfortable , tight squeeze . view would ideal single occupancy hopeless two people large average build . next time shall pay spacious Superior room price upgrade start GBP 30 , even though average build . second , bathroom . really compact small washbowl , provide everything need , include efficient shower bath , constant hot water . however bath , deep , cause problem enclose three half side , leave little space access . impossible reach tap let water run hot , without first scramble bath , water flow first minute cold . fear difficult access would present real problem anyone elderly , heavy build less mobile . third , buffet breakfast . provide excellent selection quality hot cold food wonderful orange juice , GBP 21 guest room basis ! however , & quot ; hot food & quot ; seldom , good luke warm . fresh tray scramble egg bring straight kitchen chef cold steel . must surely know carry . soon discover way ensure food hot order omellete wait chef prepare it . fourth , in - room guest information booklet . on - the - ball management would ensure up - to - date time . check - in mid afternoon , think would nice & quot ; English Afternoon Tea & quot ; sandwich , scone pastry serve every day 3 pm - 6 pm Longfords Bar , tell waitress get serve 6 month . proceed Place light meal serve 7 day week 12.30pm - 10.30pm , find notice tell we Place open 6 pm direct we coffee kiosk could & quot ; supermarket type & quot ; pre - wrap sandwich , price not bother ask . could , course , order & quot ; Room Service & quot ; enjoy bowl Onion Soup GBP 9.56 Club Sandwich GBP 16.31 ( include service charge ) since business people expense account decide option . Green Man Pub , 2 minute walk away alongside Great Portland Street tube station , provide excellent food GBP 7.50 ! ! shall happy stay hotel future occasion , know must book Superior Room enjoy bit space , hopefully , spacious bathroom bath much less precarious access . shall happy , , make return visit Green Man ! 
 Jan 14 2008 	 great hotel glad not pay ! 	 stay business trip London , book employer recommend one senior manager high expectation - hotel disappoint . food restaurant good ( overprice ) , bar nice place spend evening . room decent size ( & quot ; superior & quot ; room ) although standard double seem little small . bed comfortable standard decor high . staff also helpful . location decent - Close Gt Portland St tube , not mind bit walk easily get Oxford Circus , Marylebone , Regent 's Park ( course ) , part central London . if check like Lastminute.com get pretty good rate , ( employer pick tab ! ) be definitely worth look ... 
 Jan 8 2008 	 beware low price guarantee . 	 hotel group guarantee website book receive low online rate . subsequently find low price say match plus 10 % discount . find low rate , however , , direct term condition offer state low price must ' substantially similar ' book condition hotel . attempt claim find ' substantially similar ' interpret mean ' absolutely identical ' . exacerbate fact difference booking condition appear impose hotel site , presumably avoid responsibility guarantee . 
 Jan 1 2008 	 Excellent hotel 	 Husband stay hotel many time business trip London . always rave promise take trip London . stay one executive room bonus . seperate check - in , use lounge complimentary refreshment day , evening buffet free drink upto 10 pm seperate breakfast area . would suggest weekend , use executive facility get early breakfast get busy find thing run , not replace ! Shame Friday breakfast nice quiet plenty choose , business man mus not big breakfast ! room lovely , nice clean , huge bed , small bathroom not live there . nice convenient tube bus . Loved lift - press button floor require , tell go either lift , b . c , wonder one go first , definately back . 
 Dec 30 2007 	 Excellent could not ask well 	 Excellent hotel , book lastminute.com one top secret hotel , get bargain £ 125 double breakfast . upon arrival upgrade superior room free charge . room large , clean well present . breakfast excellent , anything everthing could possible want eat . staff friendly helpful . upon departure able leave luggage collection later locked room helpful . hotel excellent location , underground station really couple minute away . help make weekend , bit special . would definately return . 
 Dec 27 2007 	 Best Value Great Service 	 well go get price . get Jr. suite room ( american standard LOL ) actually fit shower ! CheersDave 
 Dec 18 2007 	 ok end 	 partner book hotel ( double room ) part theatre deal Xmas present . information book time 2 pm however arrival inform 3 pm room ready could smoking room deceide wait . 20 min later allocate room contain 2 single bed push together even make double . cut long story short complaining upgrade superior room say superb . stay fantastic breakfast next day one good although dining room little crowded food varied good quality staff helpful . bad start turn well would recomend hotel carful checking time tired weary . 
 Dec 14 2007 	 feel Vegas ! 	 wow , treasure , stay friend , cost £ 130 twin room saturday night . location good Regent Street shopping Madam Tussards . big thing hotel class ! beautiful , room spotless , Vegas feel hallway , reception bar area . bonus pianist playing enjoy chilling evening massive attractive bar area . wonderfull hotel ! 
 Dec 4 2007 	 Fabulous Hotel 	 wonderful stay hotel . room immaculate huge queen size bed . reception staff extremely friendly . location great us 15 - 20 minute walk king Cross distance Oxford Street . I love bargain spending hunt one - quite difficult London hotel - get & quot ; Top Secret Hotel & quot ; lastminute.com . would definitely love stay hotel . 
 Dec 3 2007 	 Massive Bed 	 one nice hotel , stay London . the reception staff pleasant offer room dependant preference , rather shove key you . we upgrade deluxe room , spotless comfortable . sleep like baby plenty wardrobe space . my gripe would breakfast . expect much disappointed . put large choice , problem hot food luke warm , second morning go continental , put different breakfast room busy could order omelette . overall spoil view hotel , apart 10 % service charge add drink bar unexpected . 
 Dec 2 2007 	 good value central London 	 disappointed find could offer nonsmoking room , ask advance , check - in staff helpful could , explain computer system crash , booking disarray . upgrade superior room , detectably smoky , feel deal problem well , leave satisfied customer . room large huge bed comfort need . 
