ideal 	 many previous reviewer chronicle , staff , breakfast , afternoon wine cheese make Library Hotel special place worth bit extra cost big - box location . also appreciate central location * * fact , business district , much traffic street night . possible open window still sleep . rooftop bar lovely , busy happy hour . Grand Central around corner ; go uptown , downtown , crosstown ease . definitely return next nyc visit . 
 Apr 9 2009 	 simply good ! ! ! 	 do not often take time write review anything library hotel go extra mile guest deserve credit ! return week long stay library hotel NYC , wife go celebrate 40th birthday style please choose hotel . im pretty fussy service level wife fussy come cleanliness ! worry either count ! room ( deluxe queen ) good size , well lay , comfortable , everything need impecibly clean.the cheese wine reception every night 5 8 missed,24/7 tea , coffee cookie read room great extra , complimentary continental breakfast plentiful delicious ! everything library hotel first class , location great staff credit industry , egor especially absolute diamond , nothing much trouble excellent knowledge city , local restaurant etc.thing like free dvd library , turn service next day weather chocolate every night , clock radio alarm i - pod dock , thing do not expect either ! would recommend hotel anyone travel new york , calm , luxurious oasis middle manhattan next time visit stay again . I do not think could find well round mixture thing important hotel New York Library hotel .... well do thank make trip memorable , will back ! ! ! Andy . S England 
 Apr 4 2009 	 wonderful hotel great location 	 wonderful , wonderful hotel . moment greet superb staff way regretfully leave hotel prove one good ' ve ever stay . trip vacation , business trip stay many NY hotel , expensive Library - none well . room great , breakfast morning relax perfect way start day , wine cheese evening great place stop head dinner . recommend hotel enough . 
 Mar 31 2009 	 Lovely Place Nice Features Great Staff Good Location 	 room small expect , clean nicely furnish . staff great attentive . include breakfast need start day wine / cheese time great way end day . also check rooftop bar / lounge , pleasant surprise . overall decor nice modern deco twist . also great location , short walk ton place . 
 Mar 29 2009 	 one good hotel ever stay 	 hotel far one good hotel ever stay . service fantastic . front desk staff extremly courteous friendly go way help out . the petite full room small excellent . clean well decorate . love character hotel , room different theme , ie Advertising , Religion etc .. small library book room read . really recommend hotel stay future stay New York . 
 Mar 28 2009 	 fantastic find ; definitely back 	 stay many NYC hotel year far favourite . location fantastic , actually busy thoroughfare ; room exceptionally clean sufficiently spacious ( include bathroom full tub separate little vanity area ) , especially Manhattan standard ; decor modern cold ; breakfast wine cheese food excellent quality great ambiance ; public area nice ; staff attentive oppressive ; overall , excellent value money definitely stay future trip . 
 Mar 27 2009 	 Change Address 	 husband return Providence train , try figure could manage live . say love . absolutely ! staff , room , amenity , fabulous . 
 Mar 26 2009 	 Midtown friendly smile 	 friendly welcome , service be always , offer free drink & amp ; snack day , free wine & amp ; cheese hour 5 8 , concept private library within room , within 5 minute footwalk Central Station , Empire State Building Times Square - 's well place stay . room could large , be cosy . 
 Mar 24 2009 	 - N - c - r - e - - - B - l - e ! ! 	 lovely little hotel phenomenal find . ' ve stay many hotel NYC , high end low . Library Hotel far good : great value , attentive service friendly staff convenient location possible . really put money mouth . hotel 's decor elegant feature wonderful flower display throughout . room petite single , small term floor space not feel way 12 foot ceiling architectural detail . public space plentiful comfortable . evening reception breakfast offer generous quantity outstanding quality ! fourth floor room 41st Street side near Madison Avenue . noisy always travel ear plug not issue . would complain put language like least bookshelf include english translation book ' ve want read take care objection : ) appreciate ease use business center print boarding pass . really appreciate fact hot water instant . conservationist , treat waste water wait turn hot . thing keep Library Hotel absolutely perfect boutique hotel ever participate & quot ; green hotel & quot ; movement . small objection comparison overall experience . can not wait return . 
 Mar 24 2009 	 great hotel superlocation 	 great boutique hotel , comfortable complimentary great breakfast complimentary wine cheese every evening ! easy access ( walk distance ) many place super close subway location away . room clean elegant staff really helpful . nice space sit relax include open air terrace . relation luxury / supertrendy hotel , small posh , term great value money luxury category , could make well choice ! 
 Mar 19 2009 	 lovely welcome boutique hotel heart NYC 	 return four night stay Library Hotel St Patrick 's Day . deluxe room 8th floor back hotel be not bother noise . hotel beautifully decorate staff welcome . lovely able come hotel relax 2nd floor lounge - like home home . bar 14th floor seem popular spot weekend , visit dinner sit night jump - love meant do not trek around NY find cool bar ! thing would say wicker table chair do not really fit theme rest bar - dark , modern wicker would much nice . value money ? would say yes . rate include lovely continental breakfast really great coffee , biscuit cake day good bit - comp cheese wine every evening 5 8 - perfect busy day sightseeing ! overall , would hesitation recommend family friend - gem hotel NYC . 
 Mar 16 2009 	 elegant unique 	 yeah room small husband particularly crabby room size , truth book petite room — this could afford . room impeccably clean two small bookcase interesting book ... great idea ! feel pamper complementary coffee cookie serve day wine & amp ; cheese serve every day early evening . guest access small terrace magnificent view city . front office staff particularly friendly kind , restaurant staff friendly . no doubt would recommend Library . wish able return … 
 Mar 3 2009 	 great location fab service smile 	 stay last week five night 8yo daughter . small room big enough two us super comfy bed . hotel nice decor really like hte bathroom tile . brekky good enough free wine cheese every evenign 5 pm 8 pm nice touch even nicer could invite friend back enjoy free wine cheese we one night . service great , responsive always smile . easy walkign distance lot sight subway nearby easy get everything . 
 Mar 3 2009 	 Smart Funky 	 great little hotel ! wife stay four night trip New York . first five night spend another mid town hotel probably well value overall Library really excel funky . we stay & quot ; ethic & quot ; room think nice . bit small New York not spend much time room ( well not ) . breakfast nice something around corner Pershing Square Grand Central Station - great breakfast ! Library Hotel easy walk NYC tourist attraction Broadway 15 minute walk . anything 15 minute walk easy get subway get local subway - easy work . 
