check 	 not actually stay night clift ' ve many business meeting Red Room . service always excellent & amp ; love decor ! 
 Mar 14 2004 	 great place 	 fly San Francisco , read James Patterson 's new book one scene Clift Hotel . describe hotel well - 's unique . room lavendar white decor - understand hotel recently renovate . room clean - recommendation lighting . the food service excellent Asia de Cuba , rather expensive . I would recommend hotel plan stay . 
 Mar 10 2004 	 Great Hotel Trendy 	 hotel great . service abosultely magnificent . concierge good meet demand time day certain day trip . whole staff helpful lounge excellent . get quite pack Friday Saturday night , good see . love make wood work purple . fiancee say combination think would work . hotel dark , think great whole cool vibe . look trendy , upscale hotel would definitely recommend stay . traditional , upscale hotel . 
 Mar 1 2004 	 Super cool 	 choose hotel experience Sanderson St. Martin 's Lane London ( love ) . although hotel really cool not think quite standard two hotel . room good size upgrade arrival nice touch , however find room bathroom grey gloomy colour lighting poor . not quite luxurious might like . bar great ( although service slow ) , music far loud face . might cool , not make particularly pleasant relax atmosphere . staff attentive friendly throughout . 
 Feb 11 2004 	 overrate 	 stay Clift August 2004 . although design hotel pretty cool room lack general comfort due size , small . staff unfriendly unhelpful barely see smile . must train hand dismissive . check left car give instruction collect . guy go collect car nobody idea send way - annoying costly ! one thing enjoy bar , well design cool funky . great people watch partying . 
 Jan 9 2004 	 perfect hip hotel ... incredible room 	 stay 3 night Clift early september please . check late , around 7 pm , surprised desk agent say room yet clean , would 30 minute . meeting freinds dinner not relish wait lobby . agent say could offer another room ready immeadiately , special room would worth wait .... wait ..... amazing . top floor corner ( # 1701 ) . little odd elevator go 16 , go little curving staircase 17 . huge corner room little entryway floor ceiling curtain , high ceiling , large panorama window side incredible city view , wet bar sink , large dressing room windowe bathroom . get room possible . every staff member bell boy room service remark favorite room . bad price room like either . find staff freindly helpful front desk valet informative concierge . room internet TV wireless keyboard nice touch . fantastic lighting , fabric , furniture . par style professionalism schrager hotel . use gym perfect . modern treadmill tv 's . redwood room asia de cuba always scene want . great location near union square . room certainly make stay clift pleasure . sure comment review really 5 star hotel . look classic 5 star experience , go four season carlyle . schrager hotel consistently clean , well put together comfortable stylish efficient lot fun stay . always worth money book . perhaps right fit old timid crowd 's look expect experience . enjoy much . 
 Jan 4 2004 	 stay away ! RUDE ! CROOKED HOTEL ! AWFUL ! 	 Clift Hotel piece trash ! idiot doorman front would rather scratch head help get bag . receptionist completely oblivious provide service . go W else San Francisco . hotel certainly worth anything 80 dollar . horrible time , room embarrasingly small . absolutely amenity . hotel change room rate arrive hotel demand pay new , exorbitant amount . facility absolutely abyssmal . avoid hotel save money . go anywhere else . 
 Dec 5 2003 	 Quite 5 Star 	 though stay clift delightful , surprised absence luxury amenity service . quality towel robe , example , quite par 5 - star hotel . exactly softest egyptian cotton . bathroom also small could barely open door get . service restaurant bar also bit lackluster -- wait 15 minute main bar anyone come take order . however , door man front desk clerk extremely helpful friendly . plus , dark light rich fabric lobby provide great end day escape work . 
 Nov 17 2003 	 Great Time 	 excellent hotel top notch service . welcome respite busy day city , lobby lounge room incredibly comfortable staff welcome . great choice traveler look hip , progressive , yet friendly hotel . 
 Nov 14 2003 	 stay away ! 	 husband book stay Expedia - guess Clift keep & quot ; real & quot ; room guest pay full price . could hear everything next room ( snore , T.V. , phone conversation , etc ... ) . impressed . ' ve stay pretty high - end , 5 - star hotel clift definitely not one . impressed hotel staff - guess be underpaid . stay away . 
 Nov 9 2003 	 Worthless 	 usually stay Campton Place decide give Clift try change scenery . service level hotel purport high level . room decent . food bad . not available porter take bag . concierge give inaccurate information miss breakfast . would not go back . will return Campton Place level service high food great . 
 Nov 8 2003 	 stylish reasonable 	 base review price pay think get crack deal pay $ 140 night 4 night . place ultra cool , room huge beautifully design entire hotel . Ignore review say park SF $ 10 going rate overnight $ 29 whilst $ 40 valet parking cheap not exhorbitant SF standard . hotel great Union Square 5 minute walk flat ( unusual SF ) great bar attract great good city . staff helpful overall complaint whatsoever . 
 Oct 14 2003 	 love pillow ! 	 return wonderful weekend SF . stay clift great . thing really criticize 5 star rating give hotel . find par 4 star . 5 star rating luxurious , amentie service go expect . hotel feature . room small adequate , bathroom . forewarn lack dresser and/or drawer ! however , bed pillow make thing . good location , good place see see . 
 Sep 22 2003 	 love 	 stay Clift 9 - 13 9 - 20 . staff wonderful give two upgrade , end top floor corner room , huge amazing view . staff helpful , courteous , friendly . city nice , little dirty , could improve . hotel nice location middle everything . bed nice comfy . hotel modern look young hip crowd night . back sure , true gem San Francisco 
 Sep 2 2003 	 worth $ 175 price tag 	 want romantic escape clift quite appropriate . old , traditionally build hotel repaint jazzed fun color theatrical lighting . Redwood Room charming move picture wall like Harry Potter 's Hogswarts school . room decent sized comfortable indeed decor minimalist yet pleasing . minibar item outrageously price bring . room service also outrageous - Asia de Cuba 's appetizer begin $ 18 - 22 . suggest price well romantic scrumptious 3 course meal Gary Danko $ 55 . front desk service friendly - cater & quot ; & quot ; crowd since not look like wallpaper model entourage , nobody really pay we attention . 
 Aug 20 2003 	 Great Service 	 return 5 night stay Clift . reservation stay clift read negative feedback site . first night know stay hotel value customer . I would recommend hotel family . weekend similar stay night club . long line outside get Redwood Room identify popularity night club . yet would never know night club well insulated room . the room clean posh . bed silky sheet romantic lighting . old hotel everything nicely update . the staff friendly approachable . anywhere see staff member always smile say hello . would highly recommend consult Concierge help transportation advice restaurant . I highly recommend Clift couple want romantic stay San Francisco . would also recommend room service . expensive great food . 
