Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Feb 19 2009 	 Best Hotel ever stay ! 	 get back girlfriend book valentine weekend trip Chicago ! say ? ? .... book Junior suite find upgrade we Executive suite ... Kingsize bed , big flat screen tv one room .... big flat screen tv Bose sound system lounge area , also nice glass desk fast internet connection ( $ 9.95 per day ) sofas relax . beware mini bar though .. Coke $ 5 ! ! ! nice big marble floor bathroom .. big bath large walk showerlike say .. bed pillow comfortable ! do not eat hotel , massive breakfast Tempo Cafe next door keep we go till dinner evening . the staff heplful polite .. decor hotel nice foyer nice smell candle burn .. location good ... 200 yard Water Tower shopping mall , Magnificent Mile , Hancock Building Cheesecake Factory . we fault hotel ... awesome .. ice cake memoriable trip great city ! ! 
 Feb 16 2009 	 great hotel 	 Fantastic hotel . staff great , room huge ( top floor suite ) comfortable . room service great . fault . location great well . 
 Feb 6 2009 	 want live Sofitel Chicago Water Tower 	 nice hotel . room large comfortable staff amazing ! location block Mag Mile walk everywhere . be also couple block Red Line get we Green Mill Wrigley Field shop Lincoln Park $ 2.25 . restaurant bar excellent service great food . would go back Chicago hotel . good hotel ' ve ever stay . love ! 
 Feb 3 2009 	 great hotel great location ! 	 stay Chicago short break end Nov / Dec 08.hotel great . lovely room little luxury . friendly atmosphere , attentive staff . amazing breakfast french restaurant . room service prompt delicious though expensive . not eat hotel restaurant lunch dinner . situated quiet street Michigan Ave . fantastic location shopping sightseeing . main sight ( John Hancock Tower , lake , pier , river , shop ) within walking distance . Chicago fantastic city lot see - want move visit ! ! knowledgable concierge , arrange architectural river cruise us fantastic . would recommend hotel , Chiacgo fantastic break . would stay return Chicago ( hope soon ) . 
 Feb 2 2009 	 Great Chicago Hotel ! 	 stay family wedding really impress hotel ! location perfect shopping ( warmer temp ) walk nice restaurant . room nice oversized bathroom . actual sleeping area little small anticipate , room keep clean match contemporary style . front desk helpful gym small , effective good amount treadmill free weight . bed comfortable , soft ... back issue take note . note hotel gift shop snack shop . great $ 1 / coffee internet cafe directly across street Tempo Restaurant breakfast spectacular ! staff friendly , helpful seem enjoy job . great hotel ! 
 Jan 19 2009 	 unbeatable place stay Chicago 	 Based TripAdvisor comment , book two night past weekend . turn absolutely right choice.1 ) great location , Michigan Avenue shopping , easy walk downtown Art Institute , lot interesting street around , block lake front.2 ) beautiful room , unbelievably cushy bed , lot bathroom amenity , cool view , etc . etc . 3 ) good French - orient restaurant lobby , Cafe Architects , also apparently handle exquisite room service . eat light dinner downstairs , room service , excellent . 4 ) breakfast , though , ignore pricey option go everyone area go : walk fifty foot front door Tempo Cafe ( www.tempocafechicago.com ) . worth wait , to.5 ) really fine service . small issue hot water , servuice guy room two minute fix . concierge lobby answer question , , say need charger cellphone , pull box leave behind previous guest ! overall , definitely worth . suspicion always room deal . 
 Jan 4 2009 	 great experience ! ! 	 husband fantastic stay Sofitel ! highlight : -incredibly friendly helpful staff . de - feather room ( feather allergy ) without sort complaint , convenience husband I. rarely experience anywhere - many hotel ignore request demand it.-our room . staff give we free upgrade low floor room 28th floor incredible view Hancock lake . bathroom amazing , view ( ) incredible , bathrobe / slipper super comfy.-location . go Morton 's ( block away ) dinner , pass number great restaurant way.-restaurant . amazing Sunday brunch Cafe des Architectes . get brunch sampler , absolutely delicious . overall , fantastic stay . nothing please definitely stay ! 
 Jan 3 2009 	 Amazing Hotel 	 hotel amazing . suite comfortable . room clean tidy . it perfect location feel safe . the staff friendly towards we polite . the free internet nice although could not seem get wireless work free use network cable desk . the highlight bathroom ! never stay hotel huge bathroom ! would definitely recommend hotel anyone . 
 Jan 3 2009 	 great ... sure package worth bother 	 mostly great island relatively minor problem . first good : outside hotel lobby decorate like winter wonderland , befit season . restaurant service absolutely flawless ( server not write order expect remember , remember client clearly one day , go beyond consistently ) . room comfortable : yes bed great ! gym well equip . second slightly put : mmmhh ... got & quot ; love chocolate package & quot ; advertized : bfast every day , dinner , snack ... gift . a - club favorite guest membership , also advertize & quot ; gift & quot ; . , gift ... either chocolate package favorite guest membership . upon enquiry , & quot ; snack gift & quot ; . package suggest . say , bfast sublime chocolate dinner outstanding well . problem checkout though : get charge dining despite book package take quite polite seemingly less informed front desk staff correct problem . would absolutely go back , probably special package . 
 Dec 27 2008 	 Perfect Choice Get - away 	 wife take yearly trip Sofitel . hotel perfect get - away . room impressively decorate , comfortable quiet . staff efficient , professional helpful . lounge provide relax venue enjoy libation conversation . eat breakfast tthe hotel restaurant enjoy immensely . hotel close shopping area Rush Street restaurant / club area . look forward visit next year , . really reason go elsewhere . 
 Dec 22 2008 	 modern decor nice change 	 love modern , abstract , innovative public area . food good . service good . consistent . would definately stay price right . 
 Dec 11 2008 	 simply FANTASTIC ! ! ! ! ! 	 use Trip adviser book hotel recent trip Chicago not disappoint . hotel justifiably top ranking - 's great location , stylish pretentious , room outstanding everything could want - bed world . staff extremely helpful professional well extremely personable . make feel welcome nothing much trouble . recommend hotel bar ambience - also use room service excellent . hotel surround great place eat drink - recommend McCormick & amp ; Schmick 's right across street fantastic seafood . would definitely stay go back Chicago . Chris & amp ; Viv , Manchester , England 
 Dec 10 2008 	 disappointed ! 	 read Trip Advisor review , expect exceptional stay . impress overall . concierge , view , hotel resturant highlight . bed , although horrible , nearly comfortable mine home , consider extremely fussy person . travel business , although dress formalwear , also dress , , feel bit pretentious . well option money , would gladly stay Sutton Place , Sheraton Towers , trump similar price well stay . would ask Trip Advisor move rating ...... # 1 Chicago , book . 
