great 	 apart amazing location , hotel charge lot , great experience . everything , mean everything , cost extra . check peasant experience hit large bill 
 good NY hotel experience date 	 spend 2 night mid - Nov , business . hotel conveniently locate , far 5th avenue , close main attraction popular mainstream shop . staff reasonably friendly , helpful professional . hotel ' feel big , nice . like many NY big city hotel , public area salubrious comfortable , unusually also charm character . ' chance visit hotel gym . my room large , well maintain clean , decorate non - offensive slightly bland corporate style . bathroom large , spacious modern , fit good standard . bed comfortable , room well sound insulated . overall , good , functional , business hotel room . however , another reviewer comment , would describe luxury hotel . overall , definitely one good hotel experience NY , usd 400 / night . 
 Feb 25 2008 	 fantastic location 	 Palace good midtown location . room fantastic view St. Patrick 's Cathedral Rockefeller Center . bed non - smoking room comfortable really high quality . greet doormen weekend stay ( friendliest doorman ' ve ever encounter New York ! ) . check - in delay due line guest efficient nevertheless . dine lobby restaurant call Friday night enjoy relax meal although hostess could friendlier attentive . Gilt Bar smart attractive space pack Saturday night . enjoy brief stay ( normally stay Waldorf Library Hotel ) service Palace friendly pretentious . 
 Feb 24 2008 	 i´ll stay 	 partner go New York every year wind christmas always stay different 5 star luxury hotel ( Mandarin Oriental , Soho Hotel etc ) .this time decide try New York Palace . book hotel website ok , even though room - option bit many . choose corner room access Lounge . the room big comfortable . bathroom bite small , bother we . service overall friendly . the Lounge ice - ing cake . 36th floor remember correctly , drink , computer internet access , small dish , nice breakfast ( & quot ; free & quot ; charge ) .Fitness center good change room big nice . good value money , good location , nice room , lounge great extra sit relax shopping go dinner . overall value : definitely go ! 
 Feb 23 2008 	 fairly expensive totally worth ! 	 New York work , stay Palace 3 night . wonderful hotel . bit expensive , totally worth opinion . first - location . room view St Patricks Cathedral , sunny lovely every morning . walk onto 5th avenue enjoy well shop NYC amazing ! short walk central park 5th avenue . room well - appoint - large flat screen tv , comfortable bed ever sleep , turn - down service relax music slipper next bed . great touch ! room quiet can not hear neighbor , important . reall enjoy drink bar , since comfortable service great . check - in quick efficient , people help luggage great point work amenity room . room rate include breakfast , order room service extra charge people know . breakfast great - toast pastry , egg , coffee , fresh juice , etc . room service deliver even open curtain could enjoy sun . know deli cheap , really luxurious eat breakfast bed long day ! highly recmommend spa well . as restaurant within walk distance - really enjoy BLT steakhouse . drink young lively atmosphere music , try W hotel . hotel definitely close enough walk time square want catch broadway show , wear heel like quick easy cab ride - hotel great job keep long que taxi beck call . try Palace ! 
 Feb 22 2008 	 be truly palatial 	 Palace . palace center Manhattan . room impeccable service well . perfection come cheap . expect pay arm leg , get pay . 
 Feb 19 2008 	 Perfect location ! 	 HI ! back NYC husband great time ! hotel behind ST Patrick 's cathedral corner room breathtaking view it . the location perfect couple day since right middle everything ( 5th Av , Rockfeller center , Central Park , Times square ... ) save lot time . it wonderful , hotel awesome ! ! ! view romantic fascinating ... 
 Feb 15 2008 	 big room great location 	 location great - right behind St Patrick 's Cathedral Madison 50th , walk distance central park , museum etc- like good brisk walk ! course shopping restaurant easy walk distance well . room large , particularly New York , every comfort would expect 5 star . lovely Bathroom , great bed , pay per view movie etc . news flash - mini bar room service outrageously over - price . husband not really like hotel think pretentious - ' ve yet come across 4 5 star new york not though ! pay good price get , really pleased . 
 Feb 12 2008 	 Best Hotel NYC 	 return four - night stay Palace . expectation high surpass . third visit New York new way around location 5th Avenue outstanding . we give room 38th floor look St. Pats fantastic , bed comfortable ever sleep , turn evening lovely touch . bathroom also lovely , although bath keep block take shower ( small complaint ) . staff check , bellhop maid service impeccable really make feel welcome . couple tip , ' book breakfast ; room service expensive may good option , starbuck great deli 51st outside hotel want get breakfast etc . bring back room . lot people hotel stay . Broadway must ; get ticket TKTS Discount Booths New York City . Times Square Booth sell day - of - performance ticket . Opens 3:00 pm ' need queue hour . South Street Seaport Booth sell ticket evening performance day performance , matinee ticket day . booth open 11:00 ; queue , five minute walk Ground Zero Century 21 . get two second row ticket Chicago $ 120.restaurant area go : Ben Bensons Steak House 52nd 6th 7th avenue , little rough around edge food fantastic . China Grill W 53rd St , great food , would recommend Rock Centre Café , Rockefeller Centre beside ice rink , food poor service appalling . back Hotel : trip wonderful , make particular stay Palace . plan next year trip already Palace , ' stay good ' settle less . go New York look Hotel ' expensive offer good value , Palace may bit ' worth every cent ! 
 Feb 11 2008 	 Ok 	 Hotel bad little bit let . room good service breakfast poor . 
 Feb 11 2008 	 Faultless stay NY Palace 	 Flew NYC Silverjet ( probably good airline trip ever experience ! ) long weekend . from start look well courteous friendly staff Palace . we upgrage stay executive level ( 30th floor ) get great corner room 33rd floor amazing city view . this also give we access Executive lounge part price serve great breakfast , lunch evening snack well complementary bar 5.30pm - well worth extra cost strongly recommend . the Concierge recommende several great restuarant ( River Cafe wonderful ) stay staff helpful throughout - back NY definately go Silverjet stay Palace ! 
 Feb 11 2008 	 bad ny - nice sized room 	 would still prefer London NYC Le Parker Meridien , location awesome - 51st / Madison . room size nice - nice large room , king size bed , shower bad consider old NY hotel . great hotel entertain , food good , bar tiny . I would stay hotel location , rate outrageous NYC hotel . room pretty hot , turn air low temp , still bit stuffy - go fact NY hotel old modern . 
 Feb 8 2008 	 palace brilliant beautifull friendlysuperb ! 	 family ( 2 teenage boy nine year old daughter husband ) stay january 22nd 28th jan.i book hotel tripadvisor spot . new york palace wonderfull , already book room give total price happy couple day later daughter ask change american girl package , email hotel be not available tru hotel website , get reply Shaista nyp say would happy change give room less ! , yes rate less , customer care well , day arrive emailed hotel ask would possible get room view st patrick cathdreal guess wot get middle centre hotel room 2020 , superb view st pats rockerfell saks , ect ect , daughter present american girl gift , go spend $ 2000 AG love , bed sleep extra comfy bathroom huge load space , previous review hotel state would not give hotel 3and half star , well well travel family stay good hotel time will not get everything ask , million 5 star hotel world , even burj al arab , would put personel care get new york palace servis burj , yes true , gripe nyp hotel one night order room service , kiddy burger curly fry pizza cost $ 92 , inedible , that s rediculous amount cash snack two ! hotel need address apart come back hotel stay again . well do NEW YORK PALACE . 
