would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Jan 21 2009 	 good value money Friendly Staff 	 return stay hotel must admit dubious stay due negative review read site . find hotel clean , comfortable warm ( despite review ) . staff courteous , polite helpful . the location brilliant would recommend 
 Jan 18 2009 	 great location great hotel right price . 	 return short stay Millenium Hotel Broadway 1/10 - 1/14/09 . find great deal TravelZoo , $ 199.00 / night Superior Room - Floors 28 high . base room give , would not pay anymore . photo speak . get nervous upon read review . correct - ready advance expect . other , well , think may encounter bad stay . upon enter hotel notice extremely nice lobby . front desk one person check people , rather quickly problem get room . extremely friendly polite . ( get 2.5 hour check- @ 3 pm . ) room 51st floor . beautiful view Chrysler Building . clean , smell reviewer state room chilly blanket bed . turn heat call housekeep additional pillow , blanket refrigerator . ( no- not charge fridge nice . ) arrive short order . 51st floor , concerned hot water bathing . never problem -early morning late night . bed extremely comfortable . nice firm bed pillow match . great night 's sleep . tv work fine quite nice watch get ready sleep wake find kind weather rolling day . however , Express check - out tv never receive bill door . morning departure , front desk provide copy bill review . this hotel great location . right Times Square walk distance subway access almost anything need could want . price hotel restaurant expensive , eat anything could possibly want fingertip Manhattan . Starbucks backside building ( 45th Street ) little deli / diner across street ( 44th Street ) take nice little breakfast eat upstairs . boy , reasonable ! guess big reason state begin price hotel issue housekeeping update property . coffee make work . wallpaper & quot ; piling & quot ; edge wall - look like cobwebs , not . bathroom mould paint - poorly see previous color paint . tub not drain properly ( remove drain maid leave ) . previous guest something eat evidence leave side night stand wall arrive . however , next day remove without tell . lastly , pay $ 350 plus room - amenity give , furniture bathroom decor - would expect find & quot ; high end hotel & quot ; would extremely upset . however , pay , thing tad bite nit - picking . would stay price pay , overlook small thing . thing need provide problem . none & quot ; cosmetic / housekeeping issue & quot ; interferre stay . , get pay , base deal , would stay Millenium Hotel Broadway . 
 Jan 14 2009 	 Fantastic Location Rest ok 	 since book priceline get pretty good deal consider hotel price NY would unhappy would pay full price . love location . room size bathroom ok overall bland exactly beautiful room - adequate . taste anyway . love location view . bed quite comfortable . price pay throug pricline name price fine . 
 Jan 11 2009 	 another geat stay 	 stay last weekend Millennium another wonderful stay . check quite long line move rather quickly check staff , plus manager apologize wait . hour later not line . go to . get room tv not come . call nice maintenance guy figure not plug behind console . say housekeeping may knock vacuuming . great service prompt action really help . elevator super fast . front hotel people nice . room nice clean 42 & quot ; plasma great . can not miss hotel Ritz nitpicker complain ' m New Yorker . pay mind . 
 Jan 11 2009 	 fantastic location 	 book hotel website , countless search hotel nyc.the location perfect 20 m away Time Square view match - room 27 floor look straight Time square . staff excellent especially door staff whistle Limo 10 min trip China Town , even barter behalf get good price $ 15 , well worth it . the room excellent , large , massive bed . excellent view ( ) clean shower bit poor . the breakfast not bad choose continental cook get pricey everyday . last day pop across road 10 m Deli pancake , Bengal 's bacon etc , nice change.the hotel perfect visit NYC 
 Jan 7 2009 	 Magic Millennium 	 book stay Millennium price , good thing trip ; price . purpose New York show 17 year - old niece city . never think well time New Year sprung & quot ; City never Sleeps . & quot ; well Millennium certainly bring new meaning & quot ; never sleep , & quot ; portion phrase . stay sixteenth floor mattress horrible . ' belief decorate many pillow know be well floor pillow mattress . , not sleep , unreasonable expect good hour rest room average cost $ 435 . think ! addition horrific bed , staff friendly . young lady front desk never welcome we Millennium ; matter , young man desk check ' thank choose Millennium either . maybe much ask nation ' economic crisis , mere thank spend money . mention , actually get service ' request . floor lamp room ' bulb . , logical thing call replace , speak gentleman assure would take care . wait 40minutes one come . , ' sure understand ' call anecdotal water temperature shower , slow drain tub . also understand ' customer ; first impression last life time . importantly , first impression may last impression get hotel industry . ' recommend Millennium fact ; friend cancel reservation later month . happy travel ! ! ! ! 
 Jan 5 2009 	 Room not Heat 	 first night freezing . room say set 90 blow cold air . call front desk tell someone would fix problem . 90 minute later call back front desk clue want someone come fix heat right . maintenance person arrive say thermastat set blow cold air set summer setting . also say screen need clean . claim turn set summer winter leave . seven hour later room still cold call front desk say want switch room . instead someone send . person say reason cold air come set allegedly set summer instead winter . , set back originally check . also say low air even though low air check first guy switch high air . second guy also say go blanket send room not one . never receive . call back next day freezing tell someone would shortly . not come call back say situation unacceptable . informed could switch room morning really not help lack heat . request wake call . even call confirm time right . wake call never call . call front desk complain explain run late need someplace offer free breakfast . run late would want free breakfast . lady front desk tell person heat problem . think would make feel well . complain someone else front desk 12 dollar remove bill . location anyone go theater ideal never voluntarily stay winter absurd sleep two pair sock , turtleneck , fleece top could not fix lack heat room . 
 Jan 4 2009 	 worth money 	 & quot ; upgrade & quot ; although room fairly large NYC standard really good condition particularly clean . location good . reception seem school desk empty room . business trip believe price around $ 600 per night certainly worth anything like . 
 Jan 2 2009 	 great location expect 	 Millennium Broadway great location mere 1/2 block Times Square - big part reason choose .. be also close several Subway station . receive free upgrade upon arrive Premier Hotel , tell , include free continental breakfast . , not expect super high - class buffet anything , expect something well room - temperature milk cereal . husband say 's well breakfast Motel 8 . much pay , would think might get little bang buck . also problem room key suddenly become inactive get replacement one front desk . room size pretty good , even bathroom size great , shower way small . one person barely turn around . also issue amount hot water . one we take 10 minute shower , wait least 20 minute get . hand , hotel staff quite nice , super friendly , easily approachable . 
 Jan 2 2009 	 Millenium Magic 	 little nervous arrive Millenium Broadway read negative review . first time New York want perfect . hotel fail meet expectation . want clean , smart , classy hotel make feel welcome , choose one . great location times square set back ever slightly hustle bustle , perfect . 50th floor corner room overlook times square add expperience . room , little qualite expect great hotel . big plasma tv 100 channel tired long day city , king size bed , never sleep well . also staff helpful polite . overall , great experience definetely return Millenium . 
 Dec 27 2008 	 Good Deal Priceline 	 naming price Priceline , get nice corner room King bed 50th floor . place clean staff front d attentive friendly . not check noon , Virgils BBQ ( excellent selection beer ) right across street . place excellent location like thing around Times Square Theater District . 
 Dec 23 2008 	 could Better 	 impressed accounting department . many problem try sort bill talk customer service friendly person - still sort week later . also , room okay . double size bed leave arrive sheet not cover mattress way . also , heater / ac noisy . 
 Dec 22 2008 	 pleasantly surprised ! 	 travel New York daughter 3 day shopping / sight seeing trip , travel agent book package recommend hotel say , recent & quot ; indifferent & quot ; review arrive trepidation , fear turn completely unfounded . firstly location absolutely brilliant , 44th street Times Square , entrance lobby hotel impressive check smooth receptionist friendly amiable . up room 44th floor Lucy generally impressed , massive spacious enough , modern clean , big wide screen tv , lovely bathroom good spacious bath & amp ; shower easy use , nice towel lot freebie toiletry etc , two comfortable twin bed , enough storage space obviously one refurbish room , honest 3 night nothing fault . all sum hotel say receive one hint complaint Lucy sometimes hard please typical 13 year old ( bless ) , enough say , thoroughly recommend . 
