disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Jun 7 2008 	 fantastic hotel great location 	 stop Cumberland Hotel twice time whilst business . 's excellent hotel location fault . lobby imodern mpressive staff extremely helpful courteous . quite lon queue check check first thing rush make sure leave plenty time alternatively use express checkout . room modern huge bed LCD TV . bathroom also modern shower hot powerful . sure room bath mine not luxurious bath would nice touch . eat hotel restaurant Gary Rhodes menu look tasty little expensive side . like modern hotel Cumberland great hotel would highly recommend . be look something traditional be probably . 
 Jun 3 2008 	 really nice hotel 	 stay hotel three night . find reasonably price consider expensive hotel London . location central . around corner Marble Arch tube station Oxford Street . get free upgrade room executive building locate metre away main hotel entrance . room medium sized . nice plasma t.v . comfy bed . bath find water pressure poor . shower also quite difficult use . room clean every day . also plenty towel . staff fine . major complaint . concierge friendly . not get breakfast hotel really nice bakery across road . also plenty convenience store close hotel . visit hotel bar really modern empty night go . atmosphere really . hotel suited requirement trip . would probably stay . 
 Jun 1 2008 	 hotel gallery ? 	 Cumberland break Travel Lodge , Travel Inn , Travel Tavern monotony anyone stay away home job . homely place world due art gallery lobby area harshly light corridor bed extremely comfy , room spotlessly clean well sound proof city noise service ok . breakfast offer good choice , homely feel replace refectory style dining encourage eat ship out . I not mind experienced hotel offer London.p.s . creak noise room turn light go sleep light cool . stop minute not fret . 
 may 29 2008 	 Great Hotel definatly return 	 nice classy hotelwell mannered polite staff offer upgrade double king upon arrival 30 night well worthit room quite smallwell decorate new age modern roomsclose local amenatiesgreat locationexpensive get pay foramazing foyer main hotelke delux executive suit different hotel next door company , save adverage jo'svery nice staydefinatly go london 
 May 29 2008 	 not put review 	 nearly not stay hotel TripAdvisor review glad . comment room small , book Executive double well room small ! ! bedroom nice though although would like small . bathroom another matter . whoever decide install green glass door ban design anything ever . aside lack privacy ( well sort frosted ) , bathroom night light make bedroom glow green night can not switch . use throw towel , partly coud not reach towel rail ! ! bedroom iron ironing board nice touch . the location superb , right next Marble Arch tube station shop doorstep . reception bar staff excellent not think much concierge service . even though ask , tell we behind Selfridges street fill restaurant bar great nightlife . I would definitely book location would make sure get right room . nothing small executive double ( unless not mind sleep cupboard ) bathroom wooden door . friend stay one , know . 
 May 28 2008 	 Excellent stay 	 stay Cumberland 23rd 24th may attend Chelsea Flower Show . initial hiccup allocate king size bed spare bed room rather twin bedded room - sort room clean adequate - comfy bed . breakfast excellent staff courteous . certainly stay 
 May 26 2008 	 Great Location 	 get back wedding anniversary celebration London . stay one night Cumberland , find great hotel . speedy check , free room upgrade cost less Premier Travel Inn ! great location around corner Marble Arch tube Oxford Street right doorstep . room littlle small side , however recently furbish 32 & quot ; plasma tv fridge ( stay room 3009 great view Marble Arch ) . Pret Manger next door two food wine shop across road , not pay hotel food drink price do not want ! hotel bar , Rhodes SW1 food Carbon nightclub ( free admission hotel resident ! ) dine Gordon Ramsay 's & quot ; Maze & quot ; Grovsenor square world ! also find great spot lunch breakfast calledtruc Vert North Audley Street ( really nice French Bistro , popular local ) enjoy ! 
 May 24 2008 	 pleasantly surprised reading review 	 read reviews board , terrified stay hotel . husband book week long stay hotel vacation London . check - in breeze . & quot ; problem & quot ; encounter air conditioner room break , however , promptly give free upgrade room view Hyde Park sincere apology staff . breakfast great - homemade pancake , omellete , fresh fruit , toast , sausage , bacon , array juice -- not see everyone complain ! ! ! ! never wait in - line table ( generally go breakfast around 8:00 a.m ) give coffee problem well ! ! ! entire staff kind extremely helpful . would stay hotel ! ! ! 
 may 23 2008 	 good 	 wife stay Saturday night birthday . enjoy lovely lunch Scotts show O2 . know London live Hertfordshire . large hotel room ok . trendy'ish , order large double . clean , adequate , though big , good shower frankly get back 1 am . breakfast large queue mention user go immediately breakfast area Gary Rhodes restaurant . concierge get discount parking close . staff helpful , concierge get info river bus get O2 generally good stay . London average hotel great location . easy walk . 
 may 21 2008 	 disappointing .... 	 firstly let say usually budget traveller not hugely high expectation - however pay odd hotel expect sense & quot ; luxury & quot ; .I stay Cumberland business 3 night midweek , stay & quot ; Deluxe & quot ; room . room small , dark ( face wall air - conditioning unit ) , carpet ceiling stain , bathroom , perfectly functional , small , musty - smell . large plasma tv , iron , hairdryer , tea coffee etc . however coffee large sachet cafetiere - cafetiere room ? ! also herbal teabag provide - camomile green tea . breakfast not impress either ( consider price ) . queue minute day seat ( generally breakfast 7.30 ) . seat , cereal , small selection fruit ( mainly dry ) , bread pastry , fry - up , kitchen promise pancake omelette make spot - however 3 morning never man . bit disappointing fresh pancake would nice treat ! toast cold , manage get single cup weak tea two morning wander tea / coffee - bearer . pay £ 190 per night bed breakfast expect . location - wise hotel great , room quiet , bed comfortable etc . however would not stay - well hotel MUCH well value . 
