Hidden 	 3rd visit Hooters . the staff freindly helpful , bed pillow comfortable . cable television complimentary bottle water room . Dan Marinos 9.95 prime rib 24 hrs Hooters hot wing great . price right . 
 cheap weekend getaway 	 get great deal slot club Sat Sun . make nice quick cheap getaway wife . 
 great view Excellent Housekeeping 	 wife really like prime rib special . enjoy breakfast buffet fresh fruit biscuit . the housekeeping service good thoughtful , bring daughter extra sheet w/o ask second night . hooter restaurant waitress friendly helpful . although menu different : price sauce choice minimum . food good beer too . Dixie bar great look lady picture , couple bartender guy . maybe seasonal ? casino girl nice nice looking . machine need update like MGM across street . the room AC old HARD maintain consistant temperature makeing sleep difficult time . loud either hot cold between . although , win $ $ $ , likely return price good . 
 Good Value good location 	 room could use attention peel paint slightly damage drain bathroom . hallway rather dingy feel welcome . casino good . sure , upscale many casino service excellent staff helpful welcoming . gem hotel / casino gym , though could not figure turn light . 
 get pay 	 suckere internet special . casino small relatively clean , room however dirty date . reccomend . 
 great place stay price .... one complaint ! 	 family always stay hooter ! always accomodate every need ! day n age , economics way u can not beat price room hooter ! ! 
 stay anywhere . 	 young man check not helpful , never mention kids area list survey card . hallway the10th floor offensive odor , room carpet tire adequate - certainly nothing write home . elevator ( garage & amp ; room ) frightful - always work . slot machine dirty . security , housekeeping , maintenance helpful pleasant . heat pool . bed comfortable . 
 bad price 	 expect total dump base price pay , pleasantly surpirse . small casino lot penny nickle slot . restraunt , club , show site . food pretty good , drink ( not buy drink , expensive consider sit machine get free . gym pretty good equipment small hotel . pool area cozy fire pit different seat area visit . room typical Howard Johnson equivalent . bed comfortable room clean . however , food tray sit outside someone door eleveator 2 day anoye . walk distance many big hotel nice . would stay not want spend money big hotel . 
 Perfect 	 good location stay south strip . one Vegas small hotel , prefer . it doesn´t take long time get access room . 
 Great Hotel Mates 	 stay five night trip mate UK . overall small friendly hotel mean not take 30 minute get back room forget camera . yes plush hotel , yes fascilitie date need hotel place crash mate place . the staff really friendly helpful , party go day , pool bar excellent , last least hooter bar top class . other review say strip , 100 yard strip ! locate next MGM real good spot get Vegas . would go back , hell yeah , would go Wife , Hell , butu say friend stay next year . 
 Jul 22 2008 	 good suite Vegas Period ! ! ! 	 stay Hooters $ 50 / night week . put standard room ( overlook dumpster strip ) . night A / c rattle people pick trash disturbing . complain morning upgrade rest stay amazing suite ever see ! ! two room , two full massive bathroom , fridge , kitchen couch living room , two seperate balcony , excessively clean massive flat screen tv . say enough impressive suite , see lot suite vegas far nice . comedian Bobby Slayton absolutely hilarious ( great deal since get free ticket throw room rate ) although sensitive race , sex , creed , etc . hate . pool area nice comfortable . although charge weight room , nice asking nicely get let we use without charge , amazing people say please smile . people work friendly accomodating . highly recomend resort anyone willing walk / take cab food entertainment . 
 Jul 16 2008 	 horrible Scam - stay far away ! 	 Hooters casino advertise $ 100.00 free slot play join slot club . call ask , & quot ; 's catch ? & quot ; tell catch . get , free slot play small , rope - off section machine . also get useless coupon , include one free drink hotel bar open several hour . turn - off Hooters ' deceptive advertising practice leave go back . 
 Jul 8 2008 	 Good Choice 	 reader , Hooters Hotel & amp ; casino good , inexpensive alternative overprice Strip property . visit weekend 19 - 20 June , 2008 . travel alone , reunion retirement ceremony military unit . the price $ 109 per night two weekend night . location , good price . hooter 200 yard busy intersection Las Vegas , Strip intersect Tropicana Blvd . walk easy one property another ; pedestrian walkways street , four possible street crossing . use $ 20 bill trick , room matter . * remember , tip desk clerk check - in , ready ask want ! & quot ; Pool View & quot ; , & quot ; Quiet Room & quot ; , & quot ; Strip View & quot ; & quot ; Upgrade & quot ; common request , here . my room tall , Ocean Tower , 16th floor . window face Strip - Tropicana intersection . make fabulous view ! leave drape open night , could see Strip time . view clear enough read sign watch Manhattan Express roller coaster New York , New York Hotel . the room fine . major upgrade similar room hotel San Remo . tropical ( Florida ? ) motif , solid wood accent throughout room . AC fine , bed king - sized , bathroom fine . the small casino always active , always plenty orange short around . table game tight get elsewhere . warning : think twice accept & quot ; free $ 100 Slot play & quot ; . may stand long line play specific machine . people line look like suffering , machine seem & quot ; get & quot ; .there constant elevator problem . one lift available entire Ocean Tower . case , hotel open stair door , fit patron move quickly ! not lose precious Vegas time wait lift ! parking garage nice , Valet quick ( use ) . confuse breakfast option ; not get home find Marino 's breakfast buffet . ' m sure miss somewhere Services booklet , need post prominently . Marino 's steakhouse ; guest immediately assume breakfast . always leave morning . there naughty - girl vibe Hooters . surprisingly , large percentage clientele young female , seem enjoy & quot ; allow dress like , & quot ; idea . . , table game . personally , prefer downtown hotel . adjacent , canopy protect walker heat . 4q large clean , 1/3 price . invite reader read review Golden Gate ElCortez , two favorite . would not mind return Hooters , choice . contact [ - ] , & quot ; Las Vegas & quot ; subject line , want ask question Hooters Las Vegas . Gene Padgett ! Starkville , MS 
 Jul 3 2008 	 get paty 	 great place go ... boy ... happy stay howard johnson / day inn type property . hotel nothing fancy neither room . place clean ... disgusting either . type person see drink stain carpet , corridors hotel get gross ... be not place . kind place would bring girlfriend ... guy bachelor party ok . good thing property location . can not beat price . there s nice breakfest place next door that s good cheap ( coco 's ) MgM grand across street . Vegas way get lot money pocket ... whether gamble , partying , different tour show ... go back guy ... would come back ... girl ... Mgm grand nice hear price reasonable . as people vegas ... spend little time room sleep . 4 - 5 hour night go to spend room fine . want something really nice .... try Ceasars palace ... do not complain pay $ 450 + per night . remember .... get pay . 
 Jun 28 2008 	 Tattoo City ! ! 	 husband one property without tattoo sure . client little low rent plenty great thing place . quick walk MGM , Excalibur etc . great rate , pay around $ 40 night pay , lot less value . the room spacious bed comfortable pillow soft usual hotel rock hard . floor quiet , maybe non smoking section . the air conditioner little noisy actually help put sleep run 24/7 . casino small enough could find husband without much trouble , like . cocktail waitress pretty come around time - not like lot place . overall great deal nice room . 
 Jun 28 2008 	 bit disappoint 	 stay brother two night June 08 . kind surpise find property bit shabby . first impression parking garage elevator . filthy . elevator drop guest ... somewhere .... take suitcase drag casino find check - in desk . check clerk friendly make check - in easy painless . we go room 14th floor find pair full size bed ( thought disappear Love Lucy ) . elevator slow remind old elevator ride Hungarian hotel year ago . importantly , coffee pot room . full pot coffee deliver room room service $ 21.00 . really lame . get coffee morning hassle expensive ( think $ 3.00 cup downstairs crowd gift shop . the bed comfortable room reasonably clean , albeit small , poorly light drab . window filthy hard look . air conditioner work ok . find room less average storage ( drawer place stuff ) . tv armoire break shelf , exception standard motel closet 8 hanger . room electronic safe work .. encounter hotel staff . , bad value , nothing write home . expect clean , well maintain property . bad would never stay , rate would low ( like $ 35 - $ 40.00 night ) match Fremont Street like grunge feel . 
 Jun 23 2008 	 positive negative 	 go Vegas first trip not know stay ... alot research need specific time fly book seperately ... come upon hooter search good bargain . price seem great budget first happy strip . come find right across MGM not seem far ... . reserve advanced bungalow ... alot review bad take chance . upon arrival , checkin long give another room . room great ! ! ! not know people complain soooo much place ... nice . cheapos first trip want conservative ... know would long . room clean , cold ample size ... pool could really hear anything ... a / c overbearing ... bed die ! ! ! ! pay past place horrible . glad choice plan go back ... downslide Hooters girl kinda rude attitude like you - know what - do not stink ... even cute ... food Hooters restaurant great Dan Marinos Breakfast good tooo especially fruit . nice Hotels sooooooo freakin huge walk room nothing convenient . slot okay great care hundred enjoy strip ... also free slot pay joke ! ! ! ! ! yet coupon get make ... clean staff nice ande do not enter ask offer fresh towel everytime see ... great hard worker ! ! ! ! FYI take cab airport nine buck shuttle mention take highway ! ! ! try scam . Anywhoo , enjoy stay hope fancy amenity like blow money ... money shop eat gamble ! ! ! ! fun 
 Jun 22 2008 	 10 day stay hooter 	 hotel exellent value money . staff reception helpful , HAPPY , even upgrade we kingsize room roomy Tower Block . view bungalow room old part building leave alot desire . staff shop happy helpful . pool area clean , ( waterfall use ) . food ok , do not go bundle chicken wing tho taste disguse , people seem like . coffee exellent value , buy Hooters mug , coffee free whole vacation . little disappointed chill area ie lounge comfy seat sit relax drink coffee . choice either drink machine , take room , table chair outside temperature 112degrees be not option we . overall hotel exellent value money right next MGM major hotel strip , $ 10 taxi ride airport . 
 Jun 20 2008 	 enjoy stay hooter 	 third trip Las Vegas first time stay bit strip ( previous stay Flamingo Ballys ) . book Sat - Mon stay Memorial Day weekend around $ 250 . price , find Hooters good value money . look 4 star hotel fancy room , place . however , look frill hotel lay back , casual atmosphere , place . 
 Jun 19 2008 	 love place ! ! ! 	 Hooters Las vegas great- see review , & amp ; not know people look vegas hotel price , venetian ? ? ? ? ? .The front desk crew professional , check early , give free upgread without even asking.the room big , clean , comfortable , everything work , need helf internet connction , man show minute great job.the atmosphere hotel young , relexed , even cozy compare big hotel vegas - no mile walk , 5 different tower - love it . I planing stay 1 night - I stay 3 . 
 Jun 17 2008 	 could not ask anything ! 	 finally arrive Hooter 's horrendous 27 hour journey UK Delta ( use ! ) totally exhaust ! travel cousin friend wedding follow day . arrive slightly concerned read previous review need worried . check 3 am problem whatsoever . elevator / hall way clean clean smell , dread get terrible room would put icing cake we horrific journey room way expectation . huge room 2 queen bed two table separate dressing table well light mirror . large closet tv . bathroom good size . everywhere appear spotlessly clean . good part actually get comfiest bed sleep ! second floor Ocean Tower pool view , block partially low floor not matter one bit hardly room day anyway . problem hear noise adjoining room . once catch couple hour sleep venture downstair look around , small cozy pool area pool bar , ' bait ' shop sell souvenir , drink snack etc , two bar casino three restaurant ( obviously one Hooters ! ) , try Dan Marino 's Restaurant breakfast delicious , good selection good price , especially buffet $ 10 , unfortunately never get go hooter queue always long ! staff EXTREMELY helpful friendly , want spend day shopping enquire bus taxis various place , chat two bell hop ( not get name unfortunately ) end hire car day prob save we fortune fare lot time mean could shop ! ! pick right outside front entrance car hire company take depot ' economy car ' wait we . expect small car huge Chrysler Sebring guess upgrade . also book ticket see ' an evening Le Cage ' show riviera , able throught hotel guy ( oldish gentleman ) helpful advise we timing stuff make sure get good seat . the location hooter perfect , be literally 5 min walk strip , be right opposite MGM also monorail stop handy well . the fault could find ice machine not work floor use one upstairs would hardly say 's problem inconvenience . People complain get towel bedding change , little card room explain helping save environment bed change really need , place card bed would , quite ' green ' person quite happy . pool area get busy young crowd weekend live dj play live music ideal want relax sunbathe . this fifth visit vegas ' ve stay different place time , definitely one good value money . friend stay bellagio go see room honest not be crack ( pay would expect lot ) really bad smell corridor ! would definitely stay Hooters , 's huge hotel small casino , make lot enjoyable friendly . 
