dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 oct 8 2009 	 wonderful stay 	 Husband stay venetian 5 night recently celebrate birthday . wonderful stay . room large clean grant furniture could update bed comfortable love nice big bath room . arrange hotel champagne strawberry arrival , get room , call front desk send second ( problem whole stay ) . use spa facility beyond excellent ( ' read review critical well spa want know ) husband many well far . complaint restaurant many unable find good one , Ottawa / Montreal picky . 
 Oct 8 2009 	 awesome ... 	 first trip Vegas family . hotel awesome highly recommend . 
 Oct 8 2009 	 overrate Venetian Las Vegas 	 would not know Venetian want satisfied experience . front desk staff management go way try take advantage first itme catch lie refuse make right . seem every opportunity custmer friendly go way * * * * we . room nice absolutely worth money . property world nothing special . Treasure Island good value every ( previous year ) staff incredibly friendly helpful . say service staff floorat Venetian room prep outstanding . next time try Trump ! 
 Oct 8 2009 	 favorite place Vegas 	 return week Vegas . stay Venetian , hotel magnificent never experience incredible service . lovely hard drag away hotel go see city . pool lovely . kid 11 13 enjoy . pool attendant wonderful . pay $ 200 per night room club level think excellent value . 2 double bed four we share . overall would say probably good hotel ever stay extremely fussy ! 
 oct 8 2009 	 First Clase Hotel 	 hotel everything hope . great service beautifl hotle . one expensive hotel know go . Venetian Palazzo ( connect ) not ahve leave find new restuarant . eat Dinner meal one restaurant . emeril 's steakhouse good Lobster Bisque ever taste . Filey mignon actually well Dos Cominos Pomagranite Margaritias fabulus . wife spend much Cannal Shoppes . type lie pool day , well hotel Vegas Mandalay Bay . Tao popular night spot great restuarant . stay . 
 oct 8 2009 	 pretty hotel little overpriced 	 stay Venetian make 14 trip last year Vegas . show ticket decide would good night try stay hotel . nice offer lot upgrade decor room , enough opinion justify high price . would prefer simple room nice bed large room thing high price . 's nice place stay one night special occasion . 
 Oct 8 2009 	 Awesome hotel everything need 	 one thing not like Las Vegas strip vendor sidewalk . walk area , always seem get push step . sidewalk front venetian clear walk peace . 5 day never wait elevator one minute . hotels strip wait 20 minute elevator not already full . the Blue Man Group great show . 
 oct 8 2009 	 not bother - could care less 	 yes Venetian Hotel Big Beautiful . hotel large provide level personal service ? - answer can not . arrive late afternoon , tell room ready . ask desk clerk call we cell phone tell we ready , decline . tell us & quot ; keep check & quot ; back see ready . let loose casino advantage course . several hour & quot ; check back & quot ; finally receive room key . give orientation hotel service offer . tell anything , hotel dining room , pool , nothin . ask concierge recommendation honestly bother ( yes tipped ) - whole experience venetian like - like could care less . venetian build grand scale , constant stream tourist filing look surrounding . feel like stay fish bowl , people constantly stand stare . one many guest pass . funny thing , since return home receive almost weekly mailing invite we back event venetian . we visit Vegas often never stay venetian . select small personal hotel personable staff . prefer Bellagio . 
 Oct 8 2009 	 absolutely stunning 	 amazing ambiance , excellent staff , incredible feel . 
 oct 8 2009 	 Amazing experience 	 husband go anniversary , simply fall love place . decor beautiful , think picture not justice actually step one suite room . romantic place really make trip unforgettable . 
 oct 8 2009 	 venetian awesome ! 	 venetian great hotel incredible sized room especially comparison hotels strip . think location hotel strip perfect . definitely eat Tao ( asian upscale ) Grand Lux ( cheap breakfast ) . Tao great club dinner . 
 Oct 8 2009 	 Good - lack something 5 - Star 	 Hotel gorgeous everything expect Vegas hotel . little disappointed . expect 5 - Star hotel . room could use update . button pop couch . two three phone room not work . guess expect . pay full rate would well disappoint . would stay right rate . 
 Oct 8 2009 	 Excellent Hotel 	 stay Venetian 9/28/09 10/2/09 wonderful . room clean well maintain . staff polite efficient , include quick service check - in . big name hotel Las Vegas , hotel massive . entrance passage way casino large could fit many , many house . architecture amazing , especially frescos wall ceiling . three complaint . ( 1 ) put scent hotel ventilation system frankly smell bit like bathroom scent . would rather nothing , even different scent . ( 2 ) pool area chair reserve hotel occupant around 11:00 . think discourteous , not change anything . still happen aware . way hotel situate , part pool area get sun mid afternoon want sun , get early . ( 3 ) finally , fancy hotel fancy price . pay high price drink eat order pool . want non - alcoholic beverage , Walgreens end block venetian Palazzo much well price snack . 's matter judgment whether worth money . wife people like stay four five star hotel . stay Treasure Island across street Venetian past two time find every bit comfortable need . pay $ 159 night time could stay Treasure Island $ 99 night . nevertheless , want try Venetian . not regret stay , probably will not come back money spend . 
 oct 8 2009 	 Unexpected Surprise 	 arrive weekday , mid afternoon extensive line check - in , however , great service start . move line quickly host personally bring hotel registration desk . could pleasant . stay pass entrance several occassion not see line . however , , not let start trip badly since move fast . need use guest service several occassion always fast curteous response . use small pool area secluded area near hot tub , remind stay private villa Italy . choice restaurant hotel top Vegas one eat 3 night outstanding . room luxurious , step living room , flat screen tv living room , sleep area bathroom . automatic drapery blackout shade plus bed . allow we see city light close fall asleep . fyi : never want go Vegas , want go back make sure stay venetian . 
 Oct 8 2009 	 Beautiful Place Stay 	 love resort . quiet perfect location strip . food hotel nice . do not gamble - crowded . enjoy see Jersey Boys . staff friendly .. accidently leave backpack bench camera , GPS , valet return nothing missing . would highly recommend resort . 
 oct 8 2009 	 Excellent 	 glad pick venetian one night stay Las Vegas . nice room 14th floor . room spacious three tv huge bathroom shower bathtub . sit area tv set also small dining table . bed comfortable . love everyhte room . hotel must see even stay . definately stay . 
 Oct 7 2009 	 elegant beauty ... 	 venetian beautiful property conveniently locate Las Vegas Strip . room nice , quite level nearby Wynn . major construction project currently provide rather jarring backdrop otherwise luxurious main pool area . 
 Oct 7 2009 	 everything one roof 	 friend stay two night special Club Grazie rate . check smooth . receive room Venezia section overlook Pool Garden . whole hotel casino smell clean part reek cigarette like many Vegas strip property . really enjoy spaciousness elegance room . take advantage nice tub . love hotel way stand one area . 's many place go go length replicate Old Italy archway , romantic lighting , beautiful painting , gracious service . greet name among everyone . room service , albeit expensive , prompt , professional courteous . bellman take luggage taxi bring we get room , something ' ve previous Vegas stay . many people complain huge layout hotel . confusing , bad hotel . whenever stay Vegas large inclusive beach hotel likely maze contend get one place . 's something live , simply stay home . I two major complaint . one kind vend machine buy coke hotel floor . probably not want mass market hotel image , would nice sort close vend area floor convenience . course want order room service , walk maze get sundry shop . 2 am want relax worry put clothe go get beverage small snack . room servibar refrigeration drink . mean sit hot drawer cabinet probably week someone succumb temptation indulge . issue cocktail waitress . not care whale play penny slot , people need refreshment game leave . get find waitress bring drink playing slot , never happen . really reason leave resort unless want experience show / entertainment locate elsewhere . 's plenty , Madame Toussad 's must . 
 Oct 6 2009 	 good hotel ever 	 first walk front door , instantly transport Venice . painting , decor , lighting ... marble . unlike hotel visit trip put directly casino front door . treat music ( usually Phantom Opera ) , pleasant lighting smoke free area . follow direction room find instead room suite . immaculately clean , king size bed look fluffy overtake room , marble bathroom separate WC sit area armoire , table , desk , sectional couch coffee table . everything top notch . check pool area find pool garden level 10 epitome italian center courtyard fountain , pool hot tub blend scenery . main pool area immense catered sun worshiper load amentie . food tish expensive major chef least 1 restaurant site . car rental easy obtain easy get hotel . Monorail next door Harrahs , find super secret back way may fix shortly walk bridge ( hint , want use ... make accessible ) everyone super nice , even though get lose first three time Canal shop area hardship beautiful truly make getting lose worth it . would stay .... HEARTBEAT ! 
 Oct 6 2009 	 Loved ! 	 read review go venetian little concerned , need not . price pay extremely happy choice . room lovely even though room overlook roof air conditioning unit stand far enough back could see golf course , however not really bother view . room comfortable bathroom lovely . check wait 15 minute can not say bother excited . smell really not bad , whoever say must extremely sensitive nostril not bother husband slightest . walk lobby room really not far hotel size , take 5 minute max , room 27321 . pool great lot choice , preferred Palazzo pool wad quieter relax however bed not comfy . hotel great location variety quick place eat food court also restaurant , try Delmonico steakhouse also Mexican Palazzo , enjoy . visit Strip burger must ! overall get hotel good rate would stay , unless extremely fussy not understand could not like fussy big cleanliness ! 
 Oct 6 2009 	 TERRIBLE 	 not go . wonderfull 3 - day stay Trump , go Venetian know hotel stay 3 day ... dissapointe stay night ! room good , door another room head noise do . they sensor refrigerator not advise even touch stuff charge ! ! ! ! ! ! ! ! ! PAY USD35.00 / DAY use refrigerator ! never see ! not GO ! ! ! bussiness center close 6PM . not notebook , can not acess internet night ! 
