boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 May 7 2008 	 Home Away home 	 travel San Francisco quite frequently East Coast typically one & quot ; check Grand Hyatt First & quot ; people . stumble upon Hotel Rex last year travel take city quite often , Hotel Rex become hotel choice . the staff exceedingly accomodating , friendly , service . every stay Hotel Rex pleasure plesantrie boutique hotel present perfection . room bed comfortable , always spotless , almost stay - quite noise free . the proximity Unon Square can not beat . ever get room Hotel Rex trip , guess always try Hyatt next . 
 Apr 22 2008 	 great location 	 great location , within walk distance Union Square Chinatown . hotel room 1930 's feel rate reasonable . staff helpful . noisy airconditione unit room back hotel street noise . would definitely stay . recommend . 
 Apr 16 2008 	 Rex rule ! 	 3 night Rex , really enjoy stay . decor arty , warm welcoming . room smallish ( think typical european sized room , modern American ) , sleep anyway . the good part place staff . everyone meet talk friendly , helpful , welcoming . almost hope kind problem help . 
 Apr 14 2008 	 Sweet Spot 	 clean quiet . great location -- walk distance lots fun spot . love natural bath product leave we , plus fact recycle bin room seem care conserve resource . free glass wine also nice , Dave bartender treat we like old friend . not get excited & quot ; cozy & quot ; bathrobe , however , cozy dishtowel whole lot big ... 
 Apr 10 2008 	 wonderful hotel amazing staff 	 can not beat location place - right near shopping , restaurant , cable car . room small clean decorate cookie - cutter hotel room style . staff amazing - really helpful always friendly . ' ve never well service hotel ! noise street - face side , tired walk hill not notice much ! would highly recommend hotel would definitely stay . 
 Apr 9 2008 	 Hotel Rex Winner 	 third stay Hotel Rex . gravitate back hotel location , hospitality atmosphere . room impeccably clean , response staff never strain put we first matter small inquiry . like location walk almost anywhere city return pleasure , must , business . nice one ! 
 Apr 7 2008 	 Classy Hotel Rex 	 fantastic stay 3 night Hotel Rex . staff charming , helpful friendly . room nicely decorate , great bed linen CD player jazz cd listen . like many San Francisco boutique hotel , room quite small , every amenity could want , quite frankly SF not spend much time room anyway . room locate away street , would recommend ask , away Sutter St noise . sleep really well - noise night ( unlike SF hotel stay ) . Rex close Union Square , be easy get part city : one cable car line nearby , bus take North Beach example . 's easy walk BART Muni Metro station Market Street . need get Berkeley upon check , staff front desk go great length check town car rate trip - helpful . room service : great food Cafe Andree ( locate site ) . recommend pancakes breakfast . eat Cafe Andree one evening dinner , food excellent , quite pricey . 's aim fine dining experience ; place nearby want something less upmarket . I not laptop , impressed find Rex ' study ' room two terminal guest use - absolutely free , unlike many hotel . really useful , nice able check email privacy rather open lobby . the lobby , way , lovely - leather armchair , wood panelling . feel literary salon , be classy - like Hotel Rex general . highly recommend . 
 Mar 28 2008 	 Hotel Rex great ! 	 first , Hotel Rex great location ; central , plus . boutique hotel , own JDV Corporation , great deal ambiance character . hate large chain hotel , always opt small hotel character comfort . love colorful wall paint , Study Lounge , particularly literary ambiance hotel pride itself . the room comfortable quite reasonably sized , hot water plentiful , maid service excellent staff helpful . complimentary wine 5:00 - 6:00 great way meet fellow traveller , computer access trifle limit , work quite well I . there number breakfast lunch dnner place quite near Cafe Andree good seasonal cuisine . , recommend without hesitation . 
 Mar 25 2008 	 Great Conference 	 great sale staff front desk service . staff hotel friendly . last minute change meet quick solution . 
 Mar 23 2008 	 Friendly Centrally locate 	 Hotel Rex great location near restaurant , public transportation shopping . aside , staff warm friendly ! free wine happy hour day , . room comfortable really nice touch ! ( free candy ! ! ) would absolutely stay Hotel Rex . 
 Mar 14 2008 	 Great Hotel ! 	 ' ve stay Rex least five time last four year time 11 night business . great hotel great location . room - small , well arrange comfortable bed air conditionerbathroom - nothing gross , small . shower bathtub / shower combos enough room vanity relatively high maintenance person 's toiletrieslocation - easily walk Union Square , be two block away hill ; cab easy hail location cab fare neighborhood city $ 10staff - friendly helpful , especially bartenderfood / drink - hotel good breakfast good bar menu ; not dinner onsite restaurant ; next door cool bar call Cantina amazing drinksi choose Rex trip Bay Area . 
 Mar 11 2008 	 great experience Hotel Rex ! 	 lovely hotel delightful incredibly helpful staff , good food , freshly brew coffee morning window open ! close SF 's financial district , Union Square , nice health club , restaurant , etc . 
 Feb 29 2008 	 bad great 	 stay business 2 night Feb . hotel fine - far Maceys . free broadband good . also free glass wine 5 6 nice touch . Valet parking steep , bring car sfc anyway ! ! bar informal friendly . room little dingy side ( 2nd floor ) bathroom good world ( although perfectly functional ) . overall price right , Hotel Rex fine , pay top dollar , would little disappointed 
 Feb 26 2008 	 Loved ! 	 mom stay 4 night July really pleasant experience . hotel nicely locate near Union Square cable car line . problem find ! decor great lot artwork funky furniture . room quite nicely sized large armoir clothe storage . bed large comfy room always clean quiet . staff helpful direction nearby attraction . we breakfast restaurant downstairs , since none offer room price , although nice , pretty overpriced . would definitely recommend set find one restaurant nearby instead . hotel complimentary happy hour bar every evening , though , nice . bartender friendly lounge area comfortable . really enjoy stay ! 
 Feb 4 2008 	 Beware - not one SF 's Top Ten Hotels ! 	 stay New Year 's Eve dismal journey begin front desk completely disregard king room confirm ( acknowledge confirmation ) pay ... explanation . ' m member so - call loyalty club ! back - up plan situation instead give we two queen room . two separate room . exactly ideal situation New Year 's Eve anytime . old . Musty . Dusty . come mind think . furnishing room ( since see two ) six month shabby . chic . pattern , color , poor lighting create un - inviting atmosphere . & quot ; marketing & quot ; photo good representation actual room . AC situation something else altogether . make sure ask space heater ! lobby lovely not make 's lie upstairs . major overhaul need . 
 Jan 25 2008 	 Best Boutique SF 	 always stay Rex ' m San Francisco business . staff always seem remember call name , make feel like Rex & quot ; home & quot ; . wonderful ambiance great location , close enough Union Square far enough away not keep awake cable car ( problem another hotel ) recommend many friend colleague ALWAYS thank . Love Rex ! ! 
 Jan 24 2008 	 Cozy 	 really nice stay Hotel Rex . staff attentive , friendly helpful . room neat , clean nicely price . good location would stay . 
 Jan 21 2008 	 not stay hotel ! 	 huge disappointment ! first check optimistic . willing overlook fact shower not drain properly fact bed major step major hotel like stay boutique hotel possible . stay Hotel Rex 3 night business . return hotel third night , approximately 11:00PM , key not work . go front desk find MOVED BAGS PERSONAL belonging different ROOM without permission ! needless say extremely upset . manager proceed tell room book wedding party choice move another room . claim make several attempt contact however never receive phone call , one e - mail send however not receive ! regardless , still furious ! never 20 + year travel treat way . offer comp 3rd night , nice gesture hey ! urge manager comp entire stay go fight AMEX avail , pompus fact bill first two night ... business traveler beware ! happen , happen ... stay Grand Hyatt right across street . 's cheap room much nicer ! 
