absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 Jul 15 2006 	 Hated Le Parker Meridien 	 wife , daughter stay 5 night Le Parker Meridien start July 7th . find hotel personel cold friendly . show bell man act like we favor help we bag . front desk staff not outgo friendly check . one surprising thing entire stay bell staff outside never ask need direction taxi . unusual 4 star hotel NYC . also service food Norma 's downstair poor highly rate , cold egg , cold bacon , cold oatmeal . complain nobody care . speak hotel GM not listen make excuse hard run 600 employee hotel . not offer anything make stay well . guess stay Four Season 's . highly suggest stay property , unless like cold unfriendly hotel personnel . 
 Jul 11 2006 	 Great Location 	 much enjoy 4 - night stay Le Parker Meridien 4th July . not know anything facility use Hotwire find 4 - star hotel midtown . location 56th 57th great everything . find staff helpful , include various concierge deal . although busy , hotel full upgrade high room somewhat well view ( high enough see Central Park , though -- 's reserve highpaying customer ) . view rooftop pool lounge area really great strongly recommend go camera . leave , leave luggage bell staff without problem . lose one ticket great go luggage room find piece . room nice -- not even touch anything little courtesy fridge ' ve buy . desk clerk warn we everything inside courtesy fridge radio tag even touching item trigger purchase . know true , take total hand approach . anyway , couple midwesterner 2nd trip NYC , recommend hotel ( especially Hotwire price ) . thank . G & amp ; 
 Jul 9 2006 	 Nou York Nou York 	 stay Le Parker Meridien March 2004 - occupy Junior Suite 5 night - much New York ! hotel stone throw Central Park handily starbuck Cafe across road . funky pool top floor ( 42nd floor ? - do not look ! ! ) - although quite small one hotel Manhatten . Didnt eat main restaurant - although small burger joint ( mean small ! ) hide lobby lifesaver well know local . the suite pretty large New York - although decor slightly outdate . bathroom well bit - could fit 6 people walk show ease ... Hotel bill 4 - 5 star . recently stay 5 Star luxury Dubai would say Le Parker Medidien nowhere close league . however maybe ' m harsh compare hotel New York would probably rate top 10 . hotel tad expensive - would probably stay elsewhere next go . 
 Jun 26 2006 	 great 4 * hotel 	 return rainy NYC weekend highly enjoy stay Le Parker . got great deal room online service . room 36th floor face 56th street . unlike posting , room quiet , noise street , experience . room adequate size nyc hotel , immaculate bathroom . problem tub , like other post . king bed comfortable plush pillow feather bed . enjoy roof top pool well , pool good size olympic , expect pool ny ? also like view surround outdoor area . feel service excellent - concierge able obtain last minute dinner reservation 2 upscale restaurant , even land great table . could please stay . comment hotel restaurant . starbuck across street . overall , Le Parker Meridien would expect 4 * hotel . 
 Jun 26 2006 	 Le Parker Meridien great ! 	 little worried going get read review . get hotel price line pay $ 195 night . bad middle summer . great location . easy walk centeral park times square . staff helpful friendly . room 34th floor view city . room clean , modern average size . bathroom also clean , modern average size well . really love breakfast feel lot food , though expensive . would stay . 
 Jun 22 2006 	 Plaza 	 Pleasant hotel 5 * standard . originally book Plaza informed week book Plaza closing refurbishment . agent , Best Travel offer Waldorf Le Parker Meridien alternative . want pool 9yr old son opt Le Parker MMeridien Waldord not pool . the agent assure fabulous hotel & amp ; certainly 5 * . personally find hotel reception area nice soon step lift onto accomodation floor dark & amp ; dreary . room modern & amp ; minimalistic fine view , dirty wall neighbouring skyscraper , dark room . roof top pool sound great & amp ; look nice photo 's quite insignificant see eye , however view roof top good . location quite good , could walk Central Park & amp ; Time square quite easily . would rate hotel 3 * & amp ; 4 * , certainly . felt rip honest hotel price Plaza ' m sure Plaza would far grand . dream stay Plaza lifetime trip NY shatter really . not think hotel comparable cost . 
 Jun 20 2006 	 not go ! ! ! 	 go NYC week christmas really disapointe Parker . when pay room 750 $ night think be go to find clean nice room , finally quiet nightmare , look like cheap dirty motel ! pool awful small , restaurant inspire we , 's good small burger behind reception . do not go breakfast , unless want lose lot money nothing , outragously expensive , without reason , buffet , 10 $ double expresso ! go starbuck coffee right across street , simply go another hotel ... 
 Jun 19 2006 	 fantastic view 	 stay hotel 1 night May . immediately assign room check - in 12 noon surprise , room high floor fabulous view Central Park ! bad considering pay $ 175 night thru Priceline ! room good size NYC standard modern decor . bathroom nice - unlike trip advisor review - nice amenity . location also handy major tourist attraction like 5th Ave , Rockfeller Center Broadway . all - in , highly recommend . 
 Jun 14 2006 	 enjoy Stay 	 stay week 2003 , enjoy stay . bed comfortable , room clean , large . desk nice computer chair travel laptop ; large tv , dvd player . elevator slow , seem rather common hotel . take moment notice people desk get check , okay . lobby pretty , view website . back stay , maid leave Twizzlers pillow every day , enjoy . the location great . couple block Central Park , short walk Rockafeller Center , MOMA , Carnegie Hall Times Square . give three mark rating enjoy stay , really could not think anything negative , could not think anything extraordinary , either . would stay ? yes . reason not book last couple time go back . would recommend hotel ; definitely . 
 Jun 5 2006 	 uneven experience 	 wide range review hotel sum experience stay : part fine , part substandard . find service perfectly adequate , room first inspection seem fair enough . bathroom unacceptable hotel price : bathtub surface peel away large patch , water completely stop middle shower late one evening start next morning . the hotel improve maintenance : corridor modern trim ; effort direct room . 
 Jun 2 2006 	 great stay Le Parker Meridien 	 stay Parker Meridian two weeknight May wonderful experience . find staff helpful , pleasant responsive - front desk bellman concierge , housekeeping coffee stand person . great coffee blueberry muffin coffee stand way - need run across street Starbucks ! room modern good size , mine quiet contrary review - guess face good side . thing think could use little improvement bathroom need update , would totally stay . rest room sleek , clean roomy . great location . would recommend highly . 
 Jun 1 2006 	 another GREAT stay Le Parker ! ! ! ! 	 2nd stay Le Parker & amp ; girlfriend Memorial Day weekend , hotel staff excellent job ! ! ! room 40th floor , clean ! ! ! basket fruit wait we get room , assume former customer . staff helpful & amp ; friendly swimming pool great , also love fact could go pool right rooftop lie sun . planing return NYC labor day weekend stay Le Parker Meridien ! ! ! ! ! ! ! ! ! 
 May 29 2006 	 Beware Starwood PAR 	 hotel definitely great value money . room clean , bathroom amentiie one could ask ( maybe traditional blow dryer would better lieu old fashioned hotel wall dryer ) . cord internet wireless access . pretty much , every service issue answer promptly courteously . now bad part . Gold Starwood Preferred Guest one would expect make reservation Starwood website would participate SPG program . go way stay Starwood 's reason . let know quickly arrive . front desk staff polite somewhat apologetic . starwood , Starwood , really take starwood Web Site reservation straighten . nice stay leave sort bad taste frequent guest . 
 may 24 2006 	 Sleek Contemporary Comfort 	 husband recently stay Le Parker Meridien May 20 - 23 , 2006 first wedding anniversary . first three night city spend Westin Times Square , base establish opinion . though ask early check , know switch hotel want drop luggage morning leave spend day explore city , check bag bell stand store day come back late afternoon . tell room available time check , not recommend floor , would well wait . . big deal , additional $ 10 tip pay bellman . room , really impressed . tell get upgrade suite , room definitely big expect . living area couch window seat , well table , desk mini bar separate sleep area revolve entertainment center large flat screen tv , VCR DVD player . , could turn face bed living area . room contemporary sleek , style husband love . sleep area living area large window face south apartment build GE building . great view consider initially tell have Central Park view . large room worth give view . bed comfortable triple sheet around fluffy duvet . trouble sleep though temperature impossible control room . although contemporary thermostat wall room , A / c - heating unit beneath window old school . order warm freezing room , turn thermostat 60 degree . order cool room , turn temp . unfortunately take we day figure , sleep tough room warm stuffy . also seem window not seal well window Westin Times Square . 31st floor , hear MUCH street noise Times Square . seem strange Parker Meridien much quiet neighborhood . could also hear people floor we whenever drop something flushed toilet , seem happen often . fan speed control A / C , quiet enough hear little noise , wake up . the bathroom large huge counter , one sink . also plenty room place bath tub , instead stand - up walk - in shower glass wall separate toilet . big disappointment we want soak foot long day walk place . also , water temp seem change lot without touch faucet . roof top pool patio great amenity . pool enclose , patio open air , weather nice , 's great spot relax one lounge chair get sun take great view Central Park . eat Burger Joint lobby lunch - rush ! not advertising , buzz circulate verbally . business people work nearby stand line 30 minute get burger fry place . fact , day eat , local news piece popular place . burger definitely good , fry , would not wait 30 minute line one . luckily , much short wait . word caution - cash . know exactly want order time get cash register will get yelled . not eat Norma 's Seppi 's , can not comment . say Norma 's huge line wait get Sunday brunch . be stay hotel , call put name waiting list will call room table . entrance 56th 57th Streets , easily accessibble . 's block Carnegie Hall , street busy show time . hotel 3 block Central Park , great starting point spend day park without take subway taxi . overall , would stay come back NYC . 's great location service experience good . Bellman always attentive polite . 
